fam	loc
fam1	1648
fam2	3329
fam3	4454
fam4	4963
fam5	7209
fam6	9877
fam7	10728
fam8	12995
fam10	15608
fam11	17073
fam12	17645
fam13	18254
fam14	18345
fam15	19782
fam16	20354
fam17	20787
fam18	21122
fam19	21662
fam20	22054
fam21	23406
fam22	24203
fam23	25010
fam29	31096
fam30	34487
fam31	36420
fam32	37688
fam34	39358
fam35	40139
fam36	41411
fam37	42859
fam38	43706
fam39	44396
fam40	46421
fam41	48346
fam42	49812
fam43	51395
fam44	52849
fam45	53364
fam46	54236
fam51	61890
fam53	63823
fam54	64332
fam55	64774
fam57	66477
fam58	67313
fam59	68619
fam60	69829
fam62	72458
fam63	73588
fam64	74765
fam65	75779
fam66	76789
fam67	77545
fam68	78531
fam69	79273
fam70	81604
fam71	83361
fam72	85269
fam73	85801
fam74	86396
fam76	88216
fam77	90089
fam78	91052
fam79	91474
fam80	92436
fam81	94270
fam82	95243
fam83	95956
fam84	97043
fam85	97793
fam86	99001
fam87	100692
fam89	103176
fam90	104528
fam91	105730
fam93	107633
fam94	108143
fam95	108444
fam96	110387
fam97	112019
fam98	113101
fam99	114204
fam100	114919
fam101	116138
fam103	117616
fam104	118035
fam105	120880
fam106	121622
fam107	123746
fam110	127410
fam111	128606
fam112	129595
fam113	132137
fam114	132932
fam115	134256
fam116	134615
fam117	137557
fam118	138230
fam119	139184
fam120	140184
fam121	141875
fam122	142855
fam123	143856
fam126	145808
fam127	146837
fam128	148331
fam129	150638
fam163	186689
fam164	187413
fam165	188742
fam166	189339
fam167	190799
fam168	191122
fam169	192104
fam170	192649
fam171	193805
fam172	195083
fam173	195907
fam174	196800
fam175	197644
fam176	198288
fam177	198995
fam178	199826
fam179	200713
fam180	202289
fam181	203254
fam182	203761
fam183	204339
fam184	205756
fam220	241617
fam221	243032
fam222	244284
fam223	245454
fam224	246023
fam225	247547
fam226	248299
fam228	249370
fam232	253360
fam233	254060
fam234	258567
fam235	259396
fam236	260497
fam237	261201
fam238	262993
fam239	263874
fam240	264827
fam241	266115
fam242	267135
fam243	268652
fam244	269452
fam246	270935
fam248	272518
fam249	273598
fam253	276761
fam254	279164
fam255	280126
fam256	281316
fam257	281717
fam258	282203
fam259	283286
fam260	284433
fam262	285869
fam263	286573
fam264	288107
fam265	289170
fam266	290367
fam267	291462
fam269	292976
fam270	293672
fam271	294374
fam272	296505
fam276	300381
fam277	302102
fam278	303344
fam279	304537
fam280	305408
fam281	306581
fam290	320462
fam299	335067
fam300	335492
fam302	339344
fam306	341996
fam308	343094
fam309	344734
fam310	345129
fam311	345776
fam315	349351
fam316	351907
fam317	352432
fam318	354168
fam319	355484
fam320	357070
fam321	358002
fam322	359413
fam323	360640
fam324	361723
fam325	363136
fam326	364544
fam327	366058
fam328	367468
fam330	369895
fam331	371646
fam332	372986
fam333	374133
fam334	376310
fam337	380697
fam338	382458
fam339	383677
