fam	loc
fam1	33742
fam2	34310
fam3	34790
fam4	35855
fam5	36503
fam6	39671
fam7	40721
fam9	41479
fam10	43173
fam12	45227
fam13	46285
fam14	47927
fam15	50120
fam16	50894
fam17	51396
fam18	52491
fam20	58342
fam21	59034
fam22	61139
fam23	61433
fam24	62110
fam25	64123
fam26	66058
fam27	67226
fam28	68874
fam29	70166
fam30	71950
fam31	72414
fam32	73405
fam33	75040
fam34	76646
fam35	78644
fam36	79543
fam37	81582
fam42	87461
fam43	89373
fam44	92135
fam45	92863
fam48	95224
fam49	96705
fam50	97360
fam51	98520
fam52	99309
fam53	100187
fam59	104746
fam60	105777
fam62	108329
fam63	109270
fam64	110935
fam65	112202
fam68	115574
fam69	116659
fam70	117701
fam71	119780
fam72	120835
fam73	123178
fam74	125072
fam75	127550
fam76	128476
fam77	129546
fam78	131300
fam79	132493
fam80	133960
fam81	135352
fam82	136700
fam83	138362
fam84	139521
fam85	140836
fam86	141482
fam87	143241
fam88	144162
fam89	144874
fam90	146424
fam95	150097
fam96	151312
fam97	152337
fam98	153136
fam99	154419
fam100	155072
fam101	156201
fam102	157333
fam103	158430
fam104	159419
fam105	161143
fam109	165088
fam110	165813
fam118	172425
fam119	173433
fam120	174593
fam121	175474
fam123	177475
fam124	178404
fam125	179964
fam126	181924
fam127	182936
fam128	183854
fam129	184553
fam130	185203
fam131	185790
fam132	187015
fam133	187864
fam134	188338
fam135	188517
fam136	189532
fam138	191072
fam139	192389
fam143	196766
fam144	197812
fam145	198768
fam146	200206
fam148	202246
fam149	203550
fam150	204229
fam151	204919
fam152	205938
fam153	206902
fam155	208991
fam156	209832
fam157	212201
fam158	214369
fam159	216713
fam160	217643
fam161	218746
fam162	219678
fam163	222390
fam165	224131
fam166	225653
fam167	226370
fam168	227570
fam169	228783
fam170	229594
fam171	231029
fam172	232827
fam173	233714
fam174	234350
fam175	235987
fam177	236927
fam178	237683
fam179	238572
fam180	239612
fam181	240212
fam182	241909
fam183	242663
fam184	243924
fam185	246125
fam186	248254
fam189	257084
fam190	258040
fam191	259029
fam192	259789
fam193	261876
fam194	262497
fam195	263044
fam196	263635
fam197	264343
fam198	265159
fam199	265591
fam200	269947
fam201	274277
fam203	276286
fam204	277896
fam205	280080
fam206	280282
fam207	281058
fam208	281701
fam209	283653
fam210	284506
fam211	285397
fam212	286610
fam213	287315
fam214	287983
fam215	288460
fam216	289151
fam217	290499
fam218	292106
fam219	299071
fam220	300174
fam221	301362
fam222	302455
fam223	303482
fam224	304339
fam226	306270
fam232	309602
fam233	310591
fam234	311683
fam235	312746
fam236	314215
fam241	319797
fam242	320276
