fam	loc
fam1	2725
fam2	3939
fam3	6368
fam4	6983
fam5	9147
fam6	10055
fam7	10810
fam8	11384
fam9	11907
fam10	12736
fam11	13660
fam12	14470
fam13	17679
fam14	18754
fam15	20471
fam16	21966
fam17	23350
fam18	24303
fam19	24821
fam20	26111
fam21	27260
fam22	27738
fam23	28366
fam24	29017
fam25	29946
fam26	30861
fam27	31418
fam28	32256
fam29	32795
fam31	40438
fam32	41405
fam34	45408
fam35	46932
fam36	47681
fam37	48438
fam38	50192
fam39	50566
fam40	52392
fam41	53223
fam42	54568
fam43	55455
fam44	55901
fam45	56685
fam46	57434
fam47	59533
fam48	60107
fam49	60274
fam50	61005
fam51	61815
fam52	62322
fam53	63152
fam54	64105
fam55	65277
fam56	67731
fam57	69091
fam58	70113
fam59	70424
fam60	71428
fam61	71897
fam62	72615
fam63	73469
fam64	73822
fam65	75950
fam66	78596
fam67	79107
fam72	85297
fam73	85681
fam79	95762
fam82	98306
fam83	99443
fam84	100342
fam85	101940
fam86	103055
fam87	104381
fam88	105744
fam89	106511
fam90	106722
fam91	107513
fam92	109107
fam93	111014
fam94	112687
fam95	113856
fam96	114588
fam97	115590
fam98	116849
fam99	117715
fam100	118563
fam101	119005
fam102	121259
fam103	121670
fam104	122381
fam106	125426
fam107	125901
fam108	127142
fam109	128186
fam110	129703
fam111	130734
fam112	131918
fam127	144841
fam128	145374
fam130	148070
fam131	148850
fam132	149283
fam135	152404
fam136	155524
fam137	156078
fam138	158033
fam139	159010
fam140	159846
fam141	160487
fam142	162005
fam143	163051
fam144	164575
fam145	165325
fam146	168298
fam147	168710
fam148	169484
fam149	171411
fam150	172137
fam151	173561
fam152	174701
fam154	178259
fam155	179529
fam157	182480
fam158	183390
fam159	184331
fam160	185032
fam161	185859
fam162	187145
fam163	187381
fam164	188461
fam165	188981
fam166	189812
fam168	191983
fam169	192618
fam170	194048
fam171	195337
fam172	195998
fam173	196625
fam174	197600
fam175	198295
fam176	198737
fam179	202252
fam180	205520
fam181	207202
fam183	208520
fam184	209637
fam185	211051
fam186	212399
fam187	213627
fam188	214759
fam189	216679
fam190	217531
fam191	218693
fam196	228732
fam197	229651
fam198	231503
fam199	232195
fam200	232834
fam218	251284
fam219	252224
fam220	252693
fam221	253320
fam222	254783
fam223	258805
fam224	259616
fam225	261051
fam226	261568
fam227	262187
fam228	263591
fam231	268531
fam232	270332
fam233	271864
fam234	273096
fam235	273815
fam236	274611
fam237	275792
fam238	276123
fam289	332714
fam296	343647
fam297	344700
fam298	345500
fam300	349947
fam301	350950
fam302	352009
fam303	353540
fam304	354644
fam305	355888
fam306	356810
fam307	358540
fam308	359157
fam309	359990
fam310	361135
fam311	368340
fam312	369153
fam313	369793
fam314	372961
fam316	375844
fam317	376586
fam318	377243
fam319	377867
fam320	378163
fam321	379002
fam322	379293
fam323	379637
fam324	380351
fam325	380764
fam326	380955
fam327	381212
fam328	382406
fam329	384113
fam330	386225
fam331	387287
fam332	388133
fam333	390104
fam334	392702
fam336	393474
fam337	394063
fam338	394996
fam339	395835
fam340	398688
fam342	401067
fam343	403686
fam344	404238
fam345	405534
fam347	408337
fam348	409241
fam349	409822
fam350	411102
fam351	413015
fam352	414125
fam354	416662
fam355	417680
fam356	418491
fam357	419760
fam359	423767
fam360	426925
fam361	429537
fam362	430137
fam363	432318
fam364	433190
fam365	434776
fam366	435827
fam367	437056
fam368	438685
fam369	439567
fam370	440675
fam371	441418
fam372	442551
fam373	443033
fam374	443243
fam375	444208
fam376	445907
fam377	447096
fam378	447642
fam379	449685
fam380	450215
fam381	450823
fam382	451404
fam383	452459
fam384	455259
fam385	457028
fam387	458734
fam388	459524
fam389	461437
fam391	463129
fam394	468441
fam395	469706
fam397	471497
fam398	472507
fam399	473530
fam404	478613
fam405	479974
fam406	481016
fam407	481633
fam409	484956
fam410	486370
fam413	489447
fam414	489967
fam415	490290
fam416	490728
fam417	492145
fam418	493177
fam419	493762
fam420	494578
fam421	495486
fam422	496437
fam424	498361
