fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam393	0.13731104331793126	0.1829659551567222	0.07927707208528334	0.008700000000000001	0.0145	0.007103520254071217	0.050780000000000006	0.0791	0.03518700896637849	30288	0.016420361247947456
fam158	0.06402942452169046	0.062088428974600186	0.003607189985494123	0.0044800000000000005	0.0066	0.0031896081264004834	0.07184	0.1063	0.052050575405080776	284400	0.019655521783181355
fam680	0.28785513804559515	0.2296511627906977	0.12343662760456477	0.005280000000000002	0.0078	0.003289620038849472	0.023	0.0344	0.016741803964925642	297401	0.008700564971751411
fam425	0.06807696664157412	0.03465854009249081	0.060101242011366865	0.0025600000000000006	0.0032	0.00128	0.06176	0.0834	0.04384780952339581	15537	0.01046831955922865
fam98	0.11458848087291125	0.114352798053528	0.0038971639544181104	0.0065400000000000015	0.0091	0.004433779426178078	0.057420000000000006	0.0822	0.03884247160004111	349772	0.01572871572871573
fam657	0.15996798044019467	0.1861895662644295	0.06507122819258591	0.006480000000000001	0.0096	0.004835866003106372	0.03676	0.0506	0.022384065761161445	277039	0.012582159624413145
fam265	0.08777921250464488	0.08599057889766965	0.003709320733376679	0.00454	0.0045	0.0028779159126006443	0.05188	0.0529	0.033143469945073646	162336	0.011494252873563218
fam443	0.13007703179997965	0.12273361227336123	0.012939889543810559	0.0064600000000000005	0.0088	0.00356404264845414	0.049640000000000004	0.0623	0.027013596576539005	37179	0.013928571428571429
fam355	0.12440324751090567	0.13556365942603457	0.020353737011413603	0.00832	0.0119	0.005788402197498028	0.06344	0.0867	0.0408767709096499	69941	0.01646090534979424
fam519	0.13861653818692815	0.13431613431613432	0.024112591303233864	0.00984	0.0146	0.007351081553077753	0.07758000000000001	0.1221	0.05941351361432852	106894	0.018209876543209873
fam321	0.029112113983838207	0.028725177635292747	0.0025801166554180557	0.00224	0.0028	0.0014277254638059796	0.07798000000000001	0.1053	0.049317802059702535	107309	0.013793103448275862
fam594	0.07341488036114362	0.07465618860510806	0.007412397598235633	0.00506	0.0076	0.0032097351915695476	0.07136	0.1018	0.047513644356121536	199601	0.015208333333333334
fam643	0.11973796509279293	0.12403100775193798	0.008102497453951878	0.00624	0.0096	0.004184542985799046	0.050839999999999996	0.0767	0.03303383719763721	259507	0.0152046783625731
