fam	loc
fam2	11849
fam3	12082
fam5	13480
fam7	17950
fam10	27682
fam11	28687
fam12	29295
fam13	30684
fam14	31338
fam15	31687
fam17	33770
fam19	35466
fam20	35922
fam21	36462
fam22	36937
fam24	37671
fam25	37962
fam26	39495
fam27	40620
fam28	41506
fam29	42295
fam31	43992
fam32	44829
fam33	45649
fam34	46317
fam36	48513
fam38	50109
fam39	50473
fam40	51280
fam41	51597
fam42	52193
fam43	52734
fam44	54268
fam45	55367
fam46	56877
fam47	57333
fam50	58588
fam51	59327
fam52	59830
fam53	60576
fam55	62684
fam56	63187
fam57	63698
fam58	64013
fam59	65909
fam61	69039
fam63	71994
fam64	73507
fam65	74805
fam66	75603
fam67	76115
fam68	77283
fam69	78190
fam71	79618
fam72	80236
fam73	80834
fam74	82570
fam75	84719
fam76	85801
fam77	87175
fam80	95301
fam81	96721
fam89	103269
fam90	104724
fam91	105888
fam93	108184
fam94	109035
fam95	109795
fam96	110202
fam97	110826
fam99	111731
fam100	113303
fam115	125588
fam116	126458
fam119	129689
fam120	132545
fam124	135944
fam128	140326
fam130	143075
fam132	145805
fam133	146715
fam134	148139
fam135	149673
fam136	151098
fam138	152524
fam139	153293
fam140	155539
fam143	161023
fam144	161467
fam150	169940
fam151	171312
fam152	172028
fam153	173422
fam154	174420
fam155	174903
fam156	175985
fam159	179507
fam160	180563
fam161	183042
fam162	185152
fam163	191480
fam164	191832
fam166	194232
fam168	195087
fam169	196116
fam170	196928
fam171	197282
fam174	199387
fam176	201804
fam177	203011
fam178	203754
fam179	205658
fam180	206330
fam182	208161
fam183	208681
fam184	209083
fam185	210051
fam187	211443
fam188	211843
fam189	213369
fam190	214047
fam193	215606
fam194	216306
fam195	216633
fam196	220235
fam197	221277
fam199	223600
fam201	226955
fam202	227321
fam203	227578
fam204	228133
fam205	228693
fam206	229057
fam207	229652
fam210	234336
fam211	235818
fam212	236404
fam213	238530
fam214	239647
fam216	242168
fam217	242932
fam218	243840
fam219	244770
fam220	245821
fam222	248777
fam224	250553
fam225	250948
fam226	251487
fam227	251651
fam228	252685
fam229	253435
fam230	255058
fam231	262287
fam233	264541
fam237	268486
fam238	269548
fam239	270597
fam245	275657
fam246	276966
fam247	277562
fam249	279034
fam251	280604
fam252	281480
fam253	282636
fam254	284483
fam255	285447
fam256	286586
fam257	287528
fam258	288517
fam259	289458
fam260	290000
fam261	290343
fam262	290993
fam263	291620
fam264	292401
fam267	295053
fam269	297678
fam270	298997
fam271	299771
fam272	301311
fam273	302760
fam274	303542
fam275	303911
fam276	306695
fam277	307427
fam290	323640
fam291	324962
fam294	328821
fam295	329822
fam297	331214
fam298	331510
fam300	333943
fam301	334727
fam303	336716
fam308	345109
fam311	346336
fam312	349970
fam313	350744
fam314	351110
fam317	355283
fam319	356463
fam321	359721
fam322	361429
fam324	364137
fam326	368367
fam328	370246
fam329	370870
fam330	371665
fam332	373433
fam335	376906
fam341	380873
fam342	382061
fam346	385565
fam347	385745
fam348	387626
fam354	397178
fam355	398053
fam356	398578
fam357	399619
fam361	403392
fam362	405419
fam363	406330
fam364	406841
fam365	407351
fam367	408653
fam368	409459
fam369	409706
fam370	410062
fam371	411780
fam373	412518
fam374	413958
fam382	423173
fam385	426740
fam407	451257
fam408	451990
fam413	459298
fam414	460258
fam415	461302
fam416	463424
fam417	464380
fam422	467838
fam436	480690
fam439	486017
fam440	487372
fam443	490618
fam444	491386
fam445	492242
fam446	492554
fam465	510877
fam476	523787
fam477	524340
fam480	527214
fam481	527795
fam485	532770
fam486	533254
fam487	534404
fam488	534800
fam498	542448
fam499	542703
fam500	543193
fam501	543728
fam503	544722
fam504	545669
fam507	550922
fam508	552079
fam509	552303
fam511	553686
fam512	555054
fam513	555989
fam515	559114
fam516	559445
fam517	560790
fam518	561621
fam519	561923
fam520	562314
fam521	563144
fam523	564322
fam524	564868
fam525	565089
fam527	566156
fam533	570631
fam536	573842
fam537	574377
fam539	575269
fam540	576901
fam541	577450
fam544	580487
fam546	583590
fam548	585077
fam552	589416
fam553	590052
fam554	591018
fam556	592597
fam559	595601
fam561	596614
fam562	597013
fam563	599247
fam564	599738
fam565	600960
fam566	602542
fam567	602865
fam568	603405
fam569	604103
fam571	606173
fam573	608989
fam574	609529
fam576	611784
fam577	612397
fam582	616374
fam585	619766
fam587	622945
fam588	624092
fam589	625098
fam590	625754
fam592	627324
fam593	627864
fam594	628241
fam595	628462
fam597	631663
fam598	632430
fam599	633233
fam601	634773
fam603	637297
fam605	638694
fam609	642950
fam611	644658
fam612	645956
fam615	647605
fam621	652644
fam624	658670
fam625	659114
fam628	663195
fam629	663714
fam630	664340
fam632	666917
fam633	667426
fam634	668181
fam636	669750
fam638	671938
fam639	673001
fam640	673791
fam641	674895
fam642	675603
fam644	677386
fam648	681645
fam649	682075
fam652	685601
fam653	686687
fam655	690608
fam656	691527
fam657	691954
fam659	693923
fam661	694979
fam662	695591
fam663	696059
fam664	698059
fam670	703163
fam671	704385
fam676	711738
fam678	713864
fam679	715062
fam680	717394
fam681	718220
fam683	719963
fam685	723433
fam689	728094
fam691	731088
fam692	731848
fam696	738065
fam697	738700
fam698	739163
fam700	741555
fam701	742217
fam702	743240
fam703	744035
fam706	749429
fam713	758118
fam714	760616
fam718	764157
fam719	764643
fam720	766691
fam721	767839
fam726	772358
fam727	773704
fam728	775850
fam729	777438
fam734	780499
fam737	782781
fam738	784030
fam739	784698
fam741	786456
fam743	789042
fam744	789466
fam745	790888
fam815	846793
fam816	848582
fam817	848907
fam819	850907
fam820	851318
fam823	855075
fam824	856566
fam825	857989
fam828	860114
fam830	861264
fam831	861953
fam832	863088
fam833	863345
fam834	864489
fam866	906073
fam870	908593
fam873	911683
fam875	913831
fam876	914452
fam877	914817
fam878	916225
fam879	916950
fam880	917811
fam881	918667
fam886	925106
fam887	926049
fam888	926454
fam889	926829
fam891	929555
fam892	930679
fam893	932049
fam895	934643
fam896	935939
fam897	936347
fam904	941758
fam905	942164
fam906	943656
fam907	943945
fam908	944676
fam909	947096
fam910	947722
fam911	948718
fam912	949445
fam913	949959
fam920	959427
fam921	959971
fam922	960932
fam923	961896
fam925	964270
fam927	967208
fam929	968396
fam930	969631
fam933	975024
fam936	978059
fam937	979362
fam938	980535
