fam	loc
fam1	4575
fam2	6303
fam3	7781
fam4	8281
fam5	10589
fam6	13420
fam7	14082
fam9	16241
fam10	17942
fam11	19377
fam12	19592
fam13	21491
fam14	22022
fam15	23305
fam16	23755
fam18	25068
fam20	29373
fam21	30311
fam22	31231
fam35	47948
fam42	54195
fam48	59557
fam49	61037
fam50	61958
fam51	63213
fam53	64023
fam59	71079
fam60	72108
fam61	73767
fam62	75717
fam63	76465
fam64	78238
fam65	79239
fam66	82460
fam67	84447
fam68	85717
fam69	86225
fam70	86830
fam72	89868
fam73	90332
fam74	91377
fam76	93961
fam77	94661
fam79	96807
fam80	97509
fam82	101055
fam83	102518
fam84	104253
fam85	105827
fam86	106379
fam87	107099
fam88	109910
fam89	111237
fam90	112407
fam91	112924
fam92	113957
fam94	115847
fam95	116367
fam96	118591
fam97	121232
fam99	124169
fam100	125977
fam101	127176
fam104	130583
fam108	131920
fam109	132452
fam110	134066
fam111	134793
fam112	135260
fam113	137255
fam114	137494
fam115	138843
fam116	139539
fam117	140278
fam118	140805
fam119	141661
fam120	142722
fam121	143811
fam122	145127
fam124	148225
fam125	149298
fam126	149672
fam127	151850
fam128	152837
fam129	153837
fam130	154657
fam131	156061
fam132	157170
fam133	159696
fam138	166481
fam140	170331
fam141	172161
fam142	173625
fam146	179331
fam147	181216
fam149	183437
fam153	186560
fam154	188115
fam155	188980
fam157	190858
fam158	191831
fam159	194794
fam160	196393
fam161	196650
fam164	202406
fam165	204313
fam168	207647
fam169	208154
fam170	208778
fam173	212072
fam174	214837
fam175	215772
fam176	216509
fam177	218049
fam178	219694
fam179	220771
fam180	221674
fam192	232829
fam193	233667
fam194	235194
fam195	236750
fam196	237090
fam197	239251
fam198	240808
fam199	242407
fam200	243220
fam201	243675
fam202	245934
fam203	247083
fam204	247815
fam206	249160
fam207	250226
fam208	252668
fam209	254922
fam212	257486
fam213	257938
fam214	258332
fam216	261446
fam217	262079
fam218	262965
fam219	263604
fam220	264731
fam221	265516
fam222	267810
fam224	271805
fam225	273308
fam228	278998
fam230	281956
fam231	284094
fam232	286049
fam238	292425
fam240	295040
fam241	296546
fam244	301229
fam245	303165
fam246	304710
fam247	306407
fam248	307124
fam249	307629
fam250	309418
fam251	311022
fam252	312350
fam253	313433
fam254	315049
fam257	318572
fam258	319237
fam259	320609
fam261	322853
fam262	326049
fam263	329090
fam264	329561
fam265	332154
fam267	333892
fam269	335026
fam270	335501
fam273	341934
fam274	343694
fam275	347604
fam276	350082
fam277	350955
fam278	351666
fam279	353664
fam280	354784
fam281	355342
fam282	356017
fam283	356825
fam284	357355
fam285	357824
fam286	358913
fam287	360314
fam288	361718
fam289	362931
fam291	364962
fam292	365999
fam293	367628
fam294	369615
fam296	372019
fam297	372958
fam298	373779
fam299	374876
fam300	376297
fam301	377350
fam302	378784
fam303	382427
fam304	383346
fam305	383625
fam306	383916
fam307	384133
fam308	385813
fam309	387005
fam310	388336
fam311	388828
fam312	389951
fam313	390613
fam314	391322
fam315	392232
fam318	396653
fam319	398286
fam320	407737
fam322	409256
