fam	loc
fam1	2080
fam2	3373
fam3	3570
fam4	4093
fam5	5354
fam6	5995
fam7	9494
fam8	9840
fam9	10201
fam10	11605
fam11	12879
fam12	13427
fam13	15418
fam14	19184
fam15	19977
fam16	27865
fam17	28367
fam18	29658
fam19	30760
fam20	32111
fam21	32862
fam22	33857
fam23	34099
fam24	34965
fam25	38700
fam26	40807
fam27	42076
fam28	42639
fam30	44792
fam31	46773
fam32	48231
fam33	49018
fam34	50099
fam35	50336
fam38	53374
fam45	58817
fam46	60772
fam47	61245
fam48	62157
fam49	62971
fam50	63393
fam51	64721
fam52	65733
fam53	66822
fam54	67685
fam55	69091
fam56	69663
fam63	79010
fam64	79432
fam65	81239
fam66	84264
fam68	85263
fam69	86634
fam70	87633
fam71	88480
fam72	88949
fam73	89621
fam74	90564
fam75	91466
fam76	92382
fam77	93669
fam78	95062
fam79	95978
fam80	96922
fam81	97698
fam82	99646
fam83	100225
fam84	100871
fam85	101893
fam86	102206
fam87	104009
fam88	105387
fam89	106023
fam90	107809
fam91	109205
fam92	109813
fam95	122141
fam97	125684
fam98	126677
fam99	127378
fam100	128177
fam101	129689
fam102	130412
fam103	132685
fam104	132907
fam105	133817
fam106	136174
fam107	136376
fam108	136562
fam109	137244
fam110	138237
fam111	139661
fam112	140787
fam113	141214
fam114	141934
fam115	144367
fam116	144854
fam117	145896
fam118	146845
fam119	148235
fam120	149072
fam121	150349
fam122	152692
fam124	154324
fam125	154863
fam128	158246
fam129	159904
fam130	160527
fam131	161326
fam132	162376
fam134	163394
fam135	163666
fam136	164577
fam137	165149
fam145	170367
fam165	191193
fam166	193224
fam167	193849
fam168	195107
fam169	196041
fam170	196952
fam172	197850
fam173	198340
fam174	200570
fam175	201937
fam176	203774
fam177	204008
fam178	204968
fam179	205408
fam180	206408
fam186	211897
fam187	212384
fam188	213604
fam189	214256
fam190	215123
fam191	216874
fam194	220499
fam196	223076
fam197	224008
fam198	225052
fam199	225978
fam200	226969
fam201	227982
fam202	229291
fam203	230465
fam204	231038
fam205	231827
fam206	234243
fam207	235639
fam208	238208
fam209	239048
fam210	239941
fam211	240332
fam212	240877
fam213	243270
fam214	244753
fam215	245172
fam216	246882
fam217	247884
fam219	249159
fam220	249590
fam221	250993
fam222	252265
fam223	253318
fam224	254883
fam225	256802
fam226	258240
fam227	259149
fam228	260861
fam229	261199
fam230	261526
fam231	262309
fam232	263724
fam233	264816
fam234	265700
fam235	267251
fam237	269046
fam238	270001
fam242	275326
fam243	276195
fam244	277279
fam245	278201
fam246	280032
fam247	280754
fam248	282085
fam249	282647
fam250	285323
fam251	286916
fam252	287754
fam253	288259
fam255	289338
fam256	290218
fam266	300104
fam267	300586
fam268	300862
fam270	302609
fam271	303569
fam272	306517
fam273	307310
fam274	308519
fam275	309138
fam276	309638
fam277	310056
fam280	319183
fam281	319535
fam282	319722
fam283	320204
fam284	320697
fam285	321858
fam286	323549
fam287	324378
fam291	326768
fam292	327476
fam293	328374
fam296	331943
fam297	332641
fam298	333397
fam299	335798
fam300	336631
fam301	337125
fam302	337796
fam303	338948
fam304	339848
fam306	341920
fam307	345248
fam308	345922
fam309	347336
fam311	348344
fam312	350057
fam313	350742
fam314	351283
fam315	352332
fam316	352690
fam317	353461
fam318	353998
fam319	354707
fam320	356066
fam321	356369
fam322	357256
fam323	358239
fam324	358736
fam325	359194
fam326	359922
fam327	360632
fam328	361191
fam329	361903
fam330	362157
fam331	363629
fam332	364982
fam333	365818
fam334	366815
fam335	367455
fam336	367800
fam337	368785
fam338	369327
fam339	369594
fam340	371660
fam341	372034
fam342	372547
fam343	373597
fam344	374262
fam345	376576
fam346	377046
fam350	380640
fam352	382472
fam353	383143
fam354	384447
fam355	385571
fam356	386516
fam357	387949
fam358	388139
fam359	389038
fam360	389819
fam361	390243
fam362	391909
fam363	393986
fam364	394760
fam365	395723
fam366	396669
fam367	397739
fam368	398143
fam369	398772
fam370	399602
fam371	401819
fam372	402426
fam373	403603
fam374	405227
fam375	405765
fam376	406476
fam377	407169
fam378	407712
fam379	408044
fam380	409779
fam381	410867
fam383	413128
fam384	414356
fam385	415917
fam386	416368
fam387	417015
fam388	417344
fam389	418950
fam390	419958
fam391	426779
fam392	427869
fam393	428226
fam394	429926
fam395	431334
fam396	432046
fam397	432649
fam398	433385
fam399	433906
fam400	434907
fam401	435503
fam402	437021
fam403	438463
fam404	439679
fam405	441426
fam406	442189
fam407	444153
fam408	445643
fam409	446553
fam410	447308
fam411	447647
fam412	447961
fam416	451593
fam417	452691
fam418	453902
fam419	457296
fam420	460973
fam421	463398
fam422	464544
fam423	465673
fam424	467103
fam425	469524
fam426	470038
fam427	470791
fam428	471300
fam429	471836
fam430	473357
fam431	474251
fam432	475692
fam433	476122
fam434	476454
fam435	477772
fam436	477941
fam437	478849
fam438	480888
fam439	482667
fam440	484041
fam441	485148
fam442	485836
fam443	486472
fam446	488150
fam447	490349
fam448	491377
fam449	494052
fam450	494952
fam451	495860
fam452	497806
fam453	498341
fam454	499193
fam455	499971
fam456	501167
fam457	503029
fam458	504381
fam459	504913
fam460	507455
fam461	508504
fam462	510293
fam463	510739
fam464	511051
fam465	512013
fam466	513244
fam467	513866
fam468	514806
fam469	515460
fam470	516225
fam472	517357
fam473	519690
fam474	523609
fam475	524702
fam476	526263
fam477	526983
fam478	528850
fam479	531282
fam480	531709
fam481	533146
fam482	534931
fam483	536669
fam484	537268
fam485	538287
fam486	539752
fam488	541507
fam489	542465
fam490	542987
fam493	545335
fam494	546308
fam495	547240
fam496	548114
fam497	548929
fam498	549727
fam499	550461
fam500	551227
fam501	552523
fam502	553051
fam503	554171
fam504	555152
fam505	555784
fam506	556551
fam507	557353
fam508	558246
fam509	559227
fam510	560468
fam511	560991
fam512	563122
fam513	563864
fam514	564399
fam515	565088
fam517	567581
fam519	568879
fam520	569655
fam521	571717
fam522	573129
fam523	574059
fam524	574961
fam525	577347
fam526	577777
fam527	578144
