fam	loc
fam1	5610
fam2	7044
fam4	9767
fam5	11110
fam6	12411
fam8	18563
fam9	20274
fam10	21279
fam11	22128
fam12	23065
fam13	24774
fam14	26167
fam15	28192
fam16	30983
fam17	33784
fam19	34764
fam20	35257
fam21	36063
fam23	36744
fam24	37840
fam25	38347
fam26	38642
fam27	40194
fam28	42006
fam29	43604
fam30	44354
fam31	46755
fam32	47062
fam33	47332
fam34	47800
fam35	48513
fam36	49843
fam37	50382
fam38	51218
fam39	52346
fam40	53872
fam42	58317
fam43	58819
fam44	59766
fam45	60490
fam46	61354
fam47	62184
fam48	63734
fam49	67611
fam50	68686
fam51	70476
fam52	71247
fam53	72488
fam54	73740
fam55	74532
fam56	75379
fam57	76459
fam58	77466
fam59	78421
fam60	79149
fam61	80436
fam62	81685
fam63	83656
fam65	86149
fam66	87753
fam68	90095
fam69	90681
fam70	91654
fam71	92691
fam72	96416
fam73	97808
fam75	99614
fam76	101343
fam77	102186
fam79	102958
fam80	104794
fam81	105234
fam82	105993
fam83	106622
fam84	108255
fam85	109127
fam86	109606
fam87	110455
fam88	111410
fam89	112494
fam90	113453
fam91	114144
fam92	114496
fam93	115372
fam94	115644
fam95	115998
fam96	116678
fam97	117121
fam98	117346
fam99	117590
fam100	117993
fam101	118349
fam102	118893
fam103	119313
fam104	119896
fam105	120290
fam106	120803
fam107	121230
fam108	122628
fam109	123052
fam110	123471
fam111	124622
fam112	125059
fam113	126105
fam114	126939
fam115	128349
fam116	128963
fam117	129586
fam118	130082
fam120	132618
fam121	132718
fam122	132974
fam123	134498
fam124	135669
fam125	137555
fam126	138665
fam127	141302
fam128	141904
fam129	143295
fam130	143821
fam131	144503
fam132	145969
fam133	146827
fam134	147387
fam135	148340
fam136	149301
fam137	150402
fam140	155228
fam142	158414
fam143	158938
fam144	159921
fam145	162302
fam147	163730
fam148	164514
fam149	165386
fam150	166085
fam151	166674
fam152	167302
fam153	168762
fam154	171984
fam155	173052
fam156	173422
fam157	174256
fam158	175106
fam159	175858
fam160	176493
fam162	177792
fam164	179690
fam165	180986
fam166	183639
fam167	185206
fam168	186897
fam170	188192
fam171	189109
fam172	189864
fam173	191559
fam174	196022
fam175	197887
fam176	199486
fam177	200649
fam178	202435
fam179	202672
fam180	203374
fam181	205213
fam182	205906
fam183	207911
fam184	208316
fam185	209367
fam186	209934
fam187	210451
fam188	212577
fam189	212902
fam190	213969
fam191	214496
fam193	215841
fam194	216120
fam195	217243
fam196	218034
fam197	218750
fam198	219583
fam199	220815
fam200	221597
fam201	227083
fam202	230086
fam203	230609
fam204	230987
fam205	232537
fam206	233100
fam207	233480
fam208	233969
fam209	234780
fam210	235617
fam211	236402
fam212	237753
fam213	239007
fam214	240189
fam215	241209
fam216	242391
fam217	243923
fam219	245063
fam220	246870
fam221	247468
fam222	248219
fam223	249343
fam224	250040
fam225	250797
fam226	251882
fam228	253964
fam229	254381
fam230	255621
fam231	256099
fam232	256279
fam233	257241
fam236	262175
fam237	262776
fam238	263933
fam239	265775
fam240	267237
fam241	268288
fam242	268583
fam243	269611
fam244	270804
fam246	273503
fam247	275588
fam249	276605
fam250	276934
fam251	278595
fam252	280532
fam253	280821
fam254	281881
fam255	285217
fam257	286959
fam258	287867
fam259	289259
fam260	290634
fam262	293807
fam263	295726
fam265	300965
fam267	305194
fam275	336149
fam276	336652
fam277	338149
fam279	340959
fam280	341695
fam281	342806
fam282	343926
fam283	344631
fam284	346011
fam288	349181
fam289	350185
fam290	352778
fam291	353975
fam292	354820
fam293	357210
fam294	357461
fam295	357703
fam297	360269
fam298	360857
fam299	361668
fam300	363841
fam301	365558
fam302	366130
fam303	367761
fam304	368752
fam305	369717
fam306	370491
fam307	373087
fam308	374372
fam309	374748
fam310	375953
fam311	378024
fam314	381362
fam315	381696
fam316	383397
fam317	383684
fam319	387615
fam324	391616
fam325	392295
fam326	392879
fam327	394779
fam328	395522
fam329	396529
fam330	397015
fam331	397493
fam332	398178
fam333	399683
fam334	401593
fam335	402216
fam337	403970
fam338	406485
fam339	407387
fam340	408808
fam342	411342
fam343	411778
fam344	412100
fam345	412895
fam346	413541
fam347	414490
fam348	416005
fam349	417239
fam350	418608
fam352	419781
fam353	420851
fam354	421135
fam355	423071
fam357	425279
fam358	425991
fam359	426693
fam360	428004
fam362	431016
fam363	431680
fam364	432434
fam365	433117
fam366	433606
fam367	434144
fam368	435383
fam369	436269
fam371	442018
fam372	443176
fam373	443568
fam374	444528
fam375	445176
fam377	449165
fam378	450304
fam379	451522
fam380	452750
fam381	453089
fam382	453671
fam383	455290
fam384	456102
fam386	458722
fam387	459851
fam388	461391
fam390	463098
fam391	463805
