fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	301313	0.0
fam966	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1124721	0.0
fam393	nan	nan	nan	0.0006666666666666666	0.0	0.0009067647005823629	0.0	0.0	0.0	402926	0.0004976981460744059
fam1571	0.0	0.0	0.0	0.0	0.0	0.0	0.0007894736842105264	0.0	0.0023016915374389343	514877	0.0002403268445085316
fam158	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	172813	0.0
fam2659	nan	nan	nan	0.00031812865497076023	0.0	0.0006385922069988886	0.0	0.0	0.0	260833	0.0002246671292166386
fam1031	0.0	0.0	0.0	0.0	0.0	0.0	0.0022269005847953215	0.0	0.00447014544899222	1064270	0.0006025163919900762
fam875	0.0	0.0	0.0	0.0	0.0	0.0	0.0023064327485380117	0.0	0.004629793500741942	1217564	0.0005917571707045391
fam1483	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	603746	0.0
fam1781	0.26153846153846155	0.4358974358974359	0.21354525962725143	0.0010491228070175437	0.0017	0.0009642964542012499	0.0013684210526315784	0.0	0.001861253859090113	307865	0.0011274799464786626
fam1195	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	903291	0.0
fam1928	nan	nan	nan	0.0010771929824561401	0.0015	0.0009395813819377687	0.0	0.0	0.0	155766	0.0008030411947180611
fam3111	0.0	0.0	0.0	0.0	0.0	0.0	0.002067836257309941	0.0	0.004150849345492776	413752	0.0005713517510250722
fam657	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	678207	0.0
fam2317	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	111004	0.0
fam1988	0.10338680926916222	0.0	0.2831364379260217	0.0006065359477124183	0.0	0.0011794356245673657	0.00036666666666666667	0.0	0.0010370899457402697	96275	0.0005299417064122947
fam265	0.0	0.0	0.0	0.0	0.0	0.0	0.001690058479532164	0.0	0.003392521099681596	272207	0.00047004824907027226
fam1040	0.6444444444444445	0.8	0.5833068777069639	0.0007906432748538011	0.0008	0.0006070975394899673	0.00010526315789473685	0.0	0.0003068922049918579	1053913	0.0005966957136799197
fam443	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	451845	0.0
fam355	nan	nan	nan	0.0005263157894736842	0.0	0.0007158668688808128	0.0	0.0	0.0	369830	0.0003772873042822109
fam1784	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	302358	0.0
fam2375	nan	nan	nan	0.0005368421052631578	0.0	0.0010776243493106246	0.0	0.0	0.0	49089	0.00038533025069132786
fam2090	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	348255	0.006875979574295972
fam2139	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	293127	0.0
fam2305	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	120725	0.0
fam519	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	535761	0.0
