fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4124	0.03772498859071702	0.03734439834024896	0.008358726708598968	0.026004761904761906	0.0094	0.035391073345723195	0.8448761904761907	0.1965	1.2253773968338089	554059	0.07363596535571057
fam158	0.03598204116896506	0.041965678627145085	0.009931729106748794	0.056614285714285714	0.0238	0.0751643550634797	1.3405523809523807	0.641	1.7339053252066694	1039438	0.12458820005989817
fam3479	0.05046426775410032	0.030675792329510423	0.042130675273115085	0.0299047619047619	0.0033	0.04383980009719887	0.983142857142857	0.203	1.4353861141639532	185004	0.07797933988410179
fam3276	0.020171293780009432	0.018549967341606795	0.014323457212436708	0.04375714285714286	0.0284	0.0553649585880436	1.4888571428571427	1.531	1.5500559570763979	387247	0.1339481774264383
fam4095	0.010571626138015005	0.00683526999316473	0.008165035307967246	0.025866666666666666	0.002	0.038978679560978724	1.620852380952381	1.5039	1.7983204838110283	524559	0.11419649827143973
fam98	0.03044560951311164	0.023070469798657716	0.017512969029502706	0.037980952380952386	0.01	0.05414394060146413	0.8277285714285713	0.4401	1.0387331254226662	983941	0.09773194486570283
fam1988	0.041973835408128796	0.042114188807235726	0.02807829732814499	0.06737619047619048	0.0298	0.09160122636297953	1.0508333333333333	0.7076	1.2654951891061432	1749787	0.13893787967862042
fam2943	0.029582739166332413	0.03143939393939394	0.012050544444519582	0.05615714285714286	0.028	0.07118611803828429	1.699547619047619	1.8617	1.6738316652061258	764373	0.13675213675213674
fam2375	0.10403950575042063	0.03672685007240924	0.16113243339460512	0.06424761904761904	0.0557	0.06124807183785361	2.137061904761905	3.0484	1.9057823616502811	1376464	0.16773916773916775
fam3550	0.05101682905446629	0.049194652375265775	0.01635598065252307	0.0652809523809524	0.0432	0.07153513701436798	1.373	1.5022	1.376972121307161	123979	0.15898825654923215
fam3496	0.03645289308257136	0.041797858942065495	0.04060382888960627	0.01620952380952381	0.0036	0.023789091232705898	0.37128571428571433	0.0242	0.5745505177223027	176180	0.05217278168097839
fam3016	0.037344433978275804	0.0392477514309076	0.0059406641807476495	0.04912380952380953	0.0173	0.06637795750571408	1.1974095238095237	0.6085	1.5319674004690091	679906	0.11249891577760429
fam3718	0.09203440536423894	0.041655725554584216	0.08801868037324904	0.06247619047619048	0.057	0.06431399836340085	1.4906809523809526	1.5005	1.593485694534095	76565	0.1363467261904762
fam3675	0.021870780725431766	0.015907486834247243	0.009152809710993678	0.0497952380952381	0.0285	0.06355573838833255	1.752252380952381	1.7193	1.881020463577973	16270	0.13005553098432357
fam124	0.033269771643818856	0.03141246539051452	0.003373048672145314	0.05983809523809521	0.0556	0.06569425194968755	1.8340714285714284	1.389	2.0944941321617168	1009310	0.14135995009357455
fam2544	0.03568769388710126	0.008133755083596927	0.0381826232550029	0.05070952380952381	0.0144	0.07281765814600522	1.0341	1.2869	0.9020170260245065	1202530	0.12264316407962819
fam4094	0.024962266594175	0.009686305873989158	0.01981384744582824	0.05098571428571429	0.0109	0.07431872984276693	1.3055666666666668	1.1253	1.4854280669969253	523049	0.1220053238686779
fam4077	0.07319849111677579	0.052803929594760546	0.029905613815843328	0.07632857142857141	0.0642	0.0843642394498948	0.9212809523809524	1.2931	0.8169612916277861	501127	0.16087516087516088
fam157	0.03333954025187843	0.019511421319796957	0.02878752962347241	0.05007142857142858	0.0246	0.06693004978801265	0.9809285714285714	1.0617	1.0094825818176345	1038425	0.11632811632811632
fam4270	0.021475361716231236	0.020738029887160718	0.005233390383845426	0.04563809523809524	0.0256	0.056416929882121936	1.8703809523809527	1.7065	2.0165658417028944	751838	0.13487916936192795
fam3506	0.1041438726001817	0.10938654841093866	0.02174342207215218	0.04760476190476191	0.0127	0.06656568883219954	0.43349999999999994	0.0992	0.6084584549733625	171425	0.08110355253212397
fam3377	0.05643619488884623	0.07103613711986381	0.0348446127583119	0.07424761904761905	0.0918	0.07806343951920874	1.0005761904761903	1.0617	1.0391045279033757	289534	0.14010989010989014
fam3573	0.054079605875211254	0.05382907880133185	0.022905203151237886	0.07647619047619048	0.0679	0.08767472842578497	1.1510904761904763	1.2614	1.2025564902698955	99478	0.15184059439378586
fam229	0.20313054814109507	0.06647850629613548	0.22969463126922238	0.047680952380952386	0.0143	0.06507330386021173	0.715247619047619	0.2095	1.0123280743481229	1118526	0.09523809523809523
fam1009	0.2580662257215184	0.028460474478369517	0.524056102096242	0.025019047619047618	0.028	0.018830967884681946	0.8285095238095237	1.2626	0.6880470228288055	1939799	0.14263357925329756
fam1979	0.04704187598348178	0.026695842450765866	0.04132402635431822	0.0526	0.0091	0.0753037721182551	0.9289333333333334	0.9288	0.9430187370422173	1761942	0.12133072407045008
fam3113	0.04217629890327738	0.04490057729313662	0.0060942459629269845	0.0713952380952381	0.0534	0.08369153951773187	1.6201523809523808	1.4851	1.7539892122758465	576127	0.14260317460317462
fam2689	0.037113155058925346	0.036531365313653134	0.01996614880717998	0.03895714285714286	0.0182	0.04691329968223116	1.0229190476190477	1.6886	0.8910040514145758	1040599	0.10963547898221264
fam3959	0.031327816808486085	0.03062248995983936	0.007702115841958511	0.05775238095238096	0.0314	0.07248543117362483	1.623528571428571	1.4237	1.7821092824015505	361393	0.14271084777997217
fam287	0.0579832433247861	0.05629661725109096	0.021079762481425072	0.05774285714285715	0.0158	0.07779727973839368	1.063061904761905	0.4861	1.3801898856510701	1175532	0.13393971820938114
fam271	0.016819271458291103	0.005388042689876697	0.01760022178984012	0.029323809523809523	0.0052	0.0436747601161336	1.058790476190476	0.7643	1.2114651864599888	1163937	0.1078611464368141
fam3517	0.03064321977823779	0.025056947608200455	0.012836194003219049	0.03285238095238095	0.0114	0.04416005110253706	0.8957619047619048	0.6658	1.1323604968115186	155934	0.10717191677321865
fam3501	0.02423399606074741	0.0	0.029782173867872103	0.03125714285714286	0.0	0.0494222002499992	0.5656095238095238	0.1585	0.7929029694463984	174228	0.07894736842105264
fam2408	0.03452510912946321	0.04756097560975609	0.018184724731164486	0.03917142857142857	0.0169	0.05166181368474474	1.2051142857142856	1.4957	1.1971519994536692	1346333	0.11237533361427167
fam2690	0.02756846925198498	0.029347028613352897	0.003950212989773605	0.04318095238095238	0.0146	0.05890632288034491	1.4426714285714286	0.6693	1.8812576854816228	1038218	0.1063912938912939
fam2502	0.0481031505437928	0.04608967674661106	0.02643461783929485	0.040433333333333335	0.0221	0.05267576774890432	0.5935190476190476	0.4795	0.6791231122130584	1249416	0.09781576448243115
fam3702	0.020363435448706117	0.018167137666532093	0.005556370912489926	0.03275714285714285	0.0205	0.03945648080545223	1.4030666666666665	1.4563	1.4464251664784535	58494	0.11888728555395221
fam258	0.02864573037013957	0.013580246913580247	0.01867966059500433	0.029233333333333326	0.0078	0.04165087700824024	0.6881476190476189	0.5882	0.7775504103204942	1149922	0.09124928036845134
