fam	loc
fam1	1388
fam2	2764
fam3	3653
fam4	4765
fam5	6712
fam6	9459
fam7	10325
fam8	12224
fam9	13833
fam10	14878
fam11	15204
fam12	16465
fam13	17675
fam14	19657
fam15	20100
fam16	21531
fam17	23102
fam18	24411
fam19	25990
fam20	27835
fam21	29162
fam22	29945
fam25	34794
fam26	36067
fam74	95762
fam75	96448
fam76	97170
fam77	97390
fam78	99086
fam79	99637
fam80	100115
fam81	101606
fam82	102716
fam83	103647
fam84	105149
fam85	105625
fam86	107182
fam87	107644
fam89	109148
fam90	111200
fam91	112621
fam92	114669
fam93	115420
fam94	116640
fam96	120132
fam97	121092
fam98	122399
fam99	123227
fam100	124518
fam101	126226
fam102	127174
fam103	128043
fam104	128855
fam105	129597
fam106	130796
fam107	131864
fam109	133372
fam110	134517
fam111	135471
fam112	136450
fam113	138012
fam114	141011
fam115	142801
fam116	143657
fam117	145630
fam119	148573
fam120	149878
fam121	151348
fam122	152837
fam123	154638
fam124	154960
fam125	155994
fam126	157163
fam127	158923
fam128	159491
fam129	160827
fam130	161908
fam131	163337
fam132	164799
fam133	166096
fam134	166649
fam135	167252
fam136	168034
fam137	171405
fam138	172723
fam139	173513
fam141	175634
fam142	176543
fam143	177814
fam144	179578
fam145	180251
fam146	181685
fam147	183159
fam148	183392
fam149	184605
fam150	185696
fam151	186310
fam152	186955
fam159	194739
fam160	196250
fam161	197578
fam162	198940
fam164	201455
fam165	202327
fam166	203241
fam167	205057
fam168	206646
fam170	208652
fam171	208853
fam172	209622
fam173	210620
fam175	213234
fam176	214603
fam179	226777
fam180	227717
fam181	228557
fam182	229548
fam183	230933
fam184	232311
fam185	233034
fam186	233714
fam190	238242
fam191	239487
fam192	240382
fam193	241227
fam194	242963
fam201	253555
fam202	253979
fam204	255763
fam205	256137
fam206	257394
fam207	258643
fam208	260095
fam209	261014
fam210	261672
fam211	262820
fam212	263596
fam213	265659
fam217	270238
fam218	270591
fam219	271380
fam220	272257
fam221	273289
fam222	273694
fam223	274122
fam224	274563
fam225	275766
fam226	277155
fam227	277931
fam228	278777
fam229	280056
fam230	281223
fam231	282379
fam232	283593
fam233	287275
fam234	288083
fam235	288648
fam236	289279
fam237	289796
fam238	289989
fam239	290833
fam240	292103
fam241	293769
fam242	295626
fam243	297040
fam244	298503
fam245	300077
fam246	301243
fam247	302516
fam248	303368
fam249	305519
fam250	306253
fam251	307945
fam252	309690
fam253	313456
fam254	314369
fam255	315216
fam256	316812
fam257	317812
fam258	319506
fam263	326207
fam264	327894
fam265	328968
fam266	330230
fam267	331004
fam268	332365
fam269	333209
fam272	335221
fam273	336064
fam274	337574
fam275	338615
fam276	340361
fam277	342024
fam278	343643
fam279	345479
fam280	346276
fam287	352997
fam288	353918
fam289	355011
fam290	356290
fam291	356993
fam292	357721
fam293	359893
fam294	360347
fam295	360637
fam296	362016
fam297	362765
fam298	363646
fam299	364717
fam300	365672
fam301	366829
fam302	367805
fam303	369836
fam305	372841
fam306	373798
fam307	374463
fam308	375229
fam309	377325
fam310	378455
fam311	379593
fam312	380976
fam313	381667
fam314	382232
fam315	382619
fam316	383593
fam317	384207
fam318	384910
fam319	385355
fam320	387081
fam321	387491
fam322	387809
fam323	388930
fam324	390516
fam325	391490
fam326	392311
fam327	393083
fam328	393765
fam329	394810
fam330	395586
fam331	397077
fam332	398286
fam333	399021
fam334	399888
fam335	400371
fam336	401530
fam337	402644
fam338	402950
fam339	403905
fam340	404999
fam341	405686
fam342	406838
fam343	408548
fam346	410829
fam347	411394
fam348	412724
fam349	413993
fam350	415416
fam351	416442
fam352	416854
fam353	419290
fam354	421114
fam355	422112
fam356	423997
fam357	425168
fam362	429214
fam363	430773
fam365	432768
fam366	434264
fam367	435110
fam368	435728
fam369	437063
fam370	438948
fam371	439562
fam372	441881
fam373	444464
fam374	446195
fam375	447447
fam376	448105
fam377	448849
fam378	450476
fam379	450877
fam380	451525
