fam	loc
fam1	10443
fam2	11767
fam3	12107
fam4	13247
fam5	15208
fam6	17768
fam7	24055
fam8	25634
fam9	27055
fam10	28103
fam11	28712
fam12	30314
fam14	31824
fam15	32462
fam16	33127
fam17	33737
fam18	35902
fam19	36254
fam20	36865
fam21	37101
fam22	37532
fam23	43129
fam24	44622
fam25	45250
fam26	46269
fam27	47102
fam28	47467
fam29	48290
fam30	48567
fam31	49411
fam32	49716
fam33	52184
fam34	53118
fam35	53890
fam36	54765
fam37	55739
fam38	56226
fam39	56497
fam40	57563
fam41	58466
fam42	58961
fam43	59407
fam44	61099
fam45	62071
fam46	62704
fam47	62999
fam48	66635
fam49	67308
fam50	69140
fam51	70613
fam52	70903
fam53	71270
fam54	71920
fam55	72276
fam56	72849
fam57	75899
fam58	77560
fam59	78099
fam60	80086
fam61	81119
fam62	82001
fam63	83038
fam64	84658
fam65	85251
fam66	86117
fam67	86952
fam68	87315
fam69	87827
fam70	87982
fam71	89004
fam72	90663
fam73	102198
fam74	102917
fam75	103986
fam76	106444
fam77	107916
fam78	108993
fam79	110263
fam80	110960
fam81	111553
fam82	113100
fam83	114210
fam84	115588
fam85	115998
fam86	116738
fam87	117254
fam88	117981
fam89	118264
fam90	118476
fam91	119141
fam92	119734
fam93	120603
fam94	121337
fam96	122440
fam97	126265
fam98	129914
fam99	130276
fam100	130813
fam101	131313
fam102	133600
fam103	134905
fam104	135612
fam105	136279
fam106	136928
fam107	137218
fam108	138077
fam109	138416
fam110	138775
fam111	139438
fam112	139874
fam114	140348
fam115	140760
fam116	141110
fam117	141676
fam118	141895
fam119	142323
fam120	142895
fam121	143289
fam122	143811
fam123	144007
fam124	144481
fam125	145782
fam126	146489
fam127	147235
fam128	147522
fam129	147671
fam130	148058
fam131	148472
fam132	149597
fam133	149995
fam134	150941
fam135	151798
fam136	152580
fam137	153338
fam138	153928
fam139	154342
fam140	154932
fam141	155712
fam142	156924
fam143	157713
fam144	158464
fam145	159346
fam146	159735
fam147	166870
fam148	167974
fam149	169044
fam150	170518
fam151	171857
fam153	174146
fam155	177940
fam156	178614
fam157	179193
fam162	184099
fam164	186524
fam165	187054
fam166	188851
fam167	190228
fam169	191485
fam170	191717
fam171	193045
fam172	194066
fam173	195033
fam174	195803
fam176	197911
fam180	201153
fam181	203199
fam182	204422
fam183	205227
fam184	206364
fam185	207339
fam186	208151
fam187	209232
fam190	210674
fam191	211770
fam192	211932
fam194	213031
fam195	213199
fam197	214482
fam198	214973
fam199	215928
fam200	216423
fam202	217924
fam203	219690
fam204	220463
fam205	221269
fam208	224092
fam210	226777
fam211	227837
fam212	228770
fam213	229761
fam214	230723
fam215	231630
fam216	232179
fam219	232635
fam220	234147
fam221	235170
fam222	236308
fam224	239335
