fam	loc
fam1	9479
fam2	10027
fam3	11173
fam4	12626
fam5	14119
fam6	16211
fam8	16823
fam9	18336
fam10	19309
fam11	20223
fam12	21218
fam13	22217
fam14	23608
fam15	24323
fam16	30561
fam17	31139
fam18	31475
fam19	32544
fam20	33188
fam21	34123
fam22	37336
fam23	38274
fam24	39395
fam25	40953
fam26	42623
fam27	43681
fam29	45290
fam31	47492
fam32	48263
fam33	49768
fam34	51223
fam35	52128
fam36	54171
fam37	55087
fam39	57247
fam40	58171
fam41	59282
fam42	60125
fam43	60834
fam44	61697
fam45	62131
fam46	63117
fam48	65159
fam49	66681
fam50	67526
fam52	69404
fam53	70496
fam54	72964
fam55	73685
fam56	74309
fam57	76950
fam58	77643
fam59	79768
fam60	80063
fam61	80741
fam62	80931
fam63	82684
fam64	83331
fam65	84368
fam66	85210
fam67	85916
fam68	86564
fam69	87148
fam70	88337
fam71	89173
fam72	89624
fam73	89812
fam74	90734
fam75	91214
fam76	91986
fam77	93305
fam78	95072
fam79	96066
fam80	97058
fam81	98507
fam82	99903
fam83	100991
fam84	102091
fam85	103085
fam86	104135
fam87	105080
fam88	106505
fam89	107540
fam90	108868
fam91	109841
fam92	111128
fam93	112685
fam94	112794
fam95	113360
fam96	113632
fam97	114156
fam98	115175
fam99	116073
fam100	116611
fam101	118087
fam102	118782
fam103	119440
fam104	120518
fam105	121670
fam106	122826
fam107	123698
fam108	125061
fam109	125477
fam110	125872
fam111	126685
fam112	128039
fam113	128690
fam118	133787
fam119	134551
fam120	135501
fam121	137699
fam122	138705
fam123	139283
fam124	140179
fam125	140873
fam130	145016
fam131	147344
fam132	148646
fam133	150850
fam134	151988
fam135	153311
fam136	154600
fam137	156119
fam138	157179
fam139	158883
fam140	160383
fam141	161048
fam142	161965
fam143	162950
fam144	163449
fam145	164479
fam146	166558
fam147	167019
fam148	167454
fam149	168172
fam150	169135
fam151	170174
fam152	171525
fam153	172634
fam154	173386
fam155	174518
fam156	175359
fam157	176068
fam158	178580
fam159	178989
fam160	179549
fam161	180335
fam162	181694
fam163	182244
fam164	184137
fam165	184992
fam167	188276
fam168	189491
fam169	190403
fam170	191410
fam171	192410
fam174	198028
fam175	199495
fam176	201185
fam177	202204
fam178	203210
fam179	205332
fam180	207043
fam181	208352
fam182	209304
fam183	210181
fam184	210624
fam185	211388
fam186	213261
fam189	217284
fam190	218201
fam191	220436
fam192	221197
fam195	222338
fam196	223064
fam197	224617
fam198	226037
fam199	227589
fam200	228396
fam201	229465
fam202	230803
fam203	231399
fam204	232138
fam205	232589
fam206	233760
fam207	234318
fam209	238194
fam210	238928
fam211	239434
fam212	239822
fam213	240408
fam214	242151
fam215	242822
fam216	243870
fam217	244989
fam218	246531
fam219	247915
fam220	249544
fam221	250898
fam222	251513
fam224	252205
fam225	253199
fam226	254476
fam227	255240
fam228	255955
fam229	257533
fam230	258905
fam231	259747
fam232	260822
fam233	261559
fam234	262017
fam235	263909
fam236	264586
fam237	265936
fam238	266753
fam239	267853
fam240	268522
fam241	269866
fam243	271558
fam244	272833
fam245	275296
fam246	277265
fam247	278562
fam248	280094
fam249	282554
fam250	283084
fam251	284632
fam252	286297
fam253	286849
fam254	287755
fam255	288539
fam256	291397
fam257	294398
fam258	296517
fam259	297000
fam260	297735
fam261	298471
fam262	299290
fam263	299641
fam264	299923
fam265	302238
fam266	302489
fam267	305491
fam268	306078
fam269	307139
fam270	308482
fam271	310162
fam272	310559
fam273	312279
fam274	313204
fam275	313629
fam276	314309
fam277	316510
fam278	317407
fam279	320048
fam282	321961
fam283	322361
fam284	324339
fam285	325482
fam286	326886
fam287	327773
fam288	328495
fam289	329246
fam290	330243
fam291	330498
fam292	331382
fam293	332269
fam294	333096
fam295	334169
fam296	335531
fam297	337189
fam298	337875
fam299	340418
fam300	341920
fam301	342768
fam302	343043
fam303	343635
fam304	344229
fam305	345536
fam306	347621
fam307	348316
fam308	349034
fam309	349948
fam310	350215
fam311	351232
fam312	352024
fam313	353078
fam314	354580
fam315	355632
fam316	356808
fam317	359075
fam318	359753
fam319	361558
fam320	361770
fam321	362449
fam322	362723
fam323	363763
fam324	364661
fam325	365047
fam326	365406
fam327	365702
fam328	366203
fam329	366770
fam330	368979
fam331	370231
fam333	370605
fam334	371147
fam335	371618
fam336	372308
fam337	372970
fam338	373586
fam339	373885
fam340	374724
fam341	375019
fam342	375365
fam343	376084
fam345	376698
fam346	376952
fam347	377489
fam348	377814
fam349	378368
fam350	378688
fam351	379114
fam352	379660
fam353	380023
fam354	380538
fam355	380724
fam356	381162
fam357	382501
fam358	382648
fam359	383151
fam360	383557
fam361	384209
fam362	385224
fam363	385651
fam364	386137
fam365	386562
fam366	386879
fam367	387237
fam368	388768
fam369	390097
fam370	391113
fam371	391647
fam373	393334
fam374	393915
fam375	394477
fam376	395299
fam377	395553
fam378	396086
fam379	402853
fam380	404724
fam381	406066
fam382	408119
fam383	408999
fam384	409200
fam385	412880
fam386	415119
fam391	416911
fam392	417938
fam393	419692
fam394	420054
fam395	421302
fam396	422531
fam397	423333
fam398	424709
fam401	427292
fam402	427922
fam403	428626
fam404	429360
fam405	431456
fam407	432718
fam408	433816
fam409	435372
fam410	436759
fam411	438238
fam412	439628
fam413	440693
fam414	441385
fam415	442257
fam416	445086
fam417	445587
fam418	446304
fam419	447737
fam420	448154
fam421	448749
fam422	449365
fam424	451880
fam425	452271
fam426	453435
fam427	454962
fam428	456202
fam429	457739
fam430	459842
fam431	460375
fam432	460725
fam433	461570
fam434	464549
fam435	465316
fam436	466712
fam437	467232
fam438	467572
fam440	470075
fam441	470620
fam442	471366
fam443	473029
fam444	474815
fam446	477942
fam447	478250
fam448	480302
fam449	482040
fam450	482343
fam451	482868
fam452	485264
fam453	487579
fam454	488007
fam455	488600
fam456	489647
fam457	492571
fam458	493434
fam459	494487
fam460	495717
fam461	496632
fam462	497706
fam463	498660
fam464	500435
fam465	500758
fam466	502183
fam467	503732
fam468	504546
fam469	506669
fam470	507264
fam471	508494
fam472	509101
fam473	509291
fam474	509540
fam475	510186
fam476	510782
fam477	511312
fam478	511794
fam479	512200
fam480	512946
fam481	514729
fam482	516009
fam483	519504
fam484	520483
fam485	521626
fam486	522283
fam489	525682
fam490	526133
fam491	527496
fam492	529413
fam493	530356
fam494	530765
fam495	532119
fam496	533535
fam497	534542
fam498	534802
fam499	536203
fam500	536783
fam501	539285
fam502	540098
fam503	540653
fam504	541331
fam505	542519
fam506	544079
fam507	546013
fam508	546436
fam509	546880
fam510	547811
fam511	548378
fam512	548698
fam513	548930
fam514	549421
fam515	550072
fam516	550275
fam517	550894
fam518	552596
fam519	553331
fam520	555247
fam521	556247
fam522	556908
fam523	557778
fam524	558235
fam525	559187
fam526	559656
fam527	561897
fam528	562862
fam529	563409
fam530	563943
fam531	565338
fam533	567696
fam534	569654
fam535	573427
fam536	573765
fam537	575608
fam538	576187
fam539	577545
fam540	579297
fam541	580333
fam542	581309
fam543	582985
fam544	585820
fam545	587085
fam546	587960
fam547	589420
fam548	589864
fam549	590135
fam550	590510
fam551	590889
fam552	591195
fam553	591994
fam554	592649
fam556	594925
fam557	595662
fam558	597686
fam559	598006
fam560	598283
fam561	598755
fam562	601232
fam563	602410
fam564	603043
fam565	604715
fam566	606194
fam567	607275
fam568	608140
fam569	608964
fam570	609325
fam571	609894
fam572	610798
fam573	612067
fam574	613151
fam575	613833
fam577	615343
fam578	616122
fam579	616552
fam580	617517
fam581	618427
fam582	618832
fam583	619239
fam584	619845
fam585	620418
fam586	621712
fam587	623164
fam588	623630
fam589	625091
fam590	625422
fam591	626666
fam592	627316
fam597	635073
fam598	637754
fam599	638712
fam600	640336
fam601	642038
fam602	642920
fam603	643969
fam604	644289
fam605	645161
fam607	647232
fam608	648052
fam609	649309
fam610	649629
fam611	650717
fam612	651589
fam613	651915
fam614	652682
fam615	653187
fam618	655022
fam619	655244
fam620	657556
fam622	661162
fam623	662021
fam624	663496
fam625	664664
fam626	665935
fam627	666975
fam628	667923
fam629	668113
fam630	668733
fam632	670151
fam633	670626
fam634	672713
fam635	674698
fam636	675026
fam637	676287
fam638	676941
fam639	677408
fam640	678353
fam641	679606
fam642	680316
fam643	681868
fam644	684725
fam645	686220
fam646	686636
fam647	687704
fam648	688544
fam649	689527
fam650	690715
fam651	691372
fam652	693010
fam653	693856
fam654	694281
fam655	695133
fam656	695708
fam657	697643
fam658	700148
fam659	700526
fam660	701139
