fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.39655498650775706	0.4351851851851852	0.35838629398241095	0.00472	0.0047	0.0025744125543509925	0.02509	0.0108	0.023265444332743787	1568342	0.010620915032679739
fam966	0.22289004575866386	0.023437500000000003	0.37866837474736315	0.0021400000000000004	0.0027	0.0013690872872099866	0.07755	0.11025	0.04981544439227658	1093668	0.023588342440801456
fam1571	0.08323699698209872	0.10152284263959392	0.04274657631399175	0.006049999999999999	0.00745	0.0038079522055824177	0.07503	0.0782	0.03145632050955738	1806184	0.026590038314176244
fam158	0.04572038485406676	0.04113924050632911	0.008564298356750115	0.004550000000000001	0.0019	0.004060603403436489	0.1081	0.0343	0.10178656099898453	169223	0.03282828282828283
fam1720	0.42464790331499763	0.4829931972789116	0.16294015541912715	0.01583	0.0095	0.011452776955830406	0.03513	0.0348	0.01740293366073663	1639101	0.029733959311424103
fam1499	0.17053132906645174	0.17304747320061256	0.042298729465824664	0.010779999999999998	0.0105	0.004237876826902831	0.06599000000000001	0.068	0.027190529601315235	1732875	0.027574171029668415
fam2659	0.012028466971283689	0.007696536558548653	0.011936366388914847	0.00056	0.0	0.0006858571279792898	0.09084999999999999	0.0549	0.08052098173768127	580579	0.024225352112676055
fam1031	0.016052951026151577	0.0	0.018853607935766584	0.00064	0.0	0.0007838367176906171	0.04737999999999999	0.0425	0.034017107460805655	1180323	0.01415525114155251
fam680	0.08426613625623339	0.04868913857677902	0.08313803621047941	0.00078	0.0013	0.0006368673331236263	0.015439999999999999	0.0118	0.01107539615544293	762338	0.0052968036529680365
fam875	0.12790061235024205	0.0762902019446522	0.07715057820636839	0.004079999999999999	0.0026	0.0036212704952820083	0.057440000000000005	0.012	0.06317292458007624	999096	0.01818181818181818
fam1483	0.0	0.0	0.0	0.0	0.0	0.0	0.06659	0.0615	0.03491215977277831	1707028	0.01616161616161616
fam1781	0.007379132266738911	0.009554140127388535	0.0052922454446317855	0.00035999999999999997	0.0006	0.0002939387691339813	0.044289999999999996	0.05075	0.018602335874830345	1571451	0.013156732891832229
fam425	0.0	0.0	0.0	0.0	0.0	0.0	0.02559	0.0172	0.020562657902129286	481549	0.008018867924528302
fam1195	0.0	0.0	0.0	0.0	0.0	0.0	0.0811	0.044	0.0743638218490685	1391994	0.023859649122807015
fam1928	0.14846830129998134	0.1171875	0.1279471180586729	0.0014699999999999997	0.0015	0.0011234322409473566	0.0116	0.0129	0.005643757613505385	1406112	0.0046184738955823285
fam98	0.2746107056861832	0.23498694516971277	0.18857747533091834	0.007649999999999999	0.00785	0.003387698333677306	0.03664	0.0382	0.019436367973466647	99713	0.016591251885369532
fam657	0.0	0.0	0.0	0.0	0.0	0.0	0.09279	0.10105	0.04608818612182519	736564	0.028915662650602414
fam1496	0.16534525574421827	0.09047619047619047	0.16208516057037115	0.00352	0.0019	0.0029150643217603278	0.03561	0.021	0.030734360250377755	1727756	0.013123359580052493
fam2317	0.0	0.0	0.0	0.0	0.0	0.0	0.0132	0.0	0.016166632302368977	988787	0.003968253968253968
fam1988	0.050477510714707484	0.037333333333333336	0.05656504938076397	0.0011300000000000001	0.0014	0.0008602906485601247	0.029220000000000003	0.026	0.01574406554864403	1338223	0.008847736625514403
fam265	0.2130927868745302	0.21505376344086025	0.19698462674732672	0.0008	0.0	0.0009797958971132714	0.00372	0.0046	0.0027902688042552456	300512	0.0016736401673640166
