fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	0.05405405405405405	0.0	0.06620242548062644	0.0004285714285714287	0.0	0.0004948716593053935	0.0039642857142857145	0.0074	0.0036905491544246493	582382	0.0011820330969267141
fam393	0.0	0.0	0.0	0.0	0.0	0.0	0.006924999999999999	0.0112	0.006121019114493926	456315	0.0014809751651856916
fam158	0.0	0.0	0.0	0.0	0.0	0.0	0.007367857142857143	0.007	0.005712083280919779	174288	0.0018243661100803955
fam680	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	786629	0.0
fam875	0.21073271413828687	0.24561403508771928	0.05515221099777669	0.0016499999999999993	0.0021	0.001522333734763833	0.0042678571428571436	0.0	0.007392179920672376	692740	0.0021645021645021645
fam1483	0.0	0.0	0.0	0.0	0.0	0.0	0.006067857142857143	0.0081	0.005120271586786093	12052	0.0010683760683760685
fam425	0.0	0.0	0.0	0.0	0.0	0.0	0.0063214285714285725	0.01	0.005218124809796355	496577	0.0014158092047539285
fam1195	0.9097222222222222	1.0	0.2527815933777957	0.0031107142857142857	0.0028	0.0017399382759401645	0.002057142857142857	0.0	0.002375383964665889	328252	0.002861721611721612
fam98	0.04279279279279279	0.0	0.07411929131488439	0.00047500000000000005	0.0	0.0008227241335952169	0.006342857142857144	0.0111	0.005493075418289868	106628	0.0019841269841269845
fam657	0.15438596491228074	0.1358024691358025	0.06679661328165447	0.0009035714285714287	0.0011	0.0007233267108383632	0.00635	0.0081	0.005005746697546731	752942	0.0020295650066642435
fam1496	nan	nan	nan	0.0020000000000000005	0.0035	0.0017320508075688774	0.0	0.0	0.0	396	0.001548586914440573
fam265	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	287675	0.0
fam443	0.0	0.0	0.0	0.0	0.0	0.0	0.00842142857142857	0.0102	0.006784402128772877	514492	0.0017608329505435615
fam519	0.0	0.0	0.0	0.0	0.0	0.0	0.00145	0.0	0.002511473670974872	589025	0.0003401360544217687
fam1093	0.11655011655011654	0.10101010101010101	0.04148049048963214	0.0004285714285714287	0.0	0.0004948716593053935	0.0038928571428571432	0.0	0.004330533501563435	445975	0.0011984659635666348
fam814	0.04861111111111111	0.0	0.10869774890623977	0.000175	0.0	0.00030310889132455346	0.0010285714285714286	0.0	0.0011876919823329442	755538	0.00038337368845843425
fam321	0.19722303918455006	0.19662921348314608	0.08598920202096817	0.0020785714285714283	0.0023	0.001209886990843461	0.011967857142857141	0.01315	0.00635992214526857	369373	0.004120879120879121
fam594	0.0	0.0	0.0	0.0	0.0	0.0	0.0014750000000000002	0.0	0.0025547749411640947	670046	0.00031210986267166043
fam346	0.17518173650249125	0.1320754716981132	0.1726951235582858	0.0006	0.0007	0.0005099019513592786	0.003860714285714286	0.00475	0.0022399520539693775	391983	0.0014100234688469982
fam643	0.13607288234153905	0.13432835820895522	0.1262502042576801	0.00048214285714285715	0.0009	0.00044885057283543034	0.003932142857142857	0.0033	0.0031231913133190924	736994	0.0012030075187969922
fam62	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	59858	0.0
fam922	0.27723706632852946	0.2435897435897436	0.09166355651870624	0.0015499999999999997	0.0019	0.0009178779875342909	0.006039285714285713	0.0077	0.003907624350065458	636690	0.0024412991002852754
fam1358	0.0	0.0	0.0	0.0	0.0	0.0	0.002575	0.0	0.0029199590261313113	141471	0.0006337135614702154
fam651	0.0	0.0	0.0	0.0	0.0	0.0	0.0033821428571428574	0.0051	0.0026507483540944986	746949	0.0008082131935342946
fam870	0.16185087505276652	0.26229508196721313	0.12149026437021798	0.0006857142857142858	0.0	0.0007917946548886297	0.007278571428571428	0.0061	0.00814718869754895	697211	0.0020844913841022786
fam910	0.37235791731204576	0.4727272727272727	0.11589654873474103	0.0021357142857142855	0.0026	0.0017096813165270398	0.002739285714285714	0.0	0.00474464655357671	658305	0.002232142857142857
fam150	0.0	0.0	0.0	0.0	0.0	0.0	0.010714285714285716	0.0156	0.009477632099004563	165730	0.002217553688141924
fam508	0.14285714285714285	0.0	0.16495721976846453	0.0007535714285714286	0.0011	0.0006769058506263961	0.0008107142857142858	0.0	0.0014044163214950306	580421	0.0007796569509415858
fam155	0.03576880874004103	0.0	0.04531254839230873	0.0003	0.0	0.0005196152422706631	0.005239285714285713	0.0034	0.005207847052128869	171485	0.0015341188021600392
fam179	nan	nan	nan	0.0012857142857142859	0.0	0.0014846149779161807	0.0	0.0	0.0	193533	0.017524401064773737
fam885	0.0	0.0	0.0	0.0	0.0	0.0	0.008000000000000002	0.0086	0.005619989832222627	680850	0.0015025427646786875
fam119	0.0	0.0	0.0	0.0	0.0	0.0	0.0013928571428571425	0.0026	0.0012966794326356875	129961	0.0003434065934065934
fam1001	0.06474550108916925	0.07518796992481204	0.04551195243109509	0.0005714285714285716	0.001	0.0004948716593053935	0.010592857142857143	0.0088	0.008839599561527845	542746	0.0024337321135350686
fam43	0.06991024767098387	0.049079754601227	0.08660057928318982	0.0006857142857142858	0.0	0.0007917946548886297	0.0094	0.0106	0.005532436817791698	44781	0.002640692640692641
fam1364	0.12507534659433395	0.08547008547008547	0.13110238896489101	0.00075	0.001	0.0006338656910463875	0.005853571428571428	0.0039	0.005160598120294165	136876	0.0017985611510791366
fam174	0.11255411255411255	0.12987012987012986	0.08029106922507101	0.0006785714285714287	0.001	0.0006008072800450258	0.004125	0.0077	0.003840166012036459	188971	0.0014056224899598392
fam1446	0.1582326764144946	0.15702479338842976	0.15212214573430577	0.00047500000000000005	0.0	0.0008227241335952167	0.0030035714285714292	0.0	0.003411166761310474	51514	0.001072961373390558
fam1143	0.30069859269008814	0.2619047619047619	0.18365278713440114	0.0010607142857142857	0.0011	0.0007484933846994077	0.003289285714285714	0.0042	0.00302682522098111	384065	0.0015350877192982456
fam933	0.05424908807848035	0.07339449541284404	0.026830199695150304	0.0008571428571428572	0.0008	0.0006020373573058708	0.012560714285714286	0.0191	0.010156747907732301	622059	0.0034541188738269036
fam839	0.2878995433789955	0.2054794520547945	0.23747491661861622	0.000817857142857143	0.0007	0.0006464483027770012	0.004171428571428572	0.0024	0.003631888247853719	730646	0.0015832932499599164
fam317	0.0	0.0	0.0	0.0	0.0	0.0	0.010275000000000003	0.0093	0.009407543515711209	365582	0.0023809523809523807
fam568	nan	nan	nan	0.002671428571428572	0.0031	0.0020062148337562638	0.0	0.0	0.0	645798	0.002164502164502165
fam645	0.4028624827857565	0.36231884057971014	0.21661752150062685	0.0014	0.0008	0.0011961246948852303	0.00355	0.0034	0.0026911893281595777	739725	0.0018352168453588333
fam732	0.10256410256410257	0.15384615384615385	0.0725237724293895	0.0007750000000000002	0.001	0.0005979876969589639	0.0027857142857142863	0.0	0.003216665785485058	844739	0.0012278453982489856
fam989	0.0	0.0	0.0	0.0	0.0	0.0	0.009339285714285715	0.0124	0.00678203189557916	553279	0.0019920318725099597
fam1082	0.0	0.0	0.0	0.0	0.0	0.0	0.0032142857142857147	0.006	0.002992337152236202	460442	0.0007664009809932557
fam1197	0.1492063492063492	0.0	0.18808016817268094	0.001089285714285714	0.0012	0.0009748037479096885	0.0011249999999999997	0.0	0.0019485571585149868	325784	0.0010912698412698413
fam531	0.2088607594936709	0.27848101265822783	0.12058581571682056	0.0011785714285714286	0.0022	0.001097190289153274	0.004514285714285715	0.0079	0.003909486108512609	601987	0.001887711606381683
fam507	0.024713682941531045	0.0	0.06053591287167591	0.001025	0.0	0.0017753520777580992	0.005925	0.0	0.010262401034845596	579217	0.0022522522522522522
fam1250	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	264681	0.0
fam157	0.18627450980392157	0.15151515151515152	0.15812367938427874	0.0009964285714285715	0.0	0.0011245577361971308	0.005185714285714286	0.0066	0.0047844774521149025	173052	0.0019305019305019303
fam1334	0.0212883707201889	0.0	0.03140980336335693	0.00015	0.0	0.00025980762113533157	0.00625	0.0077	0.003616578888555157	165844	0.0015514184397163126
fam646	0.0	0.0	0.0	0.0	0.0	0.0	0.0032142857142857147	0.006	0.002992337152236202	740642	0.000678978815860945
fam504	0.0	0.0	0.0	0.0	0.0	0.0	0.006071428571428573	0.0077	0.0048054178607407835	576604	0.0011959121548162643
fam363	0.0	0.0	0.0	0.0	0.0	0.0	0.0029857142857142856	0.0038	0.00275469913909646	423570	0.0006372378635152358
fam233	0.0	0.0	0.0	0.0	0.0	0.0	0.005971428571428572	0.0088	0.004109819003909778	249964	0.0013503909026297087
fam565	0.0493892395014686	0.06916329284750336	0.0396931671769945	0.00037499999999999995	0.0007	0.0003491060010942235	0.006496428571428571	0.0068	0.003635586231255966	641959	0.0017187726154291505
fam1369	0.10177404295051354	0.0	0.12879875507105595	0.00032500000000000004	0.0	0.000562916512459885	0.0030607142857142855	0.0045	0.0027194194871219806	133334	0.0009239516702203269
fam231	0.0	0.0	0.0	0.0	0.0	0.0	0.006639285714285714	0.0103	0.004683964993595116	247477	0.0015306122448979589
fam1318	0.35849847560975606	0.2963414634146341	0.18400652763861156	0.0014642857142857138	0.0012	0.0007187361356249325	0.0023321428571428577	0.004	0.0020199104597249163	185990	0.0016365036580670007
fam530	0.7099567099567101	0.7878787878787878	0.1908693306064814	0.0011535714285714287	0.0009	0.0008930214134599232	0.000825	0.0	0.0014289419162443237	600770	0.0010755842378018968
fam1145	0.6662404092071611	0.5294117647058824	0.2638674838219322	0.0016035714285714286	0.0018	0.000957855544901192	0.0023678571428571425	0.0034	0.0013120468119448689	377787	0.0017533160542765667
fam229	0.06717154885360942	0.09855265663683108	0.05280216209313187	0.0010714285714285717	0.002	0.0009974457174120673	0.013435714285714287	0.0176	0.007210568349191854	245280	0.004143066918397315
fam488	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	557866	0.0
fam116	0.0	0.0	0.0	0.0	0.0	0.0	0.010875	0.0203	0.010124074031732481	125961	0.0025879917184265006
fam1009	0.0	0.0	0.0	0.0	0.0	0.0	0.001925	0.0	0.0033341978045700895	532343	0.0003753753753753753
fam222	0.0	0.0	0.0	0.0	0.0	0.0	0.0033392857142857148	0.0055	0.002686120315052692	238934	0.0008062986150635551
fam1331	0.04761904761904762	0.0	0.11664236870396087	0.00020000000000000004	0.0	0.00034641016151377546	0.0006	0.0	0.0010392304845413263	170570	0.00028636884306987396
fam942	0.11968781373080206	0.08264462809917356	0.09319313311416344	0.0021964285714285714	0.002	0.0014646994189099352	0.018503571428571428	0.0242	0.011522849416419073	610170	0.00556077694235589
fam1221	0.060859522940418985	0.04657534246575343	0.056009282480650235	0.001639285714285714	0.0017	0.0014709907462354085	0.02426428571428571	0.02435	0.016901906365126694	296315	0.006467941507311586
fam1393	0.0	0.0	0.0	0.0	0.0	0.0	0.008639285714285716	0.009000000000000001	0.005948849785925864	104247	0.002345765892563922
fam498	0.0	0.0	0.0	0.0	0.0	0.0	0.00365	0.0	0.0063219854476264025	569108	0.0007062146892655366
fam74	0.3295411307039214	0.37209302325581395	0.20586576392740433	0.0011714285714285713	0.0016	0.0006567545436555769	0.004214285714285714	0.0043	0.002793962148955479	74806	0.001786484322060001
fam983	0.0	0.0	0.0	0.0	0.0	0.0	0.0018428571428571426	0.0	0.0021279481350131918	561354	0.0003957261574990107
fam868	0.708080937838114	0.7916666666666667	0.45465741964351003	0.005275	0.0065	0.0033793094180404877	0.010296428571428573	0.0096	0.00790377315603382	698767	0.006172839506172839
fam835	nan	nan	nan	0.003642857142857143	0.0	0.004206409104095845	0.0	0.0	0.0	736752	0.002801120448179272
fam93	0.0	0.0	0.0	0.0	0.0	0.0	0.0025464285714285714	0.0031	0.002038466185089932	101901	0.0005509245951901887
fam176	0.0	0.0	0.0	0.0	0.0	0.0	0.001925	0.0	0.002288421945358854	190957	0.0005094380094380094
fam1242	0.5266106442577029	0.568627450980392	0.10291973709173013	0.0009714285714285712	0.0	0.0011612361464211757	0.001275	0.0	0.0022083647796503187	270894	0.0010351966873706005
fam817	nan	nan	nan	0.0009428571428571426	0.0014	0.0008256722678384873	0.0	0.0	0.0	752760	0.0007320080135614116
fam1203	nan	nan	nan	0.001075	0.0	0.001861954618136543	0.0	0.0	0.0	317138	0.0008333333333333334
fam1200	0.0	0.0	0.0	0.0	0.0	0.0	0.009896428571428573	0.015	0.006361125357696272	321980	0.002264659076998409
fam287	0.1779260912743561	0.047999999999999994	0.23841432701287205	0.001157142857142857	0.0012	0.001038346409107347	0.017446428571428568	0.0207	0.012139236329912578	306011	0.004722550177095631
fam225	0.11805555555555554	0.14166666666666666	0.052796049468745034	0.0009107142857142856	0.0017	0.000847828859800257	0.0051428571428571435	0.0	0.005938459911664722	241868	0.0018351214003387915
fam1371	0.04336734693877551	0.0	0.10622787149825004	0.000425	0.0	0.0007361215932167728	0.0014	0.0	0.0024248711305964277	132077	0.0006459948320413437
fam271	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	292583	0.0
fam374	0.04589371980676329	0.0	0.10262147722825123	0.00047500000000000005	0.0	0.0008227241335952167	0.0029571428571428574	0.0	0.0034146144492072147	437787	0.000992063492063492
fam1362	0.0	0.0	0.0	0.0	0.0	0.0	0.010971428571428571	0.0192	0.009501535858663555	138909	0.0020050125313283208
fam518	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	588287	0.0
fam1215	nan	nan	nan	0.002057142857142857	0.0024	0.001056756686223253	0.0	0.0	0.0	302742	0.0016659725114535615
fam1193	0.0	0.0	0.0	0.0	0.0	0.0	0.0018428571428571426	0.0	0.0021279481350131918	329992	0.000350140056022409
fam964	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	585943	0.0
fam258	0.3169547057097258	0.3474260679079956	0.22486318302483146	0.0014857142857142857	0.00145	0.001104120298089416	0.005314285714285715	0.0055	0.002960901682851054	278019	0.0024674399674399676
fam846	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	724726	0.0
fam1091	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	448018	0.0
fam1002	0.1924342105263158	0.25	0.19244123918787834	0.0007464285714285714	0.0008	0.0006826849005722829	0.0035428571428571427	0.0032	0.0027499907235465065	541173	0.0013227513227513227
fam1419	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	87472	0.0
fam1172	nan	nan	nan	0.002496428571428571	0.0023	0.0017706903703796162	0.0	0.0	0.0	351770	0.0019623233908948193
fam581	0.0	0.0	0.0	0.0	0.0	0.0	0.005557142857142857	0.0	0.0063120875294621695	656348	0.001501501501501502
fam833	0.0	0.0	0.0	0.0	0.0	0.0	0.009739285714285714	0.0078	0.006471108278103433	738328	0.002032520325203252
fam794	0.2522522522522523	0.25225225225225223	5.551115123125783e-17	0.0014999999999999996	0.0028	0.0013964240043768939	0.005946428571428572	0.0111	0.005535823731636974	777705	0.0023651844843897824
fam162	0.0	0.0	0.0	0.0	0.0	0.0	0.008642857142857145	0.008	0.005904019730623521	178258	0.002429543245869776
fam948	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	605064	0.0
