fam	loc
fam3	996461
fam4	995815
fam5	994955
fam6	994434
fam8	991898
fam11	990160
fam12	989771
fam15	987718
fam16	985513
fam17	984454
fam18	980959
fam19	980338
fam20	979193
fam21	978405
fam22	977946
fam23	976817
fam24	976328
fam25	973782
fam26	972400
fam27	971531
fam28	970760
fam29	969376
fam30	968708
fam31	967843
fam32	966846
fam33	965984
fam34	964865
fam35	962079
fam36	961223
fam37	960727
fam38	959482
fam39	957901
fam40	956254
fam41	955472
fam42	954679
fam43	954018
fam44	953554
fam45	952051
fam46	950602
fam47	948505
fam48	947618
fam49	946821
fam55	936354
fam57	933702
fam58	933143
fam59	932423
fam62	929354
fam63	928878
fam67	926514
fam70	923902
fam71	922979
fam73	921578
fam75	917867
fam76	917366
fam77	916970
fam78	914198
fam79	912188
fam81	910588
fam82	908969
fam83	906904
fam84	904226
fam85	903298
fam86	901360
fam87	899796
fam88	898846
fam89	897899
fam90	897339
fam91	896358
fam93	895677
fam96	891993
fam97	891147
fam98	890404
fam99	890200
fam100	889722
fam101	886960
fam102	886393
fam103	885191
fam104	883939
fam105	882614
fam106	881784
fam107	880862
fam108	879394
fam109	878275
fam110	877034
fam111	875718
fam112	874633
fam113	873281
fam114	871797
fam115	870044
fam116	869663
fam117	868725
fam118	868265
fam120	866647
fam121	865974
fam122	864247
fam123	862981
fam124	860578
fam125	859487
fam126	858084
fam127	857468
fam131	852784
fam133	850527
fam134	849356
fam135	847770
fam137	846276
fam138	845311
fam139	843262
fam140	841749
fam141	840956
fam143	837584
fam144	834546
fam145	833875
fam146	832964
fam147	830351
fam148	829011
fam149	828019
fam150	827205
fam151	826825
fam152	825966
fam153	825300
fam155	823329
fam156	822806
fam157	822469
fam158	821034
fam159	820599
fam160	819316
fam161	818326
fam162	817540
fam163	815542
fam164	814365
fam165	813042
fam166	811426
fam167	810586
fam168	809983
fam170	806011
fam171	804845
fam173	802480
fam174	801464
fam175	801013
fam176	800398
fam177	797582
fam178	796606
fam179	796014
fam182	791148
fam184	788603
fam185	786595
fam188	784345
fam191	781227
fam192	779522
fam193	778671
fam194	777301
fam195	776368
fam196	773904
fam197	773759
fam198	772861
fam199	771510
fam200	770088
fam201	768606
fam202	767917
fam203	767431
fam204	766350
fam205	765706
fam206	765119
fam207	764737
fam208	762710
fam209	760711
fam210	759382
fam211	757911
fam212	756931
fam214	756174
fam215	755120
fam216	754250
fam217	752923
fam218	751549
fam219	750639
fam220	748845
fam221	748010
fam223	746127
fam224	745844
fam225	745099
fam226	743201
fam227	742428
fam228	741967
fam229	741585
fam230	740450
fam232	737405
fam233	736032
fam234	735207
fam237	732547
fam238	732083
fam239	731420
fam240	730680
fam241	730118
fam242	727595
fam243	726106
fam244	725070
fam245	724019
fam246	722444
fam248	720075
fam250	716885
fam251	716580
fam252	715611
fam253	714496
fam254	713439
fam257	711068
fam260	708891
fam261	707324
fam262	706053
fam263	704790
fam264	703644
fam265	702288
fam271	697345
fam272	695648
fam273	694385
fam274	692782
fam275	692037
fam276	690617
fam277	689887
fam278	687752
fam279	686400
fam280	685123
fam281	683563
fam317	644649
fam318	642999
fam319	641815
fam320	640715
fam321	640558
fam322	638937
fam324	635502
fam326	633559
fam328	631779
fam329	631302
fam330	630134
fam331	629575
fam332	627682
fam333	626740
fam334	625678
fam335	624219
fam336	623595
fam338	622423
fam339	621948
fam340	621361
fam341	619983
fam342	619443
fam343	618403
fam345	615316
fam346	613979
fam348	610702
fam349	608155
fam350	607584
fam353	605073
fam354	603192
fam355	602075
fam356	601372
fam357	600584
fam358	600262
fam359	599897
fam360	599578
fam361	598860
fam362	597461
fam364	595327
fam366	594153
fam367	592926
fam368	591821
fam369	590812
fam370	589296
fam371	588237
fam372	587400
fam373	586951
fam374	583172
fam375	581442
fam376	580591
fam377	578976
fam378	578703
fam379	577817
fam380	577087
fam381	574955
fam383	573538
fam384	572632
fam385	571590
fam386	569973
fam387	569065
fam388	567572
fam389	566603
fam390	565772
fam391	564819
fam392	564227
fam393	563958
fam394	563639
fam395	563237
fam396	562314
fam397	561740
fam398	560921
fam399	560067
fam400	559407
fam401	558927
fam402	558611
fam403	557198
fam404	555766
fam405	554903
fam406	554157
fam407	553646
fam409	551515
fam410	550654
fam411	548121
fam412	547539
fam413	546024
fam414	545724
fam415	544637
fam416	543381
fam417	541911
fam419	540493
fam420	538635
fam421	537294
fam422	536816
fam423	535297
fam424	534159
fam425	532740
fam426	531582
fam427	530521
fam428	527189
fam429	525621
fam430	524429
fam431	522314
fam432	521587
fam433	521181
fam434	520814
fam435	519896
fam436	518619
fam437	517993
fam440	516646
fam442	515780
fam443	514710
fam446	513129
fam447	511348
