fam	loc
fam1	1329
fam2	2569
fam3	2817
fam4	3892
fam5	4296
fam6	6283
fam7	8835
fam8	9891
fam9	10474
fam10	11574
fam11	12654
fam12	14094
fam13	14577
fam14	14863
fam15	16562
fam17	17929
fam18	19604
fam19	21442
fam20	22816
fam21	24284
fam22	24921
fam23	25556
fam24	26641
fam25	27922
fam26	30419
fam27	30758
fam28	31361
fam29	31665
fam30	31953
fam31	32737
fam32	34000
fam33	34799
fam34	35355
fam35	35645
fam37	38839
fam38	40153
fam39	41064
fam40	42620
fam41	43340
fam42	44347
fam43	45202
fam44	45509
fam45	46425
fam46	46726
fam47	48869
fam48	49640
fam49	50854
fam50	51976
fam51	52954
fam52	53451
fam53	54477
fam54	55400
fam55	56445
fam56	56865
fam57	57787
fam58	58829
fam59	60178
fam60	60456
fam61	61031
fam62	62103
fam63	65747
fam64	67754
fam65	68927
fam66	69736
fam67	70835
fam68	71570
fam69	71860
fam70	72917
fam71	73631
fam72	74396
fam73	75970
fam74	76980
fam75	77639
fam76	78365
fam77	79185
fam78	79699
fam79	83397
fam80	84320
fam81	85034
fam87	89083
fam88	89436
fam89	89755
fam90	90228
fam91	91199
fam92	91762
fam93	93255
fam94	94099
fam95	95124
fam96	95861
fam98	97501
fam99	98318
fam100	98930
fam101	101360
fam102	102830
fam103	104850
fam104	105270
fam105	105883
fam107	108196
fam108	109605
fam109	110242
fam110	111274
fam111	112203
fam112	112984
fam113	113759
fam114	115016
fam115	115366
fam116	116309
fam117	117169
fam118	117698
fam119	118784
fam120	119509
fam121	121010
fam122	121704
fam123	122578
fam124	122825
fam125	123321
fam126	123887
fam127	124375
fam128	124838
fam129	125910
fam130	126368
fam131	128340
fam132	129681
fam133	130393
fam134	131508
fam135	132833
fam137	135204
fam138	136285
fam139	137277
fam140	137663
fam141	138809
fam142	139559
fam143	139921
fam144	141060
fam145	142048
fam146	142617
fam147	143670
fam148	144878
fam149	145621
fam150	147095
fam152	160836
fam154	163042
fam155	164480
fam156	165672
fam157	166631
fam159	167952
fam160	169001
fam161	171565
fam164	174750
fam174	182720
fam175	183144
fam183	187191
fam184	187672
fam185	188105
fam187	191298
fam188	193026
fam189	193899
fam190	194450
fam191	196442
fam193	197819
fam196	200545
fam197	201849
fam198	203216
fam199	204378
fam200	205810
fam201	206332
fam202	206833
fam203	207234
fam204	207754
fam205	208123
fam206	210064
fam207	210827
fam208	212424
fam209	213557
fam211	215281
fam212	216245
fam213	218311
fam214	219399
fam215	221017
fam216	221531
fam217	222596
fam218	222844
fam220	226294
fam221	227432
fam222	229227
fam223	230073
fam224	230650
fam225	231367
fam227	235110
fam229	236590
fam230	238123
fam231	238857
fam232	240586
fam233	240930
fam234	241871
fam235	242707
fam236	243886
fam244	254851
fam245	255728
fam246	256888
fam247	258118
fam250	259219
fam251	259446
fam252	261454
fam253	261981
fam254	262217
fam255	266060
fam256	269126
fam257	270981
fam258	271771
fam259	272776
fam260	274164
fam261	275173
fam263	276788
fam264	277991
fam265	279332
fam266	280162
fam267	281728
fam268	283115
fam269	284122
fam270	285241
fam271	286186
fam272	286694
fam273	287086
fam274	287693
fam275	290114
fam276	290424
fam277	290973
fam382	379591
fam383	380856
fam384	381342
fam385	382494
fam386	383570
fam387	383955
fam390	385188
fam391	385891
fam405	402830
fam409	404767
fam410	405469
fam412	407645
fam413	408543
fam414	409248
fam416	411198
fam417	412133
fam418	413042
fam419	414360
fam420	414936
fam421	415217
fam422	416427
fam423	418512
fam424	419278
fam425	419649
fam426	420227
fam433	423716
fam436	425939
fam437	428221
fam438	429448
fam439	430280
fam440	431943
fam450	442728
fam451	443404
fam452	443778
fam453	444159
fam454	444479
fam455	444746
fam456	445235
fam457	445702
fam458	446261
fam459	447136
fam460	449686
fam461	450096
fam462	451718
fam463	452736
fam464	453808
fam465	454775
fam466	455081
fam467	455975
fam468	457239
fam469	459868
fam470	460569
fam471	461242
fam472	463497
fam473	464484
fam474	465242
fam475	465841
fam476	467374
fam477	468176
fam478	468972
fam479	470374
fam480	471245
fam481	472535
fam482	474450
fam483	475844
fam484	476948
fam485	477763
fam486	478590
fam489	479422
fam490	479798
fam492	480704
fam494	483104
fam495	485010
fam496	486054
fam498	489077
fam499	490287
fam500	491510
fam501	495094
fam502	498731
fam509	506997
fam510	507701
fam511	511293
fam512	512557
fam523	527957
fam524	529715
fam525	530425
fam526	531055
fam527	531800
fam528	533396
fam529	534215
fam530	534715
fam531	536730
fam532	537911
fam533	539295
fam534	540678
fam535	541125
fam536	542257
fam537	542937
fam538	545080
fam539	546076
fam540	546850
fam541	547445
fam543	549233
fam544	549595
fam545	550812
fam546	551801
fam547	552169
fam548	552556
fam549	554218
fam550	554859
fam551	556139
fam552	557991
fam553	560395
fam554	563186
fam555	564520
fam556	565216
fam557	565823
fam558	566513
fam559	567678
fam560	568608
fam561	569044
fam562	571670
fam563	572483
fam564	572798
fam565	574049
fam566	574447
fam567	576107
fam568	576997
fam569	577865
fam570	578750
fam571	579357
fam572	580846
fam574	583241
fam575	585391
fam576	586034
fam577	587755
fam578	588195
fam579	588536
fam580	588965
fam581	589609
fam582	591131
fam583	592472
fam584	593747
fam585	594438
fam586	594730
fam587	595404
fam588	595923
fam589	598437
fam590	600161
fam591	600970
fam592	601855
fam593	602776
fam594	603884
fam595	604900
fam596	607397
fam597	608509
fam599	609082
fam600	610184
fam601	611076
fam602	611488
fam603	613377
fam604	614546
fam605	615680
fam606	616454
fam607	618285
fam608	619447
fam609	620341
fam610	621730
fam611	622148
fam612	622415
fam613	622856
fam615	625240
fam616	627390
fam617	627829
fam618	628170
fam619	628871
fam620	629288
fam621	629792
fam622	630710
fam624	631814
fam625	632199
fam626	633711
fam627	635798
fam628	636520
fam629	637461
fam630	640105
fam631	641064
fam632	641948
fam633	643096
fam634	644028
fam635	645104
fam636	646675
fam637	647691
fam638	648704
fam639	649237
fam640	649660
fam641	649965
fam642	650560
fam643	650786
fam644	651576
fam645	652578
fam646	655015
fam647	656097
fam648	657227
fam649	658312
fam655	665832
fam673	691709
fam674	691984
fam675	692599
fam676	692945
fam677	695208
fam695	717310
fam700	720901
fam701	721137
fam702	721894
fam703	722280
fam708	729054
fam709	729800
fam710	730620
fam711	732256
fam717	739399
fam718	740029
fam719	741307
fam720	742581
fam721	744316
fam722	745092
fam723	745983
fam724	747544
fam725	748683
fam727	749762
fam728	750709
fam729	751278
fam730	752001
fam731	752276
fam732	753825
fam733	754407
fam734	755175
fam735	755978
fam736	757778
fam737	758083
fam738	759346
fam739	761509
fam740	763120
fam741	764144
fam744	768169
fam745	768883
fam747	770062
fam748	770856
fam749	772151
fam750	773824
fam751	775449
fam752	777363
fam753	778386
fam756	781579
fam757	783633
fam758	784891
fam759	785471
fam760	785887
fam762	788539
fam765	791024
fam766	791348
fam779	805638
fam780	806259
fam782	808764
fam783	809256
fam785	810417
fam786	810914
fam787	811474
fam788	813147
fam789	814169
fam790	814917
fam791	816224
fam792	816737
fam794	818943
fam795	819519
fam796	820497
fam797	820984
fam798	821806
fam799	822747
fam800	823216
fam801	823604
fam802	824013
fam803	824956
fam804	825238
fam805	826080
fam806	827204
fam807	829384
fam808	830559
fam809	831379
fam810	832052
fam811	832825
fam812	833398
fam813	833943
fam814	834734
fam815	835816
fam816	836401
fam817	837007
fam818	838166
fam819	838857
fam820	839242
fam821	841417
fam822	841637
fam823	842272
fam824	843516
fam825	844207
fam826	845103
fam827	848415
fam828	849432
fam829	850262
fam830	851316
fam832	854156
fam833	854877
fam834	855261
fam835	855721
fam836	857903
fam837	858757
fam838	860264
fam839	861574
fam841	864344
fam842	864582
fam843	865470
fam844	866953
fam845	868019
fam846	869274
fam847	870085
fam848	871053
fam849	871580
fam850	873763
fam851	875372
fam852	876763
fam853	877712
fam854	879105
fam855	880224
fam856	881352
fam858	883772
fam859	885047
fam860	885904
fam861	886233
fam862	887553
fam863	888641
fam864	889729
fam865	890474
fam866	891478
fam867	892148
fam868	892508
fam869	893380
fam870	894348
fam871	895122
fam872	895565
fam873	896377
fam874	896656
fam875	897224
fam876	900210
fam877	900911
fam878	901336
fam879	902189
fam881	903256
fam882	903710
fam883	904639
fam884	904879
fam885	905714
fam886	906655
fam887	908234
fam888	909268
fam889	910116
fam891	911414
fam892	912135
fam893	913163
fam894	914458
fam895	915598
fam896	918887
fam897	919934
fam901	923202
fam903	927240
fam904	928812
fam905	929693
fam906	929985
fam907	930231
fam908	931460
fam909	932651
fam912	937797
fam913	938283
fam914	939221
fam915	940021
fam916	941461
fam920	944340
fam921	945066
fam923	946415
fam924	947173
fam925	947664
fam926	948328
fam927	949577
fam928	950959
fam929	952802
fam930	954355
fam931	955822
fam932	956460
fam933	957695
fam934	958405
fam935	958979
fam936	959222
fam938	961332
fam939	963371
fam940	963851
fam941	964393
fam942	965409
fam944	966381
fam946	967479
fam947	968213
fam949	969556
fam950	970784
fam951	972073
fam952	972654
fam953	974435
fam954	975501
fam955	975991
fam956	977199
fam958	978861
fam959	979612
fam961	980453
fam962	981469
fam963	982470
fam964	983417
fam965	984366
fam966	985117
fam967	985380
fam968	986676
fam969	987396
fam970	987770
fam971	991399
fam976	995201
fam977	996312
fam978	997229
fam979	998098
fam980	999125
fam981	1000415
fam982	1001701
fam983	1002230
fam984	1003740
fam985	1004038
fam986	1004284
fam987	1004817
fam988	1005581
fam989	1006000
fam990	1006631
fam991	1007452
fam992	1008680
fam993	1009345
fam994	1009975
fam995	1010448
fam996	1010939
fam997	1011387
fam998	1012506
fam999	1013579
