fam	loc
fam16	2211915
fam17	2211380
fam18	2210377
fam19	2207501
fam20	2207019
fam21	2205400
fam22	2202338
fam23	2201376
fam24	2200766
fam25	2199607
fam26	2198074
fam27	2197647
fam28	2196060
fam29	2193639
fam80	2137269
fam81	2136484
fam82	2135421
fam83	2134392
fam84	2133368
fam88	2129635
fam89	2129023
fam90	2128266
fam93	2124510
fam94	2123587
fam95	2122065
fam96	2120758
fam97	2119214
fam98	2118256
fam99	2117825
fam100	2117484
fam101	2115353
fam102	2114845
fam103	2113216
fam104	2112466
fam105	2111556
fam106	2111054
fam112	2104950
fam113	2103655
fam114	2102429
fam115	2101617
fam116	2100390
fam117	2099818
fam118	2098255
fam119	2096929
fam120	2095330
fam121	2093122
fam122	2092572
fam146	2065273
fam148	2064101
fam149	2063238
fam151	2061967
fam152	2060623
fam153	2059565
fam154	2058501
fam155	2057911
fam156	2057174
fam157	2056416
fam158	2055823
fam166	2045356
fam167	2043022
fam170	2040487
fam171	2039409
fam172	2037790
fam179	2028563
fam182	2024700
fam183	2023194
fam184	2021563
fam185	2020198
fam186	2017629
fam187	2015543
fam188	2014934
fam189	2014202
fam190	2013239
fam191	2011750
fam192	2010376
fam193	2007573
fam194	2006878
fam195	2005645
fam196	2004074
fam205	1994598
fam206	1994128
fam207	1993402
fam208	1992713
fam209	1991875
fam210	1991085
fam211	1989448
fam212	1986326
fam213	1983248
fam214	1981831
fam215	1980299
fam216	1979580
fam217	1977900
fam218	1976762
fam219	1976291
fam220	1975504
fam221	1974314
fam222	1973440
fam223	1972563
fam224	1971529
fam225	1969910
fam226	1968636
fam227	1967674
fam228	1966348
fam229	1964815
fam230	1963438
fam231	1962290
fam232	1961274
fam233	1960266
fam234	1958628
fam235	1957481
fam236	1956532
fam237	1955762
fam240	1951895
fam241	1949984
fam242	1948638
fam243	1947438
fam244	1946951
fam245	1946567
fam246	1945110
fam247	1942925
fam248	1942257
fam249	1941686
fam250	1940913
fam251	1939231
fam252	1938262
fam253	1937649
fam254	1936937
fam255	1936006
fam256	1934856
fam257	1933931
fam258	1931467
fam259	1929530
fam260	1928878
fam261	1927836
fam262	1927072
fam263	1926347
fam264	1924802
fam265	1923948
fam266	1922490
fam267	1920613
fam268	1919614
fam269	1918523
fam270	1917156
fam271	1916503
fam272	1915796
fam273	1914735
fam274	1913365
fam275	1912321
fam276	1911801
fam277	1911109
fam278	1910097
fam279	1909256
fam280	1908054
fam281	1906518
fam282	1905400
fam283	1904088
fam284	1902775
fam285	1902091
fam286	1900886
fam287	1898793
fam288	1897020
fam290	1895994
fam291	1894771
fam292	1893818
fam293	1892725
fam294	1891443
fam295	1890412
fam296	1889484
fam297	1887471
fam298	1886516
fam299	1885385
fam300	1883872
fam302	1882875
fam303	1881125
fam304	1880029
fam305	1879280
fam306	1878284
fam307	1876531
fam308	1874655
fam309	1873551
fam310	1872526
fam311	1870935
fam312	1870587
fam313	1869060
fam314	1868344
fam315	1866438
fam316	1866016
fam317	1865361
fam318	1864522
fam319	1863465
fam320	1863059
fam321	1861279
fam345	1834131
fam346	1833437
fam347	1831758
fam348	1830231
fam349	1828832
fam350	1827020
fam351	1826293
fam352	1825229
fam353	1824104
fam354	1822883
fam355	1819451
fam356	1818784
fam357	1815893
fam358	1813129
fam359	1812215
fam360	1809585
fam361	1808351
fam362	1808097
fam365	1804287
fam367	1801037
fam368	1799788
fam369	1798613
fam370	1797787
fam371	1796483
fam372	1795225
fam373	1794429
fam374	1793028
fam375	1792389
fam376	1790671
fam378	1789067
fam379	1787660
fam380	1786999
fam381	1785884
fam382	1785437
fam383	1783905
fam385	1781808
fam386	1780846
fam387	1779989
fam388	1779216
fam389	1777549
fam390	1776176
fam391	1775617
fam392	1774512
fam393	1773935
fam394	1773392
fam395	1772348
fam396	1769779
fam397	1769086
fam398	1768487
fam399	1767510
fam400	1765851
fam401	1764315
fam402	1762310
fam403	1762011
fam404	1761460
fam405	1760907
fam406	1759915
fam407	1757192
fam408	1755822
fam409	1755325
fam410	1753514
fam411	1752753
fam412	1752291
fam414	1750713
fam415	1748608
fam416	1747921
fam417	1746035
fam418	1745299
fam419	1744793
fam420	1744251
fam421	1742712
fam422	1740367
fam423	1739367
fam424	1738544
fam425	1737156
fam426	1736863
fam427	1736340
fam428	1735085
fam429	1734526
fam430	1733916
fam431	1733215
fam432	1732376
fam433	1731948
fam434	1731034
fam436	1729994
fam437	1729429
fam438	1728614
fam439	1727890
fam440	1727207
fam441	1726358
fam442	1725318
fam443	1724457
fam444	1722803
fam445	1722281
fam446	1721395
fam447	1720137
fam448	1719150
fam449	1718296
fam450	1717456
fam451	1716443
fam452	1715244
fam453	1714161
fam454	1712946
fam455	1711524
fam456	1709377
fam457	1709044
fam458	1708464
fam459	1707655
fam460	1706831
fam461	1705742
fam462	1704772
fam463	1704053
fam464	1703548
fam465	1701194
fam466	1699884
fam467	1699440
fam468	1697704
fam469	1696880
fam470	1695726
fam477	1688594
fam478	1686516
fam479	1685761
fam480	1684751
fam481	1683262
fam482	1681604
fam483	1680435
fam484	1679954
fam485	1678676
fam486	1677127
fam488	1673937
fam489	1673540
fam490	1672061
fam491	1670205
fam492	1668850
fam493	1667956
fam494	1666908
fam495	1665820
fam496	1665605
fam497	1663588
fam498	1662497
fam499	1661502
fam500	1660371
fam501	1659732
fam502	1657960
fam503	1657408
fam504	1657127
fam505	1656264
fam506	1654883
fam507	1654161
fam508	1653708
fam509	1652800
fam510	1651639
fam511	1650774
fam512	1649941
fam513	1648925
fam514	1647800
fam515	1647131
fam516	1646618
fam517	1646206
fam519	1645119
fam520	1644220
fam521	1643053
fam522	1642522
fam523	1641852
fam524	1640949
fam525	1639567
fam526	1638152
fam527	1636923
fam528	1635541
fam529	1634712
fam530	1633298
fam531	1632999
fam532	1632594
fam533	1631536
fam534	1630736
fam535	1630047
fam536	1629590
fam537	1629242
fam538	1626803
fam539	1624519
fam540	1623483
fam541	1622820
fam542	1620797
fam543	1617302
fam545	1616365
fam546	1615234
fam547	1615003
fam550	1613720
fam551	1611642
fam552	1610763
fam553	1609930
fam554	1608787
fam555	1607892
fam556	1607169
fam557	1606695
fam558	1605549
fam559	1603856
fam560	1603487
fam561	1602735
fam562	1601374
fam563	1600652
fam564	1599039
fam565	1598136
fam566	1596833
fam567	1596195
fam572	1587929
fam573	1586384
fam574	1584125
fam575	1583563
fam576	1582661
fam578	1579651
fam579	1578116
fam580	1576581
fam581	1575474
fam582	1575133
fam583	1574921
fam586	1570447
fam588	1569153
fam589	1568522
fam590	1567213
fam591	1566000
fam592	1564996
fam593	1563552
fam594	1562707
fam595	1560212
fam596	1555265
fam599	1551463
fam600	1550647
fam601	1549249
fam602	1548942
fam603	1548605
fam604	1546753
fam605	1546222
fam606	1545825
fam607	1545419
fam608	1544178
fam609	1543510
fam610	1542532
fam611	1541608
fam612	1540573
fam613	1539944
fam614	1538542
fam615	1537412
fam616	1536498
fam617	1535062
fam618	1531716
fam619	1530407
fam620	1529911
fam621	1528602
fam623	1527086
fam624	1526689
fam625	1525286
fam626	1524595
fam627	1523145
fam628	1518695
fam629	1516904
fam630	1516362
fam631	1515707
fam632	1514649
fam634	1513795
fam635	1513064
fam636	1512315
fam638	1511211
fam639	1510534
fam641	1509333
fam642	1507518
fam643	1506853
fam644	1505900
fam645	1505250
fam646	1504642
fam648	1502598
fam649	1501873
fam650	1500409
fam651	1499980
fam652	1498979
fam654	1497220
fam655	1496591
fam656	1495823
fam657	1493109
fam658	1491660
