fam	loc
fam1	937623
fam2	937991
fam3	938866
fam4	939418
fam6	940414
fam7	941633
fam8	942463
fam9	943963
fam10	944607
fam11	945397
fam12	945878
fam13	946491
fam14	947394
fam15	948064
fam17	949293
fam18	949604
fam19	950623
fam20	951020
fam21	952045
fam22	953090
fam23	954783
fam24	955271
fam25	956007
fam26	956369
fam27	957450
fam28	958337
fam30	959013
fam32	959953
fam33	960517
fam34	961922
fam35	962846
fam36	963384
fam37	963962
fam38	964376
fam39	965173
fam40	965779
fam41	966470
fam42	966843
fam43	968539
fam44	969674
fam45	970059
fam46	971065
fam47	972144
fam48	974794
fam49	975939
fam50	977432
fam51	977909
fam52	978456
fam53	980097
fam54	980555
fam55	982155
fam56	982967
fam57	983951
fam58	984426
fam59	984963
fam60	985417
fam61	987248
fam62	988308
fam63	989008
fam64	989528
fam65	990522
fam66	991527
fam67	992014
fam68	994395
fam69	995623
fam70	996718
fam71	997113
fam72	997599
fam73	998872
fam74	999411
fam75	999959
fam76	1000341
fam77	1001147
fam78	1001503
fam79	1001946
fam80	1002359
fam81	1002566
fam82	1003253
fam83	1004104
fam84	1004783
fam86	1006850
fam87	1007836
fam88	1008510
fam89	1011063
fam90	1012161
fam91	1012355
fam92	1013098
fam93	1013305
fam94	1013923
fam95	1014616
fam96	1015080
fam97	1015661
fam98	1016805
fam99	1017340
fam100	1018208
fam101	1018599
fam102	1018976
fam103	1019367
fam104	1020015
fam105	1021219
fam107	1022432
fam109	1023541
fam112	1026994
fam113	1027767
fam114	1029089
fam115	1029807
fam116	1031130
fam117	1033681
fam118	1035987
fam119	1037005
fam120	1037716
fam121	1038239
fam122	1039370
fam123	1039998
fam124	1040664
fam125	1041611
fam126	1042416
fam127	1043657
fam128	1045080
fam129	1045990
fam130	1046797
fam131	1047704
fam132	1048362
fam135	1051182
fam136	1052110
fam137	1052489
fam138	1054310
fam139	1055388
fam140	1056777
fam141	1058483
fam142	1059895
fam143	1060316
fam144	1061627
fam145	1063019
fam146	1063301
fam147	1064793
fam148	1065692
fam149	1066302
fam150	1066812
fam151	1067256
fam152	1068155
fam153	1068636
fam155	1073274
fam157	1074522
fam158	1074857
fam159	1075553
fam160	1075828
fam161	1076097
fam162	1076653
fam163	1077664
fam164	1078191
fam165	1078482
fam166	1079497
fam167	1080432
fam168	1081273
fam169	1082156
fam170	1083066
fam171	1084088
fam172	1085084
fam173	1086142
fam174	1086921
fam175	1088074
fam176	1088832
fam177	1090046
fam178	1090686
fam179	1090952
fam180	1091403
fam181	1093058
fam182	1093858
fam183	1094101
fam184	1094837
fam185	1095949
fam186	1096637
fam187	1098574
fam188	1099275
fam189	1100081
fam190	1101030
fam191	1101395
fam193	1102599
fam194	1103634
fam195	1105004
fam196	1106116
fam197	1107027
fam198	1108897
fam199	1109826
fam200	1110574
fam201	1111704
fam202	1112795
fam203	1113986
fam204	1114614
fam205	1115314
fam206	1115896
fam207	1116434
fam208	1117420
fam209	1118254
fam210	1118787
fam211	1119269
fam214	1123528
fam215	1124474
fam216	1126026
fam217	1126406
fam221	1130020
fam222	1130579
fam223	1131511
fam224	1132632
fam225	1133114
fam226	1134168
fam227	1134968
fam228	1135667
fam229	1137225
fam230	1137794
fam231	1139071
fam232	1140168
fam233	1140419
fam234	1141286
fam235	1142556
fam236	1143680
fam237	1144584
fam238	1145097
fam239	1146308
fam240	1146983
fam241	1147337
fam242	1147935
fam243	1149179
fam244	1150079
fam245	1150434
fam246	1150752
fam247	1151742
fam248	1153370
fam249	1155067
fam250	1155570
fam251	1157147
fam252	1159390
fam253	1159750
fam254	1160718
fam255	1161369
fam256	1162558
fam257	1163258
fam258	1164086
fam259	1164826
fam260	1165514
fam261	1166474
fam262	1167658
fam263	1168331
fam264	1169510
fam266	1170827
fam267	1171554
fam268	1172094
fam269	1173523
fam270	1175797
fam271	1176688
fam272	1177046
fam273	1177553
fam274	1177987
fam275	1178589
fam276	1179198
fam277	1179797
fam278	1181168
fam279	1182346
fam280	1183188
fam281	1184408
fam282	1184910
fam283	1186528
fam284	1188021
fam285	1189230
fam286	1189822
fam287	1190702
fam288	1192201
fam289	1192725
fam290	1193400
fam292	1194731
fam293	1195426
fam294	979567
fam295	977355
fam296	976475
fam297	976191
fam298	975329
fam299	974560
fam300	974185
fam301	973271
fam302	972879
fam303	972355
fam304	970382
fam305	969194
fam306	968907
fam307	968043
fam308	967706
fam309	964812
fam311	963058
fam312	962663
fam313	961685
fam314	960714
fam315	960025
fam316	959355
fam317	958214
fam318	956849
fam319	956093
fam320	954923
fam321	954541
fam322	953615
fam323	952600
fam324	952283
fam325	951840
fam326	951303
fam327	949962
fam328	949634
fam329	949086
fam330	948749
fam331	947904
fam332	946848
fam333	945946
fam334	944915
fam335	944213
fam336	943699
fam337	943219
fam338	942623
fam339	941526
fam340	940882
fam341	940460
fam342	940102
fam343	939113
fam344	938905
fam345	938450
fam346	937969
fam347	936977
fam348	935787
fam349	934272
fam350	933834
fam351	931983
fam352	930712
fam353	929692
fam354	928976
fam355	928220
fam356	926578
fam357	924659
fam359	922548
fam360	919970
fam361	917150
fam362	916080
fam363	914797
fam364	914450
fam365	913931
fam366	912977
fam367	912229
