fam	loc
fam1	586492
fam2	587357
fam3	587970
fam4	588552
fam5	590077
fam6	590660
fam7	592132
fam8	592836
fam9	599011
fam10	600334
fam11	602867
fam12	603704
fam13	605835
fam14	606726
fam15	607851
fam16	609959
fam17	610444
fam18	611295
fam19	612321
fam22	615701
fam23	616833
fam24	617593
fam25	618172
fam26	618455
fam27	619961
fam28	620551
fam29	621086
fam30	621611
fam31	623420
fam32	623802
fam33	624434
fam34	625723
fam35	627024
fam36	628680
fam37	629375
fam38	631136
fam39	633003
fam50	643332
fam51	644675
fam52	645069
fam53	645635
fam54	645876
fam55	646630
fam56	647111
fam57	648770
fam58	649748
fam59	650510
fam60	651793
fam61	654400
fam62	655619
fam63	656196
fam64	658294
fam65	660314
fam66	660873
fam67	661761
fam68	662597
fam69	663270
fam70	664481
fam71	664802
fam72	666075
fam73	666899
fam74	667598
fam75	669981
fam76	670587
fam77	671229
fam78	672722
fam79	673267
fam80	675773
fam81	676632
fam82	678557
fam83	681139
fam84	682947
fam85	684032
fam86	684383
fam87	685361
fam88	686222
fam89	687846
fam90	689230
fam91	689939
fam92	691204
fam93	692918
fam94	693435
fam96	694544
fam97	695717
fam106	703490
fam118	710831
fam119	711656
fam125	719718
fam127	720787
fam128	721320
fam129	722929
fam130	723675
fam134	732080
fam135	732809
fam136	733560
fam137	734258
fam138	735447
fam139	736774
fam140	737754
fam141	739255
fam142	740025
fam143	742594
fam144	742897
fam145	743942
fam146	746032
fam147	747365
fam149	749546
fam150	750193
fam151	750931
fam152	752601
fam153	753819
fam154	757751
fam155	759015
fam156	759596
fam157	761258
fam158	762031
fam160	763597
fam161	764388
fam162	766465
fam163	766891
fam164	768639
fam165	769581
fam176	790214
fam177	791665
fam178	792352
fam180	794590
fam181	795434
fam182	796363
fam183	797734
fam184	798316
fam185	799865
fam186	801240
fam187	802169
fam188	804332
fam189	805143
fam190	806000
fam191	806858
fam192	808650
fam193	811667
fam194	812769
fam195	815494
fam196	816040
fam197	817863
fam198	818623
fam199	819491
fam200	819904
fam202	822004
fam203	822721
fam204	824129
fam205	825315
fam207	827795
fam208	828758
fam209	830410
fam210	832095
fam211	835269
fam212	836824
fam215	841758
fam216	844346
fam217	845580
fam218	845903
fam219	847765
fam220	849673
fam221	850215
fam222	850728
fam223	851176
fam227	855158
fam228	855770
fam230	858031
fam231	859379
fam232	859899
fam233	860411
fam234	860992
fam235	862019
fam236	864109
fam237	864991
fam238	866733
fam239	867191
fam240	869575
fam241	870400
fam242	871201
fam243	872408
fam244	873980
fam246	876014
fam247	876751
fam248	877397
fam249	878133
fam250	879446
fam251	880019
fam252	881344
fam253	881868
fam254	882762
fam255	883716
fam256	884922
fam257	885516
fam258	886401
fam259	887163
fam262	893491
fam263	894235
fam264	896777
fam265	897575
fam266	898146
fam267	899005
fam269	900288
fam270	901537
fam271	902409
fam272	903289
fam273	904165
fam274	906045
fam275	907050
fam276	911212
