fam	loc
fam1	1057949
fam2	1055406
fam4	1051659
fam6	1048919
fam7	1047450
fam8	1046364
fam9	1045501
fam10	1044650
fam11	1043910
fam12	1043056
fam13	1041777
fam14	1041357
fam15	1040455
fam16	1038637
fam18	1037658
fam19	1036584
fam20	1036159
fam21	1034583
fam22	1033786
fam23	1033337
fam24	1032673
fam25	1031897
fam26	1031231
fam27	1030159
fam28	1027718
fam29	1024807
fam30	1024102
fam31	1023383
fam33	1021792
fam34	1021037
fam35	1018252
fam36	1017553
fam37	1016511
fam38	1015813
fam39	1015349
fam42	1010892
fam64	993046
fam66	991027
fam67	990379
fam68	988693
fam69	987250
fam70	985667
fam72	983495
fam73	982892
fam74	982191
fam75	981193
fam76	980427
fam77	979505
fam78	978906
fam79	977782
fam80	976688
fam81	975396
fam83	974150
fam84	972204
fam85	970596
fam86	969578
fam87	967074
fam88	965633
fam89	965146
fam90	964587
fam92	962915
fam94	958019
fam95	955359
fam97	951650
fam98	950075
fam99	949353
fam100	947711
fam101	945719
fam102	944818
fam103	943739
fam104	942846
fam105	941909
fam106	939842
fam108	937111
fam109	934794
fam110	933605
fam113	927962
fam114	925640
fam115	925277
fam116	923335
fam117	922391
fam118	920836
fam120	918677
fam121	918072
fam122	915005
fam124	912624
fam125	912022
fam126	911282
fam127	910272
fam128	909033
fam129	908239
fam130	906987
fam131	904906
fam132	904089
fam138	897385
fam139	896759
fam140	895550
fam141	894844
fam142	893235
fam144	889592
fam145	888642
fam146	887377
fam147	886916
fam153	883221
fam160	877498
fam161	876990
fam164	874476
fam165	872096
fam166	870319
fam167	869108
fam168	868365
fam169	866833
fam170	866134
fam171	865231
fam172	864329
fam173	863862
fam174	862854
fam175	861253
fam176	858022
fam177	857370
fam178	856198
fam179	854407
fam180	853855
fam181	853349
fam182	853078
fam183	852636
fam184	852069
fam185	849674
fam186	848564
fam188	847172
fam189	845476
fam190	844083
fam191	843173
fam192	842197
fam194	838943
fam195	837724
fam196	831776
fam197	831120
fam198	829336
fam199	828104
fam200	826469
fam202	824594
fam203	824093
fam204	823065
fam205	821640
fam206	818359
fam207	815166
fam208	814325
fam213	809843
fam214	809001
fam215	807454
fam216	804876
fam217	803458
fam241	781070
fam242	780509
fam243	776599
fam244	774827
fam245	774458
fam246	773271
fam247	772845
fam248	772501
fam250	768243
fam252	765007
fam253	763311
fam254	762319
fam255	761196
fam256	759289
fam257	757122
fam258	756812
fam259	756458
fam260	754672
fam261	753774
fam262	753396
fam263	752893
fam264	751802
fam265	750826
fam266	749486
fam267	746172
fam268	744453
fam269	743164
fam270	741574
fam271	740718
fam273	739195
fam277	735052
fam279	733051
fam281	731582
fam283	730963
fam284	728903
fam285	728317
fam286	727886
fam287	727230
fam289	725583
fam291	722229
fam292	721506
fam293	720779
fam294	719405
fam295	718701
fam296	717570
fam297	716690
fam298	715743
fam299	714893
fam301	714062
fam302	713103
fam303	712021
fam304	710549
fam305	709097
fam306	708701
fam307	707787
fam308	706726
fam309	703542
fam310	703275
fam317	694090
fam319	692488
fam321	688900
fam323	687319
fam324	686635
fam325	686120
fam326	684807
fam327	683703
fam329	682705
fam330	682277
fam331	681023
fam335	678023
fam336	677557
fam337	676991
fam338	676148
fam340	673653
fam341	671212
fam342	670877
fam344	668220
fam346	665262
fam350	661978
fam351	660937
fam353	654872
fam354	654524
fam356	652882
fam357	650200
fam358	648804
fam359	648251
fam360	647423
fam361	646376
fam362	645317
fam363	643053
fam364	642169
fam365	641015
fam366	638739
fam368	637757
fam369	636835
fam370	636148
fam371	634908
fam373	632030
fam374	631349
fam375	630317
fam376	628424
fam377	627477
fam378	626651
fam379	625352
fam380	624274
fam383	622813
fam386	620845
fam389	619470
fam390	618216
fam392	617524
fam393	615790
fam394	614887
fam398	607813
fam399	607495
fam404	604228
fam406	599582
fam407	598530
fam408	598130
fam415	591133
fam416	586074
fam417	584818
fam418	584339
fam419	583830
fam421	580291
fam423	578112
fam424	576474
fam425	575213
fam426	574574
fam428	572813
fam429	571606
fam430	571170
fam431	568641
fam432	566821
fam433	566422
fam434	565399
fam435	564263
fam436	563114
fam437	562635
fam438	561690
fam439	560218
fam440	558380
fam441	557918
fam442	556982
fam443	556560
fam444	556089
fam445	553139
fam446	551322
fam447	550762
fam448	549633
fam449	549245
fam450	548612
fam451	547490
fam452	545476
fam455	541374
fam458	538507
fam461	530371
fam462	529622
fam463	528943
fam464	528290
fam468	524867
fam469	523181
fam470	521384
fam471	519190
fam472	517654
fam473	516443
fam474	515964
fam475	515492
fam477	512140
fam479	509405
fam480	509099
fam481	508424
fam482	506840
fam484	504148
fam485	503449
fam486	502987
fam488	498067
fam489	497497
fam490	497180
fam493	492667
fam495	488345
fam497	483754
fam498	482435
fam499	481377
fam500	478708
fam501	477439
fam502	475983
fam503	474077
fam505	472004
fam507	467763
fam508	465968
fam509	463228
fam510	462836
fam511	460462
fam512	457748
fam514	454697
fam516	453220
fam517	450069
fam518	449380
fam543	433306
fam546	430164
fam547	428459
fam548	427531
fam549	426803
fam551	424220
fam552	423924
fam553	422545
fam554	421981
fam555	421520
fam556	420356
fam557	419757
fam558	418075
fam559	417118
fam560	415218
fam561	412873
fam562	410633
fam563	410022
fam565	407784
fam566	406788
fam567	406117
fam568	404260
fam569	404016
fam570	401390
fam571	400044
fam572	399124
fam573	398506
fam574	397213
fam575	395977
fam576	395458
fam577	390352
fam578	390044
fam580	388897
fam581	387855
fam582	387401
fam583	386729
fam584	385826
fam587	381262
fam588	380015
fam589	379459
fam590	378935
fam591	377955
fam592	375726
fam593	374993
fam598	364324
fam599	362971
fam600	360498
fam602	357000
fam603	356260
fam604	355013
fam605	354297
fam607	353862
fam608	351947
fam610	350364
fam611	349612
fam612	349367
fam613	347059
fam615	343559
fam616	340909
fam617	339712
fam618	339284
fam621	337294
fam622	336620
fam623	335983
fam624	335249
fam625	332391
fam626	330937
fam627	329651
fam628	328795
fam629	327556
fam630	325042
fam631	322352
fam633	315393
fam634	313335
fam635	311976
fam636	310581
fam637	308206
fam640	305326
fam642	303986
fam644	301380
fam648	297360
fam650	295045
fam651	293453
fam653	291441
fam654	290915
fam655	289078
fam659	282160
fam660	280986
fam661	278954
fam662	275577
fam663	274467
fam664	272941
fam666	271334
fam667	269923
fam668	269090
fam669	268021
fam670	266585
fam671	265426
fam672	264158
fam673	261678
fam674	260206
fam675	258356
fam676	258096
fam677	257113
fam678	256656
fam679	252674
fam680	251883
fam681	251634
fam682	249698
fam683	248892
fam684	246548
fam686	245725
fam687	244821
fam688	244537
fam689	243553
fam690	243309
fam691	242911
fam692	241965
fam694	239906
fam695	239502
fam696	239059
fam698	237128
fam699	235894
fam700	234035
fam702	231730
fam704	228341
fam705	227368
fam706	225470
fam707	224259
fam708	223576
fam709	221735
fam712	219633
fam713	219353
fam714	216950
fam715	215871
fam716	215211
fam717	215003
fam718	214231
fam719	212256
fam721	211083
fam724	207665
fam725	206335
fam726	205445
fam727	204570
fam728	203304
fam732	198150
fam733	196644
fam734	194848
fam735	193430
fam736	192529
fam738	189738
fam740	182506
fam741	181686
fam742	180532
fam743	180062
fam745	176055
fam746	172493
fam747	171827
fam748	171440
fam749	170997
fam750	170419
fam751	168798
fam753	167198
fam754	166451
fam756	164467
fam757	163415
fam758	162486
fam760	160558
fam761	159127
fam762	158552
fam763	157415
fam764	156427
fam765	153599
fam767	151346
fam768	149965
fam769	148579
fam770	148226
fam772	146219
fam773	144054
fam774	142601
fam775	141888
fam777	139739
fam778	138035
fam779	137159
fam780	135961
fam781	134631
fam782	133766
fam783	132228
fam784	131512
fam787	125481
fam788	124387
fam789	123364
fam790	121964
fam791	120309
fam792	119627
fam793	119214
fam794	117288
fam795	117034
fam796	115449
fam798	111243
fam799	110143
fam801	105046
fam802	104443
fam803	104053
fam804	99580
fam805	94126
fam806	92925
fam807	92492
fam808	91737
fam809	91316
fam810	89886
fam811	87657
fam814	84803
fam815	84168
fam816	82492
fam817	81127
fam818	80064
fam819	77442
fam821	76559
fam822	75786
fam827	71409
fam828	70008
fam829	69743
fam830	69012
fam831	67496
fam832	66996
fam833	66664
fam836	61858
fam837	59415
fam838	57188
fam839	54754
fam840	52133
fam841	50689
fam842	49795
fam843	48833
fam844	46197
fam845	43831
fam846	42944
fam847	42090
fam848	41138
fam849	40455
fam850	38753
fam851	38219
fam852	36302
fam853	33493
fam854	30955
fam855	27575
fam857	26121
fam858	23651
fam859	19042
fam860	18756
fam861	17724
fam862	14381
fam867	10345
fam868	6499
fam874	4008
fam875	5138
fam878	8309
fam880	12935
fam885	16080
fam886	17522
fam897	29572
fam899	32549
fam900	32852
fam909	54872
fam910	57571
fam911	59809
fam912	60008
fam913	61553
fam914	62934
fam915	64332
fam917	67272
fam918	69026
fam919	70323
fam920	72291
fam922	73184
fam923	76288
fam925	78032
fam926	79271
fam929	82696
fam932	84430
fam933	84919
fam934	85866
fam935	86450
fam937	91701
fam938	94030
fam940	95317
fam943	97546
fam944	98610
fam945	99745
fam947	104467
fam948	105015
fam949	106440
fam950	108804
fam952	111271
fam955	114211
fam956	115739
fam957	117605
fam958	118680
fam959	120115
fam961	121790
fam962	132099
fam963	134533
fam965	136067
fam966	137359
fam967	141746
fam968	142573
fam969	143199
fam970	146681
fam971	148082
fam972	148375
fam973	149432
fam974	150328
fam975	150635
fam977	153262
fam978	153637
fam979	154036
fam980	156452
fam981	157639
fam982	158770
fam983	160082
fam984	161191
fam985	162580
fam986	164346
fam987	164822
fam988	165378
fam989	166273
fam990	166848
fam992	168051
fam993	169624
fam994	169995
fam995	171284
fam996	173377
fam997	174463
fam998	176540
fam999	177648
fam1000	178873
fam1003	185508
fam1004	186674
fam1007	189489
fam1008	193657
fam1009	193904
fam1010	194392
fam1012	196313
fam1013	197508
fam1014	198611
fam1015	199083
fam1016	201381
fam1017	202806
fam1018	203967
fam1019	206075
fam1020	206863
fam1021	209464
fam1022	210265
fam1023	211592
fam1024	212056
fam1028	215979
fam1030	217629
fam1036	226286
fam1037	227591
fam1038	229070
fam1039	230523
fam1041	240501
fam1043	243791
fam1044	244518
fam1045	245756
fam1047	247930
fam1049	250963
fam1050	253181
fam1052	255308
fam1053	256142
fam1054	256687
fam1055	258186
fam1056	258911
fam1057	261851
fam1058	262288
fam1059	263891
fam1060	265051
fam1061	266357
fam1062	267247
fam1063	267764
fam1064	268889
fam1065	272565
fam1066	273780
fam1067	274645
fam1068	275361
fam1070	277735
fam1071	278477
fam1072	279580
fam1073	280453
fam1074	281172
fam1075	282671
fam1076	284588
fam1077	285787
fam1078	287802
fam1080	291180
fam1081	291674
fam1082	293585
fam1084	296084
fam1085	296683
fam1086	297534
fam1087	298376
fam1088	298839
fam1089	300351
fam1090	304224
fam1091	306998
fam1092	307485
fam1094	308923
fam1095	311178
fam1096	311754
fam1097	312744
fam1103	323101
fam1104	324366
fam1105	326388
fam1106	327338
fam1107	327892
fam1108	328797
fam1109	330378
fam1110	331780
fam1111	332187
fam1115	334311
fam1117	340730
fam1118	342250
fam1119	344622
fam1120	346332
fam1121	348651
fam1122	349400
fam1123	351078
fam1124	352311
fam1125	352765
fam1126	353238
fam1127	353606
fam1128	355309
fam1129	356488
fam1132	363113
fam1134	364003
fam1135	366660
fam1141	374244
fam1145	376978
fam1146	377418
fam1147	378029
fam1148	378574
fam1149	379378
fam1150	380682
fam1151	381206
fam1153	384776
fam1154	386355
fam1155	387028
fam1156	387330
fam1157	389479
fam1158	391006
fam1159	392498
fam1160	393939
fam1161	395329
fam1163	397553
fam1164	398910
fam1165	399959
fam1167	401138
fam1169	404729
fam1170	406374
fam1171	408836
fam1172	410975
fam1173	411774
fam1174	412259
fam1175	412803
fam1176	413260
fam1177	417600
fam1178	418557
fam1179	419906
fam1180	420181
fam1181	421215
fam1183	424301
fam1184	425789
fam1185	426484
fam1187	427894
fam1188	429130
fam1190	431676
fam1192	434020
fam1193	435292
fam1194	436861
fam1198	440863
fam1200	446395
fam1201	446885
fam1202	448469
fam1203	449744
fam1204	451513
fam1206	452842
fam1207	456864
fam1210	463380
fam1211	464832
fam1212	468357
fam1213	469906
fam1214	472368
fam1215	474061
fam1216	475167
fam1217	476038
fam1219	477555
fam1220	480098
fam1221	481531
fam1222	482742
fam1223	483599
fam1224	484363
fam1225	484923
fam1227	487932
fam1228	488371
fam1230	490315
fam1232	492376
fam1233	494381
fam1234	495241
fam1235	496251
fam1236	497681
fam1237	499104
fam1238	500052
fam1239	500585
fam1240	501038
fam1241	501418
fam1242	503216
fam1243	504022
fam1244	504391
fam1245	504794
fam1246	506061
fam1247	506776
fam1248	509601
fam1249	510248
fam1250	513470
fam1272	528884
fam1273	529388
fam1274	529965
fam1275	531920
fam1277	534286
fam1278	535028
fam1279	535870
fam1280	537629
fam1281	538392
fam1283	540039
fam1284	542895
fam1285	544255
fam1286	545577
fam1288	549491
fam1289	550419
fam1290	552230
fam1291	554021
fam1292	555722
fam1293	557014
fam1294	559151
fam1295	560046
fam1296	562932
fam1297	564384
fam1299	567740
fam1300	569839
fam1301	570527
fam1302	572021
fam1303	575993
fam1304	577575
fam1305	578639
fam1306	580066
fam1307	581058
fam1308	581842
fam1309	583332
fam1310	583998
fam1312	586792
fam1313	587733
fam1314	588402
fam1315	589881
fam1316	590827
fam1317	592466
fam1318	593043
fam1319	593517
fam1320	593942
fam1321	594803
fam1322	595204
fam1324	596825
fam1325	597487
fam1326	598105
fam1327	598404
fam1328	599243
fam1329	599520
fam1330	599868
fam1331	600606
fam1332	601025
fam1333	601222
fam1334	601488
fam1335	601880
fam1336	602213
fam1337	602764
fam1338	603086
fam1339	603643
fam1340	604183
fam1341	604629
fam1342	605345
fam1343	605526
fam1344	607358
fam1345	607855
fam1346	608263
fam1347	609955
fam1348	611554
fam1349	613085
fam1353	621254
fam1354	624457
fam1355	625221
fam1356	626629
fam1357	629252
fam1358	629757
fam1359	632295
fam1360	634583
fam1362	638277
fam1363	639395
fam1364	639889
fam1365	640187
fam1366	641303
fam1367	641980
fam1368	643309
fam1369	644139
fam1370	644317
fam1371	645906
fam1373	648062
fam1374	648689
fam1376	652766
fam1379	654504
fam1381	659274
fam1385	666004
fam1386	668771
fam1388	669763
fam1389	671914
fam1390	675732
fam1391	677388
fam1393	678892
fam1394	685358
fam1402	695385
fam1403	696504
fam1404	697579
fam1406	699116
fam1407	700257
fam1408	702633
fam1409	703603
fam1410	704186
fam1411	704742
fam1412	710074
fam1413	712402
fam1414	713119
fam1415	713394
fam1416	714362
fam1417	715394
fam1420	719552
fam1421	721839
fam1424	726634
fam1425	727624
fam1426	729367
fam1427	729727
fam1428	730419
fam1429	730946
fam1431	733223
fam1432	735029
fam1433	735721
fam1434	736557
fam1435	737480
fam1436	738314
fam1437	739438
fam1445	745594
fam1446	746742
fam1447	747224
fam1448	749292
fam1449	750410
fam1450	751549
fam1451	754432
fam1452	756070
fam1453	757083
fam1454	757403
fam1455	758215
fam1456	758968
fam1457	759562
fam1458	761152
fam1460	762191
fam1461	763102
fam1462	763686
fam1463	764402
fam1464	768084
fam1468	772336
fam1470	774362
fam1471	775220
fam1472	777213
fam1475	779259
fam1476	781285
fam1477	782241
fam1478	784472
fam1479	786704
fam1480	790302
fam1482	791866
fam1483	793228
fam1484	794946
fam1485	795854
fam1486	798967
fam1487	801009
fam1489	802631
fam1491	804287
fam1493	807091
fam1494	809060
fam1495	809875
fam1496	810534
fam1497	812253
fam1498	813185
fam1499	814817
fam1500	815960
fam1501	816640
fam1502	818565
fam1503	819288
fam1505	827129
fam1506	827936
fam1507	828544
fam1508	830547
fam1509	831500
fam1510	832969
fam1511	833713
fam1514	838467
fam1515	841816
fam1516	842101
fam1517	842486
fam1518	843729
fam1519	844676
fam1521	847501
fam1522	848031
fam1524	849123
fam1525	850142
fam1526	850431
fam1527	851778
fam1528	852077
fam1530	853802
fam1534	859470
fam1535	860576
fam1536	861727
fam1537	863030
fam1538	864793
fam1539	865624
fam1542	869011
fam1543	869885
fam1544	870671
fam1545	871393
fam1548	873484
fam1549	875893
fam1550	876460
fam1551	877308
fam1553	879849
fam1554	882472
fam1555	884567
fam1556	885755
fam1557	887265
fam1558	887826
fam1560	889996
fam1561	890645
fam1562	891393
fam1563	892658
fam1564	893062
fam1565	894086
fam1566	894689
fam1567	896068
fam1568	897148
fam1569	898185
fam1570	899342
fam1571	900929
fam1572	902272
fam1573	903215
fam1574	904357
fam1576	905199
fam1577	906553
fam1579	908645
fam1580	910249
fam1581	910731
fam1582	911362
fam1583	914319
fam1584	915502
fam1585	916170
fam1587	918218
fam1588	919665
fam1589	922276
fam1590	924498
fam1591	925665
fam1592	926420
fam1593	928370
fam1594	930524
fam1595	931064
fam1598	936213
fam1600	940989
fam1601	942971
fam1603	945194
fam1604	946017
fam1605	946712
fam1606	948086
fam1607	950642
fam1608	950977
fam1609	952010
fam1611	953185
fam1614	959248
fam1615	961241
fam1616	962494
fam1617	963146
fam1618	963658
fam1619	964053
fam1620	964676
fam1621	966647
fam1622	967260
fam1623	968017
fam1624	970389
fam1625	971201
fam1627	979627
fam1628	981420
fam1629	982460
fam1630	983274
fam1631	984053
fam1632	985569
fam1633	986178
fam1634	986611
fam1635	987485
fam1637	989280
fam1638	989854
fam1644	993156
fam1646	997248
fam1647	1000106
fam1648	1002577
fam1649	1004115
fam1651	1006049
fam1655	1007866
fam1656	1010681
fam1663	1015779
fam1664	1016654
fam1665	1017249
fam1666	1017854
fam1667	1019066
fam1668	1020028
fam1669	1020615
fam1670	1021311
fam1672	1022694
fam1673	1023326
fam1675	1027779
fam1676	1034405
fam1677	1036185
fam1679	1038179
fam1681	1040090
fam1682	1041523
fam1685	1045592
fam1686	1046515
fam1687	1047523
fam1688	1048053
fam1689	1048640
fam1690	1049434
fam1691	1049652
fam1692	1050398
fam1693	1051735
fam1694	1052410
fam1695	1053270
fam1696	1054818
fam1698	1056979
fam1699	1057658
fam1700	1058840
fam1701	1059291
fam1702	1060054
fam1703	1060486
fam1705	1062238
fam1706	1063152
fam1707	1064183
fam1709	1067361
fam1712	1072796
fam1713	1073893
fam1714	1075158
fam1717	1083989
fam1719	1085884
fam1723	1089442
fam1724	1089964
fam1725	1091137
fam1727	1093431
fam1728	1093646
fam1731	1097808
fam1733	1101555
fam1734	1103815
fam1736	1106140
fam1737	1107062
fam1738	1107734
fam1739	1108281
fam1740	1110363
fam1741	1115648
fam1742	1116834
fam1743	1117326
fam1744	1119273
fam1746	1121105
fam1747	1122442
fam1748	1123605
fam1749	1125856
fam1750	1126935
fam1752	1128112
fam1753	1128866
fam1755	1132926
fam1756	1133523
fam1757	1134343
fam1758	1135232
fam1759	1135671
fam1761	1139219
fam1762	1140759
fam1763	1141743
fam1764	1142933
fam1765	1143483
fam1768	1147659
fam1772	1150232
fam1774	1151007
fam1775	1151829
fam1776	1153595
fam1777	1154744
fam1778	1155051
fam1779	1156499
fam1780	1157140
fam1781	1157810
fam1782	1159769
fam1783	1160861
fam1784	1161304
fam1785	1162101
fam1788	1165261
fam1789	1165866
fam1790	1166685
fam1791	1167396
fam1792	1168278
fam1793	1169098
fam1794	1170792
fam1796	1172463
fam1797	1174416
fam1799	1177728
fam1800	1178444
fam1808	1184689
fam1812	1186534
fam1813	1188819
fam1814	1190654
fam1824	1205459
fam1825	1206023
fam1830	1209000
fam1832	1210141
fam1833	1210911
fam1838	1214090
fam1839	1214524
fam1840	1216030
fam1843	1217322
fam1846	1219039
fam1847	1219531
fam1848	1220749
fam1849	1221594
fam1850	1222001
fam1851	1222279
fam1852	1223488
fam1859	1249806
fam1863	1247692
fam1866	1245277
fam1883	1237496
fam1886	1235328
fam1887	1233679
fam1893	1229017
fam1894	1227597
fam1896	1224167
fam1897	1223839
fam1898	1222176
fam1899	1220292
fam1900	1218875
fam1902	1217437
fam1903	1215132
fam1904	1213284
fam1905	1212640
fam1906	1211640
fam1907	1209993
fam1908	1207354
fam1909	1206106
fam1910	1203548
fam1911	1201954
fam1912	1200156
fam1913	1199927
fam1914	1198757
fam1915	1197143
fam1916	1195700
fam1917	1195411
fam1918	1194785
fam1919	1192671
fam1920	1191708
fam1921	1190746
fam1922	1188696
fam1923	1188281
fam1924	1187861
fam1925	1187199
fam1926	1186686
fam1927	1185048
fam1930	1180915
fam1931	1179726
fam1932	1179187
fam1933	1178621
fam1934	1178105
fam1935	1177270
fam1936	1176242
fam1937	1175076
fam1938	1173718
fam1939	1172993
fam1940	1172350
fam1945	1167187
fam1946	1164544
fam1947	1163380
fam1948	1161418
fam1949	1160301
fam1976	1138947
fam1990	1129594
fam1994	1127392
fam1995	1126826
fam1997	1123046
fam1998	1122771
fam2001	1120409
fam2003	1116445
fam2005	1112543
fam2006	1111156
fam2007	1110380
fam2008	1109559
fam2010	1108041
fam2012	1105836
fam2015	1102494
fam2016	1100251
fam2017	1099485
fam2018	1098434
fam2019	1097731
fam2020	1095798
fam2021	1092963
fam2022	1091979
fam2023	1089713
fam2027	1085537
fam2028	1084524
fam2029	1083310
fam2030	1081747
fam2031	1081465
fam2032	1080120
fam2033	1079136
fam2034	1077900
fam2035	1076267
fam2037	1074588
fam2043	1070466
fam2045	1069001
