fam	loc
fam1	34726
fam2	35838
fam3	38386
fam10	47277
fam19	55062
fam20	55935
fam22	57455
fam23	59399
fam25	61716
fam30	68010
fam32	71644
fam33	72119
fam38	80279
fam39	81664
fam41	83973
fam42	85627
fam43	86945
fam45	90056
fam46	90636
fam47	91769
fam48	92403
fam49	93771
fam52	96910
fam55	98843
fam56	99715
fam57	101018
fam58	102101
fam59	103028
fam60	104034
fam61	104864
fam62	105691
fam63	106703
fam66	111181
fam68	113693
fam72	116846
fam74	119247
fam118	161891
fam119	162904
fam120	164306
fam121	165012
fam123	166411
fam126	168821
fam128	169570
fam130	170316
fam131	170717
fam132	171523
fam133	172260
fam134	173001
fam135	173620
fam137	176020
fam138	176742
fam139	178007
fam140	178258
fam141	179073
fam142	179921
fam145	182053
fam146	182851
fam147	183744
fam148	184822
fam150	187195
fam151	191943
fam152	193051
fam153	194340
fam154	195190
fam156	196972
fam158	200999
fam160	203396
fam161	205113
fam164	206419
fam165	206729
fam168	209216
fam169	210120
fam174	214279
fam176	217091
fam180	220389
fam181	222371
fam240	288144
fam354	402879
fam361	409248
fam362	410276
fam363	410858
fam364	412434
fam365	413402
fam366	414147
fam367	414627
fam368	415959
fam371	418957
fam372	419932
fam373	420323
fam375	423124
fam376	423935
fam379	427286
fam380	427645
fam381	428253
fam382	428805
fam383	430381
fam384	431385
fam385	432828
fam386	433260
fam388	435473
fam389	437888
fam390	439997
fam391	441277
fam392	442225
fam407	459430
fam408	461029
fam430	484667
fam436	489848
fam437	490459
fam438	491795
fam457	510607
fam458	512102
fam459	513643
fam461	515229
fam462	516202
fam464	518718
fam465	519851
fam468	523220
fam469	524016
fam470	524918
fam471	525967
fam474	527948
fam476	529474
fam479	531868
fam482	535078
fam483	535561
fam484	536166
fam485	537190
fam488	539089
fam489	540075
fam490	541401
fam497	549140
fam498	550043
fam501	553675
fam503	558383
fam511	566228
fam514	568419
fam516	571900
fam520	576007
fam521	576717
fam522	577657
fam525	581255
fam526	582299
fam527	582985
fam529	585013
fam530	585927
fam531	586721
fam534	593729
fam536	595428
fam538	600271
fam540	602138
fam541	602806
fam542	604154
fam543	605463
fam544	606565
fam545	607360
fam546	608503
fam547	610513
fam548	611957
fam549	612243
fam550	613157
fam551	614048
fam556	617851
fam558	622380
fam559	625484
fam561	627959
fam562	628818
fam563	630244
fam565	631856
fam567	634139
fam568	635156
fam569	636125
fam570	636916
fam571	637614
fam572	640170
fam574	641837
fam575	643010
fam576	644700
fam580	648765
fam582	650280
fam583	650561
fam584	651254
fam585	651648
fam589	655518
fam590	656693
fam594	661220
fam596	663266
fam598	664410
fam599	664952
fam600	666308
fam601	667250
fam603	669338
fam604	670014
fam612	677304
fam613	680253
fam618	688048
fam619	690644
fam628	699407
fam629	699972
fam630	701395
fam632	703430
fam633	703832
fam634	705085
fam636	706327
fam638	708955
fam639	710446
fam640	711138
fam641	712600
fam642	713241
fam646	718420
fam647	719692
fam648	721227
fam693	768814
fam698	772976
fam701	776082
fam702	776609
fam705	781699
fam720	796407
fam721	796966
fam722	799458
fam744	822116
fam746	823755
fam747	824435
fam749	826651
fam750	827289
fam751	827956
fam752	829499
fam757	834780
fam759	838204
fam760	838683
fam762	839877
fam764	841725
fam765	843530
fam768	845614
fam769	846242
fam771	854049
fam772	855392
fam773	856467
fam774	858321
fam775	859551
fam776	860654
fam777	860932
fam778	862659
fam780	866652
fam781	868181
fam782	869371
fam783	870441
fam784	871844
fam785	872791
fam786	873625
fam787	874856
fam788	876230
