fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.022059807663824038	0.0	0.029279338444146687	0.00156	0.0	0.001910601999370879	0.10498	0.1091	0.03297355910422774	1655011	0.025073746312684365
fam966	0.03222937944392851	0.03198172472872644	0.008307699662970508	0.00526	0.0056	0.0020455806021763114	0.16748	0.1751	0.05951495274298721	1070217	0.04756410256410257
fam393	0.03806042430412941	0.034521192787255156	0.024627493105246208	0.004730000000000001	0.0051	0.0023186418438387595	0.13989	0.14675	0.02725987710904068	437917	0.03897996357012751
fam158	0.013130586005315983	0.013415030664528933	0.005353591836147292	0.0016799999999999999	0.0016	0.0007547184905645283	0.11472	0.126	0.037871752005947654	186401	0.03044349070100143
fam1037	0.012899988307603106	0.010981912144702842	0.00614453546255885	0.0017000000000000001	0.0017	0.001064894360957931	0.12942	0.14875	0.04491883346659839	1152395	0.03296250515039143
fam3276	0.06535289869529248	0.0	0.09120835392609125	0.00318	0.0	0.0038948170688749943	0.05696	0.05745	0.02692690847460956	7966	0.01714285714285714
fam1720	0.5516368471106332	0.5282337673861444	0.21015422978689396	0.03624999999999999	0.038849999999999996	0.010984466304741437	0.06769	0.06595000000000001	0.022015242446995674	1719601	0.04415584415584416
fam2659	0.17548445044599845	0.14840379637618636	0.05204141653589301	0.01377	0.0173	0.0077123342769877395	0.07719000000000001	0.08324999999999999	0.04181278393027663	687597	0.03230240549828179
fam1031	0.006952086281597246	0.0	0.008401367482197906	0.0008	0.0	0.0009797958971132714	0.14336000000000002	0.1546	0.06199684185504936	1145753	0.032662192393736016
fam680	0.11132728875196715	0.08496732026143791	0.05440070227662105	0.01557	0.015	0.007543348063028776	0.15755999999999998	0.1377	0.07175642410265438	741512	0.049689440993788817
fam875	0.009999142554301345	0.0	0.011185623222732475	0.00124	0.0	0.0015186836405255704	0.09426	0.10775	0.04934122414371172	966044	0.02655737704918033
fam1781	0.1377840414340798	0.14101561394071516	0.046535526264766314	0.01381	0.01375	0.006410842378346234	0.10111	0.09775	0.03816122246469576	1657474	0.03458646616541353
fam425	0.024175220651933838	0.0	0.03250978920847654	0.00194	0.0	0.002376215478444663	0.11623999999999998	0.1265	0.0338172796067336	470978	0.030175438596491227
fam1195	0.03646592801964445	0.04289318755256518	0.01119358774000595	0.0069099999999999995	0.007050000000000001	0.003359598190260258	0.18932	0.2249	0.07113551574284113	1323879	0.04627006610009443
fam98	0.017000268554170694	0.013700355520066921	0.01072150883304732	0.00241	0.002	0.0015883639381451596	0.12786000000000003	0.1386	0.041833101725786484	120485	0.03641456582633053
fam2317	0.11826112596068174	0.16811594202898547	0.06357939152857821	0.0029	0.0029	0.0018341210428976598	0.01982	0.017	0.015553507642972374	1072173	0.007051282051282051
fam1988	0.03032666610128048	0.028235040604939053	0.01200614409580916	0.00535	0.00545	0.001751142484208524	0.18895	0.21445	0.05963093576324289	1430690	0.04753086419753086
fam2943	0.0	0.0	0.0	0.0	0.0	0.0	0.029470000000000003	0.032	0.01128557043307958	390243	0.007422402159244263
fam1040	0.07742118142019296	0.058319039451114926	0.03027589364094798	0.016050000000000002	0.011349999999999999	0.010583123357497067	0.19221	0.2012	0.07768718620210156	1156643	0.054913880445795336
fam1786	0.09843925599694356	0.09653919931045943	0.03587576775568934	0.00892	0.01005	0.004296463662129589	0.08946	0.073	0.03729252472010979	1654013	0.029255861365953106
fam443	0.03538404047437328	0.03644704502546964	0.015056436122666415	0.0038099999999999996	0.0038	0.0014848905683584903	0.11598000000000001	0.11555	0.036889369742515256	492156	0.03156462585034014
fam3286	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	90	0.0
fam3280	0.12427551552740727	0.12303817861537235	0.07674050249329134	0.00999	0.00825	0.006541475368752832	0.08581999999999998	0.0863	0.020160694432484215	5377	0.031439393939393934
fam1784	0.08197391416447378	0.06628605489377952	0.05971517508607923	0.010150000000000001	0.0108	0.003457528018686183	0.16704	0.14679999999999999	0.07769633453387617	1655379	0.04617380025940337
fam3247	0.024569190481929272	0.02461940628514352	0.012638789949240734	0.0033599999999999993	0.00315	0.001924681791881453	0.13508	0.1275	0.030309364889419904	47768	0.037925925925925925
fam2761	0.14338915133515084	0.15517241379310345	0.036641359237596066	0.009229999999999999	0.009899999999999999	0.005812065037488827	0.06725	0.08465	0.04051587960294086	592337	0.02612942612942613
fam2375	0.028998759963683007	0.013431542461005199	0.01811744595837128	0.00306	0.0031	0.0023627103080995776	0.12908	0.1222	0.0957701498380367	1008819	0.03108108108108108
fam2090	0.09514897974585855	0.07407407407407407	0.05046651381396627	0.00921	0.01	0.004034711885624548	0.12390999999999999	0.1641	0.06940996254141044	1314294	0.036542443064182195
fam2139	0.09172579850794262	0.09507042253521127	0.046924551485171336	0.00951	0.008799999999999999	0.0067152736355267015	0.09879	0.0959	0.04112596381849305	1259597	0.032664756446991405
fam2305	0.0	0.0	0.0	0.0	0.0	0.0	0.052129999999999996	0.0518	0.03084963695086216	1087741	0.01201137171286425
fam519	0.0034246943210906647	0.0	0.004195414949854764	0.00132	0.0	0.0016166632302368974	0.20675	0.11779999999999999	0.1479476951493331	560821	0.044047619047619044
fam1093	0.04211598915555648	0.040032679738562095	0.010862745371193035	0.00456	0.0049	0.00175681530047982	0.11273	0.1222	0.04470926190399479	1205544	0.030486358244365363
fam2025	0.037704354499628674	0.02253302253302253	0.03230702573701481	0.0018599999999999999	0.0014	0.0009404254356406997	0.07971	0.0784	0.054184674032423594	1390292	0.020500532481363153
fam321	0.09955250383495153	0.07787772160364198	0.04812471642445889	0.02719	0.0147	0.02077871266464792	0.32811999999999997	0.138	0.27568749264339143	362937	0.07771084337349396
fam594	0.10862429629821142	0.10492029500539982	0.025130595138031005	0.01585	0.011949999999999999	0.007205171753678049	0.13962	0.1357	0.03600882669568671	641413	0.05238784370477569
fam62	0.020436900066958308	0.020914078540341552	0.0163364419832157	0.0016	0.002	0.0012000000000000001	0.08621000000000001	0.08495	0.021650609691184222	82049	0.02461322081575246
fam922	0.036394412626240415	0.03625576796308504	0.008267455148892315	0.00462	0.0048	0.0021320412753978286	0.12513999999999997	0.1442	0.049634810365307126	1017942	0.03257575757575758
fam2091	0.5406645149706242	0.48880931065353633	0.1715455127498229	0.026110000000000005	0.0204	0.018454996613383595	0.04582000000000001	0.05475	0.03398304871549932	1313626	0.030467571644042225
fam2664	0.021081505139952415	0.02078774617067834	0.009833485275193208	0.00232	0.0019	0.0014647866738880444	0.0994	0.1233	0.04524939778604794	681859	0.027823691460055096
fam651	0.04589442442667031	0.039313795568263046	0.023105084601124405	0.007579999999999999	0.0049499999999999995	0.005255815826301375	0.16109	0.1917	0.059318200411003705	712230	0.04592074592074592
fam870	0.00834551669960104	0.007293946024799417	0.004949237399221001	0.0010000000000000002	0.001	0.0006324555320336759	0.12317	0.1329	0.04360199651392124	960793	0.031037037037037037
fam910	0.07484462072420547	0.0	0.09121334345925441	0.00553	0.0	0.006772894506782162	0.09227	0.11755	0.04468856788933832	1002955	0.034199134199134194
fam150	0.008338145856754922	0.007901605805632282	0.0051467174765539685	0.00144	0.00105	0.0009840731680114034	0.1675	0.17295	0.027761267982568814	176620	0.04301906233900051
fam508	0.04799282836460867	0.0	0.05993594845932425	0.00426	0.0	0.005217700643003582	0.07352	0.0823	0.046147649994338825	546201	0.0203921568627451
fam155	0.03903996479684113	0.03848620910840282	0.013239935405437308	0.00522	0.005	0.0025678006153126457	0.13942	0.14165	0.06242175582278986	180646	0.041597796143250695
fam179	0.06549423820994435	0.07249064936888114	0.019723720283684965	0.00692	0.0097	0.004354032613566416	0.09835	0.12735000000000002	0.05363355759223883	213436	0.028484848484848484
fam2642	0.022588891623949985	0.021029082774049218	0.004920781022142023	0.0051400000000000005	0.0043	0.003267782122480016	0.22454000000000002	0.199	0.137362929497008	705531	0.05399146861669714
fam885	0.3620420497727592	0.20116959064327483	0.36273651552211844	0.01099	0.01035	0.00651144377231348	0.058309999999999994	0.0688	0.03785272645398215	977765	0.022222222222222223
fam2021	0.02918803297530849	0.023589743589743587	0.01704957540112693	0.00232	0.0023	0.001486472334084964	0.08488	0.08990000000000001	0.03135419589145925	1397073	0.0235
fam1934	0.0832376088839403	0.09048531874803727	0.04442849972858347	0.0049	0.0041	0.0030669202793682133	0.05413	0.0587	0.01881807907306163	1490626	0.01726190476190476
fam119	0.5157416103051311	0.2929366914730839	0.5894487166474911	0.021400000000000002	0.02685	0.014598287570807748	0.05761000000000001	0.0727	0.03949051658309878	140956	0.028205128205128206
fam1001	0.014438943650736832	0.0	0.01721470541732828	0.00124	0.0	0.0015186836405255704	0.10546	0.09670000000000001	0.056493419085766085	1112337	0.023004694835680756
fam2143	0.0930052355397507	0.03069053708439897	0.11585544746727347	0.0024000000000000002	0.0024	0.0015178932768808218	0.044559999999999995	0.0405	0.025134287338215898	1255452	0.01374570446735395
fam43	0.010252541280032206	0.0	0.01365362547842739	0.00052	0.0	0.0006368673331236263	0.07049	0.07305	0.020131142540849488	66301	0.022401433691756272
fam2161	0.13213889619836075	0.13026052104208416	0.018664914878924688	0.01144	0.01515	0.0071726145860488	0.08639	0.1047	0.05833013715053309	1238868	0.02926315789473684
fam2772	0.020773356124205264	0.0	0.024768537903007478	0.0013599999999999999	0.0	0.0016656530250925613	0.07980000000000001	0.0931	0.03185423048827266	576093	0.02139917695473251
fam1446	0.1090083551511232	0.10494652406417111	0.0070163388953462325	0.012519999999999998	0.015	0.004677563468302702	0.11473	0.1278	0.042215353841937656	1594884	0.03658062725506522
fam1143	0.0	0.0	0.0	0.0	0.0	0.0	0.03448	0.0	0.04222920316558199	1270627	0.008547008547008548
fam2627	0.0665099567269748	0.06878980891719745	0.016244996337204005	0.010879999999999997	0.0145	0.005854878307872845	0.15663999999999997	0.181	0.06730123624421767	718854	0.043043295502311896
fam933	0.23395250189882896	0.19099201824401368	0.13542905619129755	0.03831	0.0571	0.02795372783726707	0.16777999999999998	0.16360000000000002	0.1367760271392615	1033279	0.05972222222222222
fam2904	0.0	0.0	0.0	0.0	0.0	0.0	0.06738999999999999	0.06789999999999999	0.02543326365215444	443312	0.017682198327359615
fam3016	0.0	0.0	0.0	0.0	0.0	0.0	0.08963	0.097	0.025308814669991957	309810	0.02240896358543417
fam839	0.0	0.0	0.0	0.0	0.0	0.0	0.02621	0.026500000000000003	0.013263216050415525	928521	0.00641025641025641
fam2304	0.04765318027068078	0.08160851567120048	0.04127621332361774	0.005549999999999999	0.0	0.00679738920468734	0.1169	0.1655	0.0765375594071303	1089240	0.024908424908424907
fam1447	0.023010266708079364	0.0	0.028076041275919804	0.00224	0.0	0.0027434285119171593	0.11298	0.13105	0.055394274072326284	1595563	0.03164556962025316
fam1804	0.12370711168691978	0.1061792863359443	0.04578678384493191	0.013149999999999998	0.01225	0.0076218436089964476	0.1049	0.1149	0.038778421834829734	1635800	0.03423423423423424
fam2769	0.12114884504212475	0.1016949152542373	0.048534046859244714	0.011800000000000001	0.011	0.0056903426961827175	0.10064999999999999	0.1009	0.0382645593206037	580890	0.03631156930126002
fam2045	0.0	0.0	0.0	0.0	0.0	0.0	0.08299	0.0959	0.04053024673006568	1367263	0.019083023543990087
fam2116	0.25046774965922125	0.24974200206398348	0.03779410540309836	0.02011	0.02325	0.008022150584475462	0.08329	0.0941	0.03746268676963787	1289669	0.03631647211413749
