fam	loc
fam1	1395
fam2	2656
fam3	3778
fam4	6296
fam5	6943
fam6	9205
fam7	10436
fam8	11588
fam9	12881
fam10	13338
fam11	14526
fam12	15820
fam13	22284
fam14	22895
fam15	25068
fam16	25871
fam17	27450
fam18	28019
fam20	29866
fam21	29992
fam22	31358
fam23	32317
fam24	34358
fam25	35827
fam26	36638
fam27	37536
fam28	38935
fam29	41929
fam30	42637
fam31	45088
fam32	48219
fam33	48729
fam34	49993
fam35	50929
fam36	51666
fam38	53699
fam39	54731
fam40	55089
fam41	56606
fam42	57628
fam43	58210
fam44	58483
fam45	59029
fam46	60139
fam47	62070
fam48	62391
fam49	63032
fam50	64307
fam51	65520
fam52	66882
fam53	67769
fam54	68567
fam55	69208
fam56	70117
fam57	71049
fam58	71601
fam59	72464
fam60	74367
fam61	75744
fam62	76288
fam63	77183
fam64	77647
fam65	78121
fam66	79254
fam67	80813
fam68	82120
fam70	82864
fam71	83492
fam72	83987
fam75	87674
fam76	88625
fam77	89473
fam80	92648
fam81	94421
fam82	95140
fam83	96068
fam84	97200
fam87	101058
fam88	101818
fam89	103225
fam90	103800
fam91	104366
fam92	106127
fam93	106696
fam94	108101
fam95	108972
fam96	110852
fam97	112367
fam98	114093
fam99	115168
fam100	115996
fam101	116704
fam102	117467
fam103	118096
fam105	120236
fam106	120967
fam107	121649
fam108	122447
fam109	124378
fam110	125076
fam111	126305
fam112	127499
fam113	128126
fam114	128573
fam115	129837
fam116	130529
fam127	136865
fam128	137527
fam129	138697
fam131	141512
fam132	142530
fam133	143392
fam134	144720
fam135	146161
fam136	147230
fam137	147769
fam138	148559
fam139	151482
fam140	153440
fam141	153861
fam142	154698
fam143	157954
fam144	158443
fam145	160049
fam146	161513
fam147	162182
fam148	163883
fam150	165833
fam152	167339
fam153	167917
fam154	169037
fam155	170486
fam156	171193
fam157	172162
fam158	174569
fam159	175760
fam160	176524
fam161	177528
fam162	178568
fam163	180116
fam166	186842
fam167	187674
fam168	188083
fam169	188909
fam170	190163
fam171	191659
fam174	193491
fam175	193941
fam176	195326
fam177	196887
fam178	198334
fam179	199779
fam180	200777
fam181	201472
fam182	202620
fam183	204349
fam184	205178
fam196	223979
fam197	225214
fam198	225528
fam200	226900
fam201	227663
fam202	228722
fam203	229785
fam204	230412
fam205	230841
fam206	231762
fam207	233203
fam208	235360
fam211	237601
fam212	238194
fam213	238676
fam214	239757
fam215	240543
fam216	242194
fam217	243770
fam218	244553
fam219	247296
fam221	249011
fam222	249800
fam223	250114
fam224	250918
fam225	251911
fam226	252776
fam229	255486
fam230	257012
fam231	258971
fam233	259843
fam234	260192
fam235	260771
fam237	263493
fam238	266626
fam239	267855
fam240	268218
fam241	270064
fam242	271168
fam279	305009
fam280	306972
fam281	307380
fam282	308772
fam283	309896
fam284	310234
fam285	312074
fam286	313581
fam287	315001
fam288	316120
fam289	317001
fam290	319621
fam291	320843
fam292	321487
fam293	322194
fam294	322721
fam295	324915
fam296	325496
fam297	326602
fam298	327490
fam299	332430
fam300	333923
fam304	336278
fam305	337364
fam306	337918
fam328	358515
fam329	359032
fam330	359486
fam331	360113
fam332	362322
fam333	362834
fam334	363795
fam335	364848
fam343	372742
fam344	373309
fam345	374092
fam346	374658
fam347	375695
fam348	376846
fam350	378600
fam352	380282
fam353	381173
fam354	382051
fam356	384596
fam357	386367
fam359	387625
fam360	388199
fam361	388802
fam362	389427
fam363	391008
fam364	394586
fam365	395617
fam366	396217
fam367	396846
fam368	397579
fam369	398201
fam370	398989
fam373	401920
fam374	402558
fam375	404290
fam376	404761
fam378	407871
fam379	408860
fam380	409420
fam382	411644
fam383	413112
fam384	414840
fam385	415182
fam386	416179
fam387	418055
fam389	421633
fam390	422471
fam393	424269
fam394	425002
fam395	427240
fam396	428166
fam397	430518
fam398	431758
fam399	432531
fam400	433193
fam401	433845
fam402	434144
fam404	435755
fam405	436513
fam406	436931
fam407	437559
fam408	439597
fam409	440443
fam410	441567
fam411	444169
fam412	445400
fam414	449206
fam415	450224
fam416	451130
fam417	451654
fam418	452945
fam419	454636
fam420	455849
fam421	456746
fam422	457288
fam423	457984
fam424	458598
fam425	458915
fam426	459751
fam427	460040
fam428	460381
fam429	461135
fam430	461552
fam431	461749
fam432	462003
fam433	462464
fam434	462791
fam435	463343
fam436	463658
fam437	464065
fam438	464612
fam439	464977
fam440	465477
fam441	465660
fam442	466105
fam443	467470
fam444	467608
fam445	468072
fam446	468478
fam447	469117
fam448	470143
fam449	470527
fam450	471189
fam451	473055
fam452	473675
fam453	474899
fam454	475343
fam455	475725
fam456	476142
fam457	477545
fam458	478254
fam459	480642
fam460	481618
fam461	482129
fam462	482348
fam463	484426
fam464	487056
fam467	492263
fam469	493854
fam471	495384
fam472	496400
fam473	497678
fam474	498384
fam475	499232
fam476	500121
fam477	502378
fam478	503339
fam479	503785
fam480	504016
fam481	504790
fam484	507337
fam485	507927
fam486	509087
fam487	510863
fam491	518000
fam492	519589
fam493	520401
fam494	521739
fam495	522616
fam496	523941
fam497	525618
fam498	526658
fam499	527746
fam500	528382
fam501	530551
fam502	531753
fam503	533322
fam504	535893
fam505	537235
fam506	539667
fam507	540183
fam508	540940
fam509	541313
fam510	542728
fam511	543973
fam512	545594
fam513	546706
fam515	548474
fam516	548941
fam519	559241
fam520	560261
fam521	560698
fam522	561131
fam523	561654
fam525	562772
fam526	563275
fam527	563680
fam528	565675
fam529	566106
fam530	566412
fam531	567046
fam532	567967
fam533	568873
fam534	569652
fam535	571020
fam536	571554
fam537	572566
fam538	573161
fam539	573674
fam540	573962
fam541	574389
fam542	575544
fam543	576229
fam544	577119
fam545	578053
fam548	581960
fam549	584192
fam550	585513
fam551	586616
fam552	587135
fam553	589967
fam554	590461
fam555	592693
fam556	593184
fam557	594306
fam559	598320
fam560	599256
fam561	601062
fam562	601617
fam564	604041
fam565	604933
fam566	605936
fam567	606813
fam569	610576
fam570	611054
fam571	612330
fam572	613011
fam573	613389
fam574	613869
fam575	614927
fam576	616567
fam577	617272
fam578	618631
fam579	619041
fam580	619949
fam581	621181
fam582	621617
fam583	622162
fam585	624006
fam586	624341
fam587	625811
fam588	626694
fam589	627262
fam590	628138
fam591	629027
fam592	629890
fam593	632778
fam594	633854
fam595	634739
fam596	636140
fam597	638493
fam600	640796
fam601	641699
fam602	642093
fam603	643683
fam604	644168
fam605	645017
fam606	645866
fam607	646746
fam608	647012
fam609	647551
fam610	649242
fam611	651463
fam612	652020
fam613	652476
fam614	653234
fam615	653673
fam616	654653
fam617	655135
fam618	655534
fam619	655905
fam621	657552
fam622	658535
fam623	659672
fam624	662087
fam625	662380
fam627	664374
fam628	665032
fam629	666821
fam630	667735
fam631	669063
fam632	669906
fam633	670471
fam634	673302
fam635	676360
fam636	677278
fam637	678106
fam638	679690
fam639	680184
fam640	680699
fam641	681712
fam642	682262
fam643	683333
fam644	684358
fam646	695561
fam647	696073
fam648	696462
fam649	697728
fam650	698408
fam651	699323
fam652	699761
fam653	701327
fam654	702572
fam655	703924
fam657	705303
fam658	706039
fam659	706596
fam660	707402
fam661	708229
fam662	709032
fam663	710667
fam664	711475
fam665	711781
fam666	712650
fam667	713532
fam668	715435
fam669	716324
fam670	716923
fam671	717468
fam672	717939
fam673	718475
fam674	720046
fam698	755255
fam700	756127
fam701	759036
fam702	760275
fam703	761999
fam704	762493
fam706	765222
fam707	765906
fam708	767782
fam709	768304
fam710	769629
fam711	772325
fam712	773345
fam713	773906
fam714	774424
fam715	774732
fam716	776624
fam717	778224
fam718	779724
fam719	780466
fam720	780879
fam721	781797
fam722	782667
fam723	783124
fam724	783530
fam725	785318
fam726	787038
fam727	787964
fam735	797880
fam739	801126
fam740	801763
fam741	803223
fam746	808471
fam747	809368
fam748	810038
fam755	821702
fam757	823123
fam758	824680
fam759	825428
fam760	826141
fam761	826912
fam762	827738
fam763	828802
fam764	832271
fam766	833571
fam767	835671
fam768	836782
fam769	837600
fam770	838224
fam771	839120
fam772	840727
fam773	841868
fam774	842617
fam775	843258
fam776	844187
fam788	859665
fam789	860306
fam790	861097
fam792	862966
fam793	863717
fam794	864374
fam795	864634
fam796	865818
fam797	866549
fam798	866872
fam799	867303
fam800	867993
fam801	868839
fam802	869607
fam803	870327
fam804	870999
fam805	872192
fam806	873979
fam807	874539
fam808	875266
fam809	875582
fam810	876632
fam811	878055
fam812	878650
fam813	880373
fam814	881736
fam815	883622
fam816	884799
fam817	885920
fam818	886844
fam819	887499
fam820	888010
fam831	899606
fam833	902005
fam852	924914
fam853	925179
fam854	927147
fam855	928765
fam857	930881
fam858	932143
fam859	933771
fam860	934317
fam861	934948
fam862	937264
fam863	938547
fam864	939630
fam865	940722
fam866	941276
fam867	942077
fam869	943881
fam870	947276
fam871	948032
fam872	948360
fam873	948755
fam874	949570
fam875	950349
fam876	951514
fam877	952451
fam878	953497
fam879	955734
fam880	956210
fam881	957820
fam882	958733
fam883	959736
fam884	960685
fam885	961415
fam886	962747
fam887	963067
fam888	963522
fam889	964071
fam890	965277
fam891	966343
fam892	967156
fam893	970764
fam894	972024
fam895	975338
fam897	976493
fam898	977477
fam899	978584
fam900	979608
fam901	980277
fam902	981669
fam903	983202
fam904	985007
fam905	985457
fam906	986704
fam907	987421
fam908	988158
fam909	988852
fam910	990446
fam911	991768
fam912	993075
fam913	995930
fam914	996426
fam915	997925
fam916	999210
fam917	1000275
fam918	1001744
fam919	1003118
fam920	1004188
fam921	1005855
fam922	1007827
fam923	1008465
fam924	1009154
fam925	1009805
fam926	1010119
fam927	1011607
fam928	1012198
fam929	1012576
fam930	1013362
fam931	1015512
fam953	1036211
fam954	1036930
fam955	1037341
fam956	1037820
fam957	1039622
fam958	1040433
fam959	1042193
fam960	1044424
fam963	1048058
fam964	1049393
fam965	1050126
fam966	1050608
fam967	1052300
fam970	1054879
fam971	1055862
fam972	1056090
fam973	1056921
fam974	1057713
fam979	1063020
fam980	1064052
fam981	1064903
fam982	1065425
fam983	1066076
fam984	1066818
fam985	1069301
fam986	1069810
fam987	1070875
fam988	1071645
fam989	1073879
fam990	1074971
fam991	1076252
fam992	1077687
fam993	1079207
fam996	1082266
fam997	1082867
fam998	1084275
fam999	1085685
fam1000	1087555
fam1001	1088120
fam1002	1090828
fam1003	1091766
fam1004	1093216
fam1006	1094916
fam1007	1097823
fam1008	1098954
fam1009	1099401
fam1010	1100137
fam1011	1101855
fam1012	1102426
fam1013	1103190
fam1014	1104576
fam1018	1107930
fam1019	1110945
fam1020	1111495
fam1021	1112831
fam1022	1113549
fam1023	1114757
fam1025	1116380
fam1026	1117127
fam1027	1117878
fam1028	1119716
fam1031	1122515
fam1033	1124541
fam1034	1125773
fam1036	1128881
fam1037	1129270
fam1038	1129811
fam1039	1130356
fam1040	1132341
fam1041	1133101
fam1042	1134476
fam1043	1135212
fam1044	1135458
fam1045	1136141
fam1046	1136940
fam1059	1150508
fam1060	1151682
fam1062	1153649
fam1063	1154236
fam1064	1156988
fam1065	1157720
fam1067	1159430
fam1068	1159896
fam1069	1162702
fam1070	1164133
fam1071	1164715
fam1072	1165272
fam1073	1165974
fam1074	1167355
fam1076	1169204
fam1077	1170433
fam1081	1172940
fam1082	1173892
fam1083	1174309
fam1084	1175070
fam1085	1175946
fam1086	1176719
fam1087	1178365
fam1088	1179850
fam1089	1183180
fam1090	1185033
fam1091	1186128
fam1092	1187138
fam1093	1188708
fam1094	1190067
fam1105	1199024
fam1106	1200043
fam1108	1202778
fam1109	1204049
fam1110	1204899
fam1111	1205559
fam1112	1207522
fam1113	1207920
fam1114	1208489
fam1115	1209263
fam1117	1210765
fam1118	1211824
fam1119	1212899
fam1120	1214353
fam1121	1215299
fam1122	1217334
fam1127	1224460
fam1128	1225356
fam1130	1227028
fam1131	1227486
fam1132	1228608
fam1133	1229575
fam1134	1230951
fam1135	1232361
fam1136	1233787
fam1138	1237621
fam1139	1238852
fam1140	1239867
fam1141	1241151
fam1142	1243785
fam1143	1246852
fam1144	1247684
fam1145	1248543
fam1146	1250000
fam1147	1251251
fam1151	1254786
fam1152	1255531
fam1153	1256553
fam1154	1257494
fam1155	1259384
fam1156	1261064
fam1157	1261416
fam1159	1263573
fam1160	1264179
fam1161	1266311
fam1162	1266745
fam1165	1268251
fam1166	1269897
fam1167	1270974
fam1168	1271573
fam1169	1272164
fam1170	1273306
fam1171	1273621
fam1172	1275134
fam1173	1277831
fam1174	1279127
fam1176	1281131
fam1177	1282511
fam1178	1283888
fam1179	1285649
fam1180	1286324
fam1181	1287100
fam1182	1287851
fam1183	1288323
fam1184	1289431
fam1185	1290941
fam1188	1292617
fam1189	1292857
fam1190	1293252
fam1191	1294318
fam1192	1294658
fam1193	1295278
fam1194	1297265
