fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.6193181818181818	0.7045454545454545	0.14761796655416565	0.0015700000000000002	0.0016	0.0012008746812219833	0.00176	0.0	0.002155550973649197	1014408	0.0016147635524798158
fam4124	0.03793198040181013	0.06020066889632107	0.03296060974169808	0.0007199999999999999	0.0	0.0008818163074019441	0.0158	0.0164	0.011311763788198549	751231	0.003980099502487562
fam1785	0.024385103036788428	0.0299625468164794	0.026888063757179264	0.00032	0.0	0.00039191835884530855	0.01602	0.0234	0.011458429211720078	1875513	0.0032098765432098768
fam966	0.0	0.0	0.0	0.0	0.0	0.0	0.01229	0.0164	0.008402553183408006	2856519	0.003125
fam393	0.0	0.0	0.0	0.0	0.0	0.0	0.012969999999999999	0.0207	0.009634422660440012	2074967	0.0026539278131634822
fam1571	0.23648648648648649	0.3153153153153153	0.13653553663268175	0.0021000000000000003	0.0035	0.0017146428199482247	0.004430000000000001	0.0	0.005425688896352241	2163186	0.002666666666666667
fam158	0.10190472846228846	0.09893992932862192	0.008546836881582512	0.00196	0.0028	0.001283121194587635	0.01935	0.0283	0.012775621315615143	1817371	0.005351170568561873
fam4609	0.27760079641612745	0.3170731707317073	0.06836815780996117	0.0038999999999999994	0.0039	0.0030209270100417848	0.00983	0.0	0.012039273233879195	1272424	0.005309734513274336
fam1037	0.24603174603174605	0.22222222222222224	0.07776157913597392	0.0012000000000000001	0.0015	0.0009	0.005399999999999999	0.0045	0.00440908153700972	2772601	0.0022598870056497176
fam4712	0.0	0.0	0.0	0.0	0.0	0.0	0.02792	0.026	0.021029065599783552	1387494	0.0049382716049382715
fam3276	0.0	0.0	0.0	0.0	0.0	0.0	0.007670000000000001	0.0118	0.00531	212204	0.0016861219195849545
fam1720	0.0	0.0	0.0	0.0	0.0	0.0	0.015209999999999998	0.0217	0.011609948320298416	1971753	0.0031746031746031746
fam1499	0.17652490374513793	0.17613636363636362	0.07834335880338397	0.0021699999999999996	0.0031	0.0014205984654363103	0.014100000000000001	0.0176	0.010600094339202835	2239487	0.005251141552511415
fam3994	0.0	0.0	0.0	0.0	0.0	0.0	0.00848	0.0	0.010385836509400675	607552	0.06161137440758294
fam1031	0.09539396773439325	0.14468085106382977	0.08318279434244395	0.0013599999999999999	0.0	0.0016656530250925613	0.014050000000000002	0.0195	0.009272135676315355	2778831	0.004155844155844156
fam3345	0.0	0.0	0.0	0.0	0.0	0.0	0.01986	0.0138	0.0172318426176657	136716	0.09599156118143459
fam4095	0.7075471698113208	0.7075471698113207	0.14150943396226412	0.003	0.003	0.00232379000772445	0.00318	0.0053	0.002596459127350169	719600	0.00303030303030303
fam680	0.0	0.0	0.0	0.0	0.0	0.0	0.0071400000000000005	0.0119	0.0058297855878239645	2371912	0.0015624999999999999
fam4775	0.08038069462398871	0.07253886010362694	0.014319341126105806	0.00098	0.0014	0.0006415605972938176	0.01261	0.0146	0.008730343635848476	1464902	0.003536977491961415
fam4190	0.0	0.0	0.0	0.0	0.0	0.0	0.016489999999999998	0.0188	0.01176167079967808	834800	0.0029158383035122596
fam1483	0.0	0.0	0.0	0.0	0.0	0.0	0.0172	0.0174	0.013285179712747584	2257848	0.0045045045045045045
fam1781	0.0	0.0	0.0	0.0	0.0	0.0	0.00956	0.0	0.011708560970503592	1880769	0.0024691358024691358
fam425	0.1284119106699752	0.22435897435897437	0.11120898608530269	0.0014	0.0	0.0017146428199482247	0.012410000000000001	0.0156	0.0083864712483857	2109396	0.004134366925064599
fam1195	0.07086336884089693	0.08	0.026188601537829828	0.0008	0.0008	0.0006196773353931868	0.012	0.0178	0.008683777979658394	2607507	0.059929078014184387
fam3726	0.0	0.0	0.0	0.0	0.0	0.0	0.01183	0.0185	0.008410118905223635	331185	0.0019536019536019536
fam4141	0.0	0.0	0.0	0.0	0.0	0.0	0.00932	0.0	0.01141462220136961	773040	0.0017777777777777779
fam3379	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	96933	0.0
fam1928	nan	nan	nan	0.00216	0.0022	0.001665653025092561	0.0	0.0	0.0	1693434	0.0016666666666666666
fam3111	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	399421	0.0
fam98	0.0	0.0	0.0	0.0	0.0	0.0	0.009460000000000001	0.0094	0.007358831428970228	1749768	0.0016142050040355127
fam657	0.0	0.0	0.0	0.0	0.0	0.0	0.006719999999999999	0.0	0.008230285535751477	2349307	0.0015414258188824663
fam4153	0.06162464985994398	0.0784313725490196	0.05489052644892276	0.00032	0.0	0.00039191835884530855	0.00816	0.0068	0.006662612100370245	786668	0.0018158236057068742
fam3894	0.08214285714285714	0.08214285714285714	0.08214285714285714	0.00092	0.0	0.001126765281680262	0.008400000000000001	0.014	0.006858571279792899	509279	0.002735042735042735
fam1496	0.0	0.0	0.0	0.0	0.0	0.0	0.006870000000000001	0.0064	0.005165084704048909	2243610	0.0016797900262467192
fam2317	0.046414772442169704	0.0684931506849315	0.04057867229316248	0.0004	0.0	0.0004898979485566357	0.005840000000000001	0.0029	0.005549810807586147	1267513	0.0017977528089887641
fam4239	0.2070364825466866	0.16326530612244897	0.17662578432215265	0.0019099999999999998	0.0024	0.001420176045425355	0.011810000000000001	0.0147	0.008870112738855128	884700	0.004301075268817204
fam4592	nan	nan	nan	0.0028799999999999997	0.0048	0.0023515101530718506	0.0	0.0	0.0	1254794	0.002
fam1988	0.0	0.0	0.0	0.0	0.0	0.0	0.01845	0.0257	0.01280236306312237	1628679	0.004026845637583892
fam265	0.0	0.0	0.0	0.0	0.0	0.0	0.013879999999999998	0.0197	0.009087441884270842	1932930	0.003131991051454138
fam2943	0.0	0.0	0.0	0.0	0.0	0.0	0.0055000000000000005	0.0069	0.004125045454295019	581658	0.001336675020885547
fam1040	0.0	0.0	0.0	0.0	0.0	0.0	0.01309	0.0163	0.00988063257084282	2769693	0.0031872509960159364
fam3456	0.0851133391455972	0.028225806451612902	0.09060462032088194	0.00028	0.0	0.0003429285639896449	0.01103	0.0037	0.011334112228136793	10540	0.0030938123752495008
fam1786	0.0	0.0	0.0	0.0	0.0	0.0	0.012119999999999999	0.0202	0.00989593856084404	1874826	0.0027027027027027024
fam3641	0.0	0.0	0.0	0.0	0.0	0.0	0.014799999999999999	0.0184	0.010044700095075014	238524	0.0032653061224489797
fam3986	0.3202476431687069	0.27184466019417475	0.07908247425696091	0.00252	0.0028	0.0017485994395515514	0.00825	0.0103	0.006200040322449524	601439	0.003715846994535519
fam443	0.0	0.0	0.0	0.0	0.0	0.0	0.00584	0.0073	0.00438	2128922	0.0014981273408239699
fam3198	0.036933567075209964	0.06445229681978798	0.03198550536766794	0.01827	0.0	0.022376105559279078	0.28591	0.0108	0.34357877830273514	296921	0.052973395931142406
fam3286	0.0	0.0	0.0	0.0	0.0	0.0	0.01086	0.0136	0.007352305760780084	194818	0.002282453637660485
fam4262	0.21428571428571433	0.2440476190476191	0.051549131177645174	0.00204	0.002	0.0015882065356873458	0.006719999999999999	0.0	0.008230285535751478	911067	0.003288490284005979
fam3216	0.03269230375100152	0.03334861333944533	0.0011367615526793077	0.012069999999999999	0.0022	0.013477169584152305	0.34901	0.0	0.42744821546007183	278542	0.07867298578199053
fam355	0.31057931893687707	0.24031007751937983	0.16982664627203578	0.0018599999999999999	0.0031	0.0015186836405255704	0.00643	0.0064	0.004996208562500168	2032202	0.002756892230576441
fam3280	0.07029146610100351	0.05514705882352942	0.06769700406645413	0.0006000000000000001	0.0	0.0007348469228349535	0.010790000000000001	0.0103	0.00848851577132304	205309	0.003289473684210526
