fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.0	0.0	0.0	0.0	0.0	0.0	0.017509999999999998	0.00925	0.014332302676122913	1254920	0.05893186003683243
fam4124	0.18394160583941604	0.18394160583941604	0.0	0.00504	0.0	0.006172714151813609	0.0274	0.0	0.03355800947612954	1543608	0.009732360097323601
fam1785	0.07920248781378623	0.07712082262210798	0.07925718097329382	0.0047799999999999995	0.0	0.00585436589222095	0.03196	0.0044	0.03561626594689567	2213757	0.010429447852760737
fam966	0.08853118712273642	0.08853118712273642	0.0	0.00176	0.0	0.002155550973649197	0.019880000000000002	0.0	0.02434792804326479	1209582	0.006181015452538631
fam393	0.07254901960784314	0.07254901960784314	0.0	0.00148	0.0	0.0018126224096595518	0.020399999999999998	0.0	0.024984795376388414	474801	0.0060109289617486334
fam5072	0.0	0.0	0.0	0.0	0.0	0.0	0.024640000000000002	0.0	0.03017771363108876	475605	0.005182567726737338
fam158	0.06831777481425033	0.06077348066298342	0.06914586830789167	0.00088	0.0	0.0010777754868245984	0.007920000000000002	0.0035	0.007053056075205982	202350	0.0025445292620865146
fam4609	0.0	0.0	0.0	0.0	0.0	0.0	0.020579999999999998	0.0091	0.018330891958658203	973722	0.004670912951167728
fam3479	0.10077519379844961	0.10077519379844961	0.0	0.00052	0.0	0.0006368673331236263	0.00516	0.0	0.006319683536380599	2321569	0.0016016016016016017
fam4712	0.262677362314034	0.2807881773399015	0.02373822194430664	0.00225	0.0008	0.0023001086930838728	0.008119999999999999	0.0034	0.008026555923931507	864220	0.003372243839169909
fam3276	0.01785714285714286	0.01785714285714286	0.0	0.00032	0.0	0.00039191835884530855	0.01792	0.0	0.021947428095337274	2563987	0.017624521072796932
fam1720	0.0436046511627907	0.0	0.07552547126027082	0.0006000000000000001	0.0	0.0007348469228349535	0.00344	0.0	0.004213122357587066	2107934	0.001045751633986928
fam1499	0.023996224132290613	0.023653088042049932	0.02400113033504834	0.00142	0.0	0.001739425192412712	0.031279999999999995	0.0042	0.03493968517316663	1850849	0.0062865497076023385
fam3994	0.4649122807017544	0.4649122807017544	0.0	0.00424	0.0	0.005192918254700338	0.00912	0.0	0.011169673227091292	1688665	0.005387205387205387
fam5170	nan	nan	nan	0.0032800000000000004	0.0	0.004017163178164413	0.0	0.0	0.0	379671	0.002515723270440252
fam1031	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1282440	0.0
fam5256	0.21940365604385192	0.12404287901990811	0.14384464165121527	0.00332	0.0006000000000000001	0.0035851917661402716	0.02672	0.0015	0.0318145815625477	283327	0.008017676767676767
fam3345	0.29264653403960966	0.3333333333333333	0.08592651700498284	0.008729999999999998	0.0078	0.0061916152981269755	0.0378	0.02015	0.03392998673739794	2480746	0.01545372866127583
fam4095	0.11727290011027036	0.18769230769230769	0.10184924404296364	0.0024400000000000003	0.0	0.0029883774861954775	0.01297	0.0035	0.013843485832694019	1576058	0.005520169851380043
fam680	0.061721944776173404	0.05942622950819671	0.06180727371544746	0.00232	0.0	0.002841408101628486	0.02018	0.0034	0.02200221807000376	836724	0.005687830687830688
fam875	0.013572943408862597	0.02306805074971165	0.01178864036484534	0.0008	0.0	0.0009797958971132714	0.03619	0.0081	0.03956840785273019	1091531	0.00733652312599681
fam4775	0.1568459450288429	0.166270783847981	0.016324299687894665	0.00309	0.0015	0.0029568395289565515	0.01683	0.0	0.020612474378395234	798463	0.006304728546409807
fam4190	0.18619246861924685	0.18619246861924685	0.006276150627615051	0.00194	0.0004	0.002056793621149191	0.00956	0.0	0.011708560970503592	1466315	0.0037004405286343613
fam1781	0.08256880733944955	0.08256880733944955	0.0	0.0014399999999999999	0.0	0.001763632614803888	0.01744	0.0	0.021359550557069312	2209996	0.00502092050209205
fam425	0.0528169014084507	0.0528169014084507	0.0	0.0006000000000000001	0.0	0.0007348469228349535	0.01136	0.0	0.013913101739008452	511240	0.0026004728132387705
fam1195	0.21464278780819254	0.21393904096291977	0.07108539882160486	0.00232	0.0029	0.00116	0.01214	0.0102	0.007552906725228374	1479783	0.005836139169472503
fam5082	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	466975	0.0
fam3726	0.09520892958094833	0.0808070101052929	0.028361750213583507	0.0018799999999999997	0.0023	0.0009410632284814873	0.02126	0.0267	0.012094891483597528	2013398	0.005363984674329502
fam4141	nan	nan	nan	0.00092	0.0	0.001126765281680262	0.0	0.0	0.0	1524159	0.0007207207207207207
fam3379	0.2518891687657431	0.2518891687657431	0.0	0.004	0.0	0.004898979485566357	0.01588	0.0	0.019448948557698433	2443742	0.006986899563318777
fam1928	0.3883495145631068	0.3883495145631068	0.0	0.0016	0.0	0.0019595917942265427	0.00412	0.0	0.005045948870133347	2377985	0.0022988505747126436
fam657	0.09090909090909091	0.09090909090909091	0.0	0.00092	0.0	0.001126765281680262	0.01012	0.0	0.01239441809848288	809703	0.002875112309074573
fam4153	nan	nan	nan	0.00872	0.0	0.010679775278534656	0.0	0.0	0.0	1510511	0.006060606060606061
fam5163	0.0	0.0	0.0	0.0	0.0	0.0	0.004200000000000001	0.0	0.005143928459844674	383834	0.001058201058201058
fam1496	0.09734513274336283	0.09734513274336283	0.0	0.00132	0.0	0.0016166632302368976	0.01356	0.0	0.016607540456069946	1845113	0.003755868544600939
fam2317	0.0	0.0	0.0	0.0	0.0	0.0	0.00688	0.0	0.008426244715174133	2810931	0.0012738853503184715
fam1988	0.1911180771421765	0.15413533834586468	0.10243647689304151	0.00194	0.0012000000000000001	0.0014691494137765567	0.01302	0.0038	0.01374516642314672	2438438	0.032192648922686945
fam1040	0.1686746987951807	0.1686746987951807	0.0	0.00112	0.0	0.0013717142559585796	0.00664	0.0	0.008132305946040152	1289480	0.0022222222222222222
fam3456	0.04606060606060606	0.04606060606060606	0.0	0.00152	0.0	0.0018616122045152152	0.033	0.0	0.04041658075592244	2343936	0.007953216374269007
fam1786	0.07731958762886598	0.07731958762886598	0.0	0.0006000000000000001	0.0	0.0007348469228349535	0.00776	0.0	0.00950402020199873	2214713	0.0019536019536019536
fam3641	0.0	0.0	0.0	0.0	0.0	0.0	0.00968	0.0	0.011855530355070582	2120206	0.0014336917562724014
fam3986	0.12104470871594157	0.16923076923076924	0.10646357904017757	0.00132	0.0	0.0016166632302368974	0.007770000000000001	0.0048	0.006965062813787109	1697427	0.00291970802919708
fam443	0.20337301587301587	0.19444444444444445	0.01546473935329354	0.0022899999999999995	0.0008	0.0023483824220088176	0.01008	0.0	0.012345428303627217	535093	0.00404040404040404
fam3198	0.03309342750949555	0.0	0.04199221423940615	0.00104	0.0	0.0012737346662472526	0.05005	0.0284	0.04244512339480237	2706482	0.01348314606741573
fam5211	0.1001999680282073	0.06319702602230483	0.08468659151680319	0.0008399999999999999	0.0008	0.0005388877434122991	0.01415	0.0067	0.01273736628977906	334272	0.003515889114266396
fam3286	0.7835051546391752	0.7835051546391752	0.0	0.00304	0.0	0.0037232244090304304	0.00388	0.0	0.004752010100999365	2549047	0.0032653061224489797
fam4262	0.08902464494569758	0.07936507936507936	0.09006665210898007	0.0012000000000000001	0.0	0.001469693845669907	0.00834	0.0038	0.007339645768019054	1382180	0.0026920031670625492
fam3280	0.0	0.0	0.0	0.0	0.0	0.0	0.00864	0.0	0.01058179568882333	2558001	0.0014388489208633094
fam4434	0.3253424657534247	0.3253424657534247	0.0	0.0171	0.0285	0.013962091533864116	0.052559999999999996	0.0876	0.042915060293561284	1172662	0.028971962616822427
fam1784	0.0876	0.0912	0.006235382907247963	0.00287	0.0019	0.002199113457737004	0.025	0.0	0.03061862178478973	2212659	0.007522123893805309
fam3247	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	2650390	0.0
fam5447	0.036306235201262825	0.036306235201262825	0.0	0.00184	0.0	0.0022535305633605237	0.05068	0.0	0.062070070082125735	46025	0.012100058173356602
fam2761	0.06552262090483618	0.06552262090483618	0.0	0.0016799999999999999	0.0	0.0020575713839378696	0.025640000000000003	0.0	0.03140245850248035	3244759	0.011360239162929745
fam3314	0.12441314553990611	0.12441314553990611	0.0	0.00424	0.0	0.005192918254700338	0.03408	0.0	0.04173930521702535	2516511	0.01
fam2375	0.04814814814814814	0.04814814814814814	0.0	0.00156	0.0	0.001910601999370879	0.0324	0.0	0.039681733833087485	2893802	0.009078014184397163
fam5036	0.10210210210210209	0.10210210210210209	0.0	0.0013599999999999999	0.0	0.0016656530250925613	0.013320000000000002	0.0	0.016313601686935967	516935	0.004118404118404118
fam4546	0.19791666666666669	0.19791666666666669	0.0	0.00228	0.0	0.002792418306772823	0.011519999999999999	0.0	0.014109060918431105	1050523	0.003952569169960474
fam2090	0.06382978723404255	0.06382978723404255	0.0	0.0008399999999999999	0.0	0.0010287856919689346	0.01316	0.0	0.016117642507513314	2546832	0.0033003300330033
fam2139	0.12974203338391502	0.12974203338391502	0.011380880121396049	0.004059999999999999	0.0016	0.003742512525029141	0.02636	0.0	0.03228427480988229	2605448	0.009392898052691865
fam2305	0.06547619047619048	0.0	0.11340808859081934	0.00044	0.0	0.0005388877434122992	0.0016799999999999999	0.0	0.0020575713839378696	2796925	0.0006980802792321117
fam519	0.009358288770053475	0.009358288770053475	0.009358288770053475	0.00041999999999999996	0.0007	0.0003429285639896449	0.014960000000000001	0.0	0.018322183276018172	630156	0.002513464991023339
fam1093	0.07589538743893552	0.11708860759493671	0.06608481208222797	0.00148	0.0	0.0018126224096595518	0.01252	0.0044	0.012821294786409055	1342628	0.003831417624521073
fam4968	0.0	0.0	0.0	0.0	0.0	0.0	0.03104	0.0	0.03801608080799492	597763	0.008333333333333333
fam2823	0.0	0.0	0.0	0.0	0.0	0.0	0.00904	0.0	0.011071693637379964	3176727	0.001646090534979424
fam2025	0.03601909039865244	0.03357664233576642	0.03618433332571001	0.00184	0.0	0.002253530563360524	0.03214	0.0162	0.026937973197699933	2475481	0.008288288288288289
fam4230	0.31250000000000006	0.31250000000000006	0.0	0.0012000000000000001	0.0	0.001469693845669907	0.0038399999999999997	0.0	0.004703020306143701	1419205	0.0018327605956471936
fam814	0.0	0.0	0.0	0.0	0.0	0.0	0.0196	0.0	0.024004999479275146	996574	0.009411764705882352
fam321	0.049488054607508526	0.049488054607508526	0.0	0.00116	0.0	0.001420704050814243	0.02344	0.0	0.028708019785418846	388417	0.006181015452538631
fam346	0.05031492113037177	0.08181818181818182	0.04365882906677303	0.00252	0.0	0.0030863570759068044	0.03059	0.0064	0.03369336581583977	412301	0.008846761453396523
fam643	0.05138339920948617	0.05138339920948617	0.0	0.00052	0.0	0.0006368673331236263	0.01012	0.0	0.01239441809848288	793789	0.0024922118380062306
fam62	0.06999999999999999	0.06999999999999999	0.009999999999999998	0.00126	0.0007	0.0010287856919689348	0.014000000000000002	0.0	0.01714642819948225	69258	0.003735144312393888
fam1679	0.06626506024096386	0.06626506024096386	0.0	0.00044	0.0	0.0005388877434122992	0.00664	0.0	0.00813230594604015	2063463	0.0014298480786416443
fam922	0.15913555992141454	0.15913555992141454	0.0	0.00324	0.0	0.003968173383308749	0.02036	0.0	0.024935805581532754	1152252	0.006557377049180328
fam494	0.059999158080106925	0.043795620437956206	0.03830137824453355	0.0007199999999999999	0.0009	0.00054	0.019020000000000002	0.0087	0.018280251639405845	602899	0.003671071953010279
fam2091	0.0	0.0	0.0	0.0	0.0	0.0	0.01593	0.0078	0.015195002467916878	2547601	0.0036231884057971015
fam2999	0.21428571428571427	0.3	0.20995626366712955	0.00132	0.0	0.0016166632302368974	0.0055	0.0055	0.004260281680828158	2991165	0.002264150943396226
fam2732	0.17676767676767677	0.17676767676767677	0.16365506814161263	0.0014	0.0	0.0017146428199482247	0.00792	0.0099	0.005940000000000001	3276491	0.00310077519379845
fam1358	0.09557673849486015	0.10256410256410255	0.060027029168272725	0.0033599999999999997	0.0012	0.003427885645700568	0.03351	0.0175	0.0288404732970872	1676668	0.00830860534124629
fam4782	0.2635664101706256	0.2530612244897959	0.01819551534214211	0.0028799999999999997	0.001	0.002953235513805155	0.00979	0.0	0.011990283566288163	791809	0.004587155963302752
fam4961	0.07369538801738389	0.1206581352833638	0.06392501377204936	0.00264	0.0	0.003233326460473795	0.02182	0.0044	0.024122761036000834	603550	0.006266318537859007
fam2664	0.055828158403746296	0.08936170212765956	0.048485342481815165	0.0008399999999999999	0.0	0.0010287856919689348	0.0094	0.0026	0.009996799487836093	3276575	0.002622950819672131
fam5468	0.277992277992278	0.277992277992278	0.0	0.0057599999999999995	0.0	0.0070545304592155526	0.02072	0.0	0.025376713735233723	22558	0.009621993127147767
fam651	0.06474820143884892	0.06474820143884892	0.0	0.0007199999999999999	0.0	0.0008818163074019441	0.01112	0.0	0.01361916296987447	801845	0.0023809523809523807
fam3550	0.2159570696068217	0.14752252252252251	0.16939020538311728	0.00844	0.0087	0.004247870054509672	0.054849999999999996	0.0636	0.030623691808794054	2233928	0.01741122565864834
fam870	0.11683848797250858	0.11683848797250858	0.0	0.0013599999999999999	0.0	0.0016656530250925613	0.011640000000000001	0.0	0.014256030302998098	1088453	0.003518029903254178
fam150	0.13897531040388184	0.12937062937062938	0.10734285965485027	0.00172	0.0012	0.0014851262572589577	0.01222	0.004	0.011862276341411036	191842	0.008638497652582159
fam508	0.0	0.0	0.0	0.0	0.0	0.0	0.01984	0.0	0.024298938248409126	618004	0.005649717514124294
fam155	0.11617009520571234	0.10661764705882351	0.11695293733507622	0.0034799999999999996	0.0	0.00426211215244273	0.0174	0.0058	0.016824268186164892	198943	0.006613756613756613
fam4627	0.12399211943686435	0.11597374179431073	0.052362269999004785	0.00423	0.0042	0.0026959413940217617	0.027390000000000005	0.0454	0.022364411461069125	946381	0.009195402298850573
fam179	0.17733265117335673	0.13999999999999999	0.11955052419800712	0.0031599999999999996	0.0028	0.002082882617912013	0.0176	0.0199	0.008122068701999509	227268	0.006652806652806653
fam885	0.12010443864229764	0.12010443864229764	0.0	0.00184	0.0	0.002253530563360524	0.01532	0.0	0.018763091429719145	1102704	0.004873803307223673
fam2021	0.044233807266982623	0.044233807266982623	0.0	0.00112	0.0	0.0013717142559585796	0.02532	0.0	0.03101054014363503	2470618	0.005479452054794521
fam3801	0.04363001745200699	0.04363001745200699	0.0	0.001	0.0	0.0012247448713915891	0.02292	0.0	0.028071152452295217	1893867	0.0049382716049382715
fam1934	0.5257731958762887	0.5257731958762887	0.0	0.00204	0.0	0.002498479537638842	0.00388	0.0	0.004752010100999365	2383346	0.0024242424242424242
fam3438	0.04960835509138381	0.04960835509138381	0.0	0.00076	0.0	0.0009308061022576076	0.01532	0.0	0.018763091429719145	2368972	0.00440771349862259
