fam	loc
fam2	448204
fam4	444811
fam5	443693
fam6	442602
fam7	441684
fam8	440802
fam9	439793
fam10	439422
fam11	438579
fam12	437838
fam13	437246
fam14	435271
fam15	434654
fam16	434283
fam17	433195
fam18	432212
fam19	431695
fam20	430020
fam21	427898
fam22	427260
fam23	426041
fam24	425303
fam26	423608
fam27	422551
fam28	422134
fam29	421509
fam30	420527
fam32	418520
fam33	417910
fam34	415962
fam35	414163
fam36	413390
fam37	411879
fam38	410364
fam39	409325
fam40	408570
fam41	407519
fam42	407121
fam43	404648
fam44	404011
fam45	403623
fam46	402161
fam47	401396
fam48	400743
fam49	399990
fam50	399528
fam51	398751
fam52	397568
fam53	396541
fam54	394498
fam56	393254
fam57	392817
fam58	392027
fam59	391020
fam60	389963
fam61	389469
fam62	388745
fam63	386970
fam64	385974
fam65	384726
fam66	384250
fam67	382762
fam68	380433
fam69	379876
fam70	377392
fam71	376510
fam72	375485
fam74	373549
fam75	372302
fam77	370681
fam78	369230
fam79	368595
fam80	367063
fam81	366083
fam82	364190
fam83	363149
fam84	362643
fam85	360800
fam86	360195
fam87	358888
fam88	357139
fam89	356580
fam90	355971
fam91	355398
fam92	353050
fam93	352137
fam94	351355
fam95	349798
fam96	349254
fam97	348664
fam98	347054
fam99	346232
fam100	344704
fam101	344157
fam102	343109
fam103	341833
fam104	340332
fam105	338961
fam106	338436
fam107	338128
fam108	337665
fam109	337234
fam110	335400
fam112	333197
fam113	332315
fam116	330200
fam117	329414
fam119	328180
fam120	327512
fam121	325857
fam122	325189
fam123	324456
fam124	323702
fam125	322590
fam126	319871
fam127	318889
fam128	317578
fam129	316161
fam130	314139
fam131	312237
fam132	311914
fam133	311258
fam135	307069
fam136	305771
fam137	305404
fam138	304543
fam139	303631
fam140	302506
fam141	301342
fam142	299218
fam143	297822
fam144	296989
fam145	296315
fam146	293601
fam147	292403
fam149	291527
fam150	290657
fam151	289959
fam152	288793
fam153	287200
fam154	286956
fam155	285181
fam157	282242
fam158	280602
fam159	279293
fam160	278904
fam161	278517
fam162	276466
fam163	275885
fam164	275031
fam165	273919
fam166	273027
fam167	272148
fam168	271141
fam169	270458
fam170	268596
fam171	267199
fam172	266621
fam173	264726
fam174	263449
fam175	263055
fam176	262807
fam177	262170
fam178	261764
fam179	261507
fam180	260946
fam181	260725
