fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.145377314915129	0.11523642732049037	0.055389175200821456	0.02294	0.0329	0.014521239616506573	0.19166	0.2855	0.13891753812964006	384044	0.05105105105105105
fam1571	0.0	0.0	0.0	0.0	0.0	0.0	0.005699999999999999	0.00475	0.00286705423736629	620285	0.0015444015444015444
fam158	0.11419092465753425	0.1424443493150685	0.07017096663060297	0.00198	0.0033	0.0016166632302368974	0.015459999999999998	0.0192	0.00988890287140085	181352	0.005392156862745098
fam1037	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.015	0.007348469228349534	1038886	0.002325581395348837
fam1499	0.06241818801091011	0.06219578150351541	0.013700104230854118	0.00784	0.0098	0.00466244571013969	0.12777999999999998	0.1639	0.071615623993651	705041	0.032226322263222626
fam1031	0.037088722264671276	0.0	0.04187540303062169	0.00112	0.0	0.0013717142559585796	0.02248	0.02305	0.011842955712152266	1033293	0.005722460658082976
fam875	0.124753146424162	0.10513447432762836	0.026261973172280108	0.00242	0.0026	0.0017156922801015338	0.02105	0.0168	0.01683117642947159	876335	0.006147540983606557
fam1483	0.06975891800979475	0.0746705710102489	0.02881377259917042	0.0058000000000000005	0.0079	0.0031054790290710385	0.0807	0.0864	0.04203041755681235	724591	0.021965317919075144
fam1781	0.09410080092287332	0.046610169491525424	0.07702563119948218	0.00198	0.0011	0.0016166632302368976	0.02112	0.0236	0.012253472977078786	387822	0.006600660066006602
fam425	0.0	0.0	0.0	0.0	0.0	0.0	0.012839999999999999	0.0214	0.010483816099112002	430595	0.0029411764705882353
fam1195	0.5392419838998825	0.6865671641791045	0.16481317431976242	0.00324	0.00405	0.0016794046564184584	0.006029999999999999	0.0067	0.0029434843298376838	1057815	0.027557755775577557
fam1928	0.945917915549966	0.9211956521739131	0.22262081446262638	0.01799	0.01965	0.011532948452152207	0.01833	0.01805	0.014279919467560033	244525	0.07727272727272727
fam98	0.03274215552523874	0.03274215552523874	0.0	0.0014399999999999999	0.0024	0.0011757550765359253	0.043980000000000005	0.0733	0.03590951962920139	113375	0.009411764705882352
fam1496	0.13883485870791898	0.08888888888888889	0.09540051772589137	0.006189999999999999	0.0056	0.003958648759362214	0.07855999999999999	0.0315	0.07349560803204502	709681	0.019607843137254905
fam1988	0.12882541076131945	0.08208955223880597	0.08627093526043068	0.0015400000000000001	0.0011	0.0011217842929904128	0.01076	0.0134	0.008120492595895892	200621	0.004157043879907621
fam1786	0.04748471236290309	0.06306334737773989	0.027422128126677787	0.01386	0.0231	0.011316642611658283	0.22139999999999999	0.362	0.175822626530262	383130	0.05398907103825137
fam443	0.22925817772380425	0.17391304347826086	0.10887358197322541	0.007220000000000002	0.0054	0.004859794234327211	0.038779999999999995	0.0297	0.02927062691504916	449283	0.016040100250626566
fam355	0.029919373120482144	0.011933174224343675	0.02845097300988501	0.0006000000000000001	0.001	0.0004898979485566357	0.041120000000000004	0.0164	0.0347780332968959	364313	0.009292035398230088
