fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.049862224890844	0.05601469237832875	0.031501287371801835	0.002426666666666667	0.002	0.002483402683595411	0.04188	0.0249	0.045666693917266805	548930	0.016483011937557395
fam966	0.044693606897972894	0.05714285714285714	0.043936488715432355	0.00096	0.0018	0.0008979977728257459	0.021286666666666666	0.0221	0.00832176797454857	325499	0.007567567567567566
fam1571	0.11542643962364987	0.09502262443438915	0.08136404532059474	0.00392	0.0042	0.002408651074771935	0.03883999999999999	0.037	0.018124819079556813	336161	0.01452991452991453
fam158	0.0784313725490196	0.0	0.13864838846795052	0.0007333333333333334	0.0	0.0010370899457402697	0.00714	0.0102	0.005200999903864641	1170097	0.002674897119341564
fam1037	0.0	0.0	0.0	0.0	0.0	0.0	0.0044666666666666665	0.0067	0.003995108119799624	247329	0.0012845215157353885
fam1720	0.046967657534204295	0.0	0.05567876626934341	0.0019666666666666665	0.0	0.0027812866726670874	0.028086666666666666	0.0348	0.021994449804944482	492121	0.010163243812532913
fam1499	0.023104531075005087	0.0	0.02537915201770496	0.0010666666666666667	0.0	0.0015084944665313014	0.023526666666666664	0.0062	0.028188069974528034	242343	0.00824598183088749
fam1031	0.0	0.0	0.0	0.0	0.0	0.0	0.006046666666666666	0.009	0.005426461912599119	250467	0.0017226528854435833
fam680	0.0	0.0	0.0	0.0	0.0	0.0	0.012746666666666665	0.0159	0.006800967251469128	640375	0.0035746201966041107
fam875	0.1399548658450196	0.11510791366906475	0.1255067195878016	0.0017333333333333333	0.0008	0.00161850411045371	0.013319999999999999	0.0165	0.008015584819587402	425020	0.005190058479532163
fam1483	0.12102397139994862	0.15138282387190685	0.06350621801869694	0.012946666666666667	0.0202	0.008549297566986943	0.10520666666666667	0.1124	0.04644911863773329	227797	0.03407407407407407
fam1781	0.07237405465254916	0.0717557251908397	0.029851865591311824	0.005140000000000001	0.0047	0.003068941185490527	0.0779	0.0803	0.04676122325174995	544969	0.024715660542432193
fam1928	0.05759347864611023	0.09848484848484848	0.05208947287249164	0.0008666666666666666	0.0	0.0012256517540566825	0.015473333333333335	0.0264	0.012704669307865601	714837	0.005612829324169532
