fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	0.24466338259441714	0.2298850574712644	0.1595607996414657	0.003066666666666667	0.0039	0.002481039208790453	0.0067666666666666665	0.0	0.00848246557447905	470090	0.003739316239316238
fam393	0.2679504958376667	0.23149377883405564	0.1205137925946672	0.004655555555555555	0.004699999999999999	0.0019865442418157612	0.016038888888888894	0.0154	0.011638758949155328	138678	0.007248298417749492
fam158	0.12986374624690214	0.11705773011410522	0.08082757212622566	0.008869444444444444	0.0114	0.0063182636259429365	0.07437777777777776	0.0751	0.05434160014365457	443896	0.02466079941327466
fam1037	0.08409108205996271	0.0	0.11623987240922663	0.0014944444444444443	0.0	0.001873639424050963	0.027591666666666667	0.03225	0.020626821468391315	558745	0.007374631268436577
fam1499	0.020349695647777652	0.02142177532144101	0.022253332918073063	0.0011666666666666663	0.0021	0.001043498389499902	0.05778333333333333	0.0578	0.024379995214656353	1189333	0.018518518518518517
fam1031	0.021158194032494856	0.02440775305096913	0.017936669961311054	0.0018888888888888887	0.0034	0.001689473582999841	0.0730611111111111	0.0718	0.04622006104723226	553453	0.01706036745406824
fam680	0.08446275094987686	0.045839210155148094	0.062333480599490586	0.003044444444444444	0.0016	0.0023805280045080153	0.06499166666666664	0.016	0.06628468222162812	166866	0.019025875190258754
fam875	0.12208324179622511	0.08374384236453203	0.0896568087335575	0.004366666666666667	0.0051	0.002732723509207944	0.049725000000000005	0.04365	0.03908319740559163	371388	0.016089860352155438
fam425	0.06167202915240185	0.04222670121892696	0.048862136942541816	0.003949999999999999	0.0034	0.002023953776371607	0.09053333333333334	0.11995	0.06115806024828889	96728	0.024152581509189988
fam1195	0.06657865672131089	0.04545454545454545	0.07443830740742205	0.0020944444444444448	0.00195	0.0012736527619507177	0.042833333333333334	0.05265	0.02647916371623377	739235	0.04723157500935278
fam98	0.03064512957962351	0.022269595243547262	0.03135059296591496	0.0021055555555555554	0.0009	0.001797829624303897	0.09130555555555556	0.042300000000000004	0.08134710929933542	516683	0.024493872300088024
fam657	0.0	0.0	0.0	0.0	0.0	0.0	0.010911111111111113	0.0129	0.011838068953305258	143183	0.0027502750275027505
fam1496	0.15693282944136613	0.13389121338912133	0.1611986248212835	0.005905555555555556	0.0032	0.004737612176593022	0.03627222222222222	0.0279	0.02476689783551952	1195037	0.014091532610051126
fam1988	0.03346688110563511	0.01474805655133524	0.042095986228775834	0.0020777777777777773	0.0018	0.0022660674589241735	0.07048055555555555	0.0509	0.04686688489425511	645892	0.018950857472258255
fam265	0.06064075868153125	0.06078576723498889	0.01132596505500929	0.004550000000000001	0.00725	0.004101524106963166	0.07807777777777776	0.10189999999999999	0.07333948122377769	306706	0.018518518518518514
fam443	0.13501325433278216	0.08104091510568394	0.11075821299862977	0.007086111111111111	0.0082	0.004643941858771955	0.0943111111111111	0.1164	0.0723160224207985	78261	0.02445842068483578
fam355	0.05947333501751197	0.056653491436100135	0.0743073529340349	0.0015916666666666664	0.0014	0.0016183625126102686	0.028005555555555554	0.0158	0.02450802526661697	191372	0.008327509899836943
fam519	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	7099	0.0
fam1093	0.07382840239404855	0.06339712918660288	0.044243095824830096	0.006866666666666667	0.0064	0.003127832050052134	0.11338333333333334	0.1119	0.0641561917857072	621276	0.03623882503192847
fam814	0.1674729310729265	0.15945330296127563	0.08474439581955452	0.005683333333333334	0.0055	0.002781136857873453	0.046644444444444454	0.042499999999999996	0.03620894183949322	300440	0.01607343274009941
fam594	0.03754003683968035	0.03321568756803114	0.024294066267201854	0.0027055555555555557	0.00285	0.0017228762199112862	0.07021944444444445	0.05915	0.03341730106999172	64061	0.01971116315378611
fam346	0.16315089440772618	0.17993295019157085	0.10872601071721967	0.004794444444444444	0.0039	0.003232383403795998	0.028161111111111112	0.02675	0.01931758378291334	199223	0.010921177587844255
fam62	0.07369058931278326	0.0699523052464229	0.03148606153138367	0.005916666666666667	0.0061	0.0022461695790339997	0.08599166666666666	0.0833	0.029869330005877267	563653	0.02990100005025378
fam1679	0.0	0.0	0.0	0.0	0.0	0.0	0.024897222222222223	0.0247	0.015901895172014197	980007	0.00588235294117647
fam922	0.447739324023477	0.39999999999999997	0.12484369759361434	0.004533333333333333	0.0048	0.0037428450260315197	0.008727777777777777	0.012	0.008860574696407523	422040	0.005668934240362812
fam1358	0.10379464285714284	0.0	0.119851729988025	0.00155	0.00155	0.0015500000000000002	0.004977777777777779	0.0	0.006239974675478842	1362313	0.002194787379972565
fam651	0.024200606932900694	0.02901665771090812	0.013003189924014325	0.002875	0.0036	0.0021040140208658303	0.1179888888888889	0.1412	0.05786945931134707	135328	0.03279030910609858
fam870	0.042595746352394236	0.04008955019965596	0.024030990037034603	0.0042472222222222225	0.0045	0.002358493647214386	0.10420555555555558	0.10819999999999999	0.04487883034995728	366259	0.0303030303030303
fam910	0.08659764760726998	0.066884176182708	0.05866274167837981	0.0023500000000000005	0.0027	0.0013425721582097554	0.03375277777777777	0.0406	0.01935630081324527	409786	0.010905949681459885
fam150	0.006668829007657182	0.006470881035340966	0.008194945835901938	0.000661111111111111	0.00065	0.0006617643831194242	0.09395277777777779	0.0909	0.05540558779537148	452923	0.032382382382382384
fam508	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	16714	0.0
fam155	0.0	0.0	0.0	0.0	0.0	0.0	0.06002222222222223	0.0879	0.04865604399541697	445188	0.010101010101010102
fam179	0.04079796542954574	0.033541341653666144	0.02717891040356783	0.005802777777777778	0.0052	0.003944228280461853	0.14451111111111112	0.1488	0.07228290015156413	408558	0.035541310541310545
fam885	0.23412179214003398	0.136986301369863	0.262445314633664	0.0044333333333333325	0.0056	0.002670622066527239	0.029075	0.03475	0.022126421799890435	380339	0.008818342151675486
fam1934	0.1440486503176317	0.051357733175914994	0.2245283291093342	0.001891666666666667	0.002	0.001566910442027027	0.02306944444444444	0.02325	0.016331170255483234	713917	0.007696007696007696
fam119	0.09335170270772358	0.09322443286780463	0.036765566861776545	0.011141666666666668	0.0107	0.0056927524586579	0.12475555555555558	0.12855	0.06650055323263795	500197	0.03562610229276897
fam1001	0.14932494922601086	0.15853942947724292	0.05482864976990841	0.011441666666666664	0.01265	0.005996219874035455	0.07489444444444443	0.0847	0.032773379648431855	514024	0.02821869488536155
fam1364	0.33157483897511647	0.33557046979865773	0.19521492959524792	0.0050416666666666665	0.005	0.00430163889956168	0.014902777777777777	0.0149	0.010006261542740546	1358192	0.00749063670411985
fam1587	0.15957963134803288	0.15151515151515152	0.06374795861178006	0.006861111111111111	0.007	0.0031863665983005523	0.04468611111111111	0.05085	0.018297543137715054	1095998	0.016853932584269666
fam1446	0.027887056041686578	0.024905023216547063	0.018242399605139945	0.0019972222222222223	0.0024	0.0011596182588131491	0.085375	0.06505	0.05589913721755164	1254698	0.02196044211751018
fam1143	1.0199977794242512	0.9314581458145814	0.27560766908951934	0.03315	0.02695	0.018365555017780186	0.03475277777777777	0.0265	0.021933542123007136	677875	0.07248083494966287
fam933	0.49234415322588976	0.22051886792452832	0.40652685796884636	0.009205555555555555	0.007	0.0075122472020488894	0.03666388888888889	0.0182	0.03877856762567134	432537	0.01601851851851852
fam839	0.05327683478017555	0.05799701046337818	0.037514690754085395	0.002288888888888889	0.0022	0.0016752740700782494	0.04216388888888889	0.044700000000000004	0.01991636893470318	329324	0.013203017832647462
fam1534	0.2970833333333333	0.31666666666666665	0.051812629841681564	0.0029138888888888886	0.0	0.0037653502698050535	0.006666666666666666	0.0	0.012472191289246468	1158449	0.0037833532457188374
fam1447	0.12694580464211888	0.12036696273753494	0.03644522506744595	0.009852777777777776	0.00995	0.003624108021378127	0.08089722222222223	0.07675	0.030978446683954594	1252179	0.027166972069520793
fam1584	0.0	0.0	0.0	0.0	0.0	0.0	0.021944444444444444	0.0201	0.017279860538989125	1098663	0.004115226337448561
fam317	0.04824225704129094	0.04575250243599965	0.029497588601150503	0.0031694444444444443	0.00295	0.0015351111875120612	0.07883055555555556	0.07425000000000001	0.037926154999217775	228354	0.02032227032227032
fam568	0.05675808992440416	0.0	0.12006190035123408	0.0005777777777777778	0.0	0.0010809232450680274	0.013125	0.0146	0.008507590565032043	36275	0.003809523809523809
fam645	0.06265784980863616	0.06395851339671565	0.033745719955504974	0.004594444444444444	0.0044	0.0028574410117800275	0.07154166666666667	0.07565	0.034732392621617966	129141	0.022104644326866554
fam732	0.058663409946176595	0.0282413350449294	0.09658440596658972	0.0013444444444444445	0.0022	0.0012992400437786796	0.04111388888888889	0.0481	0.029358844519892294	217329	0.01077943615257048
fam1082	0.0882451171387601	0.0	0.10906599345086895	0.0019444444444444446	0.0	0.0024374901076089227	0.030405555555555557	0.0386	0.019449535047919447	608898	0.007716049382716046
fam1699	0.13283662190639253	0.03399765533411488	0.1471869342120676	0.004083333333333334	0.0029	0.003321855237999125	0.11125	0.0142	0.12776043227680295	953698	0.029084299022949327
fam1197	0.11285364033782126	0.07476635514018692	0.1172072603020507	0.003688888888888889	0.004	0.0017412922688141985	0.04410833333333333	0.053250000000000006	0.02454831262587671	741845	0.014121573913601644
fam1736	0.02468652067981896	0.01968503937007874	0.026763638363388256	0.0019055555555555557	0.0021	0.001122978293162241	0.10474166666666668	0.09015000000000001	0.06017831085384686	904007	0.029597282872392043
fam531	0.15051875805466208	0.1414141414141414	0.08119570414400014	0.003966666666666666	0.00355	0.002118962010041709	0.029594444444444448	0.0275	0.017596731774275655	603	0.016186757768016917
fam507	0.13469387755102039	0.0	0.1649656357384589	0.0016499999999999998	0.00165	0.00165	0.004377777777777777	0.0	0.0054326743522213755	16905	0.002314814814814815
fam1250	0.021663175989149956	0.019493177387914232	0.027427680329519245	0.001	0.001	0.0009999999999999998	0.06132777777777777	0.0756	0.03477107363496841	805136	0.015348682015348685
fam1334	0.07018766046805161	0.04571671971265907	0.105899654423659	0.0026638888888888893	0.0021	0.0021645056887296945	0.05641666666666667	0.05085	0.03253318391359129	912468	0.014230979748221125
fam646	0.059037445118628434	0.052131032053539986	0.057697833921644064	0.008633333333333333	0.0133	0.006529037703470041	0.15852500000000003	0.17575	0.11914908116165505	130160	0.0462405176260598
fam504	nan	nan	nan	0.0011333333333333334	0.0	0.0021202725191719	0.0	0.0	0.0	18393	0.000814000814000814
fam1564	0.0	0.0	0.0	0.0	0.0	0.0	0.03412777777777778	0.02685	0.025138423568437478	1123916	0.024325172630257373
fam363	0.026079563867677957	0.025348015790567214	0.011982474408047688	0.009097222222222222	0.0122	0.007624721711173431	0.33686666666666665	0.4482	0.28050969680208915	180176	0.05226784755770262
fam565	0.11869770933490277	0.09288537549407115	0.09930893000693201	0.002644444444444444	0.0015	0.001957669312167525	0.028358333333333336	0.0234	0.021511823299447834	33808	0.010565424358527807
fam1369	0.05617314016319711	0.04531722054380665	0.07746315252969158	0.0026305555555555553	0.0015	0.002740622338533556	0.05252500000000001	0.0284	0.052834502484435095	1349136	0.01384148653773227
fam1318	0.0821888584896411	0.07650273224043716	0.044199911898211416	0.0024416666666666666	0.0025	0.0015614051719880753	0.035536111111111116	0.02385	0.029476423278969714	890270	0.023188206748157306
fam530	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1692	0.0
fam1145	0.0871003266134339	0.054546770445149606	0.07180960627725684	0.0055	0.00575	0.0032676019069375973	0.09884999999999998	0.09375	0.07449975205029581	679846	0.025208734746307
fam1685	0.048673288477270066	0.0467089158285013	0.026487827897312854	0.0015166666666666668	0.0016	0.0006635343079131462	0.03358611111111112	0.0335	0.00961867837935296	966459	0.01016260162601626
fam488	0.26741991917362684	0.20588235294117646	0.2391397958198252	0.0026527777777777778	0.0033	0.002281627843729987	0.012916666666666665	0.01405	0.009044688435147386	34022	0.0052716950527169504
fam116	0.07648308844301406	0.03956752055660974	0.09026056711624435	0.005500000000000001	0.0071	0.0035969122560576567	0.14171666666666666	0.22805	0.11208109043604694	503023	0.03778330569375346
fam69	0.29533425514980405	0.14122355631789593	0.37338710090096305	0.010497222222222222	0.0074	0.009405715936809415	0.08185833333333332	0.0307	0.09031300624617822	556341	0.02458628841607565
fam2003	0.6979683971245588	0.6683517156862745	0.3815396462777552	0.005269444444444445	0.0041	0.005065834330999761	0.0053416666666666664	0.0064	0.005806384177973606	632487	0.006258573388203018
fam1969	0.07547651941280137	0.05207490151637796	0.09372018714404945	0.006430555555555556	0.00655	0.002310942501862299	0.11272777777777779	0.1153	0.04930158669472296	667758	0.03688700274348423
fam1899	0.07471643640123571	0.0589041095890411	0.06347641380038775	0.00608888888888889	0.0063999999999999994	0.004018207019843675	0.10292499999999999	0.0713	0.08413351285968695	748852	0.029094994576166124
fam1501	0.0271678050536833	0.012855209742895807	0.038334724193764755	0.0012666666666666666	0.0019	0.001184858172478415	0.07049166666666667	0.02805	0.06486973431852142	1187189	0.01825179088553574
fam1331	0.03442373321038132	0.03602459941322501	0.011242565572725002	0.0033416666666666673	0.0035	0.0015164606087128601	0.09523055555555555	0.08729999999999999	0.03197736890229683	908745	0.028161122906345832
fam1979	0.10538186486701882	0.06524538197941238	0.1079756440096864	0.006152777777777778	0.0065	0.0033327904650533634	0.09556666666666665	0.07680000000000001	0.0659745658063267	655318	0.028637105783277477
fam1600	0.057112392444673	0.05920117441160633	0.03270869644250648	0.005777777777777778	0.0065	0.004639570808162174	0.09410833333333332	0.11224999999999999	0.06809499237176778	1080522	0.03582667634955217
fam942	0.5004574124442029	0.46731886534518113	0.26065981309408537	0.006463888888888889	0.00595	0.003794524767329441	0.011966666666666669	0.01515	0.007593271875665837	444796	0.008861011549183593
fam1050	0.5121290722587645	0.5268817204301075	0.23361907177553148	0.004872222222222222	0.0039	0.0038796199062902997	0.007611111111111112	0.0093	0.006419145745250331	570808	0.012157809983896942
fam949	0.26542001915307223	0.21428571428571427	0.21871378573937827	0.0024361111111111115	0.0021	0.001676662156683427	0.011961111111111113	0.0098	0.007117945934115238	451866	0.004774654172244534
fam1221	0.28227005196977384	0.27896995708154504	0.08198699982096526	0.013572222222222222	0.0113	0.008446156624666338	0.04795833333333333	0.0492	0.02722447198753357	770549	0.027316352897748246
fam1869	0.1447470158290678	0.11656276900498144	0.11578833051437122	0.015433333333333334	0.01545	0.007041425045164272	0.15379166666666666	0.12625	0.09251502693256557	775349	0.04890046296296297
fam74	0.19822448047167146	0.2323232323232323	0.21914075770719116	0.0013583333333333334	0.0	0.001942846565680825	0.009222222222222222	0.0	0.011444288024821017	549957	0.0028436676376751282
fam1512	0.05772451175080861	0.06814701378254212	0.05350156768042582	0.0046749999999999995	0.0044	0.0039056493982719724	0.0711611111111111	0.1116	0.05847724285650586	1174277	0.01851851851851852
fam1730	0.061592467042886026	0.0	0.06673463240945646	0.0019166666666666668	0.0	0.0026833333333333327	0.01915277777777778	0.0143	0.01678836379611239	910281	0.006013745704467354
fam983	0.07205960590173896	0.0634537026216353	0.037464746778609885	0.003944444444444444	0.0038	0.0018402059734419292	0.05912777777777778	0.0609	0.02628646262401905	497993	0.017803928723468955
fam868	0.06369578134284018	0.0	0.16241388529391604	0.0003555555555555556	0.0	0.0006651835354264786	0.0014888888888888888	0.0	0.0018426698290158856	365119	0.0005809731299927377
