fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4124	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	568372	0.0010787486515641855
fam1785	nan	nan	nan	0.0005674603174603176	0.0011	0.0005497227822404534	0.0	0.0	0.0	1786691	0.0004899078973153049
fam966	0.0	0.0	0.0	0.0	0.0	0.0	0.0031703703703703703	0.0	0.011208951938808975	963035	0.00040477636106051404
fam393	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	395663	0.0
fam1571	nan	nan	nan	0.0005641025641025641	0.0011	0.0005498191681687108	0.0	0.0	0.0	1567154	0.00041490332752468673
fam3872	0.0	0.0	0.0	0.0	0.0	0.0	0.003793650793650794	0.006	0.0038530908234724937	320748	0.0005282164847745465
fam158	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	160591	0.049515669515669526
fam4609	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1063698	0.0
fam1037	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1024285	0.0
fam3479	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	48798	0.0
fam3276	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	263498	0.0
fam1499	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1493030	0.0
fam2659	0.06072874493927126	0.0	0.0768164613806084	0.0002857142857142857	0.0	0.0002996596709057575	0.0005227513227513227	0.0	0.0013088873446621635	891353	0.00031669587913137965
fam5170	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	489002	0.0
fam1031	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1018518	0.0
fam5256	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	392443	0.0
fam4952	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	715492	0.0
fam3345	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	189006	0.0
