fam	loc
fam2	409868
fam3	411138
fam4	411792
fam5	412218
fam6	412934
fam7	414151
fam8	414895
fam9	415904
fam10	416607
fam11	416912
fam12	417339
fam14	418988
fam15	420235
fam16	420830
fam17	422586
fam27	433953
fam28	434465
fam29	435514
fam30	436954
fam31	438072
fam32	438528
fam33	439105
fam34	439770
fam35	440425
fam36	441127
fam37	442321
fam38	442850
fam39	443467
fam43	447311
fam44	450256
fam45	450686
fam46	453425
fam47	455824
fam50	458258
fam51	460649
fam52	461208
fam53	462065
fam54	463159
fam56	464514
fam57	464986
fam58	465371
fam59	465832
fam60	466812
fam61	467703
fam62	468372
fam63	469189
fam65	470922
fam66	471973
fam67	472841
fam68	473376
fam70	474775
fam71	476079
fam73	478383
fam76	480081
fam77	480899
fam78	481502
fam79	482682
fam80	483644
fam81	484703
fam82	485428
fam83	486240
fam84	487419
fam85	488186
fam86	489400
fam87	490357
fam88	491040
fam89	491756
fam90	492433
fam91	493782
fam92	494179
fam94	494885
fam95	495788
fam96	497735
fam97	498136
fam98	498291
fam99	500708
fam100	502386
fam103	505583
fam104	506343
fam109	509397
fam110	509917
fam111	510480
fam112	510937
fam113	511905
fam114	512560
fam115	513749
fam116	515697
fam117	517132
fam119	518905
fam124	525174
fam125	525903
fam126	527134
fam127	528382
fam128	529602
fam129	530387
fam130	531016
fam131	532174
fam132	533526
fam133	534253
fam137	537147
fam139	538729
fam140	539491
fam141	540479
fam144	543657
fam145	545863
fam146	547715
fam147	548353
fam149	551026
fam150	551503
fam151	552301
fam152	553242
fam153	554405
fam154	555404
fam156	557046
fam157	557800
fam158	559054
fam159	560261
fam160	561842
fam161	562940
fam162	563595
fam163	564624
fam164	566272
fam166	567396
fam168	571063
fam174	575892
fam179	579264
fam180	580735
fam181	581670
fam182	583137
fam183	584755
fam184	586407
fam185	587726
fam186	588558
fam187	589316
fam188	590134
fam189	590910
fam190	592530
fam191	593487
fam192	594570
fam194	595818
fam195	597373
fam196	598662
fam216	630116
fam219	633937
fam220	635390
fam221	635836
fam222	636649
fam223	637338
fam224	638108
fam225	638599
fam226	639088
fam227	640173
fam228	641495
fam229	642078
fam230	642346
fam231	643483
fam232	644330
fam233	645178
fam234	645701
fam235	646466
fam236	649024
fam237	649792
fam238	650406
fam239	651112
fam240	652114
fam242	657143
fam244	658623
fam245	660690
fam246	662038
fam247	662424
fam248	664654
fam250	665825
fam251	666507
fam252	666970
fam253	667507
fam254	668719
fam255	669414
fam256	673050
fam257	673710
fam258	674999
fam259	676254
fam260	678323
fam261	679459
fam262	681528
fam264	682341
fam265	682696
fam266	683205
fam268	684399
fam269	685799
fam270	686339
fam271	687754
fam272	688232
fam273	688714
fam274	689056
fam275	689734
fam276	690082
fam285	699019
fam286	699748
fam287	700821
fam288	701088
fam289	701932
fam290	702812
fam291	704343
fam292	705525
fam293	706802
fam294	707810
fam295	709087
fam296	709843
fam297	710628
fam298	711590
fam299	712767
fam301	714496
fam302	715420
fam303	716488
fam304	717523
fam305	718423
fam306	719643
fam310	723942
fam311	724975
fam312	725226
fam313	725533
fam314	726101
fam315	727647
fam316	728768
fam317	730337
fam318	732017
fam319	732447
fam320	734575
fam321	735146
fam322	736331
fam323	736799
fam324	737519
fam325	740224
fam326	740688
fam327	742563
fam328	742897
fam329	744400
fam330	746863
fam331	747223
fam332	747585
fam333	749879
fam334	750351
fam335	751256
fam336	752296
fam337	752686
fam338	753237
fam339	753643
fam340	755544
fam341	756736
fam342	757491
fam343	758047
fam344	759132
fam345	760509
fam346	761122
fam347	762138
fam348	763011
fam349	764000
fam350	765520
fam351	766065
fam352	766724
fam353	767145
fam354	767489
fam355	768297
fam356	768796
fam357	769914
fam358	770453
fam359	771166
fam360	771685
fam361	772419
fam362	774534
fam363	775870
fam364	777061
fam365	778220
fam366	779483
fam367	780316
fam368	781644
fam369	782944
fam371	784879
fam372	785831
fam373	787253
fam374	788760
fam375	789816
fam376	790198
fam377	790644
fam378	791069
fam379	791435
fam380	793738
fam381	794487
fam382	794908
fam383	795504
fam384	795994
fam385	796533
fam386	797664
fam388	800611
fam389	801687
fam390	803357
fam391	804559
fam392	805724
fam393	807410
fam394	808549
fam395	809079
fam396	810983
fam397	811759
fam398	813245
fam399	814678
fam400	816127
fam401	817436
fam402	820669
fam403	822748
fam405	823917
fam406	824292
fam407	825603
fam408	827203
fam409	828427
fam410	829683
fam411	830599
fam412	831421
fam413	833403
fam414	835631
fam415	839677
fam416	840340
fam417	841083
fam419	842185
fam420	842496
fam421	844185
fam422	845012
fam423	846946
fam424	848037
fam425	848937
fam426	849953
fam427	850903
fam428	851561
fam429	852798
fam430	853378
fam431	854427
fam432	855132
fam433	855786
fam434	856586
fam465	899871
fam466	900605
fam467	901146
fam468	902656
fam469	903897
fam470	905662
fam471	906219
fam472	906800
fam474	911037
fam475	912000
fam476	912515
fam477	913541
fam479	915260
fam480	916145
fam481	917743
fam482	918336
fam483	919478
fam484	920735
fam487	923649
fam488	925248
fam489	926444
fam491	928006
fam492	928489
fam493	929191
fam494	930004
fam495	930994
fam496	931872
fam497	932375
fam498	933099
fam499	934386
fam502	936103
fam503	937721
fam504	938885
fam505	939577
fam506	940073
fam507	941098
fam508	941608
fam509	943984
fam510	944353
fam512	946611
fam513	949790
fam514	950553
fam515	951044
fam517	953772
fam518	954666
fam522	958921
fam523	960387
fam524	961379
fam525	961686
fam526	963179
fam527	963911
fam528	965138
fam532	967591
fam533	969512
fam534	971417
fam535	972935
fam536	973612
fam537	974733
fam538	975371
fam539	976302
fam540	977066
fam541	977975
fam542	978967
fam543	980667
fam544	982089
fam545	984006
fam546	985500
fam547	986110
fam548	986925
fam549	987220
fam550	987921
fam551	988416
fam553	990844
fam554	992164
fam555	992822
fam556	993339
fam557	993924
fam558	994835
fam559	996719
fam560	997869
fam561	998205
fam562	998982
fam563	1000353
fam564	1001383
fam565	1001593
fam566	1002916
fam568	1005500
fam569	1006923
fam571	1010239
fam572	1010800
fam574	1015134
fam576	1017874
fam577	1020403
fam578	1021796
fam579	1022445
fam580	1023386
fam581	1024505
fam584	1026818
fam585	1030454
fam586	1031932
fam587	1033038
fam588	1033705
fam590	1035368
fam591	1036068
fam592	1037295
fam593	1039283
fam594	1040048
fam595	1041101
fam596	1042354
fam597	1043097
fam598	1044228
fam599	1046382
fam600	1048522
fam601	1049690
fam602	1050594
fam603	1050932
fam604	1051870
fam605	1052559
fam606	1054505
fam607	1056107
fam608	1057618
fam609	1059060
fam614	1064683
fam615	1065316
fam616	1065990
fam617	1067527
fam618	1068814
fam619	1069924
fam620	1073327
fam621	1073844
fam623	1074733
fam624	1075575
fam625	1076884
fam626	1077638
fam627	1078324
fam628	1079367
fam629	1080901
fam630	1081302
fam632	1082620
fam633	1084052
fam634	1085097
fam635	1086322
fam636	1088043
fam637	1089061
fam639	1089806
fam640	1090746
fam641	1091882
fam642	1092499
fam643	1093244
fam644	1094489
fam645	1095523
fam646	1095975
fam650	1100218
fam651	1100559
fam652	1101279
fam653	1102284
fam654	1102851
fam668	1113730
fam669	1114599
fam670	1115515
fam672	1116598
fam674	1117785
fam675	1118680
fam681	1126091
fam682	1126702
fam683	1128030
fam684	1129458
fam685	1130378
fam687	1131370
fam690	1135381
fam693	1136653
fam694	1137385
fam695	1137787
fam696	1138134
fam697	1139452
fam698	1139917
fam699	1140537
fam700	1141643
fam701	1142243
fam708	1149009
fam709	1152690
fam711	1156235
fam713	1157198
fam714	1157567
fam715	1157976
fam716	1159227
fam718	1162041
fam719	1162983
fam727	1170100
fam728	1171213
fam729	1172011
fam730	1172342
fam731	1175830
fam732	1176498
fam739	1183648
fam743	1185920
fam747	1187367
fam748	1187728
fam750	1188218
fam751	1188825
fam756	1194823
fam757	1196219
fam759	1196966
fam762	1199532
fam771	1206231
fam772	1206980
fam775	1209117
fam777	1210131
fam779	1211105
fam788	1217837
fam790	1219293
fam795	1225995
fam796	1226849
fam813	1239446
fam814	1239939
fam815	1240264
fam821	1243917
fam822	1245966
fam848	1263135
fam850	1264574
fam851	1265041
fam854	1266706
fam855	1267154
fam858	1269835
fam859	1271426
fam860	1272457
fam861	1273471
fam866	1277647
fam867	1279635
fam868	1280590
fam869	1281519
fam870	1282387
fam871	1282982
fam872	1283475
fam876	1288014
fam877	1289728
fam878	1291053
fam879	1291511
fam881	1292917
fam883	1294564
fam884	1295289
fam885	1296526
fam887	1298423
fam889	1300025
fam890	1300525
fam891	1301507
fam892	1301857
fam893	1302096
fam894	1303168
fam895	1303837
fam896	1305303
fam897	1307854
fam898	1308931
fam899	1309866
fam901	1312648
fam902	1314536
fam903	1315569
fam906	1317513
fam907	1318425
fam908	1318961
fam909	1319497
fam910	1319793
fam911	1320243
fam912	1320788
fam913	1321336
fam914	1322127
fam915	1322944
fam916	1323443
fam917	1324302
fam919	1326669
fam921	1329150
fam922	1331063
fam923	1331679
fam926	1334193
fam927	1335101
fam928	1336489
fam931	1341813
fam933	1344368
fam934	1345504
fam940	1352827
fam941	1353553
fam942	1354289
fam943	1355527
fam945	1356964
fam946	1357679
fam947	1358113
fam948	1358941
fam949	1359928
fam952	1362496
fam953	1363262
fam955	1364973
fam957	1366413
fam958	1366954
fam959	1368058
fam960	1369119
fam962	1372054
fam964	1375650
fam965	1377346
fam968	1379814
fam969	1382149
fam970	1382789
fam971	1383764
fam973	1385718
fam974	1386903
fam975	1387964
fam976	1388677
fam977	1389462
fam978	1390080
fam979	1391013
fam980	1391522
fam981	1391927
fam982	1394493
fam983	1394917
