fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam393	0.42621680333493905	0.3555045871559633	0.08726851540070715	0.01571111111111111	0.022	0.014382739998920346	0.039127777777777775	0.04185	0.038301012541816636	2543	0.021139063591893784
fam158	0.5046491771186418	0.5289017341040463	0.06496730414188838	0.00942222222222222	0.0117	0.008919675850833964	0.01929444444444444	0.02145	0.01871750435116291	274253	0.010528923572401833
fam680	0.25344911166077894	0.30268199233716475	0.06148525803350548	0.0076166666666666666	0.009649999999999999	0.007114870967831313	0.030805555555555555	0.04445	0.02844875455626255	326255	0.011806566391719231
fam425	0.06988176122366906	0.03466204506065858	0.04754707358784672	0.0019111111111111115	0.002	0.0021946624364299274	0.03025	0.0404	0.028156216009968385	35007	0.006109201985490645
fam98	0.20994811593702228	0.2436974789915966	0.042689415578015845	0.005716666666666665	0.00725	0.0053239761665715805	0.02731111111111111	0.0434	0.024697208319270258	344928	0.008939974457215834
fam657	0.08059373363575813	0.07660455486542443	0.009806678591918824	0.003966666666666666	0.0052	0.0036993993506453937	0.04896666666666667	0.06609999999999999	0.04512330021421552	297791	0.010211145725164418
fam265	0.08640529229986346	0.10303830911492734	0.020593501662173976	0.0038111111111111106	0.0048000000000000004	0.0035549478647355233	0.04472222222222223	0.07075000000000001	0.04067909039127753	154223	0.008672699849170438
fam443	0.0	0.0	0.0	0.0	0.0	0.0	0.06534999999999999	0.06625	0.06393115437718921	48960	0.00944822373393802
fam355	0.27485373637750643	0.30695443645083936	0.041313185993604784	0.006666666666666666	0.009899999999999999	0.006052180506965146	0.024427777777777777	0.0417	0.021992064365623534	57204	0.009094893710278322
fam519	0.07648131983240222	0.055989583333333336	0.025099642874618737	0.0029055555555555553	0.00385	0.002871405428671206	0.0393111111111111	0.0518	0.03649701492951762	127445	0.00834131545338442
fam321	0.5553490863974735	0.6452991452991453	0.11977887833744379	0.02110555555555555	0.02245	0.02036760696744335	0.03730000000000001	0.0569	0.03379521662405298	97391	0.022995522995522995
fam594	0.026499204426289356	0.01513622603430878	0.014972304850595147	0.0012222222222222224	0.0015	0.0012980992752463355	0.050699999999999995	0.0655	0.04731046395883261	234448	0.009157509157509158
fam346	0.09416602316173427	0.08442330558858503	0.012237915609901761	0.007250000000000002	0.00915	0.006804838964540846	0.07952777777777775	0.08415	0.07673769033065793	66433	0.019343229869545658
fam643	0.6834814437244287	0.5964566929133859	0.16606894298778327	0.017722222222222223	0.02765	0.016118366182559005	0.027061111111111112	0.03615	0.025147898937836817	284358	0.018585372375986096
