fam	loc
fam1	1608
fam2	3152
fam5	7159
fam6	9868
fam8	10851
fam10	12439
fam11	12997
fam12	14681
fam13	16102
fam14	17561
fam16	20604
fam18	22760
fam19	23238
fam22	25907
fam23	28592
fam26	31022
fam27	32921
fam28	35871
fam29	36719
fam32	40005
fam36	45150
fam45	54222
fam63	78767
fam65	81851
fam66	82523
fam67	83635
fam69	85592
fam70	87348
fam71	88522
fam73	90544
fam74	91677
fam75	92903
fam76	95060
fam77	95871
fam83	108851
fam84	110230
fam85	110937
fam86	112132
fam87	112684
fam88	113991
fam90	116059
fam91	117049
fam92	117870
fam93	119282
fam94	120370
fam95	122042
fam98	125965
fam101	129063
fam102	130334
fam103	131538
fam104	132368
fam106	135715
fam108	141001
fam109	142027
fam110	143427
fam112	147004
fam118	155373
fam122	165658
fam123	165935
fam124	166825
fam125	167596
fam126	169697
fam129	172384
fam133	177217
fam137	182148
fam141	184972
fam142	186788
fam143	188518
fam148	193461
fam149	194510
fam152	197735
fam154	200027
fam155	201497
fam156	202470
fam157	204386
fam158	206460
fam160	210417
fam161	211463
fam162	214165
fam168	225564
fam172	233909
fam173	234773
fam174	235645
fam175	236561
fam176	237763
fam177	239002
fam179	241630
fam181	244193
fam183	247586
fam185	251863
fam186	252148
fam187	254177
fam188	255323
fam190	256968
fam191	257462
fam192	258345
fam194	261683
fam198	266103
fam200	269697
fam201	270681
fam202	271701
fam204	273905
fam205	275418
fam207	278089
fam211	281861
fam213	284527
fam214	285900
fam216	287850
fam217	289315
fam218	290384
fam219	291388
fam220	292197
fam222	293885
fam223	294854
fam224	295333
fam226	296061
fam227	296772
fam249	324663
fam252	326495
fam254	329381
fam255	330545
fam259	337087
fam260	339530
fam261	340803
fam262	343046
fam263	343897
fam264	344644
fam278	361688
fam279	363190
fam281	364794
fam282	366654
fam285	368252
fam286	370363
fam287	371084
fam288	373821
fam289	374729
fam291	377038
fam292	379092
fam294	382279
fam295	383234
fam296	384788
fam298	387729
fam301	389116
fam305	394619
fam306	397066
fam309	400553
fam319	418961
fam320	420591
fam321	421234
fam322	421780
fam323	422667
fam326	423947
fam327	426298
fam329	428373
fam334	435295
fam335	436951
fam340	442988
fam341	443462
fam342	445634
fam343	447004
fam345	456228
fam346	460017
fam351	466557
fam360	483089
fam368	491325
fam369	492581
fam370	493020
fam371	494711
fam372	495935
fam373	497364
fam374	497856
fam376	499828
fam377	500356
fam378	501298
fam379	504902
fam381	507150
fam382	508506
fam383	510020
fam384	514188
fam386	516557
fam387	517653
fam388	519158
fam390	520366
fam392	521700
fam395	526063
fam396	526931
fam397	527769
fam402	532970
fam403	534342
fam404	534853
fam405	535920
fam407	537155
fam408	538048
fam410	540316
fam412	545102
fam414	546369
fam415	547072
fam416	548998
fam417	549790
fam419	551946
fam424	561552
fam426	564384
fam427	565555
fam432	572185
fam433	573974
fam435	576703
fam437	578681
fam440	583352
fam441	584505
fam443	586667
fam444	590115
fam445	591615
fam446	593151
fam447	594537
fam449	597382
fam450	598200
fam451	599337
fam454	603089
fam455	606073
fam457	607481
fam462	613673
fam463	616142
fam473	624924
fam477	633182
fam480	636374
fam481	636871
fam482	639371
fam483	640014
fam484	642807
fam485	643766
fam486	644632
fam487	645546
fam489	647552
fam490	651172
fam492	653210
fam493	654621
fam495	656854
fam496	657529
fam497	658175
fam499	662371
fam507	670008
fam508	670864
fam510	673500
fam511	673912
fam513	675634
fam515	678249
fam517	682077
fam535	701962
fam536	702763
fam538	705332
fam539	706239
fam540	707173
fam541	708075
fam542	710250
fam550	720107
fam551	722818
fam553	725578
fam554	728130
fam555	729639
fam556	730578
fam557	731724
fam559	733725
fam561	735974
fam562	739661
fam563	740539
fam564	742670
fam565	746262
fam566	747036
fam567	748099
fam568	749084
fam569	750621
fam570	751757
fam572	754252
fam573	755758
fam574	756695
fam575	758458
fam579	765289
fam580	765822
fam581	766337
fam582	769527
fam586	774052
fam589	776571
fam590	777708
fam591	778287
fam592	780800
fam594	784973
fam595	786314
fam596	787813
fam597	788932
fam598	790029
fam599	791031
fam600	791786
fam602	793554
fam603	794248
fam604	795652
fam605	799077
fam606	799980
fam607	800620
fam608	801014
fam609	802354
fam612	806897
fam613	808011
fam614	809432
fam615	810335
fam616	810643
fam617	811610
