fam	loc
fam1	11737
fam2	12300
fam3	13370
fam4	13802
fam5	14495
fam6	14880
fam8	17654
fam9	18644
fam10	19647
fam11	20681
fam12	27813
fam13	28793
fam14	29736
fam15	30674
fam16	31671
fam17	33176
fam18	33603
fam19	34193
fam20	35027
fam21	36370
fam22	38254
fam23	40042
fam24	41499
fam26	44274
fam27	44870
fam29	47192
fam30	47858
fam31	48950
fam32	49777
fam33	50122
fam34	50698
fam35	51246
fam36	52802
fam37	53721
fam38	55149
fam39	55593
fam40	57124
fam41	59108
fam42	60317
fam43	61367
fam44	62254
fam45	63072
fam46	63824
fam47	65170
fam48	66779
fam49	68119
fam50	68353
fam51	69456
fam52	71005
fam53	72182
fam54	73454
fam55	74646
fam56	75692
fam57	76228
fam58	77020
fam59	77782
fam60	78502
fam61	79275
fam62	80391
fam63	81482
fam64	82371
fam65	83346
fam66	84659
fam67	85708
fam68	87040
fam69	88488
fam70	90122
fam72	92109
fam73	92915
fam74	93445
fam75	94378
fam76	94857
fam77	95516
fam78	96750
fam79	97675
fam80	98254
fam81	100855
fam82	101959
fam83	103275
fam84	104695
fam86	105433
fam87	105807
fam88	106028
fam89	107677
fam90	109134
fam91	109990
fam93	111374
fam94	112724
fam95	112902
fam96	113536
fam97	114480
fam98	115460
fam99	116593
fam100	118672
fam112	137525
fam113	138470
fam114	139111
fam115	140010
fam116	143073
fam117	143446
fam118	144302
fam119	145075
fam120	146623
fam121	147523
fam122	148703
fam123	149074
fam124	149711
fam125	150936
fam126	152967
fam127	154116
fam128	155952
fam129	156983
fam130	157618
fam131	158145
fam132	158669
fam133	160682
fam134	164146
fam136	166249
fam137	167248
fam138	168260
fam139	169612
fam140	170406
fam141	172567
fam142	175515
fam143	179342
fam145	180801
fam146	182591
fam147	182779
fam148	184314
fam149	184718
fam150	185449
fam151	188049
fam152	190342
fam153	193802
fam154	195925
fam155	197440
fam156	199177
fam157	200052
fam158	201508
fam159	203853
fam160	204135
fam161	206232
fam162	207760
fam163	209060
fam164	209510
fam165	211122
fam166	212488
fam167	213565
fam168	214706
fam169	215962
fam171	216851
fam172	217968
fam173	219218
fam174	220282
fam175	221622
fam176	222388
fam177	225305
fam178	226441
fam179	227195
fam180	228133
fam181	231007
fam182	231355
fam183	232208
fam184	232909
fam185	233811
fam186	234524
fam188	238096
fam189	239246
fam190	240116
fam191	240610
fam192	241683
fam193	243537
fam194	244173
fam195	245206
fam196	245883
fam197	246988
fam198	247841
fam199	249231
fam200	250469
fam201	251460
fam202	252470
fam203	254885
fam204	255774
fam205	256839
fam206	258200
fam207	259785
fam208	260619
fam209	261236
fam210	262870
fam211	263234
fam213	264661
fam214	265532
fam215	266017
fam217	268514
fam218	269257
fam219	270502
fam220	272696
fam221	274214
fam222	274831
fam223	276315
fam224	276866
fam225	283739
fam226	285601
fam227	286920
fam228	288731
fam229	289533
fam230	293410
fam231	295790
fam232	296533
fam233	297177
fam234	297622
fam235	299834
fam236	301884
fam237	302817
fam238	303918
fam239	305639
fam240	306740
fam241	307528
fam242	308385
fam243	309194
fam244	310276
fam245	311190
fam246	311672
fam247	312271
fam248	313166
fam249	315873
fam250	316370
fam251	317090
fam252	318513
fam253	318893
fam254	319488
fam255	321189
fam256	322289
fam257	322735
fam258	323929
fam259	325432
fam260	326042
fam261	326897
fam262	328131
fam263	328672
fam264	328995
fam265	330112
fam266	333174
fam267	333962
fam268	334555
fam269	335503
fam271	337860
fam272	339642
fam274	340937
fam275	341617
fam276	342203
fam278	344616
fam279	346411
fam280	347358
fam281	347887
fam282	348575
fam283	349257
fam284	350995
fam285	351321
fam286	353417
fam287	355302
fam291	358071
fam292	359525
fam293	361298
fam294	362286
fam295	363578
fam296	364000
fam297	365254
fam300	367505
fam301	368516
fam302	370303
fam303	371624
fam304	373080
fam305	373746
fam306	375340
fam307	376943
fam308	378253
fam309	379264
fam310	379777
fam311	380740
fam312	382375
fam313	383031
fam315	385205
fam316	386272
fam317	387588
fam318	390034
fam319	390969
fam320	392551
fam321	393084
fam322	394447
fam323	395602
fam324	396761
fam325	397910
fam326	398522
fam327	400403
fam328	401333
fam329	402148
fam330	403583
fam331	404655
fam332	405658
fam333	406954
fam334	407278
fam335	408152
fam336	409249
fam337	410311
fam338	411667
fam339	412735
fam340	413915
fam341	415095
fam342	416859
fam343	417149
fam344	418516
fam345	420064
fam346	420854
fam347	421608
fam348	423307
fam350	424331
fam351	425413
fam352	426023
fam353	426206
fam354	426443
fam355	427023
