fam	loc
fam1	8689
fam2	7466
fam3	5115
fam4	3739
fam6	1766
fam7	88
fam9	1874
fam10	2848
fam11	4873
fam12	5693
fam14	9315
fam15	10373
fam17	12086
fam18	13552
fam19	16018
fam20	18345
fam21	19140
fam22	20188
fam23	21630
fam24	22382
fam25	23172
fam27	27793
fam28	28392
fam29	29121
fam32	33152
fam34	36789
fam35	38546
fam36	40718
fam37	41263
fam38	42687
fam39	43964
fam40	45093
fam41	45765
fam42	46265
fam43	47109
fam44	48232
fam45	50041
fam46	50659
fam47	52433
fam48	52861
fam49	53483
fam50	54484
fam51	55913
fam52	56482
fam53	57941
fam54	58531
fam55	59557
fam56	60090
fam57	61608
fam58	63006
fam59	63566
fam60	64413
fam61	65023
fam62	65880
fam63	66813
fam64	67244
fam65	67825
fam66	68472
fam67	69074
fam68	71324
fam69	71714
fam70	72186
fam71	72989
fam72	73837
fam73	75346
fam74	75851
fam75	76816
fam76	78064
fam77	80406
fam78	81193
fam80	84724
fam81	85204
fam82	86585
fam83	87025
fam84	87802
fam85	88842
fam86	89941
fam87	90615
fam88	91474
fam89	92354
fam90	93641
fam91	94230
fam92	94841
fam93	95124
fam94	95959
fam95	96243
fam96	96583
fam97	97283
fam98	97711
fam99	97883
fam100	98145
fam101	98513
fam102	98749
fam103	99297
fam104	99484
fam105	99889
fam106	100552
fam107	100919
fam108	101378
fam109	101785
fam110	103047
fam111	103805
fam113	109023
fam114	110464
fam115	110754
fam116	111570
fam117	112649
fam118	113915
fam119	115241
fam120	116236
fam121	117266
fam122	119222
fam123	119746
fam124	120343
fam125	120726
fam126	121252
fam127	122069
fam128	122789
fam129	123840
fam130	124469
fam131	126551
fam132	126890
fam133	127276
fam134	127719
fam135	128672
fam136	129656
fam137	130888
fam138	131149
fam139	132000
fam140	133484
fam141	134637
fam142	135839
fam143	136976
fam144	137922
fam145	139304
fam146	141251
fam147	141844
fam149	145023
fam150	146290
fam151	147044
fam152	148753
fam153	149861
fam154	150252
fam155	151447
fam156	152171
fam158	154031
fam159	155245
fam160	156655
fam161	157601
fam162	157867
fam163	158637
fam164	159116
fam165	159685
fam166	160933
fam167	161601
fam168	163305
fam169	165425
fam170	168405
fam171	169160
fam172	169813
fam173	170784
fam174	171345
fam175	173848
fam176	174398
fam177	175714
fam181	178518
fam182	180208
fam183	181976
fam184	182462
fam185	183061
fam187	183793
fam188	184092
fam189	184463
fam190	184878
fam191	185534
fam192	186566
fam193	186918
fam194	188090
fam195	189118
fam196	190400
fam197	191779
fam198	192354
fam199	192875
fam200	194685
fam201	195177
fam202	196087
fam203	197293
fam204	198008
fam205	198252
fam206	199482
fam207	199881
fam208	201528
fam209	202291
fam210	204660
fam215	219684
fam216	220006
fam217	220996
fam219	223495
fam220	224390
fam222	226124
fam223	228096
fam224	229026
fam225	229672
fam226	231150
fam227	232892
fam228	233425
fam229	234263
fam230	234604
fam231	235053
fam232	235915
fam237	243842
fam238	244362
fam239	244790
fam240	247648
fam241	249969
fam242	250435
fam243	251021
fam244	251335
fam245	252210
fam246	252421
fam247	253096
fam248	254576
fam249	255380
fam250	256498
fam251	257162
fam252	258372
fam253	259042
fam257	266867
fam258	268479
fam259	268659
fam260	269137
fam261	269655
fam262	270024
fam263	270183
fam264	271186
fam265	272186
fam266	273192
fam267	274121
fam268	277115
fam269	277606
fam270	278151
fam271	280076
fam272	280729
fam273	281612
fam275	286047
fam276	286536
fam277	286992
fam278	287990
fam279	289347
fam280	289717
fam281	290457
fam282	291056
fam283	292243
fam284	293175
fam285	293662
fam286	295103
fam287	296137
fam288	299091
fam289	299846
