fam	loc
fam1	3767
fam2	4321
fam3	5483
fam4	7048
fam6	10732
fam7	11356
fam8	12333
fam10	13977
fam11	14746
fam14	22155
fam15	22743
fam16	23384
fam17	23753
fam18	24830
fam19	25481
fam20	28770
fam21	29828
fam23	31138
fam25	32694
fam26	34160
fam27	35217
fam29	36879
fam30	39264
fam31	40177
fam32	41158
fam33	41602
fam34	42711
fam35	44555
fam36	46087
fam37	47539
fam38	49986
fam39	50679
fam40	52793
fam41	53088
fam42	53766
fam43	55870
fam45	58480
fam47	59225
fam55	67164
fam56	68007
fam57	68821
fam58	69552
fam59	70132
fam60	71324
fam61	72189
fam62	72688
fam63	72867
fam64	73759
fam65	74244
fam66	75023
fam67	76301
fam68	77686
fam69	78750
fam70	79713
fam71	81170
fam72	82205
fam74	84729
fam75	86304
fam76	87135
fam77	87502
fam78	88066
fam81	90172
fam82	90783
fam84	93480
fam85	94175
fam86	94837
fam88	97938
fam89	99139
fam92	102920
fam93	103699
fam94	104433
fam95	105805
fam96	106802
fam97	107566
fam98	108148
fam99	109290
fam100	110455
fam101	112247
fam102	113272
fam104	114219
fam105	116653
fam106	117881
fam107	118390
fam109	119604
fam110	120206
fam111	121265
fam112	122814
fam113	123409
fam114	124354
fam115	125448
fam117	127999
fam118	128467
fam119	129446
fam120	130112
fam121	131650
fam122	134088
fam123	135205
fam124	138662
fam125	140205
fam126	141454
fam133	152112
fam134	153682
fam135	154507
fam136	155571
fam137	156954
fam138	157807
fam139	158227
fam140	159464
fam141	161818
fam142	162626
fam144	170457
fam145	172033
fam146	173064
fam147	174056
fam148	174924
fam149	175381
fam150	177161
fam151	177522
fam152	177643
fam153	179431
fam154	179685
fam155	180634
fam156	182689
fam157	184239
fam158	184831
fam161	187455
fam162	189219
fam165	192841
fam166	194246
fam167	196914
fam168	197673
fam169	198267
fam171	199850
fam172	200370
fam173	200575
fam174	202595
fam175	204256
fam176	205549
fam177	205994
fam178	207733
fam181	210076
fam182	211173
fam183	212584
fam184	213843
fam185	214907
fam186	216083
fam187	216798
fam189	219188
fam190	220296
fam191	221657
fam192	222406
fam193	224336
fam194	227059
fam195	228186
fam196	228966
fam197	229904
fam199	232950
fam201	235058
fam203	236417
fam204	237186
fam205	238094
fam206	238810
fam207	241071
fam210	244366
fam211	245965
fam212	246953
fam213	247510
fam214	248610
fam215	250519
fam216	251246
fam223	260383
fam224	261647
fam225	262939
fam226	263628
fam227	264426
fam228	264941
fam229	267356
fam230	268396
fam231	269006
fam232	269637
fam233	270096
fam234	270748
fam236	272655
fam237	273329
fam238	274272
fam239	275440
fam241	277573
fam242	278680
fam243	279963
fam244	280727
fam245	281473
fam247	283383
fam248	284042
fam249	284751
fam250	285409
fam251	287742
fam253	290374
fam254	291559
fam255	292401
fam256	293481
fam257	294227
fam258	296537
fam259	297378
fam260	299760
fam261	300618
fam262	301875
fam263	302871
fam264	305032
fam265	306082
fam266	307795
fam267	308642
fam268	309306
fam269	310937
fam270	311383
fam271	312049
fam272	312828
fam273	313666
fam274	314703
fam275	315301
fam276	317045
fam277	317801
fam278	319107
fam279	321308
fam280	322966
fam281	323577
fam282	325068
fam283	325623
fam287	334534
fam288	336552
fam289	337906
fam290	339889
fam291	340851
fam292	344761
fam295	353302
fam296	355318
fam297	355852
fam298	356885
fam299	358476
fam300	359874
fam301	360698
fam302	361811
fam303	363153
fam304	364305
fam306	365725
fam307	366746
fam308	368295
fam309	368742
fam310	370562
fam311	371614
fam312	373056
fam313	373601
fam314	374950
fam315	375717
fam316	378331
fam317	379125
fam319	381202
fam320	384767
fam337	410098
fam338	411225
fam339	412361
fam340	413025
fam341	413963
fam342	414866
fam344	417056
fam345	418223
fam346	419029
fam350	422472
fam352	425843
fam353	426915
fam354	428756
fam355	430456
fam358	434049
fam359	434651
fam361	437309
fam362	438636
fam365	440313
fam366	441315
fam367	442603
fam368	443558
fam369	444145
fam370	445663
fam371	446427
fam372	446969
fam374	448043
fam375	449033
fam376	450520
fam377	452050
fam378	452282
fam379	455238
fam380	455714
fam381	456324
fam382	457206
fam384	459506
fam385	461823
fam386	463203
fam388	464887
fam389	465494
fam390	466953
fam392	471830
fam393	473287
fam398	485712
fam400	486425
fam403	497430
fam404	498525
fam405	499698
fam406	500204
fam407	501147
fam408	503104
fam409	504840
fam410	505508
fam411	505794
fam412	506438
fam413	507957
fam414	508725
fam415	509319
fam416	509953
fam417	511973
fam418	513499
fam419	514863
fam421	516258
fam422	516860
fam423	517807
fam424	518249
fam425	518417
fam426	519268
fam427	520056
fam428	520461
fam429	521918
fam430	522705
fam431	523257
fam432	523804
fam433	524364
fam434	525760
fam435	526845
fam436	527928
fam437	528928
fam438	529490
fam439	530126
fam440	530464
fam441	530865
fam442	532281
fam443	533550
fam444	535013
fam445	535688
fam446	537039
fam447	537781
fam448	538188
fam449	538382
fam450	539203
fam451	539724
fam452	540362
fam453	542380
fam454	546847
fam455	548592
fam456	551212
fam458	552107
fam460	553611
fam461	554212
fam462	554836
fam463	556908
fam464	557870
fam465	559172
fam466	560327
fam467	561925
fam468	562513
fam469	562905
fam470	563213
fam472	563748
fam473	564363
fam474	565058
fam475	565890
fam476	566912
fam477	568479
fam478	570633
fam479	572283
fam480	573784
fam481	574467
fam484	578031
fam485	578743
fam486	582030
fam487	583692
fam488	585829
fam489	586611
fam514	624414
fam515	627850
fam516	628945
fam517	630266
fam518	631201
fam519	632019
fam521	634765
fam522	636355
fam523	638129
fam524	639294
fam525	639630
fam542	654718
fam543	656624
fam544	656975
fam545	658394
fam547	659290
fam548	659757
fam549	660849
fam550	662323
fam551	663121
fam552	664732
fam553	667759
fam554	669324
fam555	670611
fam556	671217
fam557	672440
fam558	673664
fam559	675231
fam560	675927
fam562	677622
fam563	678650
fam564	679109
fam566	680598
fam567	682595
fam568	683510
fam569	684152
fam571	686729
fam572	687749
fam576	692985
fam579	695416
fam580	696707
fam582	698865
fam587	703096
fam590	705161
fam592	707316
fam593	708560
fam595	710072
fam596	710890
fam598	711625
fam599	712434
fam614	726018
fam617	731231
fam618	732359
fam619	733638
fam621	736162
fam625	740630
fam626	741405
fam627	741815
fam629	744228
fam630	744625
fam631	746275
fam632	747290
fam634	749344
fam635	749785
fam654	767096
fam662	773412
fam663	774510
fam664	775496
fam667	779369
fam668	781119
fam673	787020
fam680	808639
fam681	810402
fam686	831329
fam688	833210
fam689	834504
fam690	836276
fam691	838026
fam692	839243
fam693	840077
fam694	842957
fam695	847762
fam697	855010
fam698	856355
fam699	860520
fam706	865701
fam707	867259
fam708	868536
fam709	869927
fam710	871513
fam711	874000
fam712	875400
fam714	878092
fam715	879848
fam716	881211
fam718	882334
fam720	885388
fam721	886019
fam722	887840
fam724	889545
fam725	891449
fam726	893042
fam730	897320
fam798	981485
fam799	983795
fam800	985335
fam801	986880
fam802	987896
fam803	990186
fam804	991324
fam805	992700
fam806	993279
fam807	994572
