fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.0	0.0	0.0	0.0	0.0	0.0	0.00876	0.0073	0.0054628197846899535	708004	0.001777777777777778
fam966	0.12432475861196475	0.09940357852882704	0.08859507896396046	0.003989999999999999	0.0033	0.002020123758585102	0.043969999999999995	0.0552	0.023992834346946174	193755	0.01382716049382716
fam393	0.0	0.0	0.0	0.0	0.0	0.0	0.017609999999999997	0.0196	0.00963685114547278	821176	0.003278688524590164
fam1571	0.0	0.0	0.0	0.0	0.0	0.0	0.006659999999999999	0.0074	0.004314904402185522	472614	0.0013761467889908255
fam158	0.8992779132079445	0.7975460122699387	0.4925601816865055	0.00995	0.0108	0.004679583314783486	0.01298	0.0121	0.007465493955526319	1050856	0.010490693739424703
fam1720	0.056604401824659534	0.0	0.08019235199384354	0.00047999999999999996	0.0	0.0005878775382679626	0.01129	0.01175	0.005653574090785403	629902	0.0026143790849673205
fam1499	0.2609454096779651	0.24459459459459462	0.06832525528845936	0.01082	0.016050000000000002	0.00761246346460855	0.048549999999999996	0.07135	0.03643529195711213	400097	0.01854043392504931
fam1031	0.2522233350480568	0.19487495528562765	0.2070766874460921	0.0061600000000000005	0.0058	0.0035180108015752313	0.033839999999999995	0.0452	0.02391456459984166	125433	0.012994350282485878
fam680	0.06286516652311226	0.056249999999999994	0.04587704994401454	0.0007099999999999999	0.0009	0.0005204805471869242	0.011579999999999998	0.0129	0.00504	519180	0.002987101154107264
fam875	0.5364383150908754	0.5522388059701493	0.22265146786669948	0.00458	0.0048000000000000004	0.002435898191632811	0.009450000000000002	0.0078	0.005256852670562493	298680	0.005749032614704257
fam1483	0.06830797994999423	0.04467805519053876	0.050303181129531985	0.00177	0.0017000000000000001	0.0010080178569846865	0.04089	0.0296	0.03029328143334756	383530	0.015794871794871795
fam1781	0.0	0.0	0.0	0.0	0.0	0.0	0.0077399999999999995	0.0129	0.006319683536380599	703032	0.0013071895424836603
fam425	0.05150037517515965	0.049844236760124616	0.02531761471869381	0.00162	0.0016	0.0010438390680559911	0.033479999999999996	0.035199999999999995	0.014496192603576982	781903	0.008041504539559015
fam1195	0.21562479874561705	0.22614840989399296	0.10479084985088516	0.0048	0.0048	0.002478709341572747	0.025330000000000002	0.0283	0.012792579880540124	57871	0.008527131782945736
fam1928	nan	nan	nan	0.00176	0.0	0.002155550973649197	0.0	0.0	0.0	861235	0.001374570446735395
fam98	0.1985294117647059	0.1985294117647059	0.1985294117647059	0.0016200000000000003	0.0027	0.0013227244611029162	0.0027199999999999998	0.0	0.0033313060501851226	1122199	0.0019157088122605363
fam657	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	548567	0.0
fam2317	0.3200812534667404	0.27828054298642535	0.17159876096697654	0.012390000000000002	0.01105	0.005661174789741083	0.04498	0.0516	0.020383316707542957	1291651	0.017325227963525834
fam1988	0.15842733943699452	0.125	0.1552255635715108	0.00281	0.0035	0.0021201179212487218	0.025390000000000003	0.028	0.015628912310202525	938369	0.007282913165266107
fam1786	0.07619424152844151	0.08823529411764705	0.045565329920551005	0.0009599999999999999	0.0012	0.0007199999999999999	0.012649999999999998	0.0135	0.004884106878437449	709067	0.0034482758620689655
fam443	0.2390914515322412	0.16374269005847952	0.18458492980659968	0.00506	0.0055	0.002561327780663771	0.03329	0.0511	0.02227516329906472	764892	0.012510711225364183
fam355	0.24512987012987011	0.1590909090909091	0.21542642074719007	0.0016400000000000002	0.0014	0.0013290598180668923	0.0044	0.0044	0.0034082253446625272	858841	0.002284527518172378
fam1784	0.0934976926710512	0.07291666666666667	0.07866133859497403	0.0009400000000000001	0.0007	0.0007952358140828418	0.01162	0.0145	0.005426195720760541	707312	0.003229166666666667
fam2375	0.4173938702839869	0.37168141592920356	0.1652598265265628	0.00509	0.0042	0.0024517136863834656	0.012740000000000001	0.01245	0.0051484366559179885	1293500	0.007120933087783918
fam2090	0.04989460671246214	0.07086614173228346	0.04564092984790316	0.00054	0.0009	0.000440908153700972	0.0076	0.0101	0.00519672974090437	1051223	0.0024242424242424242
fam2139	0.02801113665230479	0.02484472049689441	0.022295438934972534	0.00048000000000000007	0.0008	0.00039191835884530855	0.018660000000000003	0.0171	0.00928937026929167	1104701	0.004863582443653618
fam2305	0.3541666666666666	0.35416666666666663	0.07175925925925924	0.00611	0.0061	0.0027504363290212696	0.01296	0.0216	0.01058179568882333	1275419	0.019310344827586205
fam1093	0.055421618966769476	0.0	0.06538111742231914	0.0012000000000000001	0.0	0.001469693845669907	0.019469999999999998	0.0254	0.01160672649802691	65125	0.005960264900662251
fam2025	0.13358235032982752	0.16933638443935928	0.055981927091102376	0.012620000000000001	0.0037	0.012652019601628825	0.08411	0.0475	0.06718049493714676	985936	0.024242424242424242
fam814	0.8585606837390141	0.7953337730982761	0.29416760565042366	0.04687999999999999	0.050699999999999995	0.024084592585302333	0.06011999999999999	0.0839	0.03580088825713686	371223	0.05365853658536586
fam321	0.127301617940039	0.04328523862375139	0.13524407721191797	0.00156	0.0	0.001910601999370879	0.04489	0.0138	0.047030978088914974	890978	0.010303030303030303
fam594	nan	nan	nan	0.00276	0.0	0.003380295845040786	0.0	0.0	0.0	616735	0.00202020202020202
fam346	0.13953488372093023	0.0	0.18013876028871706	0.00064	0.0	0.0007838367176906171	0.004319999999999999	0.0043	0.002751290606242823	864950	0.04895833333333334
fam643	0.1750403551251009	0.125	0.16729578385065616	0.0012000000000000001	0.0015	0.0009000000000000001	0.00717	0.0059	0.005885074341076755	563892	0.0024154589371980675
fam62	0.16416528867559896	0.1267123287671233	0.06263614101380555	0.00294	0.0034000000000000002	0.001134195750300626	0.020440000000000003	0.0257	0.010100118811182371	1162984	0.007266121707538602
