fam	loc
fam1	1495
fam2	2889
fam3	3467
fam4	4576
fam5	6517
fam6	9263
fam7	10173
fam8	12123
fam9	13804
fam10	14315
fam12	15787
fam13	17769
fam14	18215
fam15	19644
fam16	21313
fam17	22318
fam18	23649
fam19	25490
fam20	26814
fam21	27599
fam22	28695
fam23	29213
fam24	29634
fam27	35837
fam28	37391
fam30	40195
fam32	42324
fam35	45735
fam38	48566
fam39	49423
fam40	49970
fam41	50939
fam42	51815
fam43	52140
fam44	53098
fam45	54123
fam46	54985
fam48	58065
fam49	60346
fam50	63402
fam51	64116
fam52	65261
fam53	66161
fam55	68342
fam56	69642
fam57	70187
fam58	70652
fam59	71582
fam60	72331
fam62	76518
fam63	77571
fam64	77993
fam65	78922
fam66	79476
fam67	80422
fam68	81076
fam69	81488
fam70	82349
fam71	83712
fam73	86286
fam74	87268
fam75	88231
fam76	89359
fam78	92337
fam79	92776
fam80	93852
fam81	94349
fam83	95527
fam84	95865
fam85	96561
fam86	97738
fam87	98660
fam88	99016
fam89	100511
fam91	102865
fam94	105896
fam95	106869
fam96	107758
fam97	108442
fam98	109395
fam99	109655
fam100	110862
fam101	112237
fam105	116456
fam106	118156
fam107	119516
fam108	120871
fam109	122366
fam110	122859
fam111	124398
fam112	125029
fam113	126087
fam114	126907
fam116	133471
fam117	134883
fam120	139189
fam121	140031
fam122	141014
fam127	146972
fam128	148150
fam129	149971
fam130	150444
fam131	151358
fam132	152175
fam133	152574
fam134	153755
fam135	154971
fam136	156328
fam137	157858
fam138	158918
fam143	166189
fam144	166649
fam145	167641
fam146	169613
fam149	172411
fam150	173671
fam151	174240
fam152	175211
fam154	176344
fam155	177430
fam156	178552
fam157	179283
fam158	180839
fam159	181950
fam160	182228
fam161	183469
fam162	185066
fam163	185740
fam164	186221
fam165	186662
fam166	188805
fam168	193638
fam169	193875
fam170	194253
fam171	195673
fam172	196455
fam173	197137
fam174	198731
fam175	199149
fam176	200211
fam177	200720
fam178	202026
fam180	204097
fam181	204580
fam182	205746
fam183	206683
fam184	208482
fam186	211811
fam187	213608
fam188	214653
fam189	216230
fam190	217577
fam191	220257
fam192	221983
fam193	223206
fam194	223673
fam195	224833
fam197	228177
fam198	232673
fam199	233263
fam200	233871
fam201	234688
fam202	235880
fam216	257154
fam217	258213
fam218	259181
fam219	260557
fam220	262744
fam221	263075
fam222	264367
fam223	268150
fam224	269573
fam225	270592
fam228	273353
fam229	273742
fam234	276641
fam235	277594
fam236	278389
fam237	279612
fam238	281420
fam239	282819
fam240	283627
fam241	284644
fam242	284910
fam243	286255
fam244	286622
fam245	287430
fam246	289363
fam247	291120
fam248	292118
fam249	292416
fam251	294346
fam252	295429
fam253	296782
fam254	299058
fam255	300561
fam257	302211
fam258	303702
fam259	305175
fam260	305836
fam261	306702
fam263	316300
fam266	327319
fam267	328554
fam270	332321
fam271	332960
fam272	334764
fam273	336897
fam274	337572
fam275	339287
fam276	341095
fam277	357302
fam278	358935
fam279	360041
fam280	360947
fam281	361515
fam282	362788
fam283	364351
fam284	365883
fam285	366689
fam286	368446
fam287	369092
fam289	373167
fam290	373827
fam291	374426
fam292	377305
fam294	378973
fam295	379904
fam296	380593
fam297	381786
fam298	382318
fam299	383077
fam300	384045
fam301	387070
fam302	388153
fam303	388551
fam304	389877
fam305	390751
fam306	392220
fam307	393086
fam308	393982
fam309	394710
fam310	395086
fam311	395348
fam312	396153
fam313	396804
fam314	398302
fam315	399534
fam316	400601
fam317	401307
fam318	402048
fam319	404587
fam320	404999
fam321	405343
fam322	406826
fam323	407314
fam324	407607
fam325	408055
fam326	409398
fam327	410902
fam328	411880
fam329	412905
fam330	414499
fam331	414959
fam332	415267
fam333	416418
fam334	417018
fam335	417385
fam338	421173
fam339	423722
fam340	425074
fam341	426933
fam342	428030
fam343	429719
fam344	431203
fam345	431520
fam346	431814
fam347	432184
fam348	433698
fam349	434674
fam350	435785
fam351	437681
fam352	438956
fam353	439752
fam355	444242
fam356	445471
fam357	447117
fam358	448265
fam360	450692
fam361	452384
fam362	453296
fam363	453830
fam364	455107
fam365	455874
fam366	456076
fam367	457193
fam368	457758
fam369	459064
fam371	459702
fam372	461073
fam373	463207
fam374	463992
fam375	465098
fam376	466096
fam377	467039
fam378	467850
fam379	469095
fam380	470505
fam381	472178
fam382	473864
fam383	475215
fam384	476130
fam386	478366
fam387	479415
fam388	480572
fam390	483604
fam391	484374
fam393	486705
fam394	487213
fam395	488445
fam396	489510
fam397	490514
fam398	491930
fam399	493368
fam400	494411
fam401	495258
fam402	497078
fam403	498562
fam404	499343
fam409	506846
fam410	508159
fam411	509396
fam412	510393
fam413	510839
fam414	512221
fam415	512976
fam416	514209
fam417	515931
fam418	516177
fam419	516873
fam420	517579
fam421	517810
fam422	519817
fam423	520046
fam424	521536
fam426	524647
fam427	525218
fam428	526244
fam429	527058
fam430	527580
fam431	528017
fam433	529631
fam434	532160
fam435	533024
fam436	533639
fam437	534745
fam438	536313
fam439	537540
fam440	538662
fam441	539736
fam442	541303
fam443	542358
fam445	544726
fam446	545234
fam447	545524
fam448	546287
fam449	547355
fam451	554788
fam452	555615
fam453	556367
fam455	558419
fam456	559600
fam457	560614
fam458	561310
fam459	562137
fam460	562820
fam461	564670
fam462	565386
fam463	565857
fam464	566633
fam465	566961
fam466	568087
fam467	569045
fam468	570131
fam469	570816
fam470	572606
fam471	573327
fam472	574231
fam473	575193
fam474	575945
fam475	577090
fam476	578925
fam477	580699
fam478	581054
fam479	582465
fam481	585199
fam482	586237
fam483	589189
fam484	591247
fam485	592303
fam486	592962
fam487	593651
fam488	595276
fam489	595740
fam490	596542
fam491	598599
fam492	599047
fam493	600438
fam495	604110
fam496	604959
fam497	606507
fam498	608005
fam499	608855
fam500	610153
fam501	612418
fam502	614154
fam503	614961
fam505	616761
fam506	617688
fam507	618525
fam508	619301
fam509	620636
fam510	622057
fam511	623774
fam512	624847
fam513	627159
fam514	628135
fam515	628824
fam516	629685
fam517	630341
fam518	630705
fam519	631084
fam520	632020
fam521	632478
fam522	633498
fam523	635264
fam524	636903
fam525	638571
fam526	642079
fam527	642891
fam528	644209
fam529	644764
fam530	645865
fam531	646788
fam532	647213
fam533	648213
fam534	648931
fam535	649659
fam536	650454
fam537	651756
fam538	653081
fam539	654015
fam540	654701
fam541	655316
fam542	655598
fam544	657552
fam545	658009
fam546	660417
fam547	660734
fam548	661678
fam550	667130
fam551	667698
fam552	668377
fam553	668844
fam554	669880
fam555	670545
fam556	672043
fam557	673379
fam558	674774
fam559	676037
fam560	677320
fam561	677848
fam562	678436
fam563	679231
fam564	679713
fam565	680815
fam566	682265
fam567	682722
fam568	683410
fam569	684415
fam570	685025
fam571	685559
fam573	688170
fam574	689337
fam575	690314
fam576	692127
fam577	694056
fam578	695289
fam579	697114
fam580	698582
fam581	699249
fam582	700463
fam583	701152
fam584	702300
fam585	702927
fam586	704587
fam587	705974
fam588	706620
fam589	707392
fam590	709237
fam591	711874
fam594	715098
fam596	716063
fam597	717166
fam598	718299
fam599	719171
fam600	721480
fam601	722010
fam602	722699
fam603	723591
fam604	724172
fam605	724522
fam606	725237
fam608	727479
fam609	727935
fam610	728989
fam611	729697
fam612	730781
fam613	732063
fam614	732995
fam615	734819
fam616	736564
fam617	737798
fam618	739110
fam619	740222
fam620	741175
fam621	741919
fam622	743495
fam623	744173
fam625	747089
fam626	747759
fam627	748595
fam628	748794
fam629	749086
fam630	749436
fam631	750347
fam632	752393
fam633	753311
fam634	753955
fam635	754772
fam636	755486
fam637	756695
fam638	757716
fam639	758136
fam640	761655
fam641	762118
fam642	762494
fam643	763296
fam644	764528
fam645	765590
fam646	765992
fam647	766324
fam648	766826
fam649	768328
fam650	769771
fam651	770510
fam652	771412
fam653	773037
fam654	773407
fam655	776420
fam656	776939
fam657	777594
fam658	778491
fam659	779420
fam660	780034
fam661	780736
fam662	781181
fam663	782910
fam664	783320
fam665	783639
fam667	785847
fam668	787157
fam669	788302
fam670	788950
fam671	789728
fam672	790565
fam673	791714
fam674	792962
fam675	793966
fam676	795476
fam677	796381
fam678	797064
fam679	797686
fam680	798822
fam681	799357
fam682	800136
fam683	801459
fam684	801938
fam685	802390
fam686	802620
fam687	803227
fam688	804295
fam689	804710
fam690	805873
fam691	806601
fam693	808303
fam694	809487
fam695	809962
fam696	810977
fam697	811232
fam698	812606
fam699	815930
