fam	loc
fam1	456114
fam2	454284
fam3	449752
fam4	449051
fam5	448083
fam8	440328
fam9	438909
fam10	437272
fam15	431202
fam16	430176
fam17	429433
fam20	427082
fam22	424321
fam23	423307
fam24	420627
fam25	420036
fam26	418081
fam27	416499
fam28	414600
fam30	412556
fam31	411123
fam32	410174
fam33	409720
fam34	408255
fam35	406838
fam36	406073
fam37	405320
fam38	404634
fam95	359545
fam97	357754
fam130	311743
fam131	311223
fam132	310671
fam133	310377
fam134	309962
fam135	308220
fam136	306786
fam137	305374
fam140	297689
fam141	296546
fam142	295043
fam143	293269
fam144	291271
fam145	287931
fam146	286307
fam147	285799
fam148	285029
fam149	284071
fam150	282719
fam151	282323
fam152	281141
fam153	279543
fam154	274974
fam155	273000
fam156	271887
fam157	271271
fam162	265023
fam163	263625
fam165	262404
fam166	260017
fam167	258148
fam168	257448
fam169	256982
fam170	256181
fam171	255124
fam172	254372
fam173	253515
fam174	252914
fam175	251686
fam176	251058
fam177	250599
fam178	250006
fam179	248831
fam180	248495
fam181	247717
fam182	246913
fam184	246185
fam185	245410
fam186	244477
fam187	243340
fam188	242672
fam190	239590
fam191	238098
fam192	237505
fam195	232774
fam196	232074
fam198	229895
fam199	229488
fam201	226952
fam202	226076
fam203	224702
fam205	221198
fam206	219958
fam207	218326
fam208	217618
fam209	216172
fam210	214815
fam213	211200
fam214	210140
fam215	209119
fam216	206839
fam217	206297
fam218	205242
fam219	204382
fam220	203589
fam221	202709
fam222	200387
fam223	199885
fam224	199084
fam225	198605
fam226	196995
fam227	196186
fam228	195150
fam230	193320
fam231	191894
fam232	190492
fam233	189905
fam235	188588
fam236	187969
fam237	187103
fam238	186181
fam239	185460
fam241	182352
fam247	177150
fam248	176016
fam249	175373
fam253	171716
fam254	170840
fam255	170008
fam256	168847
fam257	168619
fam258	165337
fam259	164273
fam260	163188
fam262	161508
fam263	160591
fam264	159452
fam265	158288
fam266	157028
fam267	155497
fam268	154090
fam269	152045
fam270	150595
fam271	149327
fam272	147843
fam273	147312
fam275	145078
fam277	141721
fam279	137857
fam280	136985
fam281	136776
fam282	134692
fam283	134252
fam284	133299
fam285	132537
fam290	127063
fam294	106084
fam295	104039
fam296	103337
fam297	102371
fam303	88172
fam304	86976
fam305	85911
fam307	84356
fam308	84030
fam309	82576
fam310	80893
fam311	80236
fam312	79610
fam314	78874
fam315	76919
fam317	75791
fam318	74701
fam319	74068
fam320	72440
fam321	71552
fam322	70165
fam323	69083
fam324	68603
fam325	66435
fam326	66031
fam327	65244
fam329	63054
fam331	61891
fam332	60871
fam333	58788
fam334	57304
fam335	56887
fam336	56435
fam337	55099
fam338	54901
fam339	54141
fam340	53251
fam342	51915
fam343	50562
fam344	49093
fam346	47144
fam347	46211
fam348	45316
fam349	43573
fam350	41267
fam351	40142
fam352	38699
fam353	37944
fam354	36975
fam355	36365
fam356	36107
fam357	34928
fam358	34426
fam359	33312
fam360	31706
fam361	30547
fam362	29339
fam363	28233
fam364	26618
fam365	25899
fam368	22811
fam369	21384
fam370	20232
fam372	19048
fam373	17501
fam375	12273
fam376	11257
fam377	10734
fam378	8839
fam379	8034
fam380	7160
fam381	6647
fam384	3750
fam387	1805
fam388	235
fam389	990
fam390	2596
fam396	12633
fam397	13412
fam398	14958
fam399	15500
fam400	16921
fam401	17809
fam402	19402
fam403	19960
fam404	20443
fam405	20758
fam406	21771
fam407	22195
fam408	23217
fam409	24018
fam411	26576
fam412	28463
fam413	30232
fam414	30480
fam415	30877
fam416	31025
fam418	34280
fam419	35399
fam420	37824
fam422	40344
fam424	42478
fam425	43354
fam426	45185
fam427	46901
fam428	47875
fam430	50522
fam431	51466
fam432	52102
fam433	53031
fam434	53517
fam435	54902
fam436	56236
fam437	57165
fam438	57732
fam439	59038
fam440	59633
fam442	61535
fam443	62580
fam444	63430
fam445	64999
fam446	65997
fam448	68543
fam449	68955
fam450	69855
fam451	71069
fam452	72184
fam453	72504
fam454	72871
fam455	73203
fam456	74332
fam457	74915
fam458	75214
fam459	75665
fam460	76124
fam461	77282
fam462	77964
fam463	78615
fam464	80769
fam465	81044
fam466	82179
fam467	83235
fam468	84952
fam472	89032
fam473	90542
fam474	92169
fam475	92748
fam476	93652
fam477	93886
fam478	94693
fam479	95243
fam480	96323
fam481	97207
fam482	97836
fam483	98683
fam484	99419
fam485	100426
fam486	102795
fam487	103595
fam488	104506
fam489	105272
fam490	105754
fam491	106726
fam492	107757
fam493	108117
fam494	110940
fam495	111932
fam496	112416
fam497	113065
fam498	113864
fam499	114730
fam501	117815
fam502	119510
fam503	121286
fam504	122641
fam505	123674
fam507	124343
fam508	124810
fam509	126886
fam510	128261
fam511	128869
fam512	129804
fam513	130601
fam514	131719
fam515	132854
fam516	134349
fam517	136045
fam518	137060
fam519	138441
fam521	139929
fam522	140651
fam526	143730
fam527	145158
fam528	145717
