fam	loc
fam1	28198
fam3	25105
fam4	21545
fam5	21155
fam6	14245
fam7	11647
fam8	10329
fam9	9532
fam10	8839
fam11	237
fam14	16314
fam15	16730
fam16	32304
fam17	44634
fam18	55071
fam19	56731
fam20	63258
fam21	66750
fam22	68111
fam24	79244
fam25	84256
fam28	96139
fam29	112775
fam31	138048
fam32	138601
fam33	140882
fam34	144391
fam35	144940
fam36	145336
fam37	145959
fam38	164717
fam39	165902
fam40	166204
fam41	173706
fam43	184382
fam44	188011
fam45	195109
fam46	197854
fam47	201359
fam48	201640
fam49	204029
fam50	206660
fam51	215115
fam53	224355
fam54	225081
fam55	226047
fam56	229635
fam57	230277
fam58	230624
fam59	231384
fam60	231793
fam61	233363
fam62	233826
fam63	236970
fam64	237107
fam65	237530
fam66	243809
fam67	249274
fam68	249905
fam69	253033
fam70	256489
fam71	258542
fam72	260604
fam73	264746
fam74	266027
fam75	274897
fam76	289826
fam77	300029
fam78	303586
fam79	305166
fam80	306058
fam81	314630
fam82	319886
fam83	321167
fam84	321944
fam91	338275
fam92	338541
fam93	342866
fam94	349318
fam95	349682
fam96	351544
fam98	359807
fam99	362665
fam100	385348
fam104	415979
fam105	418095
fam106	310849
fam107	300961
fam108	299834
fam109	288314
fam110	286074
fam112	275899
fam113	273266
fam114	270974
fam115	269902
fam116	264089
fam118	253919
fam121	241311
fam123	193590
fam124	189769
fam126	154625
fam127	145594
fam128	127161
fam129	119436
fam130	111481
fam131	111026
fam132	100764
fam134	95076
fam135	94040
fam136	93362
fam137	73822
fam138	73126
fam139	60056
fam140	55695
fam141	55191
fam142	45868
fam144	30170
