fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	0.3872757834678347	0.3412513933583572	0.19935111363540461	0.08665277777777777	0.08675000000000001	0.07918082500100328	0.252875	0.25205	0.2310440739279461	1185108	0.10244663065843623
fam393	0.04488907942881769	0.05814263290119304	0.046695736027338855	0.02206111111111111	0.022699999999999998	0.021825014671979007	0.3773	0.36685	0.37086127834781807	460033	0.07911624495782912
fam1571	0.031083947941093436	0.013510378997881992	0.0479181306059542	0.0023722222222222217	0.0024	0.0015372434042631692	0.12264444444444443	0.125	0.053202451094560815	1897674	0.03450317324997633
fam1037	0.11089148969118429	0.10311184250491351	0.057613547020752276	0.014847222222222222	0.01595	0.007930828950337171	0.1438444444444444	0.13135	0.07004554250408342	1271662	0.0475933131575155
fam3276	0.0	0.0	0.0	0.0	0.0	0.0	0.06634722222222225	0.0751	0.03336940952854801	1102515	0.01545036160420776
fam1720	0.0	0.0	0.0	0.0	0.0	0.0	0.009916666666666667	0.0	0.012431199548805507	2080993	0.0032407407407407406
fam1499	0.08819660554545443	0.09168227564320305	0.04096534056488875	0.00784722222222222	0.008650000000000001	0.004202742894766009	0.09078055555555554	0.09605	0.03177927189086591	1807160	0.031419753086419755
fam2659	0.05811866395621301	0.0	0.10268543918845704	0.0017555555555555558	0.0	0.0032843437061682384	0.03849722222222222	0.01355	0.046744616363284204	1865577	0.012143290831815421
fam3994	0.019136053751021745	0.013338908667800704	0.017053114560898308	0.0015138888888888888	0.0015	0.0012978941871306976	0.08256944444444442	0.0839	0.03604689707284452	270928	0.025354794046382828
fam1031	0.047756564525562886	0.03266296348345772	0.04793053191895078	0.003011111111111111	0.0036	0.0016993099543601967	0.08160000000000002	0.0872	0.030518910348976892	1263562	0.02533388406994355
fam4190	0.014766983266710894	0.0	0.02694908644393258	0.00046666666666666666	0.0	0.0008730533902472531	0.026811111111111112	0.02765	0.01023913456026484	45028	0.007694909521393539
fam1483	0.0750664672120441	0.06438631790744466	0.05613019241553046	0.007241666666666666	0.0077	0.0027287945038870997	0.11686944444444441	0.13295	0.04376902011598593	1790182	0.037147266313932975
fam1195	0.0801755819436568	0.08240680183126226	0.02541979167634302	0.013222222222222224	0.0126	0.005122722318320337	0.1875277777777778	0.1516	0.11574783321972697	1464667	0.052452452452452454
fam3726	0.06554736514445403	0.04837349193595557	0.052475475361563675	0.004138888888888887	0.0034	0.002267435871661813	0.08674444444444446	0.07264999999999999	0.05123113443798087	569288	0.02646440767008143
fam4141	0.03234590865488753	0.024252223120452707	0.02719690294861608	0.003433333333333334	0.003	0.0022779132751026515	0.12134166666666668	0.1369	0.04492007949310271	99816	0.03513244256915143
fam3379	0.08694831174338241	0.06937561942517344	0.0580969047633996	0.007072222222222222	0.007050000000000001	0.004733545248255682	0.08473611111111111	0.09645000000000001	0.03261722578960198	967675	0.027985074626865676
fam98	0.2916461981789594	0.16456202244953833	0.5078432161586292	0.01549166666666667	0.0151	0.008086524284264532	0.08937500000000001	0.09695	0.039013597166742894	121412	0.03419952210274791
fam3894	0.12217469015223256	0.1253731343283582	0.08494880866002427	0.011027777777777777	0.0146	0.00886740633227825	0.08543055555555555	0.0792	0.04187074568401908	381401	0.034030784030784036
fam1496	0.042479607925343346	0.041666666666666664	0.03454397265635855	0.005916666666666666	0.0049	0.0036276331432798193	0.15776388888888893	0.15605	0.07621693509967227	1804117	0.049234330484330485
fam2317	0.18439009772935472	0.16637785687523415	0.07225124365625286	0.006844444444444443	0.0084	0.0025082579661373262	0.03924444444444444	0.042749999999999996	0.01325898949653162	2255406	0.015243902439024392
fam265	0.13033832029921796	0.0	0.15828653190399747	0.0037166666666666667	0.0037	0.0037168161404920507	0.017047222222222227	0.0172	0.0170456329713819	311978	0.007692307692307693
fam2943	0.030447817253419843	0.0267739128006553	0.014569204020496752	0.0028861111111111114	0.0028	0.001393866081917839	0.09768611111111111	0.10305	0.027579331560445546	1505270	0.02707482096568692
fam1040	0.28710151169914705	0.3127614250443184	0.08637407465976756	0.027319444444444438	0.0283	0.014738344160055664	0.09215555555555553	0.0925	0.0355988798547592	1275372	0.05117774678444135
fam3456	0.009885455582087385	0.0	0.016252516481010573	0.0004277777777777778	0.0	0.000536247823673963	0.059291666666666666	0.0664	0.027104380283554826	885172	0.016337250712250714
fam3641	0.026870028464252245	0.024590163934426226	0.021465007609740825	0.0014916666666666663	0.0012	0.0012106873621579143	0.05923055555555555	0.0588	0.020543596183137034	660162	0.01630945666478661
fam3986	0.11648501328594031	0.0594059405940594	0.12342597845062828	0.003930555555555556	0.003	0.00401758768447798	0.033311111111111104	0.0333	0.017539174847209536	280246	0.011498426531106271
fam3198	0.185746022056062	0.18871527777777777	0.11872656389781176	0.008583333333333333	0.009999999999999998	0.006188766705356838	0.047169444444444444	0.0363	0.026264063105362605	1190524	0.0187018701870187
fam3286	0.0525097694896532	0.04403083258746252	0.025761718672741078	0.006458333333333333	0.0073	0.0024730070539504914	0.13853055555555552	0.16035	0.05709720668125954	1089068	0.04226091763405196
fam3216	0.13421427694300997	0.11954459203036054	0.0684090055006791	0.013594444444444444	0.01265	0.008350014785231237	0.10743333333333333	0.10544999999999999	0.06310354365819897	1169601	0.04170727745289148
fam355	0.016427549162153044	0.01754388074200805	0.013467667957380107	0.0020444444444444442	0.0016	0.0016700705980494165	0.11944444444444444	0.1097	0.0561547932279083	414620	0.031519533231862
fam3280	0.10914233239844655	0.09409594095940961	0.0443685826040353	0.007061111111111111	0.0064	0.0033019588275394096	0.06730000000000001	0.07	0.023173164556347405	1098380	0.02483833039388595
fam3247	0.05779025422895574	0.05358453422209175	0.013651158835235917	0.009147222222222225	0.00875	0.006899737761164515	0.14862499999999998	0.1647	0.09016705599114962	1134415	0.04187952320136228
fam3314	0.04871359083839143	0.04366197183098592	0.028265750836238116	0.0033333333333333335	0.00315	0.0016624947786050004	0.0725638888888889	0.0763	0.023128027162559687	1055382	0.043798080735982244
fam2090	0.07002769112451221	0.06381425921217429	0.033676019605266116	0.0061111111111111106	0.0054	0.004064875136648506	0.08193333333333334	0.0975	0.043877588559283635	2528093	0.027160493827160497
fam2305	0.020251183907016322	0.018604651162790694	0.009359199091483781	0.0016916666666666664	0.0012	0.0011470675171448667	0.07912499999999999	0.07155	0.031204151922816656	2270244	0.02282435810043172
fam519	0.08589346496620265	0.09410473817655504	0.03224686715912783	0.010799999999999999	0.01465	0.006788143257834862	0.11914722222222224	0.13979999999999998	0.05299854026349903	606516	0.03616571402016822
fam1093	0.01181866900972212	0.0	0.015716818956029457	0.0009555555555555555	0.0	0.001488557176979038	0.0633	0.0634	0.025963050668209236	1331526	0.01687116564417178
fam2823	0.03253539828745677	0.0	0.0444620985903526	0.0014444444444444442	0.0	0.0020624209674345293	0.03834444444444444	0.024399999999999998	0.03483356016229531	1664717	0.010862452558565631
fam814	0.056403253744941706	0.05430932703659976	0.018196787245542932	0.005888888888888888	0.0058	0.0025574268511074625	0.10777222222222221	0.1061	0.045070158956842625	987846	0.03258807588075881
fam321	0.020254527001298896	0.019444444444444445	0.02245867082598778	0.0008555555555555554	0.0014	0.0008267891187682505	0.04753055555555556	0.0518	0.020820446940507043	379964	0.014707461084272677
fam594	0.04120359762102974	0.037500651052969666	0.03387969895397782	0.0020999999999999994	0.0027	0.0016970562748477142	0.05244166666666668	0.0515	0.02248549378055896	697753	0.016593841032043283
fam346	0.3955225115651455	0.379019929019929	0.25461266210116545	0.02180277777777778	0.0209	0.01464110435480859	0.06083055555555555	0.044700000000000004	0.0424907952087171	400993	0.031275720164609055
fam62	0.027996619350696212	0.03295750216825672	0.02107362799768292	0.002638888888888889	0.00285	0.0021137483527528607	0.08621944444444445	0.1035	0.040599663514235385	73114	0.023700655387898187
fam2091	0.031282064391501815	0.019925280199252805	0.025186197134058706	0.0026500000000000004	0.0023	0.001395727607936289	0.11103055555555558	0.0891	0.05961750684080626	2530072	0.028806584362139915
fam2999	0.15453531080996943	0.11774803306738013	0.14034831651522744	0.006908333333333333	0.005	0.004119895832016468	0.05874444444444444	0.05985	0.039679083801897753	1433785	0.01933251933251933
fam2732	0.07802854307271148	0.06467381671380398	0.04557697432706452	0.008808333333333333	0.0071	0.004361471145789635	0.1252111111111111	0.11960000000000001	0.04709391785321573	1777399	0.03767316935255867
fam2664	0.0	0.0	0.0	0.0	0.0	0.0	0.0036	0.0	0.006734983296193095	1860410	0.0009376465072667604
fam3550	0.013275483735913187	0.019327714816946298	0.012817506191825794	0.0022500000000000003	0.00225	0.00225	0.11961111111111111	0.12259999999999999	0.07014309888355129	776601	0.03167289886039886
fam870	0.010990622678417578	0.009768140832975527	0.007816769870606333	0.0009083333333333334	0.0008	0.0007084313657652378	0.08390277777777777	0.0875	0.023870594254474024	1065848	0.025146810861096575
fam910	0.032890310858835065	0.0	0.04034099073433754	0.001788888888888889	0.0	0.0022424908990002087	0.05132777777777778	0.048850000000000005	0.016768929786150324	1116827	0.01664914125481949
fam508	0.08099807253371627	0.07915057915057916	0.024569967933776297	0.011688888888888888	0.0082	0.0064458331837008295	0.14852500000000002	0.1117	0.08325428042048849	595936	0.04674094998953757
fam179	0.02310394625402125	0.0	0.03669087059043925	0.002180555555555556	0.0	0.0033970427862124474	0.07199166666666665	0.0552	0.05990914591186297	220325	0.02042864542864543
fam2642	0.04973126601888823	0.04259634888438134	0.03745778934420421	0.009883333333333334	0.00835	0.006379328595811109	0.23550277777777776	0.23875000000000002	0.156669465375908	1889911	0.04877286925479697
fam885	0.09314333268968511	0.0943167603592036	0.020824458418383134	0.013288888888888888	0.0116	0.007444713925470795	0.1466	0.1218	0.08551786363093972	1084305	0.04164292497625831
fam2735	0.01820547875329116	0.017593722829694923	0.017226345069115148	0.0013722222222222222	0.0019	0.001151475167655992	0.084575	0.0803	0.03267437302807474	1771468	0.02165725047080979
fam1934	0.10320967575951934	0.09313725490196079	0.05161494182685794	0.0056833333333333345	0.0057	0.002556527592914525	0.05949444444444444	0.06335	0.024091249499956113	2340419	0.020409298187075965
fam3438	0.04704615151991563	0.04563492063492063	0.022695459889035687	0.0033222222222222216	0.0023	0.0026248927079778064	0.06923888888888889	0.058	0.042608464715735754	902906	0.018470790378006873
fam119	0.024232351958380027	0.02376333656644035	0.02538658466176865	0.003011111111111111	0.0049	0.002914311218202889	0.10933055555555554	0.091	0.05887932489160654	142004	0.029114676173499703
fam1001	0.03256283579007107	0.029874213836477984	0.015733841192016054	0.003844444444444444	0.0038	0.0017686222579618362	0.13404166666666667	0.12395	0.06397543528139879	1233443	0.038761433498275606
fam43	0.0	0.0	0.0	0.0	0.0	0.0	0.04813333333333333	0.05885	0.025443062796063776	50724	0.012509197939661515
fam3658	0.04737951811812402	0.06578476994432145	0.04278561356122101	0.002844444444444444	0.0044	0.0025757894630626726	0.055544444444444445	0.05635	0.022959220423810902	645173	0.01684136967155835
fam2822	0.0	0.0	0.0	0.0	0.0	0.0	0.016644444444444444	0.019	0.006833554648629252	1665637	0.004761904761904762
fam1587	0.046554869949882435	0.048034934497816595	0.018691823979698687	0.004655555555555555	0.0055	0.0019299459469178642	0.10165555555555557	0.105	0.03262772716949365	1919138	0.030130363463696797
fam2161	0.0	0.0	0.0	0.0	0.0	0.0	0.015000000000000001	0.027	0.01341640786499874	2453130	0.004629629629629629
fam2772	0.007811502850287051	0.0	0.010295111042565256	0.0007111111111111113	0.0	0.0008799551054765925	0.07696111111111112	0.0848	0.0327790352866125	1725463	0.021604938271604937
fam1143	0.0957288120674228	0.0902006903150141	0.02383024121020818	0.010611111111111111	0.00805	0.006538466426454795	0.12417499999999998	0.0917	0.09171767482334034	1396338	0.04147104851330204
fam3496	0.0792395016921949	0.04930662557781202	0.07205401630911025	0.007647222222222222	0.0032	0.0080638936732102	0.09523888888888889	0.0977	0.036901620543892545	837970	0.028762805358550043
fam2627	0.04237388224310142	0.035121645881441614	0.07041450663081668	0.0019527777777777779	0.0021	0.0011028967190265398	0.05862500000000001	0.06125	0.027371978524274296	1905735	0.017799950726779992
fam933	0.06963447921152299	0.08438041078264738	0.036167498240451165	0.0030222222222222217	0.0032	0.002040576050355377	0.04137777777777778	0.0436	0.014764373620139179	1147061	0.013055875945149302
fam2904	0.018121182032876756	0.013625832918718123	0.012659131452475722	0.0017000000000000001	0.0018	0.0009669539802906858	0.11733055555555556	0.07930000000000001	0.06842037066483621	1556521	0.02974402974402974
fam4222	0.03663336098355963	0.036056761797515574	0.015619226084388926	0.002366666666666667	0.0021	0.0012472191289246471	0.06497777777777777	0.0685	0.019154592009795676	2857	0.019090834764123946
fam839	0.12011350130526607	0.11495053059921806	0.028360796980720224	0.013361111111111112	0.0133	0.005623871628937261	0.10953888888888891	0.11845	0.030817043244298886	1029893	0.04508811398575177
fam1534	0.011561349180408484	0.0	0.016351493585247397	0.000575	0.0	0.0007072540797572916	0.05274722222222222	0.0469	0.02396462075309155	1851500	0.015275302040007925
fam2304	0.02532382227493886	0.019622395941569816	0.02842839269947992	0.0018999999999999998	0.0018	0.0022825424421026655	0.06884722222222223	0.0765	0.03028381935136605	2272935	0.019305019305019305
fam1804	0.0	0.0	0.0	0.0	0.0	0.0	0.017725000000000005	0.0	0.026592807872722946	2177078	0.005144032921810699
fam1584	0.013501191132036865	0.013140604467805518	0.013567971227955727	0.0006055555555555556	0.001	0.0005778044865621571	0.053474999999999995	0.05085	0.02156663285674836	1914828	0.01629556143445032
fam2769	0.03163774046816314	0.02527664607701406	0.025965003625361745	0.0028194444444444447	0.0021	0.0026039307300528523	0.08367777777777778	0.0898	0.024836936104554612	1727670	0.02625920550448852
fam2045	0.09118459708072202	0.07469151834593742	0.07249799189044691	0.0059749999999999985	0.00615	0.002986020670465033	0.0788861111111111	0.0869	0.03278935424102173	2472302	0.024109014675052408
fam2799	0.04446147128875985	0.03316062176165803	0.027766316473400138	0.004199999999999999	0.0047	0.0026118320517725994	0.11114166666666667	0.08185	0.07720046551025454	1696565	0.03263509411050394
fam317	0.29662021648568926	0.2801854754440961	0.21346836135510217	0.007994444444444445	0.0081	0.0053280674234787795	0.02819722222222222	0.0307	0.014928579714224344	376150	0.013966480446927372
fam568	0.03877151931666384	0.021145374449339206	0.09075325861702362	0.0015999999999999996	0.0016	0.0009797958971132714	0.0990416666666667	0.0992	0.04177486202517277	664389	0.026861332322083174
fam3675	0.10866655476004299	0.10876734918235537	0.0624559404678324	0.007355555555555555	0.0051	0.006123971316993412	0.06940277777777777	0.07285	0.03520990616692908	627032	0.024532840998097792
fam3712	0.04344860425173788	0.04428497560341815	0.016168224272102585	0.00908611111111111	0.0071	0.005555335412304993	0.20651666666666663	0.20555	0.0921111059174372	583498	0.056695156695156707
fam3025	0.05141173885837507	0.04424778761061947	0.052339419765337014	0.0018333333333333337	0.003	0.0017716909687891082	0.046936111111111116	0.05095	0.024739264257201635	1406282	0.020051899032790754
fam2613	0.01622668042838167	0.017583512105424456	0.01242425787924929	0.0013944444444444447	0.0017	0.0012020686901348314	0.08831111111111112	0.0979	0.03414429981529191	1920037	0.024909865617830217
fam3831	0.07387108099801437	0.052631578947368425	0.059988476312097395	0.003969444444444445	0.0032500000000000003	0.0027844627892452357	0.05635277777777777	0.0608	0.0238328611388085	443289	0.01929012345679012
fam732	0.02282259978498019	0.02110057574401762	0.02257671772854686	0.002333333333333333	0.0019	0.0027839819603502386	0.07980555555555555	0.07575	0.03227844950534545	902949	0.02350141305964599
fam989	0.0609114598332191	0.05710102489019033	0.018417045567744213	0.00543611111111111	0.0039	0.0030588807664258307	0.090275	0.08524999999999999	0.040983488375740354	1220477	0.025032299741602065
fam3155	0.027604848330294193	0.023758099352051837	0.012174827633027257	0.001461111111111111	0.0011	0.0007836090925177828	0.051847222222222225	0.0499	0.01625051257501182	1245748	0.013771385598796766
fam2075	0.008159948152641887	0.0	0.00974449866443943	0.0008888888888888889	0.0	0.0010999438818457407	0.09020833333333335	0.10295	0.042579731582839585	2509886	0.02405053358443189
fam1715	0.03193025926747503	0.017401485788113697	0.03219063869180607	0.005194444444444444	0.0015	0.005555674998716	0.1592277777777778	0.1642	0.06736322196005402	2078290	0.04594578805935272
fam1082	0.012615458275527092	0.0	0.0156636640422267	0.0005055555555555555	0.0	0.0006337474279783198	0.04103333333333333	0.0405	0.015898287818364453	1318873	0.011478420569329661
fam1699	0.23518549528442628	0.2497824194952132	0.0392952721225667	0.020611111111111115	0.0273	0.010487552881015607	0.08543333333333335	0.11044999999999999	0.04706376879653109	2061655	0.04328969774372073
fam2544	0.060568884589686386	0.057029177718832896	0.039830475109300746	0.001788888888888889	0.0015999999999999999	0.0011753906626635008	0.036991666666666666	0.0324	0.02221830295299601	1994326	0.011458857047092342
fam3445	0.05778820780727264	0.04535733209934856	0.04984034684325209	0.006058333333333334	0.0067	0.0027209449951564007	0.1285722222222222	0.1376	0.05829649604064796	896675	0.039516060683108735
fam622	0.02930873351240774	0.03207954907584448	0.007121199820640315	0.003969444444444445	0.0043	0.0014383283979143683	0.1371777777777778	0.143	0.04138059200956082	730266	0.04174218132812864
fam3907	0.06424762418598806	0.051479111958281365	0.03646949262792677	0.004122222222222222	0.0042	0.002332036676754548	0.06905555555555555	0.07095	0.02463064311476486	366778	0.023174755214985097
fam2980	0.2842740213068466	0.27243589743589747	0.15389304819889277	0.01755277777777777	0.01735	0.011044920554794788	0.063025	0.0624	0.031568605845048024	1455440	0.042680254218715755
fam3777	0.013374260152535275	0.011489208262504507	0.008031573308603187	0.0011555555555555557	0.0016	0.0005144816401240101	0.10187222222222223	0.1096	0.04136809432878268	498199	0.02796082738422112
fam1197	0.009875379725582143	0.0	0.01684974879039941	0.00035833333333333333	0.0	0.00044806683529233546	0.04764444444444444	0.0505	0.01568728155128019	1467847	0.01289500509683996
fam507	0.007938861840008502	0.0	0.015207020223894512	0.0004222222222222222	0.0	0.0007899054483189431	0.06487222222222223	0.07345	0.022829605670307323	594626	0.01778072893610742
fam2916	0.0023985852484581017	0.0	0.0044228610508133814	0.0003333333333333333	0.0	0.0006236095644623237	0.08593888888888888	0.09175	0.05260640686465743	1542611	0.02150537634408602
fam3077	0.0	0.0	0.0	0.0	0.0	0.0	0.010769444444444446	0.0074	0.0062470357167950935	1352601	0.0032753842277651797
fam4025	0.005085258358916579	0.0	0.009226343063863279	0.0015999999999999999	0.0	0.002993325909419153	0.11116666666666666	0.05725	0.1231721784964265	235409	0.025945216049382717
