fam	loc
fam1	217281
fam2	216997
fam3	215144
fam4	214071
fam5	212703
fam6	212177
fam7	210755
fam8	209254
fam9	208413
fam10	207449
fam11	207073
fam12	204913
fam13	202627
fam14	201017
fam15	199609
fam16	198809
fam19	192665
fam20	192371
fam21	191431
fam22	190684
fam23	190152
fam24	188471
fam25	185797
fam26	185177
fam27	184145
fam28	183297
fam29	182610
fam30	181910
fam31	181058
fam32	179723
fam33	178501
fam34	177513
fam35	176873
fam36	176524
fam37	175962
fam38	175484
fam39	174213
fam40	172714
fam41	170684
fam42	169725
fam43	169025
fam44	168118
fam45	166152
fam46	164110
fam47	163217
fam48	162710
fam49	161824
fam50	159867
fam51	157957
fam52	157227
fam53	156046
fam54	154603
fam55	151948
fam56	150852
fam57	145233
fam58	144375
fam59	143600
fam60	142847
fam81	121422
fam83	117636
fam84	117099
fam85	116458
fam86	113323
fam87	112442
fam88	111724
fam89	108981
fam90	108066
fam91	107515
fam92	106871
fam93	106005
fam94	105676
fam95	104423
fam96	103279
fam97	102615
fam98	101368
fam99	100562
fam100	100299
fam111	92021
fam112	90731
fam113	90181
fam114	89171
fam115	88480
fam116	87190
fam117	86537
fam118	85452
fam119	84486
fam120	83268
fam121	82662
fam122	81963
fam123	81027
fam124	80351
fam125	79496
fam126	78231
fam127	77983
fam128	77692
fam129	75119
fam130	73830
fam131	73065
fam132	71900
fam133	70719
fam135	63700
fam136	63433
fam137	62600
fam138	61621
fam139	61043
fam140	60357
fam141	59213
fam142	58559
fam145	55822
fam146	55172
fam147	54208
fam148	52868
fam149	51417
fam150	49959
fam151	49412
fam152	48756
fam154	47781
fam155	46097
fam156	45064
fam157	44434
fam175	22035
fam176	21751
fam177	20800
fam178	18942
fam179	17400
fam180	16272
fam181	15281
fam182	14939
fam183	14557
fam184	14197
fam185	13487
fam186	12155
fam187	10072
fam188	8611
fam189	8105
fam191	7296
fam192	4372
fam193	3273
fam194	2163
fam195	686
fam196	373
fam197	1120
fam198	1866
fam199	2200
fam200	2569
fam201	2796
fam202	4421
fam203	5895
fam204	6373
fam205	8753
fam206	9382
fam207	10170
fam208	11076
fam209	11654
fam210	12493
fam211	12805
fam212	13352
fam213	13901
fam214	15456
fam215	16386
fam216	17824
fam217	18265
fam218	19777
fam219	21045
fam220	22099
fam221	23341
fam222	25527
fam223	26369
fam224	27857
fam225	28394
fam227	37305
fam228	38605
fam229	39383
fam230	39580
fam231	40345
fam232	41460
fam233	43500
fam234	44540
fam235	45856
fam237	47291
fam238	47833
fam239	48768
fam240	49326
fam241	50336
fam242	50818
fam243	51500
fam244	51894
fam245	52861
fam246	54191
fam256	66397
fam257	68082
fam258	68914
fam259	69529
fam260	71160
fam261	71448
fam262	71859
fam263	72672
fam266	74950
fam267	78477
fam268	79928
fam269	80713
fam270	81568
fam271	82122
fam272	82619
fam273	84146
fam274	85104
fam275	86732
fam276	87176
fam277	90421
fam278	91539
fam279	92169
fam280	94327
fam281	94804
fam282	98473
fam283	100138
fam284	101315
fam285	102256
fam286	103349
fam287	104133
fam288	105127
fam291	108496
fam292	109140
fam293	110507
fam315	133493
fam316	134431
fam317	136679
fam318	139010
fam321	142371
fam322	144461
fam323	144756
fam324	145209
fam325	146063
fam326	147207
fam327	148685
fam328	150662
fam329	152902
fam330	153793
fam331	154710
fam334	161390
fam338	181999
fam339	182894
