fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.04841162705021349	0.041513803773073066	0.036273389395206725	0.006922222222222222	0.0068	0.003430509446383787	0.16803777777777779	0.1848	0.07853869050457132	539173	0.05381381381381382
fam966	0.08105044850938176	0.0	0.098229689848059	0.002691111111111111	0.0	0.0042845885176329476	0.02664444444444444	0.0231	0.020471471266190644	357256	0.00730864197530864
fam393	0.06707875313286286	0.06894447834045149	0.034603829199024286	0.019713333333333333	0.0324	0.015616253640927386	0.2739666666666667	0.38	0.1946963459110394	940416	0.048695108610720426
fam1571	0.04739205863099133	0.03369272237196765	0.04734829536399206	0.003744444444444444	0.0025	0.0032194240724118172	0.08498222222222222	0.0774	0.044142538259037814	329294	0.01471984805318139
fam158	0.07546152122192248	0.06878412646688975	0.03341583458803186	0.010471111111111112	0.0113	0.004553856593761294	0.14907333333333334	0.1667	0.06072445379654632	1167763	0.03499054610165721
fam1037	0.038144798830371265	0.02027027027027027	0.03707850942446034	0.004719999999999999	0.0052	0.0027786167621878174	0.2057888888888889	0.3169	0.16572139568460773	285505	0.019559651817716336
fam1031	0.08302782938626369	0.08317806760713335	0.02323709634855742	0.03769111111111111	0.0594	0.02840506075584437	0.4349733333333334	0.6356	0.3184271717886734	291866	0.06823161189358372
fam680	0.06815636533169779	0.06226031819845692	0.024621891628548675	0.007079999999999999	0.0079	0.0023681779212438125	0.11264222222222223	0.1259	0.04091687773951743	640329	0.02352190726787067
fam875	nan	nan	nan	nan	nan	nan	nan	nan	nan	454588	0.03811788442138637
fam875	0.6340425531914894	0.6340425531914894	0.0	0.0745	0.0745	0.0	0.1175	0.1175	0.0	454588	0.03811788442138637
fam875	0.08298557606198881	0.047032451735751116	0.12321225982740766	0.012945652173913044	0.0118	0.010883048376533732	0.2406173913043478	0.21505	0.148317934510775	454588	0.03811788442138637
fam1483	0.024106411884016223	0.02793296089385475	0.012412684472734137	0.0038355555555555565	0.0048	0.002535276058214968	0.14088222222222221	0.1476	0.05460885678629588	230197	0.017342847434590553
fam425	0.041615992210082685	0.027754177286887564	0.034734611042733794	0.00695111111111111	0.0081	0.0038735927751448423	0.2131888888888889	0.2582	0.13328329598135816	903347	0.04513350559862188
fam1195	0.16088937329739028	0.13393654318587733	0.12346615226441679	0.021102222222222224	0.0208	0.007861678895867497	0.16268888888888888	0.1547	0.07889350409035156	101796	0.04980427582053597
fam1928	0.04505514718902449	0.03915176560508591	0.028093784699381917	0.009786666666666664	0.0101	0.005329690422529248	0.2593244444444444	0.281	0.1439370976125884	699106	0.0398195149464185
fam98	0.016170082432569476	0.015497201894102452	0.005232798955502158	0.0033333333333333335	0.0036	0.0014794894014114764	0.22354444444444446	0.2316	0.10666415998212032	1225540	0.025582882725739872
fam1496	0.3688436022726335	0.30452714291412386	0.30875621110130425	0.01473777777777778	0.0185	0.008857295521242209	0.047822222222222224	0.0465	0.02763717214098826	241895	0.019658119658119658
fam1988	0.016712129605368244	0.016790678713813453	0.007404981231838484	0.005526666666666668	0.0064	0.0026903448766943533	0.34478000000000003	0.3672	0.1378239208394376	774977	0.037870370370370374
fam265	0.1583581084054773	0.1380365022061773	0.07394419013453168	0.016748888888888893	0.0188	0.006987468854145564	0.11696222222222222	0.1116	0.053325513130370185	1048200	0.028627661477903018
fam1040	0.055007194886228634	0.06244398632356769	0.025006978640806234	0.011606666666666666	0.0142	0.007313409297691163	0.18660888888888888	0.1958	0.08735259793178504	280931	0.07858906525573192
fam1786	0.0	0.0	0.0	0.0	0.0	0.0	0.0969822222222222	0.1044	0.04933398327900191	539980	0.012028542303771659
fam443	0.027133359049844482	0.023007395234182416	0.017250096759742213	0.003735555555555556	0.0037	0.002030452117748443	0.16144666666666663	0.1782	0.08653212017639592	883281	0.019916485112563546
fam1784	0.0	0.0	0.0	0.0	0.0	0.0	0.15166888888888888	0.1422	0.06169093872675026	538058	0.01623024298183534
fam2090	0.12494858938291663	0.1151170145477546	0.05307297722294878	0.01106222222222222	0.0127	0.0054531658038198885	0.09129333333333334	0.0894	0.041665543451527315	897041	0.022744539411206077
fam2139	0.03006796873420222	0.028782124640422978	0.017284269848529103	0.008551111111111112	0.0064	0.006310718297634491	0.2651422222222222	0.2681	0.1056674037595509	942736	0.033670033670033676
fam1093	0.011253866860040818	0.008449804686012778	0.009040949646461113	0.005128888888888889	0.0015	0.004866010102844797	0.31249777777777776	0.2502	0.1974858717747102	215700	0.03945868945868946
fam814	0.025143934711925536	0.021739130434782608	0.014741985462800176	0.003161111111111111	0.004	0.0017389776335181954	0.12988333333333335	0.1668	0.06073823845907215	517507	0.021880745994221174
fam594	0.028477830826808048	0.01652892561983471	0.030092664021438783	0.0033422222222222213	0.0039	0.002016541471473582	0.19892444444444451	0.2369	0.13283857732109058	720730	0.023234880450070324
fam62	0.04953476726382317	0.037941494010590715	0.045321717631079506	0.00678	0.007	0.004001310896304971	0.16837777777777777	0.1855	0.10047749972315834	1259797	0.022900556233889566
fam1679	0.07244924419463611	0.0650875796178344	0.017866149394274045	0.021800000000000003	0.0226	0.0107983126253853	0.32277555555555554	0.3944	0.1696135478807379	426570	0.05256601893373193
fam922	0.026950727088378087	0.026092628832354862	0.00917394279661071	0.007122222222222223	0.008	0.002928320632785123	0.26664000000000004	0.2719	0.08583544049193459	406410	0.04006959980114343
fam494	0.0	0.0	0.0	0.0	0.0	0.0	0.05992888888888889	0.0638	0.028411066875209993	831130	0.008199643493761137
fam2091	0.10229016687033364	0.09700722394220847	0.06543288552526931	0.012262222222222221	0.0118	0.006713975106328222	0.13036888888888892	0.153	0.060605558315763676	897615	0.02827087442472058
fam870	0.07367854311958363	0.061224489795918366	0.03514306881801044	0.003413333333333334	0.0036	0.001751900555270063	0.049300000000000004	0.0518	0.02060242704149198	460596	0.011023965141612201
fam508	0.01808361818536633	0.015018248709035897	0.032820191764885424	0.002097777777777778	0.0021	0.001873498081591864	0.1458777777777778	0.1344	0.09235282559327425	817524	0.016574585635359115
fam155	0.23993570618705748	0.23003194888178913	0.04868825361938692	0.040106666666666665	0.04	0.014613774324246287	0.17280888888888887	0.1697	0.06933936455249075	1171016	0.05596255596255594
fam179	0.02296637688130687	0.021615357676771047	0.011023714631570137	0.007046666666666666	0.0082	0.0036284431923346958	0.33772222222222226	0.3848	0.19471140797360006	1144085	0.03375955320399765
fam885	0.05525839669649972	0.05471727095618161	0.027737575637299686	0.009282222222222221	0.0102	0.0043079919988004145	0.17892444444444447	0.21	0.08390064535722014	441041	0.02836700336700337
fam2021	0.04769513577784753	0.03676252594129855	0.0427008635307718	0.007077777777777777	0.0092	0.003947257213075028	0.19207777777777776	0.18	0.12924959469334926	817791	0.03288439955106622
fam1934	0.0035958326008145134	0.0	0.005802795595283531	0.0005333333333333334	0.0	0.0007180219742846006	0.1364711111111111	0.1502	0.07932192809395903	705177	0.017361111111111112
fam119	0.04852450848407334	0.05001428979708489	0.03372622207299052	0.009931111111111111	0.0051	0.008565689236644383	0.15305333333333332	0.1649	0.10928251176550519	1204246	0.022357517334686286
fam43	0.06084705929564346	0.05196570549483007	0.0355801502149892	0.021271111111111112	0.0238	0.010631831079299815	0.3961066666666667	0.3819	0.2205728082364944	1277813	0.063179012345679
fam1364	0.1642375388791843	0.14664082687338503	0.08222536594168284	0.02582444444444445	0.0282	0.012625409222068463	0.18349555555555558	0.2038	0.10112157249910307	108009	0.049037864680322785
fam2024	0.022114183511339394	0.027517886626307102	0.023239793098609893	0.002657777777777778	0.0049	0.0024864511871687403	0.12814888888888887	0.1589	0.0643645507065366	819265	0.02203932327389118
fam2161	0.029390795864158357	0.021333018431592514	0.03233090343611605	0.002362222222222222	0.0017	0.0017497033258227124	0.1019511111111111	0.0893	0.061524884296147365	962415	0.016075650118203312
fam174	0.05978650226241396	0.055129298096050015	0.026250214171024865	0.012771111111111112	0.0147	0.005967304331744303	0.2336044444444444	0.2391	0.10905823715500826	1149980	0.03876117496807152
fam1446	0.0	0.0	0.0	0.0	0.0	0.0	0.0051199999999999996	0.0	0.010240000000000003	175086	0.0005509641873278238
fam1143	0.04177248577598479	0.04065743944636679	0.01679561182052902	0.004037777777777778	0.0041	0.0017140321388000594	0.10727111111111112	0.1176	0.04767228229029351	160076	0.02266932511630717
fam933	0.03506291743714556	0.037888407343017294	0.013741047215994047	0.019061111111111112	0.015649999999999997	0.014341262879804357	0.485425	0.46824999999999994	0.29317180341813986	394323	0.061829039184111645
fam839	0.11161661430026633	0.09274935590725064	0.05537236238523893	0.03486	0.0251	0.026914988802193885	0.29222222222222227	0.3126	0.14670952841719265	496949	0.05823361823361822
fam1447	0.01665621788176985	0.014389848305560102	0.008155430073265356	0.0015844444444444445	0.0016	0.0008406229318667478	0.10503555555555555	0.1186	0.056001353775523656	178989	0.015276607694467849
fam1804	0.03152917867262758	0.02590588621085424	0.02141640301803681	0.009215555555555557	0.0084	0.006097575312479381	0.3302955555555555	0.303	0.2241209811741621	565483	0.05764005211241393
fam568	0.030254536341203713	0.027856916745805635	0.01715658187164566	0.008795555555555555	0.0125	0.005677086715935112	0.3029688888888889	0.3159	0.20816128556933094	748506	0.04451584114234716
fam124	0.038717336940753605	0.035232768888198436	0.019938701985351266	0.005964444444444445	0.0063	0.0041487430790303785	0.16560222222222223	0.1067	0.12340387079988642	1198723	0.025501128368511886
fam1765	0.03678607007330662	0.03988946423876639	0.023475239124478634	0.009617777777777779	0.0107	0.0071864776997076305	0.24512	0.2588	0.14325088729606916	512580	0.04071459694989107
fam989	0.06198185513321569	0.0469542660626224	0.05110070731808864	0.007306666666666665	0.0077	0.0033390218128467905	0.17002	0.2185	0.10127828899730792	334256	0.028602150537634412
fam1082	0.04256579346884511	0.04318048066426927	0.015330354388664893	0.008144444444444442	0.0081	0.003098498242378829	0.20619777777777779	0.2123	0.08829083377335986	230243	0.03285134449518012
fam2128	0.02046090233273865	0.019696029776674936	0.009002743281046712	0.00358	0.0032	0.0018056208535201035	0.17429111111111112	0.2131	0.07205713110587929	932950	0.024628340637621378
fam1699	0.012448569154032583	0.01280558789289872	0.010673050527534166	0.001546666666666667	0.0011	0.0014952666057336471	0.09432444444444445	0.112	0.0569151069793349	445785	0.01067993366500829
fam1736	0.08239496822546098	0.06439381863132851	0.09314538600762981	0.008708888888888888	0.0112	0.006644557412640555	0.1392511111111111	0.1759	0.10807960568688293	486493	0.02792956891317547
fam531	0.022289640131172135	0.021719685933082572	0.010297951585895325	0.00558	0.0048	0.003775276295996243	0.22945111111111116	0.2323	0.11076336261943942	788264	0.0301994301994302
fam507	0.05325027926345594	0.022946117598852695	0.0710653076937185	0.008528888888888886	0.0078	0.005046081966226524	0.39591999999999994	0.4804	0.2601093330804482	818269	0.04242810145388943
fam157	0.17835241596854315	0.16252129471890972	0.0476939137112137	0.04089777777777778	0.043	0.022471586888423135	0.2614977777777777	0.2559	0.19599527033850006	1168917	0.07192875936045336
fam1604	0.0280573820619483	0.026262626262626262	0.016985357954272865	0.0032333333333333333	0.0031	0.0017752621089730822	0.1258511111111111	0.125	0.044589872403805485	356438	0.02274961045187582
fam1808	0.0	0.0	0.0	0.0	0.0	0.0	0.015026666666666662	0.026	0.015667395727717127	569323	0.0015964240102171135
fam1334	0.08851573056276252	0.04757373929590866	0.11112983501822395	0.004797777777777778	0.005	0.0036645138461186173	0.06989333333333335	0.0878	0.039879816114587754	64590	0.01881651766709238
fam233	0.04657865601954809	0.05876685934489403	0.023444925754526058	0.003535555555555556	0.0036	0.0024625330730372883	0.06326888888888889	0.0811	0.039073343128146545	1082662	0.011376485519787701
fam565	0.024008776991657096	0.01895375284306293	0.020209987701746434	0.00329111111111111	0.0036	0.0019388223484284042	0.1744177777777778	0.251	0.10443770985379837	751573	0.02666141318623588
fam1369	0.08191275167785235	0.0	0.10508458959941544	0.0015611111111111112	0.0	0.0029206427924324562	0.017911111111111114	0.0288	0.017407306540290896	109583	0.011839708561020037
fam231	0.012383074504472992	0.012868874283689359	0.00805805835237417	0.002284444444444445	0.0026	0.0015889836801561141	0.1662977777777778	0.1812	0.05598646062075639	1084449	0.019190766108574325
fam530	0.06132521674959928	0.061336254107338437	0.020028608194835408	0.009675555555555555	0.0091	0.003946821818772137	0.16701777777777782	0.168	0.06811729846828399	789311	0.030675873613726725
fam1713	0.21832942970883873	0.1988352745424293	0.057360114139883386	0.054988888888888886	0.0586	0.0184340894627586	0.27586	0.3125	0.12725570303744957	457512	0.09023784167554136
fam1685	0.02100678768118292	0.018959649975692758	0.01757060738663497	0.0036866666666666667	0.0039	0.002685731847291452	0.16672444444444445	0.1756	0.06769676557366536	432100	0.03304048234280792
fam229	0.015585405204866969	0.016077170418006433	0.009343046273651085	0.0018	0.0015	0.0011661903789690602	0.11519111111111109	0.1464	0.05639485328062491	1087600	0.017087542087542092
fam488	0.07944484146056427	0.0777533039647577	0.051087394477745685	0.022557777777777774	0.0289	0.014476947021445107	0.2762155555555556	0.3689	0.18108259742823996	835652	0.05261610817166372
fam116	0.020775888314159868	0.017815420560747666	0.007975003317188669	0.0067466666666666664	0.0079	0.0036675514084104307	0.40808888888888883	0.5546	0.2713201784052866	1208504	0.03411214953271028
