fam	loc
fam1	19728
fam2	20892
fam3	21981
fam4	24412
fam6	25947
fam7	27265
fam8	29576
fam9	31874
fam10	32809
fam11	33847
fam12	34314
fam13	34596
fam14	34911
fam15	36018
fam16	37054
fam17	38488
fam18	40675
fam19	41571
fam20	43075
fam21	43612
fam23	50586
fam24	52208
fam25	52749
fam26	56020
fam27	57138
fam28	57770
fam29	59950
fam30	60447
fam31	62314
fam32	64714
fam33	66356
fam34	67510
fam35	68457
fam36	69588
fam37	70822
fam38	72681
fam39	73205
fam40	74735
fam41	75359
fam42	76231
fam43	77778
fam44	78879
fam45	81309
fam46	81842
fam47	82743
fam48	83499
fam49	84435
fam50	84925
fam51	85680
fam52	86094
fam53	87444
fam115	150233
fam116	153777
fam117	154245
fam118	154675
fam119	155578
fam120	157006
fam121	157572
fam122	158703
fam123	160009
fam124	160905
fam125	161835
fam126	162602
fam127	163075
fam128	163581
fam129	164984
fam130	165537
fam131	166044
fam132	167639
fam133	169282
fam134	170305
fam135	172821
fam136	173883
fam137	175585
fam138	176442
fam139	177089
fam140	178720
fam141	179027
fam142	179429
fam143	180243
fam144	181513
fam145	182381
fam146	183627
fam147	184202
fam148	184538
fam149	187624
fam150	189040
fam151	189817
fam152	190461
fam153	191248
fam154	191790
fam155	192286
fam156	193896
fam157	194968
fam158	197662
fam159	199155
fam160	200252
fam161	200964
fam162	202575
fam163	204942
fam164	205580
fam165	206244
fam166	207224
fam167	207630
fam168	208654
fam169	210700
fam170	212472
fam171	213684
fam172	214102
fam173	215271
fam174	217329
fam175	218831
fam176	220048
fam177	220552
fam178	221184
fam179	221560
fam180	222212
fam181	223215
fam182	224383
fam183	224882
fam184	225645
fam185	226757
fam186	227371
fam187	228116
fam188	228935
fam189	229787
fam190	230363
fam191	232770
fam192	234859
fam193	235491
fam194	235889
fam195	236792
fam196	238212
fam197	239686
fam198	241998
fam199	242790
fam200	244971
fam201	245283
fam202	246102
fam203	247647
fam204	248292
fam205	248704
fam206	249257
fam207	250628
fam208	251396
fam209	254069
fam210	255913
fam211	256958
fam212	258822
fam213	259689
fam214	260561
fam215	261115
fam217	263517
fam218	265702
fam219	266670
fam220	266871
fam221	267586
fam222	268338
fam223	269362
fam224	269958
fam225	271318
fam227	274110
fam228	274650
fam229	274834
fam230	275496
fam231	276401
fam233	277819
fam234	278847
fam247	291490
fam248	292542
fam250	294603
fam251	296934
fam253	298366
fam254	298645
fam271	319206
fam272	319724
fam273	321979
fam284	333837
fam285	336019
fam286	337295
fam288	339631
fam289	340618
fam290	341229
fam291	341755
fam292	342180
fam293	342952
fam294	344090
fam295	344680
fam296	345296
fam297	346290
fam298	347877
fam299	348452
fam300	349152
fam301	350322
fam302	352862
fam303	353380
fam304	354150
fam305	354794
fam306	355414
fam307	355713
fam308	356553
fam309	356853
fam310	357196
fam311	357913
fam312	358335
fam313	358526
fam314	358780
fam315	359315
fam316	359646
fam317	360210
fam318	360533
fam319	360955
fam320	361502
fam321	361865
fam322	362383
fam323	362567
fam324	363007
fam325	364362
fam326	364514
fam327	365020
fam328	365428
fam329	366076
fam330	367093
fam331	367500
fam332	368146
fam333	368912
fam334	369742
fam335	370293
fam336	371819
fam337	372446
fam338	374526
fam339	375665
fam340	376632
fam341	378081
fam343	380049
fam344	380691
fam345	381687
fam346	382667
fam347	383931
fam348	384656
fam349	385383
fam350	385814
fam351	386512
fam352	386995
fam353	387717
fam354	389608
fam355	393516
fam356	393891
fam357	394568
fam358	395696
fam359	397366
fam360	398007
fam361	399319
fam362	400921
fam363	401619
fam364	402132
fam365	404756
fam367	407067
fam368	408361
fam369	408666
fam370	409761
fam371	410329
fam372	410607
fam373	411993
fam374	413104
fam375	413574
fam376	414063
fam377	414943
fam378	415340
fam379	416215
fam380	417210
fam381	418483
fam382	420888
fam383	422066
fam384	422957
fam385	423693
fam386	425105
fam387	426270
fam388	427899
fam389	429276
fam390	430011
fam391	431061
fam392	432549
fam393	434676
fam394	436861
fam395	437357
fam396	438924
fam397	440118
fam398	442069
fam399	443083
fam400	444515
fam401	445419
fam402	446255
fam403	447462
fam404	449524
fam405	451858
fam406	453534
fam407	454654
fam408	455807
fam409	456751
fam410	457447
fam411	458380
fam412	459826
fam414	463415
fam415	465272
fam416	465859
fam417	466103
fam418	467349
fam419	468580
fam420	469217
fam421	469828
fam422	470307
fam423	471126
fam424	472402
fam425	474188
fam426	474859
fam427	475536
fam428	476978
fam429	477789
fam430	479534
fam431	480355
fam432	481679
fam433	484633
fam434	486131
fam435	487610
fam436	488487
fam437	488949
fam438	489802
fam439	490434
fam440	492566
fam441	494855
fam442	495952
fam443	497517
fam444	498150
fam445	499449
fam446	500129
fam447	500537
fam448	501671
fam449	502936
fam450	503670
fam451	504403
fam452	504902
fam453	505630
fam454	506242
fam455	506614
fam456	508412
fam457	509344
fam458	511149
fam459	511472
fam460	513262
fam461	514805
fam462	516166
fam463	517248
fam464	518600
fam465	519818
fam466	520872
fam467	522353
fam468	523327
fam469	524582
fam470	525848
fam471	526867
fam472	527396
fam473	530522
fam474	531050
fam475	531973
fam476	533594
fam477	536844
fam478	537832
fam479	538628
fam480	539379
fam481	540273
fam482	541226
fam483	541952
fam484	542447
fam485	543980
fam486	548465
fam487	550386
fam488	554924
fam489	556440
fam490	559131
fam491	559582
fam492	560382
fam493	561150
fam494	561691
fam495	562158
fam496	565233
fam497	566210
fam498	567487
fam499	567984
fam500	569199
fam501	570157
fam502	570820
fam503	571236
fam504	573394
fam505	574279
fam506	575569
fam507	576396
fam508	578038
fam509	578638
fam510	579724
fam511	580571
fam512	582355
fam513	585175
fam514	586755
fam515	587531
fam516	588698
fam517	589161
fam518	589857
fam519	590997
fam521	594047
fam522	594908
fam523	595769
fam524	596972
fam525	598325
fam526	599598
fam527	600187
fam528	600629
fam529	602486
fam530	603492
fam531	606385
fam532	607103
fam533	607723
fam534	608713
fam535	609508
fam536	611211
fam537	612868
fam538	613540
fam539	613980
fam540	614971
fam541	616100
fam542	617173
fam543	618465
fam544	619621
fam545	620677
fam546	622765
fam547	625145
fam548	625458
fam549	626049
fam550	627252
fam551	627821
fam552	629632
fam553	630503
fam554	631617
fam555	632347
fam556	635070
fam557	636160
fam558	637178
fam559	638030
fam560	639031
fam561	640943
fam562	648010
fam563	648859
fam564	649486
fam565	649783
fam566	651186
fam567	652266
fam568	652477
fam569	653181
fam570	654520
fam571	655485
fam572	657022
fam573	659096
fam574	661514
fam575	663218
fam576	664039
fam577	664770
fam578	665608
fam579	666421
fam580	667296
fam581	668401
fam582	670636
fam583	672078
fam584	672704
fam585	674151
fam586	675436
fam587	676716
fam588	677211
fam589	679089
fam590	680051
fam591	681041
fam592	681992
fam593	682624
fam594	683867
fam595	684287
fam596	684685
fam597	685256
fam598	687131
fam599	687483
fam600	687721
fam601	689192
fam602	689706
fam603	691053
fam604	692520
fam605	693645
fam606	694940
fam607	695679
fam608	696852
fam609	698533
fam610	699481
fam611	700000
fam612	701344
fam613	703044
fam614	704696
fam617	709506
fam618	710659
fam619	712313
fam620	713552
fam621	714504
fam622	716144
fam623	717694
fam624	718720
fam625	720123
fam626	721664
fam627	722497
fam628	723925
fam629	724681
fam630	726401
fam631	727400
fam632	728422
fam633	729759
fam634	731216
fam635	731844
fam636	733587
fam637	734737
fam638	736761
fam639	739333
fam643	745284
fam644	746624
fam645	747267
fam660	767035
fam661	767597
fam662	767940
fam663	768362
fam664	770272
fam665	771453
fam666	772195
fam667	773881
fam668	776126
fam669	777495
fam670	777996
fam671	778609
fam672	779207
fam673	780517
fam674	780917
fam676	783467
fam677	785810
fam678	790002
fam679	790538
fam680	791061
fam681	792347
fam682	793214
fam683	794766
fam684	797065
fam685	797795
fam686	799134
fam687	799635
fam688	800894
fam689	802162
fam690	802728
fam691	803853
fam692	804524
fam693	805769
fam694	806408
fam695	806875
fam696	807919
fam697	808466
fam698	810418
fam699	811323
fam700	811587
fam701	812608
fam702	813570
fam703	815495
fam704	817108
fam705	817712
fam706	818100
fam707	819188
fam708	820039
fam709	821474
fam710	823245
fam711	825625
fam712	826579
fam713	827232
fam714	828011
fam715	828924
fam716	829635
fam717	830659
fam718	831553
fam719	832609
fam720	834225
fam721	836073
fam722	836751
fam723	838347
fam724	839765
fam725	840424
fam726	840879
fam727	842197
fam728	843097
fam729	844221
fam730	846146
fam731	846646
fam732	846968
fam733	848075
fam734	848623
fam735	851357
fam736	851982
fam737	853541
fam738	854475
fam739	855044
fam740	856144
fam741	857641
fam742	859152
fam743	863234
fam744	863835
