fam	loc
fam2	1374983
fam5	1378941
fam7	1380338
fam9	1383975
fam10	1386391
fam11	1386655
fam12	1387064
fam13	1388039
fam14	1389032
fam15	1389433
fam16	1390297
fam17	1392712
fam18	1394238
fam19	1395830
fam20	1396859
fam21	1397668
fam23	1399963
fam24	1400279
fam25	1401214
fam26	1401917
fam27	1402569
fam28	1403426
fam29	1404346
fam47	1425649
fam49	1426804
fam50	1427337
fam51	1428344
fam52	1429930
fam53	4079587
fam54	4078366
fam72	4056963
fam73	4055094
fam74	4054195
fam75	4053473
fam76	4053210
fam77	4052664
fam78	4050853
fam79	4048848
fam80	4048484
fam81	4048235
fam82	4047376
fam83	4046730
fam84	4045640
fam85	4044435
fam87	4041283
fam89	4039159
fam90	4038167
fam91	4037115
fam92	4036401
fam93	4034604
fam94	4031773
fam95	4030775
fam96	4029859
fam97	4029220
fam98	4026951
fam99	4025933
fam100	4024451
fam102	4021645
fam103	4018841
fam104	4017474
fam105	4016959
fam106	4016435
fam107	4015482
fam108	4014968
fam109	4013880
fam110	4012157
fam111	4011471
fam112	4011172
fam113	4010391
fam114	4009594
fam115	4008824
fam116	4007704
fam117	4007141
fam118	4006564
fam119	4004827
fam120	4004625
fam121	4002475
fam122	4001846
fam123	3999119
fam124	3998376
fam125	3997891
fam126	3996323
fam127	3995080
fam128	3994295
fam129	3993513
fam130	3992419
fam131	3991379
fam132	3990252
fam133	3989149
fam134	3988025
fam135	3986922
fam136	3985636
fam137	3984548
fam138	3983439
fam153	3963834
fam154	3962305
fam155	3960895
fam156	3959277
fam157	3958653
fam158	3957931
fam159	3957067
fam162	3953241
fam163	3952188
fam164	3951367
fam165	3950431
fam166	3949060
fam167	3947407
fam169	3944178
fam170	3943134
fam171	3942696
fam172	3941483
fam173	3940518
fam174	3939890
fam175	3938904
fam176	3937723
fam177	3937190
fam178	3935232
fam179	3934246
fam180	3933650
fam181	3932271
fam182	3928513
fam183	3926991
fam184	3926142
fam186	3924788
fam187	3924435
fam188	3922885
fam189	3922437
fam190	3921718
fam191	3920477
fam192	3919626
fam193	3918980
fam194	3918697
fam195	3918410
fam196	3918080
fam199	3911074
fam201	3907458
fam202	3906647
fam203	3905382
fam205	3901054
fam206	3900270
fam207	3899620
fam208	3898182
fam209	3897487
fam210	3896951
fam211	3896096
fam212	3895249
fam214	3893573
fam215	3890627
fam216	3889927
fam219	3888286
fam220	3887526
fam221	3886301
fam222	3884215
fam223	3882344
fam224	3881154
fam225	3880582
fam226	3878921
fam227	3878078
fam242	3859202
fam254	3847445
fam255	3847045
fam256	3846090
fam257	3845796
fam258	3845345
fam259	3844204
fam260	3843018
fam261	3842629
fam262	3842012
fam263	3840897
fam264	3839961
fam266	3838282
fam267	3837384
fam268	3836564
fam269	3835961
fam270	3835157
fam271	3834234
fam272	3832021
fam273	3831080
fam274	3830517
fam275	3829510
fam276	3828983
fam277	3828276
fam278	3827553
fam279	3827231
fam280	3824281
fam281	3823667
fam282	3822561
fam283	3822226
fam284	3821564
fam285	3820932
fam287	3819666
fam289	3815284
fam291	3813417
fam294	3812010
fam295	3811378
fam296	3809956
fam297	3808740
fam298	3807669
fam299	3807299
fam300	3806877
fam301	3805673
fam302	3804534
fam303	3803809
fam304	3802693
fam305	3801669
fam307	3797584
fam308	3797121
fam310	3795093
fam311	3794386
fam312	3793819
fam313	3792499
fam314	3791303
fam315	3790384
fam316	3789778
fam317	3788962
fam318	3787575
fam319	3786271
fam320	3785442
fam321	3784984
fam323	3781083
fam324	3778785
fam325	3777919
fam326	3777574
fam328	3776147
fam329	3774979
fam334	3766092
fam335	3765325
fam336	3763995
fam337	3761268
fam338	3758722
fam341	3755093
fam342	3754153
fam343	3753277
fam344	3752981
fam346	3749922
fam347	3748358
fam348	3747968
fam349	3746690
fam350	3745840
fam351	3745340
fam352	3743939
fam353	3742288
fam354	3741512
fam355	3739141
fam356	3737073
fam357	3736045
fam358	3733299
fam359	3732098
fam360	3729583
fam361	3728329
fam362	3726861
fam364	3724004
fam365	3723327
fam366	3722316
fam367	3721191
fam368	3719775
fam369	3719031
fam370	3718608
fam371	3718197
fam372	3717483
fam373	3715781
fam374	3714922
fam375	3714027
fam376	3712979
fam377	3704912
fam378	3704079
fam379	3703091
fam380	3701429
fam381	3699378
fam383	3698239
fam384	3697583
fam385	3696771
fam387	3693891
fam388	3693252
fam389	3692845
fam391	3691734
fam392	3691063
fam393	3690186
fam394	3689285
fam396	3688242
fam397	3687010
fam398	3685411
fam399	3684746
fam400	3683450
fam402	3680056
fam403	3677929
fam404	3676808
fam405	3675645
fam406	3674998
fam407	3673558
fam408	3673044
fam409	3670328
fam410	3669781
fam411	3669368
fam412	3669001
fam413	3668119
fam414	3667559
fam415	3666435
fam416	3665851
fam417	3665144
fam418	3664579
fam419	3663800
fam421	3661608
fam422	3660883
fam424	3658096
fam425	3655582
fam426	3654873
fam427	3654205
fam430	3651675
fam431	3651202
fam432	3650892
fam433	3649874
fam434	3648984
fam435	3648226
fam436	3646801
fam437	3645908
fam438	3644813
fam439	3643678
fam440	3642625
fam441	3642105
fam442	3640524
fam443	3640180
fam444	3639818
fam445	3639022
fam446	3638220
fam447	3637420
fam448	3636993
fam449	3636161
fam450	3634812
fam452	3632719
fam454	3631120
fam456	3627755
fam457	3627165
fam458	3625236
fam459	3623834
fam460	3623169
fam462	3619051
fam463	3618084
fam464	3616915
fam465	3615487
fam466	3614422
fam468	3612092
fam469	3611320
fam470	3609894
fam471	3609160
fam472	3607827
fam473	3606533
fam474	3604991
fam475	3603931
fam476	3603540
fam479	3602197
fam480	3599785
fam481	3599018
fam482	3598602
fam483	3598056
fam484	3597718
fam485	3597268
fam486	3596279
fam487	3595191
fam488	3594834
fam489	3593986
fam490	3592002
fam491	3591291
fam492	3590097
fam493	3588637
fam494	3587360
fam495	3586801
fam496	3584009
fam497	3582105
fam498	3580540
fam499	3579869
fam500	3578539
fam501	3577260
fam502	3576585
fam503	3575630
fam504	3574330
fam505	3572281
fam507	3571227
fam508	3569611
fam509	3568908
fam510	3567890
fam512	3564559
fam513	3564038
fam514	3563457
fam516	3561446
fam517	3560319
fam519	3557238
fam520	3556350
fam521	3553906
fam522	3552253
fam529	3545438
fam530	3545177
fam531	3542550
fam532	3541776
fam533	3538558
fam535	3528642
fam536	3528335
fam537	3527134
fam538	3525742
fam540	3524672
fam541	3522330
fam542	3520398
fam543	3518822
fam544	3518061
fam545	3516610
fam546	3515470
fam548	3514515
fam549	3513855
fam550	3511446
fam554	3506514
fam555	3504489
fam556	3503791
fam557	3502206
fam558	3501393
fam559	3500380
fam560	3498109
fam561	3497464
fam562	3497015
fam564	3495909
fam565	3495586
fam566	3494827
fam568	3491604
fam569	3490498
fam570	3489272
fam571	3488560
fam572	3487523
fam573	3487150
fam574	3485648
fam575	3482606
fam576	3482070
fam577	3480865
fam578	3480326
fam579	3479068
fam580	3478201
fam581	3477518
fam582	3476772
fam583	3475993
fam584	3474709
fam585	3473774
fam586	3473144
fam587	3472119
fam588	3471184
fam589	3470246
fam590	3468930
fam591	3467748
fam592	3466655
fam593	3466354
fam594	3465036
fam595	3464374
fam596	3463104
fam597	3461505
fam598	3459769
fam599	3459185
fam600	3457915
fam601	3456679
fam602	3455339
fam603	3454895
fam605	3453835
fam606	3453225
fam607	3452778
fam608	3452223
fam609	3451788
fam610	3451183
fam611	3449871
fam612	3448497
fam613	3447102
fam614	3446232
fam615	3445078
fam616	3444334
fam617	3443464
fam618	3442598
fam619	3442289
fam620	3441295
fam621	3440656
fam622	3439596
fam623	3438583
fam624	3437026
fam625	3436510
fam626	3436164
fam628	3434703
fam629	3434114
fam630	3433176
fam631	3432967
fam632	3432235
fam633	3431393
fam634	3430188
fam635	3428640
fam636	3427842
fam638	3422032
fam639	3420706
fam640	3419609
fam641	3418961
fam642	3418187
fam643	3417285
fam644	3416999
fam646	3415215
fam647	3414537
fam648	3413955
fam649	3412804
fam650	3412064
fam651	3409771
fam654	3407501
fam655	3406668
fam656	3405250
fam657	3403728
fam658	3403105
fam659	3402355
fam660	3401508
fam661	3401260
fam662	3400487
fam663	3399223
fam665	3395923
fam666	3395201
fam667	3394730
fam668	3393887
fam669	3393098
fam671	3389518
fam672	3388736
fam673	3388207
fam674	3386590
fam676	3382857
fam677	3381486
fam678	3380047
fam679	3378947
fam680	3378093
fam681	3375786
fam682	3374479
fam683	3373374
fam684	3372726
fam685	3371609
fam687	3370801
fam688	3370068
fam689	3369355
fam690	3369042
fam691	3368584
fam695	3365256
fam696	3363917
fam697	3363255
fam698	3362873
fam699	3361801
fam700	3360586
fam701	3359863
fam703	3357626
fam704	3356362
fam705	3355354
fam706	3354386
fam707	3353461
fam708	3352156
fam709	3351914
fam710	3351410
fam711	3350259
fam712	3348883
fam713	3347781
fam714	3346723
fam715	3345773
fam716	3345096
fam717	3344292
fam718	3341947
fam719	3341500
fam720	3340664
fam721	3339194
fam722	3338279
fam723	3337889
fam724	3336409
fam727	3331562
fam729	3330862
fam730	3330376
fam731	3329133
fam732	3327651
fam733	3317789
fam735	3316294
fam736	3315965
fam737	3315523
fam738	3313620
fam739	3313151
fam740	3311240
fam741	3309500
fam742	3308643
fam744	3305537
fam745	3304358
fam746	3303375
fam747	3302822
fam748	3301941
fam749	3300619
fam750	3299925
fam751	3299139
fam752	3297723
fam753	3295787
fam754	3295190
fam755	3293943
fam756	3293059
fam757	3288982
fam758	3287874
fam759	3287060
fam760	3286423
fam761	3285554
fam762	3283186
fam763	3282834
fam764	3281404
fam765	3280911
fam766	3280116
fam767	3279101
fam768	3278521
fam769	3278347
fam770	3277467
fam771	3275788
fam772	3274904
fam774	3272655
fam775	3271317
fam776	3270503
fam777	3270030
fam778	3268206
fam780	3265888
fam781	3264308
fam782	3262197
fam783	3261833
fam784	3261207
fam785	3260509
fam786	3259402
fam787	3257323
fam788	3255987
fam789	3254738
fam790	3253529
fam791	3252858
fam792	3252259
fam793	3251841
fam795	3250029
fam796	3246260
fam797	3245647
fam798	3245142
fam799	3244007
fam800	3242882
fam801	3241651
fam803	3240590
fam804	3239212
fam805	3238453
fam806	3237767
fam807	3237240
fam808	3236481
fam809	3235885
fam810	3231634
fam817	3222188
fam818	3221019
fam819	3220257
fam820	3219785
fam822	3217518
fam824	3215662
fam825	3214355
fam826	3212713
fam841	3195371
fam842	3194463
fam843	3194034
fam845	3191243
fam846	3189834
fam847	3188986
fam848	3187620
fam849	3186120
fam850	3184930
fam851	3184319
fam852	3182502
fam853	3181116
fam854	3180361
fam855	3178718
fam856	3178411
fam857	3177193
fam858	3176194
fam859	3175698
fam860	3174824
fam862	3174042
fam864	3170533
fam865	3166228
fam866	3164131
fam867	3162959
fam868	3161169
fam869	3159227
fam870	3158235
fam871	3157140
fam872	3155455
fam873	3154339
