fam	loc
fam25	652040
fam26	651175
fam27	650340
fam28	649750
fam29	649270
fam31	648320
fam32	647216
fam33	646280
fam34	644953
fam35	644105
fam36	643193
fam37	642436
fam38	641515
fam39	640112
fam40	639726
fam41	639058
fam42	636831
fam43	635877
fam44	635595
fam45	634819
fam46	633824
fam47	633576
fam48	632851
fam49	632346
fam50	632130
fam51	629916
fam52	627027
fam53	624854
fam54	623854
fam55	622960
fam56	622387
fam57	621296
fam58	620713
fam59	620304
fam60	619203
fam61	618426
fam62	617423
fam63	616901
fam72	606852
fam73	605937
fam75	604868
fam76	603008
fam77	602467
fam78	600865
fam79	599706
fam80	598870
fam81	597732
fam82	596921
fam83	596109
fam84	595012
fam85	593870
fam86	593528
fam87	592879
fam88	591814
fam89	591059
fam90	590206
fam91	589497
fam92	588313
fam93	585754
fam94	584704
fam95	584066
fam96	583482
fam97	582606
fam98	582204
fam99	581149
fam100	579593
fam101	578907
fam102	576900
fam103	576177
fam104	575008
fam105	574265
fam106	573909
fam107	573294
fam108	572660
fam109	572327
fam110	571172
fam111	570649
fam112	569403
fam113	568972
fam114	568687
fam115	568149
fam116	566780
fam117	564678
fam118	563445
fam119	562063
fam120	561572
fam121	560797
fam122	559961
fam123	557289
fam124	556667
fam125	555271
fam126	554567
fam127	552204
fam128	551394
fam129	551083
fam130	549429
fam132	547173
fam133	545003
fam134	542802
fam135	542174
fam136	540403
fam138	538601
fam139	537971
fam141	535418
fam142	534671
fam143	533037
fam145	529566
fam146	526734
fam148	523378
fam149	522814
fam151	521001
fam152	519989
fam153	519193
fam154	518522
fam155	517787
fam156	517037
fam158	515279
fam159	514720
fam160	513658
fam161	512758
fam162	510638
fam163	509884
fam164	509067
fam165	507987
fam166	504854
fam167	502613
fam168	500249
fam169	499806
fam170	497938
fam171	497672
fam172	497340
fam173	494896
fam174	494502
fam175	493958
fam176	492737
fam177	491073
fam178	489637
fam179	488427
fam180	487858
fam181	487322
fam182	486715
fam183	485531
fam184	484738
fam185	484557
fam186	483000
fam188	481814
fam189	479964
fam190	478681
fam191	477492
fam192	477074
fam193	476820
fam194	475879
fam196	474786
fam197	473916
fam198	472480
fam199	471801
fam200	470840
fam202	469093
fam220	451812
fam221	451061
fam222	450009
fam224	447661
fam225	446984
fam226	446178
fam228	444829
fam229	443004
fam230	441609
fam231	441427
fam232	440495
fam233	440034
fam234	439680
fam235	438730
fam236	437205
fam237	436609
fam238	434398
fam239	433965
fam240	432325
fam241	431315
fam242	430769
fam243	430351
fam244	429585
fam245	429241
fam246	428293
fam247	427353
fam249	424471
fam250	423326
fam251	421874
fam252	420408
fam253	420109
fam255	418328
fam257	415543
fam258	413473
fam259	411079
fam260	410087
fam261	407792
fam262	406396
fam263	405677
fam264	404769
fam265	403626
fam266	403134
fam267	402857
fam268	401908
fam269	401201
fam270	400439
fam271	399941
fam272	397771
fam273	397270
fam275	394149
fam276	393075
fam277	391472
fam300	365411
fam301	364541
fam302	362702
fam305	360710
fam306	353357
fam307	352269
fam308	351302
fam309	349132
fam310	348498
fam311	347105
fam312	346569
fam313	346051
fam314	345629
fam315	344037
fam316	340484
fam317	339772
fam318	338565
fam320	335975
fam321	335023
fam322	334452
fam323	333925
fam324	333643
fam325	332423
fam326	332065
fam327	330322
fam328	328728
fam329	327367
fam330	326340
fam331	325763
fam332	324883
fam333	323615
fam339	319177
fam340	317080
fam342	315162
fam343	314678
fam344	313682
fam345	312307
fam346	311464
fam348	309602
fam350	307957
fam351	307344
fam352	305761
fam353	305053
fam354	304429
fam356	303283
fam357	302702
fam358	301694
fam359	300717
fam360	299669
fam361	299088
fam362	296095
fam363	295702
fam364	294724
fam365	294153
fam366	293380
fam367	290860
fam368	289884
fam369	289553
fam371	288291
fam372	287591
fam373	286247
fam374	285570
fam375	284713
fam376	282628
fam377	281274
fam379	277391
fam380	276315
fam381	275814
fam382	275051
fam383	274417
fam384	273169
fam385	272124
fam386	271235
fam387	270808
fam388	269784
fam389	269451
fam390	268790
fam391	268348
fam392	267735
fam393	267402
fam394	265655
fam395	264886
fam396	264326
fam397	263647
fam398	261015
fam399	260250
fam400	259683
fam401	258184
fam402	254137
fam403	253613
fam404	252626
fam405	251787
fam406	251515
fam407	251350
fam408	250324
fam409	249112
fam411	247561
fam412	246492
fam413	246077
fam414	243610
fam415	242689
fam416	241190
fam418	238866
fam419	237951
fam420	237286
fam421	236280
fam424	234253
fam425	232713
fam426	231291
fam429	224461
fam430	223687
fam431	222269
fam432	221840
fam433	214854
fam434	214196
fam435	212808
fam436	211924
fam437	209472
fam438	206453
fam439	205169
fam440	203452
fam441	202389
fam442	199906
fam443	199195
fam444	197091
fam445	196380
fam447	195027
fam449	192559
fam450	191577
fam451	191021
fam452	190564
fam453	189680
fam455	188087
fam456	187219
fam457	186398
fam458	185701
fam459	184736
fam460	184260
fam461	183871
fam462	183729
fam463	183478
fam464	182628
fam465	181279
fam466	180844
fam467	180624
fam468	180109
fam469	179731
fam470	179160
fam471	178731
fam472	178514
fam473	177954
fam474	177614
fam475	177215
fam476	176900
fam477	176682
fam478	176258
fam479	175596
fam480	175229
fam481	174929
fam482	174013
fam483	173690
fam484	173067
fam485	172408
fam486	172057
fam487	171172
