fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1571	0.028760363802852264	0.0	0.049699634377952336	0.0016377144943410002	0.0	0.0025926223079755658	0.060409908725812346	0.071	0.04261088173756114	96027	0.013809852203426499
fam158	0.07389552437399596	0.05454545454545454	0.077493981937036	0.002927367652427893	0.0034	0.0037031496674060044	0.05134955093099671	0.045	0.037218201621341825	175710	0.01591742679018612
fam1037	0.04207516907910383	0.03510204081632653	0.040326266843433205	0.0027579338029235776	0.0029	0.0018684826681533357	0.07445640384761039	0.0921	0.04624045757931236	645935	0.014215991776467764
fam1499	0.09719436801708228	0.08108108108108109	0.06820917271573497	0.00505750184774575	0.0052	0.003069116645177225	0.0627158980044346	0.07	0.04020748453998588	161866	0.016357464768403423
fam1031	0.019449711374022807	0.017297297297297298	0.02048351145088936	0.0017643154435925525	0.0016	0.0012644974110740206	0.09975343556042353	0.1158	0.0558159687846226	652538	0.015333359483513822
fam680	0.058116895212429916	0.06666666666666667	0.0413760476951025	0.002531042505592841	0.0031	0.0019790423498132494	0.04902619239373602	0.0465	0.03433262506619817	693215	0.010068208189013559
fam875	0.03346917521699942	0.028354080221300138	0.033048815008182617	0.0030694074517432293	0.0024	0.003179068681658783	0.09845456381864433	0.1009	0.06938176840688573	805528	0.019760117124808924
fam1483	0.0987205536425924	0.09270072992700729	0.04957563481984244	0.009685660623877185	0.0127	0.008371703182537644	0.08907300342969132	0.12730000000000002	0.06863027424621526	185458	0.022014012162235273
fam425	0.058728879043485824	0.061097256857855366	0.029309557195007302	0.0036595837897042713	0.0039	0.002491963858494137	0.06415198247535599	0.077	0.03891550413075355	428843	0.014628209808932698
fam657	0.06719696781345431	0.06313993174061434	0.03336295946572118	0.004761613727637823	0.0055	0.002831802524460463	0.08282854326396494	0.0812	0.058053079155612725	674067	0.017724066165923483
fam1040	0.042063464925851696	0.03143712574850299	0.0365727885124387	0.008081263858093126	0.0103	0.005192733284540757	0.23578269770879529	0.2559	0.16506506164680096	643480	0.03812729082763926
fam443	0.15213585046018532	0.19083969465648853	0.11836956766322768	0.0017345676274944568	0.0025	0.0019086728327053662	0.006136045824094604	0.0	0.01902706383550581	443564	0.002401682107158408
fam355	0.0555843119764104	0.047808764940239036	0.04904789557021638	0.003122668144863267	0.0027	0.002226359549257459	0.06246262379896526	0.0665	0.04545140703262948	357915	0.013680763092215904
fam519	0.20235615418900635	0.1866485013623978	0.09531221208163995	0.015271498901764751	0.0115	0.011477852592342387	0.08256415208664698	0.0698	0.061458639498000074	526562	0.027184016443663642
fam814	0.04544289739903708	0.04473304473304473	0.033209553891901014	0.002464344651332603	0.0031	0.0018418477216669777	0.058675757575757576	0.0655	0.03962408818480487	867832	0.011567355039154952
fam321	0.01576534948166801	0.0	0.047671809511233364	0.0004314713399050749	0.0	0.0012718606405763032	0.032899824753559695	0.0328	0.03065611500723699	326636	0.006801776326935788
fam643	0.07382416687995041	0.05231388329979879	0.09134142558410722	0.0016371741511500546	0.0017	0.0011328821763675072	0.03239300474625775	0.0395	0.024019159368800568	660860	0.006065031475765321
fam62	0.2002273060454567	0.20108695652173914	0.07068422429608942	0.008186899595989824	0.0091	0.005475143703359927	0.043636480622474945	0.0495	0.033300515885282954	87829	0.014311330882369978
fam494	0.06280416042121174	0.04729729729729729	0.05598542232603898	0.0033397487065779754	0.0042	0.0020438855353749345	0.10017564671101255	0.0762	0.15479609971423677	503435	0.016541223669225183
fam651	0.025211536438981795	0.0	0.052365996441102326	0.0016430083972252645	0.0	0.0026560321180657317	0.06707996349032494	0.0797	0.04691090593278878	668462	0.011855252128705493
fam870	0.0399584364858392	0.0	0.06005568860281819	0.0012899186991869919	0.0	0.002560252853114789	0.039739549150036954	0.0355	0.047308774335623374	810268	0.007031121466838706
fam910	0.08792979235801741	0.08764519535374868	0.042545445630489294	0.0067525447243519535	0.0066	0.003984511715631063	0.0785986272362176	0.0877	0.043089056554496866	774763	0.01966487194494568
fam508	0.11162089906938724	0.09522085445329471	0.07896805765481299	0.013711840354767186	0.015	0.010999407976997312	0.13425130820399112	0.1093	0.1169863319607058	515640	0.033779032005196094
fam155	0.06895418731447732	0.06393861892583119	0.03295055498126229	0.0034677900960827794	0.0031	0.003158411181545668	0.05436442719881744	0.0488	0.055266983382850424	173748	0.010478339233153097
fam179	0.07862488110141326	0.05344164172723386	0.11190307600231986	0.007868842643300475	0.0094	0.005300567764996287	0.14200370208105148	0.185	0.10755639706685965	192451	0.029793353415933622
fam119	0.0820089354185059	0.06340057636887608	0.07906383346154769	0.003356078860898138	0.0033	0.0022796310852815915	0.05492143117926251	0.0719	0.03840768805381552	138792	0.011617520230592277
fam1001	0.0588599223677617	0.061344537815126055	0.04489360628632605	0.005266973347937204	0.0073	0.004120260557813897	0.08422531580868932	0.1126	0.061303558311316626	684111	0.02301812351814733
fam43	0.18333445014787889	0.18075539568345322	0.08177562769318658	0.03235063664596273	0.0278	0.02919694516105305	0.1751608850931677	0.132	0.15917585714052737	72712	0.05258574851533187
fam1364	0.1922459756448806	0.19069935111751984	0.03849135144029363	0.02957864238410596	0.0318	0.017250259860460897	0.1516370338096898	0.1685	0.08239692670786915	314642	0.049269047943786906
fam1587	nan	nan	nan	nan	nan	nan	nan	nan	nan	81519	0.02432508939485695
fam1587	nan	nan	nan	nan	nan	nan	nan	nan	nan	81519	0.02432508939485695
fam1587	0.028461100757186192	0.020771513353115726	0.032495928584465	0.0034722729313182705	0.0031	0.0026098164740374	0.1715790737692653	0.14555	0.13861164828081418	81519	0.02432508939485695
fam1446	0.0714109178996829	0.04765687053216838	0.08340346900053391	0.004712727272727273	0.006	0.0044910842807198495	0.07104852866009494	0.0917	0.05883355106992166	229988	0.016965514640722514
fam1143	0.1267394620226298	0.11361200428724545	0.08398860997146446	0.0062008543263964945	0.0072	0.004581299990435516	0.055962884264330055	0.0598	0.037585735007025854	537179	0.013374047152798522
fam933	0.047968480444785855	0.03800475059382423	0.052618763799555886	0.0018724790069368383	0.0016	0.0014855521145017622	0.047683176341730554	0.0522	0.031781477752560267	750746	0.00870261348423999
fam1447	0.050772218406160995	0.03333333333333333	0.05267305395607114	0.0015145527564804672	0.0019	0.0011190751943740273	0.041734348302300106	0.0528	0.029730190022928878	228741	0.007606006777693524
fam1584	0.0431618261293986	0.03542435424354243	0.03218767403870914	0.003727440671778021	0.0048	0.002471598551730456	0.09222998904709748	0.1098	0.05394085028257916	84302	0.020783351588170865
fam317	0.2435286911482157	0.19131334022750776	0.15665411839456125	0.012473194596568092	0.0143	0.008955262015204461	0.06579859072654254	0.0859	0.057314673234722315	323918	0.020298767783177785
fam645	0.07327869792525525	0.06681514476614699	0.06360736728606273	0.0025603943044906906	0.003	0.0018901593294408272	0.0393992552026287	0.0449	0.024358262701603156	662956	0.008575085978031092
fam124	0.03368636444823212	0.027184466019417475	0.03354835615521622	0.001388891352549889	0.0014	0.0011605131893042062	0.04372981522542498	0.0574	0.02854357397239129	143360	0.008855173856844421
fam989	0.0030326412445840184	0.0	0.0178509130345415	0.00016381161007667031	0.0	0.0008512707694313292	0.05785218692953634	0.0572	0.04184799584958177	693378	0.007790711825455451
fam1082	0.02708797875371949	0.021648626144879266	0.037393990662751474	0.003634041621029572	0.0027	0.002880510098890828	0.1517317269076305	0.1663	0.08275046849045302	597657	0.02776576000973591
fam622	0.09575989710483075	0.07142857142857142	0.08301122495405264	0.006028170865279299	0.0053	0.004356402980451733	0.07836717780211756	0.0793	0.04931036478955378	629942	0.020502210863656646
