fam	loc
fam1	3196030
fam2	3197409
fam3	3198286
fam4	3199050
fam5	3200553
fam6	3202315
fam7	3204076
fam8	3204635
fam9	3205723
fam10	3206718
fam11	3208288
fam12	3209398
fam13	3211146
fam14	3211623
fam15	3213633
fam16	3214964
fam17	3216328
fam18	3218062
fam19	3221685
fam20	3223649
fam21	3224199
fam22	3224438
fam23	3226295
fam24	3228589
fam25	3229053
fam26	3229727
fam28	3234341
fam29	3237162
fam30	3238188
fam31	3238628
fam32	3239708
fam33	3240547
fam34	3241521
fam36	3243118
fam37	3243783
fam38	3244899
fam39	3245735
fam40	3246900
fam41	3247664
fam42	3248534
fam43	3249489
fam44	3250427
fam45	3251982
fam46	3253243
fam47	3254814
fam48	3255451
fam50	3257710
fam51	3260539
fam52	3261922
fam53	3262819
fam54	3264114
fam55	3265837
fam56	3267323
fam57	3268812
fam58	3270004
fam59	3270705
fam60	3271814
fam61	3272895
fam62	3274335
fam63	3275420
fam64	3276827
fam65	3277896
fam74	3288943
fam78	3293850
fam79	3294355
fam82	3296036
fam83	3296576
fam92	3305639
fam93	3308530
fam94	3312095
fam95	3312645
fam96	3314021
fam97	3314988
fam98	3316517
fam99	3317888
fam100	3318789
fam101	3321420
fam102	3322805
fam103	3324967
fam104	3334094
fam105	3335678
fam106	3338995
fam107	3339909
fam108	3340910
fam134	3294220
fam135	3293488
fam136	3292288
fam137	3291128
fam148	3268714
fam149	3267740
fam150	3267019
fam151	3266412
fam152	3265577
fam153	3265098
fam156	3262222
fam157	3260770
fam158	3258403
fam159	3257842
fam162	3256215
fam163	3255697
fam164	3255329
fam165	3254373
fam166	3252757
fam167	3251732
fam168	3249729
fam169	3248845
fam170	3247199
fam171	3246858
fam172	3246448
fam173	3245087
fam174	3243461
fam175	3242903
fam176	3241914
fam177	3240856
fam178	3239485
fam179	3238329
fam183	3232239
fam184	3231091
fam185	3229888
fam186	3229114
fam187	3227435
fam188	3226209
fam189	3224549
fam190	3223465
fam191	3222624
fam192	3221496
fam193	3219971
fam194	3218481
fam195	3217523
fam196	3216104
fam197	3214104
fam198	3213088
fam199	3212278
fam200	3211632
fam201	3210590
fam202	3208986
fam203	3207874
fam204	3206516
fam205	3205523
fam206	3204394
fam207	3203394
fam208	3202090
fam209	3200165
fam210	3199464
fam211	3198343
fam212	3197567
fam214	3196764
fam215	3196119
fam216	3194989
fam217	3194487
fam218	3193726
fam220	3191187
fam221	3189990
fam222	3188734
fam223	3188281
fam224	3187219
fam226	3184288
fam227	3182798
fam228	3181759
fam229	3180884
fam230	3179845
fam231	3179489
fam232	3179070
fam233	3178243
fam234	3176313
fam235	3175661
fam236	3175140
fam237	3174353
fam238	3173773
fam239	3172714
fam240	3171969
fam241	3171185
fam242	3169835
fam243	3168440
fam244	3167820
fam245	3165489
fam246	3164237
fam247	3163128
fam248	3162470
fam250	3161230
fam251	3159722
fam252	3158555
fam253	3158244
fam254	3157474
fam255	3156957
fam256	3155852
fam257	3155492
fam258	3153849
fam259	3151731
fam260	3150022
fam261	3148404
fam262	3147427
fam263	3144771
fam264	3144271
fam265	3143274
fam266	3141850
fam267	3141293
fam268	3140008
fam269	3139566
fam270	3138794
fam271	3136097
fam272	3135018
fam273	3134513
fam274	3132816
fam275	3132187
fam276	3131275
fam277	3129517
fam278	3127981
fam279	3126939
fam280	3126394
fam281	3125459
fam282	3124439
fam283	3124213
fam284	3123657
fam285	3122563
fam286	3121271
fam287	3118885
fam288	3118039
fam289	3117833
fam290	3116713
fam291	3115599
fam292	3115014
fam293	3112565
fam294	3112030
fam295	3110193
fam297	3108673
fam298	3108239
fam299	3106169
fam300	3104358
fam301	3102280
fam302	3099497
fam303	3099176
fam304	3096901
fam305	3095886
fam306	3095131
fam307	3094535
fam308	3093885
fam309	3092835
fam310	3091932
fam312	3088260
fam313	3084913
fam314	3082762
fam316	3081972
fam317	3080345
fam318	3078780
fam319	3076780
fam320	3075971
fam321	3075370
fam322	3074514
fam323	3072312
fam324	3070597
fam325	3067493
fam326	3064357
fam327	3063038
fam328	3062359
fam329	3061454
fam330	3060949
fam333	3057247
fam334	3056597
fam335	3054927
fam336	3053226
fam337	3052949
fam339	3051296
fam340	3050525
fam341	3049709
fam344	3046028
fam345	3044903
fam346	3044421
fam347	3043753
fam348	3042044
fam349	3041287
fam350	3040858
fam351	3039029
fam352	3037441
fam353	3036698
fam360	3029887
fam369	3018478
fam370	3017554
fam372	3016208
fam374	3014071
fam375	3013537
fam376	3012920
fam377	3012460
fam378	3011744
fam379	3010500
fam380	3009657
fam381	3008712
fam382	3007650
fam384	3006323
fam385	3004761
fam386	3003631
fam387	3002478
fam388	3000705
fam389	2999695
fam390	2998948
fam391	2998160
fam392	2996660
fam393	2995521
fam394	2993885
fam395	2988510
fam396	2981085
fam397	2979703
fam398	2979423
fam399	2977906
fam400	2976401
fam401	2974031
fam402	2973541
fam404	2970959
fam405	2969099
fam407	2966965
fam408	2964837
fam409	2964434
fam410	2963934
fam411	2962231
fam412	2960615
fam413	2959015
fam414	2958133
fam415	2956966
fam416	2955636
fam420	2941727
fam422	2938922
fam423	2937172
fam424	2935751
fam426	2932298
fam427	2931741
fam429	2929584
fam430	2929129
fam431	2928594
fam432	2928150
fam434	2926965
fam435	2925816
fam436	2925232
fam437	2924579
fam438	2924024
fam439	2922478
fam440	2921407
fam441	2916447
fam442	2915536
fam444	2914162
fam445	2913215
fam446	2912724
fam447	2911655
fam448	2909916
fam449	2908285
fam450	2906786
fam451	2903148
fam452	2902525
fam454	2900760
fam455	2898293
fam456	2897078
fam457	2895952
fam458	2894804
fam459	2893946
fam460	2892991
fam461	2891613
fam462	2890598
fam463	2889308
fam464	2887597
fam465	2885656
fam466	2884989
fam469	2882494
fam470	2881485
fam471	2880270
fam472	2879086
fam474	2877429
fam475	2876588
fam476	2875288
fam477	2874227
fam478	2872874
fam479	2871177
fam481	2869024
fam482	2868157
fam483	2867347
fam484	2865886
fam485	2864980
fam486	2864455
fam487	2862985
fam488	2862179
fam489	2861368
fam491	2859751
fam492	2858203
fam493	2856737
fam494	2856249
fam495	2855521
fam496	2854518
fam497	2853301
fam498	2852218
fam499	2851744
fam500	2850538
fam501	2849330
fam502	2848351
fam503	2846731
fam504	2846120
fam505	2845360
fam506	2844639
fam507	2842901
fam508	2842204
fam509	2841114
fam510	2839926
fam511	2838567
fam512	2837596
fam513	2836850
fam514	2836604
fam515	2835614
fam516	2834967
fam517	2834459
fam518	2833947
fam519	2832924
fam520	2832200
fam521	2831095
fam523	2829863
fam524	2828884
fam525	2828203
fam526	2827116
fam528	2824120
fam529	2823639
fam530	2823284
fam531	2822361
fam537	2815961
fam546	2803997
fam547	2803453
fam548	2802597
fam549	2801414
fam550	2800688
fam551	2800098
fam552	2799279
fam554	2797711
fam555	2796327
fam556	2795804
fam557	2795448
fam559	2794425
fam563	2791281
fam566	2789934
fam567	2787624
fam576	2779984
fam591	2767145
fam592	2765671
fam593	2764715
fam594	2763561
fam597	2759309
fam598	2757968
fam599	2756958
fam600	2756068
fam601	2754579
fam602	2752984
fam603	2751906
fam604	2750476
fam605	2748807
fam606	2747794
fam607	2746435
fam624	2724527
fam625	2723354
fam626	2722676
fam627	2721696
fam628	2719174
fam629	2718064
fam630	2716424
fam631	2716108
fam632	2715305
fam633	2714208
fam634	2708776
fam635	2705309
fam636	2703553
