fam	loc
fam1	1453
fam2	2816
fam3	3059
fam4	4213
fam5	4488
fam6	6446
fam7	8962
fam8	15161
fam9	15785
fam10	17192
fam11	17436
fam12	19124
fam13	21081
fam14	24621
fam15	28400
fam16	29849
fam17	30860
fam18	32058
fam19	33548
fam20	35832
fam21	37352
fam22	38385
fam23	39319
fam24	41189
fam25	42997
fam26	45494
fam27	46088
fam28	46961
fam29	48173
fam30	49434
fam31	50013
fam32	51080
fam33	52576
fam34	55799
fam35	56461
fam36	57650
fam37	58757
fam38	59578
fam39	59981
fam40	60646
fam41	64062
fam42	65126
fam43	66311
fam44	67544
fam45	68321
fam46	68582
fam47	69603
fam48	70907
fam49	71373
fam50	71657
fam51	75337
fam52	76602
fam53	77269
fam54	78647
fam55	78919
fam56	79747
fam57	80485
fam58	81826
fam59	82327
fam60	84035
fam61	86603
fam62	88385
fam63	89357
fam64	90674
fam65	91430
fam66	92282
fam67	94490
fam68	95063
fam69	95943
fam70	96760
fam71	97623
fam72	98126
fam73	98906
fam74	99370
fam75	100391
fam76	102961
fam77	104537
fam78	106545
fam79	107230
fam80	108159
fam81	108992
fam82	110458
fam83	110922
fam84	111898
fam85	112991
fam86	115218
fam87	116468
fam88	117981
fam89	119455
fam90	121223
fam91	122204
fam92	123427
fam93	125206
fam94	126597
fam95	127204
fam96	128772
fam97	129858
fam98	130734
fam99	132168
fam100	132925
fam101	136440
fam102	137602
fam103	138140
fam104	140480
fam105	141015
fam106	142004
fam107	143652
fam108	145120
fam109	145614
fam110	145946
fam111	146486
fam112	146888
fam113	147261
fam114	147822
fam115	151854
fam116	153472
fam117	154013
fam118	155893
fam119	158041
fam120	158986
fam121	159926
fam122	160859
fam123	162378
fam124	165150
fam125	166890
fam126	168095
fam127	176000
fam128	177028
fam129	178520
fam130	179022
fam131	179679
fam132	180084
fam133	181036
fam134	181944
fam135	182156
fam136	182452
fam137	183147
fam138	183793
fam139	184389
fam140	185392
fam141	187857
fam142	188811
fam143	189082
fam144	190960
fam145	192202
fam146	192777
fam147	194161
fam148	194857
fam149	196894
fam150	198314
fam151	198779
fam152	199704
fam153	200230
fam154	200939
fam155	202348
fam156	202683
fam157	202962
fam158	203522
fam159	204029
fam160	204774
fam161	205483
fam162	205898
fam163	209935
fam164	213481
fam165	214110
fam166	214729
fam167	216882
fam169	219020
fam170	219725
fam171	220372
fam172	220668
fam173	221557
fam174	221898
fam175	222255
fam176	222944
fam177	223396
fam178	223608
fam179	223886
fam180	224283
fam181	224613
fam182	225175
fam183	225376
fam184	225806
fam185	226420
fam186	226799
fam187	227316
fam188	227507
fam189	227970
fam190	229258
fam191	229934
fam192	230683
fam193	231052
fam194	231278
fam195	231447
fam196	232025
fam197	232436
fam198	233084
fam199	234134
fam200	234488
fam201	235714
fam202	236568
fam203	237378
fam204	238281
fam205	238875
fam206	239294
fam207	240359
fam208	240783
fam210	242645
fam211	244030
fam212	245183
fam213	245955
fam214	247276
fam215	249709
fam216	250947
fam217	252835
fam218	254555
fam219	255891
fam220	256731
fam221	257763
fam222	258808
fam223	260016
fam224	260461
fam225	262512
fam226	263816
fam227	264911
fam228	266079
fam229	266904
fam230	267731
fam231	269002
fam232	269594
fam233	271284
fam234	271664
fam235	272619
fam236	273207
fam237	274256
fam238	275953
fam239	277228
fam240	277729
fam241	278989
fam242	280653
fam243	282360
fam244	283377
fam246	285330
fam247	285974
fam248	286788
fam249	288974
fam250	291330
fam251	292073
fam252	293335
fam253	295162
fam254	296425
fam255	297267
fam256	299348
fam257	301988
fam258	304273
fam259	306357
fam260	311599
fam261	313853
fam262	315138
fam263	316362
fam264	317264
fam265	318525
fam266	319296
fam267	320627
fam268	321052
fam269	322284
fam270	324275
fam271	324901
fam272	325926
fam273	328337
fam274	330613
fam275	332994
fam276	334121
fam277	335200
fam278	335962
fam279	336556
fam280	339236
fam281	340651
fam282	342736
fam283	344278
fam284	345324
fam285	346316
fam286	347919
fam287	348959
fam288	350010
fam289	351356
fam290	353080
fam291	355868
fam300	366727
fam301	367908
fam302	368692
fam303	369952
fam304	371198
fam305	372605
fam306	374050
fam307	375308
fam308	376241
fam309	377214
fam310	378137
fam311	379445
fam312	380666
fam313	381459
fam314	382489
fam315	383520
fam316	385052
fam317	386299
fam318	386669
fam319	388326
fam320	389024
fam321	390701
fam322	391372
fam323	393179
fam324	394914
fam325	395691
fam326	397386
fam327	397832
fam328	398747
fam329	400268
fam330	401196
fam331	402265
fam332	403964
fam333	406898
fam334	407792
fam335	409096
fam336	412031
fam337	414045
fam338	414322
fam339	414882
fam340	416361
fam341	417811
fam342	418423
fam343	420750
fam344	422728
fam345	423709
fam346	424241
fam347	428331
fam348	429091
fam349	429540
fam350	429952
fam351	430164
fam352	431320
fam353	432050
fam354	432418
fam356	433505
fam357	433771
fam358	435530
fam359	436948
fam362	438955
fam363	439981
fam364	441505
fam367	445286
fam372	450740
fam373	451799
fam383	465159
fam384	467287
fam386	473331
fam387	479779
fam388	481512
fam389	482859
fam390	485186
fam391	485948
fam392	486979
fam393	487750
fam394	488530
fam395	490228
fam396	491247
fam397	492920
fam398	493579
fam399	494987
fam400	496649
fam401	497790
fam402	498541
fam403	499607
fam404	500933
fam405	502040
fam407	506543
fam408	508515
fam409	509511
fam410	512104
fam411	513043
fam412	513868
fam413	514868
fam414	515417
fam415	516243
fam416	517980
fam417	520031
fam418	521279
fam419	521693
fam420	522550
fam421	524339
fam422	525482
fam423	526138
fam424	527208
fam425	527678
fam426	528517
fam427	529152
fam428	530377
fam429	532064
fam430	533244
fam431	533930
fam432	534189
fam433	534733
fam434	535275
fam435	536800
fam436	537692
fam437	539098
fam438	539517
fam439	540541
fam440	541977
fam441	543346
fam442	544487
fam443	544863
fam444	545976
fam445	546634
fam446	547143
fam447	549659
fam448	552203
fam449	553238
fam450	553867
fam451	554752
fam452	557905
fam453	559277
fam454	561144
fam455	561859
fam456	562980
fam457	564445
fam458	565408
fam459	568138
fam460	570005
fam461	571622
fam462	572346
fam463	573172
fam464	574414
fam465	575211
fam466	576895
fam467	577697
fam468	578395
fam469	579069
fam470	580098
fam471	581563
fam472	582616
fam473	583184
fam474	583813
fam475	584388
fam476	585216
fam477	586627
fam478	587154
fam479	587777
fam480	588789
fam482	590341
fam483	590786
fam484	591836
fam485	592508
fam486	593208
fam487	593666
fam488	595181
fam489	596552
fam490	597796
fam491	598453
fam492	599618
fam493	600839
fam494	602724
fam495	604176
fam496	605308
fam497	605904
fam498	606169
fam499	606691
fam500	607507
fam501	609158
fam502	609806
fam503	610938
fam504	612899
fam505	613215
fam506	614609
fam507	617474
fam508	618643
fam509	620657
fam510	621650
fam511	622228
fam512	623079
fam513	626827
fam514	627489
fam515	628186
fam517	631345
fam518	632968
fam519	634026
fam520	634984
fam521	635956
fam522	636695
fam523	637736
fam524	638587
fam525	639089
fam526	642100
fam527	642498
fam528	643280
fam529	644222
fam530	645040
fam531	645327
fam532	646932
fam533	647695
fam534	648994
fam547	669103
fam549	671430
fam550	672115
fam551	673850
fam552	674421
fam553	674812
fam554	675116
fam555	677046
fam556	677557
fam557	678471
fam558	679093
fam559	680494
fam560	681478
fam561	682792
fam562	683739
fam563	684754
fam564	685152
fam565	686951
fam566	687846
fam567	688633
fam568	690691
fam569	691420
fam570	692060
fam571	692669
fam572	693454
fam573	694160
fam574	694343
fam575	695661
fam576	697264
fam577	698862
fam578	700299
fam579	701803
fam580	702180
fam581	703374
fam583	706766
fam585	711088
fam586	713174
fam587	715194
fam588	716772
fam589	719201
fam590	720869
fam591	722060
fam592	723588
fam593	724639
fam594	725846
fam595	726726
fam596	727395
fam597	728555
fam598	729409
fam599	731407
fam600	732744
fam601	734469
fam602	735706
fam603	736751
fam604	737373
fam605	739001
fam606	740258
fam607	742496
fam608	744911
fam609	747555
fam610	748917
fam611	750192
fam612	752735
fam613	753706
fam614	754956
fam615	756243
fam616	756967
fam617	757188
fam618	757819
fam619	759442
fam620	760826
fam621	761748
fam622	763341
fam623	764444
fam624	765975
fam625	767201
fam626	767863
fam627	768593
fam628	770664
fam629	772712
fam630	774246
fam631	775223
fam632	776129
fam633	777661
fam634	779203
fam635	780881
fam636	782465
fam637	784865
fam638	786580
fam639	787500
fam640	788437
fam641	789858
fam642	790785
fam643	791513
fam644	793653
fam645	795773
fam646	796677
fam647	797692
fam648	800417
fam649	802183
fam650	803670
fam651	804617
fam652	805824
fam653	807784
fam654	808825
fam655	809826
fam656	812082
fam657	813825
fam658	815383
fam659	817851
fam660	819366
fam661	820265
fam662	821072
fam663	823247
fam664	825674
fam665	827397
fam666	828333
fam667	829830
fam668	831138
fam669	831821
fam670	832415
fam671	833837
fam672	834849
fam673	836027
fam674	836525
fam675	837492
fam676	838912
fam677	840394
fam678	841350
fam679	842715
fam680	844308
fam681	846447
fam682	847081
fam683	848662
fam684	849831
fam685	850349
fam686	851124
fam687	858968
fam696	864883
fam697	865770
fam698	867098
fam699	867680
fam700	868066
fam701	868398
fam702	871197
fam703	871685
fam704	872135
fam705	872932
fam706	873516
fam707	874032
fam708	874895
fam709	876862
fam710	878377
fam711	879072
fam712	881720
fam713	882514
fam714	883201
fam715	884848
fam716	885595
fam717	886289
fam718	886680
fam719	888172
fam720	888454
fam726	890197
fam728	892345
fam731	895569
fam732	896095
fam733	896675
fam734	897884
fam735	899097
fam736	900516
fam737	901352
fam738	901735
fam739	909381
fam743	912900
fam744	913512
fam745	914646
fam747	923858
fam748	925222
fam749	927090
fam751	928511
fam752	929612
fam753	931120
fam754	932629
fam755	933637
fam756	934982
fam757	936234
fam758	936944
fam759	937584
fam760	938867
fam761	940961
fam762	942243
fam763	943240
fam764	944005
fam765	945656
fam766	947337
fam767	948809
fam768	949741
fam769	950632
fam770	952965
fam771	953567
fam772	954430
fam773	954710
fam774	955368
fam775	956545
fam777	958850
fam778	960103
fam779	961266
fam780	962473
fam781	963432
fam782	964900
fam783	966040
fam784	967434
fam785	968661
fam788	971913
fam789	972614
fam790	972892
fam791	974061
fam792	975172
fam793	977766
fam794	979465
fam795	980466
fam796	980816
fam797	981946
fam798	982886
fam799	983658
fam800	986096
fam801	987034
fam802	988180
fam803	989126
fam805	992175
fam806	993413
fam807	993999
fam809	996569
fam810	999580
fam811	999858
fam812	1001738
fam813	1002192
fam814	1003183
fam815	1004106
fam816	1004430
fam817	1004764
fam818	1005890
fam819	1006443
fam820	1009351
fam821	1009628
fam822	1011069
fam824	1014727
fam825	1015607
fam826	1016971
fam827	1017681
fam828	1018819
fam829	1019297
fam830	1019466
fam831	1020730
fam832	1021622
fam833	1023517
fam834	1024340
fam835	1024911
fam836	1026273
fam837	1028797
fam839	1030445
fam840	1031816
fam841	1033431
fam842	1033848
fam843	1036222
fam844	1038628
fam845	1039766
fam846	1045981
fam847	1047542
fam848	1049417
fam849	1050738
fam850	1052012
fam851	1053990
fam852	1054910
fam853	1057132
fam854	1057835
fam855	1058637
fam856	1059653
fam857	1061223
fam858	1062229
fam859	1063142
fam860	1064543
fam861	1065385
fam862	1066318
fam863	1066900
fam864	1067416
fam865	1067689
fam866	1068108
fam867	1068519
fam868	1069130
fam869	1069445
fam870	1069895
fam871	1073079
fam872	1074248
fam873	1074510
fam874	1077402
fam875	1077821
fam876	1079883
fam877	1080246
fam878	1080739
fam879	1082140
fam880	1083592
fam881	1084774
fam882	1086903
fam883	1088611
fam884	1090152
fam885	1090520
fam886	1091904
fam887	1092246
fam888	1093511
fam891	1099179
fam892	1101840
fam893	1104016
fam894	1105917
fam895	1106311
fam896	1107726
fam897	1109190
fam898	1109880
fam899	1112504
fam900	1113361
fam901	1114744
fam902	1115746
fam903	1116477
fam904	1117343
fam905	1118010
fam906	1119263
fam907	1119936
fam908	1121472
fam909	1121998
fam910	1123197
fam911	1123961
fam912	1126151
fam913	1130050
fam914	1130647
fam915	1133217
fam916	1134709
fam917	1135264
fam918	1136496
fam919	1137554
fam920	1138502
fam921	1139455
fam922	1147030
fam923	1148520
fam924	1149687
fam925	1150236
fam926	1150812
fam927	1151768
fam928	1152814
fam929	1153793
fam930	1155693
fam931	1157422
fam932	1159538
fam933	1160738
