fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.01962843794568629	0.0	0.05253089370427719	0.00025	0.0	0.00043301270189221935	0.03697142857142858	0.0485	0.0221123245715864	1381804	0.011875725900116147
fam966	0.0	0.0	0.0	0.0	0.0	0.0	0.015389285714285715	0.0196	0.014180704679390286	1246091	0.0028467908902691515
fam1571	0.03612764874910577	0.0	0.08546588870861781	0.0017250000000000004	0.0	0.002987787643056313	0.03103214285714286	0.0263	0.0345231501373812	1634706	0.005086580086580088
fam158	0.6156658468840914	0.5672268907563025	0.38244070890654924	0.010257142857142855	0.0135	0.005011446082393254	0.020457142857142858	0.0238	0.011516430144159524	227796	0.012369791666666666
fam1037	0.0	0.0	0.0	0.0	0.0	0.0	0.008392857142857143	0.0	0.009936474244326468	1331225	0.0014407036700030333
fam1499	0.1669289855726777	0.1366850431447747	0.16675051682442965	0.003967857142857143	0.0046	0.0019438646284856236	0.03100714285714285	0.0387	0.013807475422792554	1734889	0.009701745466870023
fam1031	0.2938724335722435	0.2668621700879766	0.07183820431857631	0.006267857142857143	0.0091	0.0040822834621454356	0.021300000000000003	0.0268	0.013057045170000317	1321804	0.008591462474957621
fam680	0.03807014544759193	0.037500000000000006	0.02475099733882896	0.0024107142857142847	0.0028	0.001659677095469022	0.06839642857142857	0.0769	0.027785292642779524	898094	0.059344598054275485
fam875	0.07641711379312424	0.07463178385938446	0.048536942385185806	0.009107142857142857	0.0106	0.004126389685516226	0.14136785714285716	0.1367	0.06663571036169842	1131506	0.03560985797827903
fam1483	0.012324401825022022	0.0	0.02080730043040466	0.0011464285714285715	0.0	0.001985749614279767	0.05841785714285714	0.061900000000000004	0.038530572773646986	1750706	0.011817547531833247
fam1781	0.09917358664932278	0.0864	0.04599663340939848	0.004257142857142857	0.00415	0.0018983881455119783	0.04611785714285714	0.0471	0.017483769076559234	1386734	0.013153028201571892
fam425	0.0	0.0	0.0	0.0	0.0	0.0	0.035517857142857136	0.0325	0.02511664293951364	583148	0.003353454057679411
fam1195	0.038612505199498735	0.03367875647668394	0.02366240925072775	0.0023785714285714287	0.002	0.0014580704330570255	0.06946428571428571	0.0584	0.035336648461474045	1504112	0.011726635791473695
fam1928	0.0	0.0	0.0	0.0	0.0	0.0	0.023135714285714287	0.0152	0.020371289570753986	1192799	0.003164556962025316
fam98	0.07373363338427272	0.07074658159641983	0.025274853034358884	0.002789285714285714	0.0024	0.0014413137077269587	0.039421428571428586	0.0439	0.01744821638741453	136870	0.009270965023177412
fam1496	0.025004160376121	0.014309764309764309	0.02855672151889987	0.0008464285714285714	0.0	0.000954493935794978	0.03327142857142857	0.0341	0.014472235910352552	1737899	0.017835960006778513
fam2317	0.21026956855920928	0.15726004117781628	0.12824940268570914	0.006900000000000002	0.0045	0.005011201737821264	0.03441071428571429	0.0318	0.025505480353469615	705475	0.022683397683397687
fam1988	0.23480053393600758	0.22740963855421686	0.06190747331205015	0.012825000000000001	0.0132	0.005272409655122463	0.05797857142857143	0.0651	0.02698269759286041	1124579	0.022759103641456585
