fam	loc
fam1	2135
fam2	3430
fam3	3881
fam4	5008
fam5	6973
fam6	9467
fam7	9983
fam8	10547
fam9	10812
fam17	21610
fam18	22077
fam19	23502
fam20	24668
fam22	26658
fam26	31039
fam27	32330
fam28	33118
fam42	49789
fam49	57564
fam50	58434
fam51	59033
fam52	59558
fam53	59952
fam54	62204
fam55	63493
fam56	64062
fam72	80422
fam73	82691
fam75	87084
fam77	88837
fam78	97414
fam81	104001
fam83	105913
fam84	106767
fam85	107635
fam88	113535
fam89	114579
fam90	116502
fam91	117841
fam92	118668
fam93	119481
fam94	120809
fam95	121767
fam100	126530
fam101	127192
fam102	128545
fam103	129644
fam105	132447
fam106	133022
fam107	134196
fam111	137694
fam112	138615
fam114	141143
fam115	142103
fam116	142535
fam117	143360
fam120	145192
fam121	146644
fam122	147590
fam123	148436
fam124	149427
fam125	150404
fam126	151072
fam127	151729
fam128	152151
fam129	153344
fam130	154177
fam131	155014
fam132	156625
fam133	157355
fam135	159864
fam136	160632
fam137	161870
fam138	162652
fam141	166786
fam142	167745
fam143	168358
fam144	169181
fam145	169824
fam146	171093
fam147	171896
fam148	172693
fam149	173505
fam151	174761
fam152	176212
fam153	178277
fam154	179583
fam156	182453
fam157	183159
fam158	183780
fam159	184966
fam160	186283
fam161	188305
fam162	190548
fam163	191288
fam166	192672
fam171	199563
fam172	200673
fam173	202612
fam178	208826
fam181	211486
fam182	212103
fam183	215129
fam184	216609
fam185	218125
fam186	220525
fam188	222439
fam189	223808
fam190	224374
fam192	225819
fam193	226579
fam194	227726
fam195	228230
fam196	228828
fam198	233859
fam199	234626
fam200	235179
fam201	236053
fam202	236372
fam203	237305
fam204	238737
fam207	242206
fam208	243421
fam210	244726
fam211	246118
fam212	246633
fam214	248971
fam215	250396
fam218	252618
fam219	253523
fam222	256955
fam226	260824
fam227	264283
fam236	276967
fam237	277397
fam238	278890
fam239	280402
fam240	280841
fam241	281974
fam243	283555
fam244	284714
fam245	285406
fam246	288905
fam247	289159
fam248	289602
fam249	289964
fam250	291261
fam251	293521
fam252	294464
fam253	295567
fam254	297133
fam255	298749
fam256	301322
fam257	305197
fam258	308866
fam259	311089
fam260	311680
fam261	312166
fam262	314294
fam264	316376
fam265	317038
fam266	317670
fam267	317975
fam268	318827
fam269	319127
fam270	319500
fam271	320188
fam272	320628
fam273	320815
fam274	321100
fam275	321500
fam276	321753
fam277	322310
fam278	322508
fam279	322931
fam280	323486
fam281	323871
fam282	324395
fam283	324597
fam284	325061
fam285	326356
fam286	327023
fam287	327316
fam288	327449
fam289	327827
fam290	328241
fam291	329225
fam292	329635
fam293	330671
fam294	331504
fam295	332294
fam297	333633
fam298	334044
fam300	335191
fam303	337442
fam304	338404
fam305	338595
fam306	339289
fam308	344979
fam309	346482
fam310	347975
fam311	352047
fam313	354113
fam314	355489
fam315	357064
fam316	358590
fam317	359026
fam318	359765
fam319	360453
fam324	365630
fam325	365805
fam326	366470
fam327	367023
fam328	367798
fam329	368839
fam330	369838
fam331	370727
fam332	371532
fam333	372289
fam334	372983
fam336	375088
fam337	375501
fam339	377532
fam340	379515
fam341	379864
fam342	380464
fam343	380703
fam344	381444
fam345	381776
fam346	382634
fam347	382995
fam352	387547
fam358	398517
fam359	399339
fam360	399934
fam361	400680
fam367	406844
fam368	407344
fam369	409020
fam370	411777
fam371	413687
fam372	414278
fam373	415343
fam374	415827
fam375	417386
fam376	418500
fam377	419516
fam378	420870
fam381	424842
fam382	425160
fam383	425588
fam384	425901
fam385	428322
fam386	428724
fam387	429137
fam388	429655
fam389	430535
fam390	431155
fam391	432043
fam392	432602
fam393	432991
fam394	434163
fam395	435310
fam397	437135
fam398	438541
fam399	439148
fam400	439927
fam401	440532
fam402	441196
fam403	442134
fam404	452207
fam405	453264
fam406	456419
fam407	456719
fam408	459134
fam409	459605
fam411	466211
fam412	467861
fam413	469340
fam415	471163
fam416	473866
fam417	475606
fam430	489281
fam431	490319
fam434	491364
fam443	505359
fam450	516852
fam451	518447
fam452	519297
fam453	520097
fam456	521949
fam458	524181
fam459	525202
fam462	526497
fam475	539571
fam476	540554
fam480	542507
fam482	543703
fam484	545801
fam485	547947
fam487	549547
fam488	552029
fam489	552999
fam490	555987
fam491	556440
fam492	556887
fam493	557688
fam494	558446
fam495	559626
fam496	560291
fam497	560681
fam498	561348
fam499	565198
fam500	566230
fam502	568970
fam503	569691
fam504	570590
fam506	573217
fam507	573715
fam508	574856
fam509	575778
fam510	576033
fam511	576701
fam512	578926
fam513	580368
fam514	581392
fam517	584813
fam527	602784
fam528	603383
fam529	603853
fam530	605187
fam531	606127
fam532	608352
fam537	613935
fam538	614157
fam539	614557
fam540	615226
fam541	616328
fam542	616995
fam543	617569
fam544	617938
fam545	619095
fam546	619651
fam547	620530
fam548	622076
fam553	629629
fam554	630641
fam555	630960
fam556	631825
fam557	632287
fam558	633621
fam559	636039
fam560	636592
fam561	637569
fam562	638365
fam563	639401
fam565	644302
fam566	644528
fam567	645137
fam568	645838
fam569	646066
fam570	646526
fam571	647525
fam572	650232
fam575	654060
fam576	655150
fam577	657729
fam578	658790
fam579	660660
fam580	661894
fam581	666178
fam588	674360
fam594	681989
fam595	683474
fam596	684588
fam598	688651
fam599	689077
fam600	689801
fam606	697035
fam646	731830
fam649	738826
fam662	752139
fam663	753317
fam664	754026
fam665	755126
fam666	756403
fam667	757488
fam668	760669
fam690	779390
fam693	780906
fam694	781811
fam696	784847
fam697	786766
fam699	787759
fam700	788828
fam701	790334
fam702	790812
fam703	791121
fam704	792340
fam705	792993
fam706	793436
fam707	793836
fam708	794743
fam709	796076
fam710	796321
fam711	797193
fam712	798006
fam713	799698
fam715	800883
fam716	801110
fam717	803559
fam718	804517
fam719	805832
fam720	806592
fam721	808597
fam722	809488
fam723	810151
fam724	810837
fam725	811184
fam726	811475
fam727	811993
fam728	813676
fam729	815708
fam730	816730
fam732	818158
