fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.12107364921206319	0.125	0.05522864502556455	0.0029599999999999995	0.0022	0.002961035854786857	0.02343142857142857	0.0177	0.01818509234712514	1249710	0.008410046596204115
fam966	0.05243290191284174	0.08032128514056225	0.03727562879469524	0.007792380952380952	0.0013	0.007961774093254477	0.10611333333333334	0.0636	0.08930937461235966	870244	0.033037704097876014
fam1571	0.0	0.0	0.0	0.0	0.0	0.0	0.001659047619047619	0.0	0.0028919163275156275	1495293	0.00040460628695922814
fam1037	0.11832234250759426	0.07024053573869073	0.14591898854229385	0.0014476190476190478	0.0019	0.0013757142032998705	0.021030476190476193	0.027	0.016037154027353236	943962	0.007187301587301587
fam1720	0.004942098401503204	0.0	0.010901338101513738	0.00018666666666666666	0.0	0.0004759084879353266	0.03297904761904762	0.032	0.022617227716260034	1325126	0.009322399654725939
fam1031	0.0	0.0	0.0	0.0	0.0	0.0	0.015938095238095237	0.0135	0.01124163503573408	939584	0.00457733480989295
fam680	0.019837783163622624	0.0	0.030778437401574012	0.0003047619047619048	0.0	0.0004187011554753245	0.017975238095238096	0.0229	0.01187406763018334	541181	0.005455850681981334
fam1781	0.04817351970822123	0.0	0.0712129843753567	0.0004114285714285714	0.0	0.0005695970648858108	0.012786666666666667	0.013	0.00871497962368644	1254374	0.0038299502106472613
fam425	0.047060745221807844	0.0	0.0695191892606565	0.000399047619047619	0.0	0.0006913747847372808	0.007963809523809524	0.0106	0.006326695124772021	275843	0.011854409437491008
fam1195	0.13966745339862421	0.1463414634146341	0.07574444306354448	0.005299047619047619	0.0057	0.004125680209154439	0.03813428571428572	0.0426	0.023576719059967888	1118186	0.015029761904761907
fam3379	0.09492315051683617	0.0	0.16244418365971228	0.0009230769230769233	0.0	0.0015423028965971864	0.0062934065934065935	0.0094	0.0055795506179636065	361222	0.0023767581019489416
fam1928	0.03541880051990213	0.0	0.08876974234383747	0.00033428571428571426	0.0	0.000852316571125404	0.012635238095238095	0.0132	0.009240356424298393	1092699	0.012800271623801035
