fam	loc
fam1	385557
fam2	386928
fam3	388703
fam5	390539
fam6	390967
fam10	393075
fam11	393597
fam12	394201
fam14	397678
fam15	399055
fam16	401341
fam17	401662
fam18	402432
fam20	406090
fam21	406419
fam22	407025
fam23	407278
fam24	407929
fam25	408272
fam26	409300
fam27	409661
fam28	410536
fam29	411307
fam30	412986
fam31	415231
fam32	416206
fam33	417312
fam34	418183
fam35	418721
fam36	419771
fam37	420659
fam38	421921
fam39	422721
fam40	424098
fam42	426269
fam43	428237
fam44	429122
fam46	429641
fam47	431361
fam48	431943
fam49	433635
fam50	435558
fam51	435846
fam52	436487
fam57	439666
fam58	441059
fam59	441720
fam60	442400
fam61	444975
fam62	445131
fam63	446173
fam64	446538
fam65	446894
fam66	447871
fam67	448699
fam68	449741
fam69	450720
fam70	451521
fam71	453001
fam72	453817
fam73	454998
fam74	456261
fam75	457404
fam77	459770
fam78	460575
fam79	460953
fam80	463190
fam81	466070
fam82	467668
fam83	468648
fam84	469650
fam85	470610
fam87	473588
fam88	475100
fam89	476396
fam90	477264
fam91	478677
fam92	480353
fam93	482169
fam94	482475
fam95	483330
fam96	485716
fam97	486207
fam98	486848
fam99	487688
fam100	488723
fam101	489464
fam102	489973
fam103	490428
fam104	490979
fam105	492000
fam106	493256
fam107	493663
fam108	495038
fam109	496049
fam111	498315
fam112	500343
fam113	500915
fam114	502851
fam116	504120
fam118	506383
fam119	507870
fam120	508900
fam121	509588
fam122	511127
fam123	511409
fam125	513029
fam126	514290
fam127	515239
fam128	516197
fam129	516862
fam130	517506
fam131	517793
fam132	519730
fam133	520323
fam134	520881
fam154	538680
fam155	540120
fam156	540692
fam157	542134
fam158	543589
fam160	544679
fam161	546016
fam162	546821
fam163	547925
fam164	548784
fam165	549818
fam166	551168
fam167	551896
fam168	553753
fam170	555741
fam171	557172
fam172	558190
fam173	558433
fam174	558994
fam175	559526
fam176	561087
fam177	562067
fam178	563521
fam179	563964
fam180	564430
fam181	565794
fam182	566893
fam183	567135
fam184	567383
fam185	568625
fam186	568931
fam187	570200
fam188	571449
fam196	580379
fam197	580759
fam198	582369
fam199	582861
fam201	583732
fam202	584500
fam203	585501
fam213	598125
fam214	600219
fam216	601742
fam217	602984
fam218	605964
fam219	607764
fam220	608781
fam221	610517
fam222	612255
fam223	613523
fam224	614939
fam225	615634
fam226	616771
fam227	617762
fam228	618305
fam229	619421
fam230	620086
fam231	620955
fam232	622406
fam233	623709
fam234	624845
fam235	625459
fam236	626831
fam237	628009
fam238	629786
fam239	632593
fam240	634611
fam241	635223
fam242	636254
fam243	637890
fam244	638976
fam245	640363
fam246	643276
fam247	643812
fam248	644252
fam249	644558
fam250	645189
fam251	647566
fam252	647972
fam253	648608
fam254	649539
fam255	650128
fam256	650658
fam257	651116
fam258	652058
fam259	652923
fam260	653506
fam261	653957
fam262	655106
fam263	656268
fam265	657948
fam267	660953
fam268	661941
fam269	662252
fam270	662683
fam271	662960
fam272	663388
fam273	664636
fam274	665846
fam275	666569
fam276	667125
fam277	667904
fam278	668541
fam279	669156
fam283	679725
fam284	680374
fam285	681171
fam287	683667
fam288	684376
fam289	685194
fam290	686010
fam291	686915
fam292	694329
fam293	695301
fam294	695982
fam295	698334
fam296	698515
fam297	698997
fam298	699734
fam299	700706
fam300	701085
fam301	703244
fam302	704240
fam303	705623
fam304	706737
fam305	707613
fam306	709107
fam307	710372
fam308	710858
fam309	711137
fam310	711945
fam311	712707
fam312	715800
fam313	716118
fam314	716682
fam316	717655
fam317	718829
fam318	719169
fam319	720410
fam320	721203
fam321	721899
fam323	725442
fam324	726559
fam325	727930
fam326	729721
fam327	730468
fam328	731624
fam329	732575
fam330	733358
fam331	734555
fam332	735633
fam333	737591
fam334	737880
fam335	741042
fam336	741763
fam337	742167
fam338	743186
fam339	743532
fam340	744144
fam341	744757
fam342	746120
fam343	747100
fam344	748466
fam345	749897
fam346	750347
fam347	751113
fam348	753064
fam349	754381
fam350	754658
fam351	755218
fam352	755739
fam353	756775
fam354	757501
fam355	758050
fam356	760327
fam357	761328
fam359	763480
fam360	764011
fam361	765973
fam363	768904
fam364	770273
fam365	771779
fam366	773207
fam367	773815
fam368	774116
fam369	776252
fam370	777633
fam371	778595
fam372	779445
fam376	784202
fam377	785385
fam378	786053
fam379	786433
fam380	786734
fam381	787416
fam382	788266
fam383	788546
fam384	789540
fam385	790491
fam386	791464
fam387	792268
fam388	792836
fam389	793823
fam390	794628
fam391	795925
fam392	797687
fam393	802094
fam394	802701
fam395	803909
fam396	804240
fam397	804538
fam399	807189
fam400	808295
fam401	809255
fam402	809687
fam403	810860
fam404	811445
fam405	813335
fam406	814615
fam407	816582
fam408	818487
fam409	819636
fam410	820790
fam411	821077
fam412	821579
fam413	822616
fam414	823357
fam415	823771
fam416	826027
fam417	826475
fam418	827370
fam419	829554
fam420	830355
fam421	831856
fam422	832348
fam423	832855
fam424	833951
fam426	836718
fam427	837417
fam428	838394
fam429	839501
fam430	839980
fam431	840359
fam432	841276
fam433	842077
fam434	843324
fam435	845401
fam436	847401
fam437	848545
fam438	849927
fam439	850732
fam440	851543
fam441	852818
fam442	853102
fam443	856532
fam444	858139
fam445	859162
fam446	860055
fam448	861209
fam449	861777
fam450	862490
fam451	863440
fam453	865993
fam454	866650
fam455	867410
fam456	868733
fam457	870276
fam458	870761
fam459	872162
fam460	873499
fam461	875411
fam462	876392
fam464	877529
fam465	878550
fam466	879650
fam467	880255
fam468	880495
fam469	881388
fam470	882151
fam471	883077
fam472	885319
fam473	886332
fam474	887003
fam475	889238
fam476	891722
fam477	892206
fam478	893250
fam479	893765
fam481	894420
fam483	895482
fam484	895691
fam485	896251
fam486	897961
fam487	899032
fam488	902000
fam493	906044
fam496	908078
fam499	911976
fam500	913372
fam505	917784
fam506	920746
fam507	922099
fam508	922740
fam510	924318
fam511	925758
fam512	926009
fam513	928007
fam514	928215
fam515	929236
fam516	930537
fam517	931756
fam518	932204
fam519	933606
fam520	933971
fam521	934878
fam522	935744
fam523	936448
fam524	937318
fam525	938831
fam526	939716
fam527	942193
fam528	942818
fam529	943551
fam530	944553
fam532	946647
fam533	949000
fam534	949676
fam535	950783
fam536	951926
fam537	952925
fam538	953875
fam539	956955
fam540	957567
fam541	958355
