fam	loc
fam1	329626
fam3	331616
fam4	333084
fam5	334274
fam6	334971
fam7	336234
fam8	337152
fam10	339191
fam11	341360
fam12	342975
fam13	344048
fam14	345450
fam15	346387
fam16	347874
fam17	348409
fam18	352565
fam19	354510
fam20	355439
fam21	355841
fam22	357108
fam23	357964
fam24	359307
fam25	359648
fam26	360722
fam27	361113
fam28	361830
fam29	362438
fam31	364385
fam32	366765
fam33	368038
fam34	369149
fam35	370325
fam36	371230
fam37	371824
fam38	372064
fam39	373110
fam40	373924
fam41	375987
fam43	377547
fam44	379387
fam46	381343
fam47	382151
fam51	388306
fam53	391785
fam54	392886
fam55	393685
fam56	395502
fam57	396757
fam58	397112
fam59	399111
fam60	399980
fam61	401377
fam62	402829
fam63	404698
fam65	407296
fam66	408936
fam67	409708
fam68	411064
fam69	412010
fam70	413176
fam71	415231
fam72	416155
fam73	417410
fam74	418660
fam75	419245
fam76	420173
fam77	421006
fam78	421567
fam79	422136
fam80	424182
fam81	424661
fam83	427670
fam84	428065
fam86	430241
fam88	433688
fam89	434770
fam90	436127
fam91	437041
fam92	437723
fam93	438132
fam94	440829
fam95	442090
fam96	443917
fam98	445582
fam100	446640
fam101	447571
fam102	448457
fam104	451647
fam105	453609
fam106	454410
fam107	456174
fam108	456521
fam109	458519
fam110	461425
fam111	462911
fam113	464047
fam114	464366
fam115	464956
fam116	465944
fam118	467049
fam119	467593
fam120	468100
fam121	469477
fam122	470152
fam123	470567
fam124	471466
fam125	472299
fam126	473149
fam127	473847
fam128	477266
fam129	478540
fam130	479421
fam131	480289
fam133	482239
fam134	483103
fam135	484028
fam136	485305
fam137	486167
fam139	488053
fam140	488897
fam141	489754
fam142	491784
fam143	493786
fam144	498233
fam145	499820
fam146	500967
fam147	501526
fam148	503073
fam149	503755
fam150	506338
fam157	516110
fam162	522298
fam163	522078
fam165	520017
fam168	516109
fam169	515675
fam170	514962
fam171	513602
fam173	512252
fam174	511235
fam175	510100
fam176	508505
fam177	508072
fam178	506432
fam179	505637
fam180	504768
fam181	504143
fam182	501631
fam183	499202
fam184	498849
fam185	498044
fam186	496821
fam187	495282
fam189	493206
fam190	492114
fam191	490594
fam192	489494
fam193	488617
fam195	487033
fam196	485975
fam197	484530
fam198	482849
fam199	481992
fam200	480364
fam201	478823
fam202	476367
fam203	474902
fam204	474341
fam205	473875
fam206	473157
fam207	471419
fam208	470069
fam209	468655
fam210	467797
fam211	466815
fam212	465795
fam213	465220
fam214	464327
fam215	463898
fam216	463482
fam217	462529
fam218	461695
fam219	461236
fam221	460090
fam222	459220
fam223	458423
fam224	456950
fam225	455294
fam226	454842
fam228	451388
fam229	450946
fam230	450652
fam231	449537
fam232	448614
fam233	447614
fam234	446874
fam235	444121
fam236	443531
fam237	442439
fam238	441246
fam239	440002
fam240	439023
fam241	437729
fam242	435258
fam243	434752
fam244	433328
fam245	430888
fam246	429760
fam248	428088
fam249	427497
fam250	426064
fam251	424860
fam252	423732
fam253	422980
fam254	422170
fam255	421463
fam256	420696
fam257	420113
fam258	418152
fam259	417212
fam260	415898
fam262	414479
fam263	413113
fam264	410847
fam266	409671
fam267	408827
fam268	408401
fam269	406791
fam270	406155
fam271	405524
fam272	404011
fam273	403057
fam274	402426
fam275	401686
fam276	401309
fam277	399217
fam278	397598
fam279	396873
fam280	394044
fam281	392987
fam282	391065
fam283	389815
fam284	389080
fam285	388601
fam286	388162
fam287	387199
fam288	386507
fam289	384594
fam290	383975
fam291	383171
fam292	381823
fam295	377521
fam296	374687
fam297	374045
fam299	371687
fam300	371070
fam301	369769
fam302	367991
fam303	367197
