fam	loc
fam1	333100
fam2	334040
fam3	335224
fam4	335848
fam5	337028
fam6	337491
fam7	340191
fam8	340400
fam9	340927
fam11	341498
fam12	342413
fam13	343242
fam16	345805
fam18	347321
fam19	348392
fam20	348993
fam21	349571
fam23	350890
fam24	352060
fam25	352871
fam28	355111
fam29	356548
fam30	356820
fam32	358291
fam33	359511
fam44	367185
fam45	367450
fam46	369054
fam47	370828
fam48	371767
fam50	372980
fam51	373916
fam52	374706
fam53	375693
fam54	376171
fam55	377907
fam56	379650
fam57	380754
fam58	383246
fam59	383924
fam61	387881
fam62	389047
fam63	390187
fam66	392040
fam68	393622
fam72	399752
fam73	399928
fam74	401527
fam75	401955
fam76	402330
fam77	403840
fam78	404791
fam79	405438
fam80	406292
fam82	408816
fam83	409799
fam84	410059
fam86	413368
fam88	416524
fam89	416703
fam90	418032
fam92	419846
fam93	420045
fam94	421297
fam95	422368
fam97	424958
fam98	425676
fam99	427006
fam100	428303
fam101	428487
fam103	430229
fam104	431253
fam105	432493
fam108	437248
fam110	440384
fam111	441111
fam112	441681
fam115	444351
fam116	445248
fam134	457993
fam138	461736
fam139	462488
fam142	464349
fam146	466232
fam147	467423
fam148	468542
fam149	469859
fam152	471319
fam161	480172
fam162	482587
fam163	483153
fam164	485305
fam165	487171
fam166	487606
fam167	489665
fam168	490687
fam169	492351
fam171	493835
fam172	494999
fam173	495656
fam174	496426
fam175	498082
fam176	499182
fam177	499730
fam178	500376
fam179	500758
fam180	501820
fam181	502121
fam185	503318
fam189	507309
fam192	512288
fam196	515036
fam197	515284
fam199	516126
fam200	517217
fam202	518382
fam203	519497
fam204	521310
fam205	523070
fam206	523708
fam207	523883
fam208	525004
fam210	526849
fam211	530159
fam212	531797
fam213	532343
fam216	538115
fam217	539573
fam220	541554
fam227	547247
fam229	548698
fam230	549457
fam235	553216
fam236	554714
fam238	558019
fam242	562187
fam243	563353
fam244	564476
fam245	565849
fam246	566538
fam247	568590
fam249	570280
fam250	571526
fam251	572725
fam253	577306
fam254	577645
fam256	578508
fam257	579049
fam258	579571
fam259	581211
fam261	583631
fam267	589754
fam268	590867
fam269	591479
fam270	592257
fam271	592522
fam272	594771
fam273	596022
fam278	603611
fam279	604655
fam281	605673
fam282	606071
fam283	607442
fam284	608564
fam285	609353
fam286	609877
fam287	610599
fam288	611386
fam289	613131
fam290	613821
fam291	615304
fam292	616772
fam295	621386
fam296	621845
fam297	623316
fam300	625353
fam304	628912
fam308	632825
fam309	633537
fam311	635228
fam312	637239
fam314	637979
fam315	640276
fam319	644039
fam320	645660
fam321	646773
fam322	647076
fam324	647937
fam325	649404
fam326	649696
fam332	652468
fam333	654037
fam334	656361
fam335	657341
fam342	667632
fam343	668536
fam344	669210
fam345	670177
fam346	670641
fam348	673963
fam354	677689
fam356	679795
fam357	681130
fam358	682026
fam359	682783
fam360	683515
fam361	686363
fam362	686865
fam363	687225
fam364	688318
fam366	692264
fam370	696836
fam371	697901
fam372	698634
fam373	699321
fam374	699861
fam377	702197
fam378	703013
fam379	704813
fam380	705862
fam381	706050
fam382	706557
fam383	707145
fam384	708374
fam385	710115
fam386	711861
fam394	720542
fam399	725265
fam400	727225
fam402	730674
fam403	730958
fam405	732110
fam407	734022
fam408	736349
fam409	737942
fam410	738443
fam413	742399
fam414	742790
fam415	743745
fam416	744644
fam417	745185
fam418	747117
fam419	748829
fam423	751856
fam426	753804
fam428	754739
fam429	755469
fam431	757863
fam433	760080
fam434	761380
fam435	762275
fam438	763417
fam439	763977
fam440	764787
fam441	766206
fam444	770464
fam445	771833
fam446	773904
fam447	774760
fam448	777296
fam449	778193
fam450	778512
fam451	780117
fam452	780880
fam454	783226
fam455	783373
fam458	784858
fam459	786530
fam460	787394
fam461	787948
fam462	789251
fam463	791917
fam464	793188
fam466	794220
fam468	795937
fam474	802286
fam475	803779
fam476	804307
fam478	805755
fam479	807208
fam480	809335
fam481	809604
fam483	811359
fam484	811910
fam486	816515
fam489	821679
fam490	822463
fam492	823766
fam502	827937
fam504	832217
fam505	832546
fam506	833225
fam508	834475
fam510	836112
fam511	836810
fam512	837586
fam513	839276
fam514	840914
fam515	841655
fam516	842999
fam518	845994
fam520	848599
fam522	850310
fam524	851976
fam527	856498
fam528	857874
fam529	858143
fam530	858682
fam534	863961
fam543	877433
fam544	878899
fam547	880990
fam548	883006
fam549	884967
fam550	885942
fam552	887807
fam553	889574
fam554	890139
fam556	894493
fam557	895091
fam558	895394
fam559	895674
fam560	896147
fam561	897622
fam562	898097
fam563	899558
fam564	902481
fam567	905900
fam568	906304
fam569	907739
fam570	909038
fam571	909443
fam572	909942
fam573	910581
fam574	912611
fam576	913886
fam580	915931
fam582	919317
fam583	920438
fam584	921445
fam585	922584
fam586	924106
fam587	925081
fam588	926523
fam589	926876
fam590	927680
fam591	929028
fam594	931863
fam598	934661
fam600	938728
fam601	940875
fam602	942553
fam603	945366
fam605	947772
fam606	948491
fam611	952207
fam612	953818
fam613	956174
fam616	957470
fam619	960966
fam620	963216
fam621	964305
fam622	964828
fam623	965131
fam624	965368
fam625	965837
fam630	969243
fam631	970506
fam632	973167
fam633	974686
fam634	975396
fam635	976718
fam636	977495
fam637	978592
fam638	979160
fam639	980370
fam641	982733
fam642	983261
fam643	983925
fam644	985621
fam645	986433
fam647	989224
fam648	991268
fam650	992112
fam651	992991
fam652	993846
fam653	994483
fam654	994840
fam655	997276
fam657	999569
fam658	1000084
fam659	1000403
fam660	1001703
fam661	1002190
fam662	1003047
fam663	1003452
fam664	1007728
fam665	1007977
fam666	1009340
fam667	1010580
fam668	1012709
fam669	1015025
fam670	1016668
fam671	1018110
fam672	1019093
fam673	1020540
fam676	1021382
fam679	1024292
fam680	1025521
fam681	1026101
fam683	1027562
fam684	1028184
fam687	1034234
fam688	1035198
fam689	1035592
fam690	1036147
fam692	1037738
fam693	1039207
fam695	1040230
fam696	1041463
fam700	1044324
fam702	1046146
fam703	1047755
fam704	1048555
fam705	1049353
fam707	1051969
fam708	1054437
fam709	1055881
fam710	1056863
fam711	1058318
fam713	1060483
fam717	1064747
fam720	1066760
fam721	1069003
fam722	1069673
fam724	1071466
fam725	1072596
fam726	1074365
fam731	1077283
fam732	1078157
fam733	1079211
fam735	1081077
fam736	1079422
fam738	1077305
fam739	1076621
fam740	1076287
fam741	1074835
fam742	1074147
fam743	1072334
fam744	1071203
fam745	1071037
fam746	1068502
fam747	1068051
fam748	1067558
fam749	1066258
fam750	1065689
fam751	1063690
fam753	1062709
fam765	1056446
fam766	1055129
fam767	1054669
fam768	1054044
fam769	1053068
fam770	1052141
fam771	1051640
fam773	1050996
fam774	1048389
fam775	1046779
fam777	1044065
fam779	1041267
fam780	1040107
fam781	1039386
fam782	1037485
fam783	1036735
fam784	1035774
fam785	1034449
fam787	1030842
fam788	1028810
fam791	1026400
fam792	1024817
fam795	1023626
fam796	1022831
fam797	1021477
fam798	1020420
fam799	1019808
fam802	1018115
fam803	1017299
fam804	1016612
fam806	1013471
fam808	1011760
fam809	1010958
fam810	1010122
fam812	1009100
fam814	1006903
fam820	1002339
fam822	1000537
fam831	993685
fam833	992247
fam834	992009
fam836	989494
fam837	988194
fam838	987270
fam839	986525
fam840	984772
fam841	983178
fam842	981903
fam844	978646
fam845	978470
fam846	977801
fam847	977413
fam849	975833
fam850	975443
fam851	974785
fam852	973852
fam853	972632
fam854	972255
fam855	972052
fam856	969706
fam857	967975
fam858	967240
fam859	965311
fam861	963339
fam863	961664
fam864	961135
fam865	959974
fam868	957560
fam870	955654
fam873	954714
fam884	949240
fam890	942414
fam891	940198
fam892	939532
fam893	938829
fam894	937603
fam895	936961
fam898	933069
fam902	930254
fam903	930071
fam904	929844
fam906	929197
fam908	928821
fam911	927128
fam913	925563
fam914	923839
fam915	922577
fam916	921555
fam917	919723
fam919	917885
fam920	917203
fam924	915500
fam926	915004
fam930	911794
fam931	911139
fam933	908441
fam935	905981
fam936	902980
fam940	898477
fam941	897300
fam942	896913
fam943	895355
fam945	893749
fam946	890821
fam947	889333
fam948	888973
fam949	888262
fam950	886378
fam951	886034
fam952	885663
fam953	883981
fam954	882995
fam956	879424
fam957	878949
fam958	878824
fam960	877236
fam961	876658
fam963	875086
fam964	873895
fam965	873598
fam967	872154
fam968	871431
fam969	870938
fam972	867331
fam973	866126
fam974	865137
fam979	860208
fam980	859336
fam982	857479
fam984	854821
fam1037	814736
fam1038	813287
fam1039	812759
fam1040	812134
fam1043	809213
fam1044	808296
fam1045	807682
fam1046	806987
fam1047	805426
fam1048	804676
fam1051	801804
fam1052	800689
fam1053	799619
fam1054	798036
fam1055	797897
fam1056	796719
fam1057	796022
fam1058	794972
fam1059	793705
fam1061	791136
fam1062	790135
fam1063	789221
fam1064	787937
fam1065	787241
fam1066	786240
fam1067	785207
fam1072	783149
fam1075	782010
fam1078	778930
fam1079	778300
fam1080	776689
fam1081	775759
fam1084	773891
fam1087	771407
fam1089	769446
fam1091	767385
fam1092	766040
fam1094	764060
fam1097	760148
fam1098	758989
fam1099	757752
fam1101	755949
fam1102	754776
fam1103	754558
fam1104	753722
fam1105	752031
fam1106	750782
fam1107	750614
fam1108	750502
fam1109	749068
fam1111	747187
fam1115	744046
fam1118	741092
fam1119	740028
fam1120	739561
fam1121	738831
fam1122	736800
fam1123	736148
fam1124	735877
fam1129	732974
fam1130	732346
fam1131	730801
fam1132	730026
fam1133	729354
fam1135	728236
fam1136	727290
fam1137	723443
fam1138	723045
fam1139	722434
fam1141	720780
fam1142	719538
fam1143	718246
fam1144	716975
fam1145	716160
fam1146	715699
fam1147	714976
fam1148	714327
fam1149	713910
fam1151	712789
fam1152	712434
fam1153	711453
fam1154	710306
fam1155	709419
fam1156	707483
fam1157	706321
fam1158	705002
fam1159	703558
fam1162	701911
