fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.006330474838205295	0.006303813038130382	0.003782421992510466	0.003443636363636364	0.0027	0.0028104845028030074	0.5339000000000002	0.6047	0.39369954949520486	1119532	0.030608240680183117
fam966	0.0748806148107405	0.07119060143783973	0.023328032928856175	0.040581818181818184	0.0468	0.026340953878697514	0.5353563636363635	0.5553	0.35411001514097357	965809	0.10133825565297645
fam393	0.07322768181429902	0.07921511627906977	0.019174720441307944	0.015569090909090907	0.0189	0.011681000466605009	0.20766545454545454	0.1979	0.14979332940382992	333981	0.04396383186705769
fam1571	0.033283008501410735	0.022646784715750233	0.026877557777750707	0.014383636363636364	0.0119	0.012057434728473754	0.6199854545454545	0.4803	0.5092775708315321	1650405	0.06845264236568584
fam4609	0.16228730997699908	0.08499364137346332	0.20783013576608853	0.03052000000000001	0.0276	0.023877396098495422	0.38989333333333326	0.4919	0.2969689668785089	1401520	0.07338624338624339
fam1037	0.040714272509085034	0.041811846689895474	0.024053973842745754	0.01647818181818182	0.013	0.01604559062522775	0.32713636363636367	0.3564	0.23631055865583203	1042436	0.06089845826687931
fam3479	0.012236107462491744	0.011252193661608342	0.0065563963768129835	0.006680000000000001	0.0028	0.00725284646316064	0.49762363636363643	0.4727	0.37523244285188756	111237	0.05619834710743801
fam1499	0.045860238478358364	0.04551920341394026	0.018248634995039877	0.0053381818181818174	0.0072	0.0034665933452725037	0.14953454545454545	0.1538	0.1331390240151342	1578639	0.02012987012987013
fam2659	0.08495380325425768	0.07956810631229236	0.0264181776542014	0.04216545454545454	0.0474	0.026403610071226786	0.49544181818181826	0.5367	0.32042889308545025	877477	0.08736596736596738
fam1031	0.06532039054196641	0.025727541121889498	0.10291805547724917	0.011632727272727274	0.0128	0.006883288182137017	0.4794563636363635	0.3917	0.40036117183619285	1037963	0.05282502443792765
fam3345	0.1459812433300991	0.13089993706733793	0.03611988717432224	0.057651111111111104	0.0757	0.041802358371652894	0.40147111111111117	0.4767	0.2912150535045438	147714	0.10112563543936097
fam4095	0.03650170052004584	0.03738923708666522	0.022252372242048703	0.016324444444444444	0.0173	0.01405397777705745	0.4980266666666667	0.4065	0.5744714820888269	817691	0.049844236760124616
fam875	0.030281181179548446	0.01724137931034483	0.027464706743228286	0.0047072727272727275	0.0039	0.003132402769031789	0.2874981818181819	0.2733	0.22571490424137752	875869	0.03351515151515151
fam4775	0.06249234741867161	0.054858934169279	0.026602417353753585	0.02247555555555555	0.0308	0.015852909379746958	0.41126222222222225	0.3977	0.333982248556143	1608338	0.06779422128259337
fam4190	0.06997887096544998	0.056199821587867974	0.03230647519985765	0.030128888888888893	0.0321	0.018680859154905916	0.46249555555555555	0.5548	0.28008086685856803	929789	0.08019252732909118
fam1483	0.017968852268926416	0.008320251177394034	0.01505256156308055	0.006974545454545455	0.0041	0.00730303095687159	0.5353436363636364	0.6622	0.3930930557253639	1554088	0.056323232323232324
fam425	0.01718174645502344	0.015912208504801097	0.007249112325527902	0.005209090909090909	0.0051	0.004712894217020624	0.27171090909090906	0.3641	0.1775095251454281	368511	0.0346674601993751
fam1195	0.05841427885146756	0.0635543350333464	0.01499676367862541	0.021676363636363636	0.0219	0.015507757163155637	0.3883727272727273	0.4588	0.2578742572047966	1217637	0.06452525252525251
fam5082	0.045768145872167744	0.03417918177110306	0.023444235416888417	0.020304444444444444	0.0278	0.013301360925451793	0.5097533333333333	0.6736	0.37357634983434845	1657942	0.05589225589225588
fam5927	0.00836189025069319	0.007377598926894702	0.004570380967245633	0.0029072727272727275	0.0022	0.0028924261314024658	0.28827636363636366	0.2808	0.21116205062259763	655729	0.027585902695072998
fam5807	0.08683586950672047	0.08983752787511946	0.0412615328297441	0.03939818181818182	0.0282	0.033702157961170216	0.4032490909090909	0.3484	0.2896993406166452	804581	0.1228282828282828
fam1928	0.03918219350233529	0.03229701177180803	0.022038335387790726	0.007581818181818182	0.008	0.004185042235437618	0.24855272727272726	0.3095	0.1690115099410747	1673498	0.035818862785154934
fam6460	0.050450442375686966	0.04322139303482587	0.017060124061919084	0.020805454545454547	0.0239	0.013337280875689198	0.4239345454545454	0.4479	0.2813081004025055	44812	0.06088311688311689
fam3111	0.05568696994215545	0.05013045098770034	0.026039450642881323	0.010496363636363635	0.0088	0.008671121635245532	0.2067909090909092	0.1261	0.20090118174477295	390730	0.02657561530800967
fam98	0.0961061872830179	0.07539764511464574	0.06133067754530087	0.022090909090909085	0.0215	0.015188982522955401	0.27273454545454545	0.3408	0.18823350896564794	13473	0.06344803971922616
