fam	loc
fam1	3296
fam2	4393
fam3	4854
fam4	6845
fam5	9362
fam6	10315
fam8	11768
fam9	13463
fam10	14379
fam11	15409
fam12	15711
fam13	16340
fam14	17174
fam15	17900
fam17	19275
fam18	21092
fam19	21450
fam20	22827
fam21	25118
fam22	25992
fam24	28054
fam25	28420
fam27	30865
fam30	34438
fam31	35015
fam33	37965
fam34	38195
fam35	40245
fam36	41381
fam37	42353
fam38	42876
fam39	43339
fam41	47114
fam42	48049
fam43	49296
fam44	49791
fam45	51107
fam46	52262
fam47	54326
fam48	55263
fam50	57930
fam51	58813
fam52	59830
fam54	61259
fam55	62470
fam56	63849
fam58	66536
fam59	69859
fam60	70742
fam61	74172
fam62	74735
fam63	75330
fam64	76113
fam65	76941
fam66	77265
fam67	77723
fam68	78922
fam69	80556
fam70	81402
fam71	82242
fam72	83236
fam73	83947
fam76	85145
fam77	85832
fam80	88059
fam81	88459
fam82	90031
fam87	94521
fam88	95274
fam89	96873
fam90	97926
fam91	98801
fam92	100891
fam93	102171
fam94	103406
fam95	104221
fam96	104850
fam97	105467
fam99	107729
fam100	108615
fam101	109670
fam102	111617
fam103	112466
fam104	113571
fam105	115129
fam108	119727
fam110	121038
fam113	126387
fam115	127261
fam116	129031
fam117	130094
fam118	131410
fam119	132464
fam120	134247
fam121	137837
fam122	138801
fam123	139788
fam124	140432
fam125	141305
fam126	141975
fam128	146051
fam130	148511
fam131	150401
fam132	151200
fam134	153133
fam135	155549
fam136	156758
fam137	158696
fam138	159210
fam142	166055
fam145	167521
fam146	167852
fam147	168103
fam148	169952
fam149	170694
fam150	172057
fam151	175871
fam152	177356
fam153	178893
fam154	179077
fam155	179415
fam157	180206
fam159	182086
fam160	183164
fam161	183975
fam162	184781
fam163	185815
fam164	186662
fam165	187053
fam166	187865
fam167	189409
fam168	190442
fam170	192501
fam171	193539
fam172	194865
fam173	195577
fam174	196094
fam175	196469
fam176	196854
fam177	197889
fam178	199951
fam180	202070
fam182	203034
fam183	204164
fam184	204976
fam185	207727
fam186	209031
fam187	210163
fam189	212318
fam190	212993
fam191	213385
fam192	213968
fam193	214357
fam195	215522
fam196	216721
fam197	218234
fam198	219502
fam199	219985
fam201	220825
fam202	222404
fam203	223033
fam204	223531
fam205	224702
fam206	225826
fam207	227121
fam208	229083
fam210	231279
fam211	231730
fam212	232661
fam213	233925
fam214	234724
fam215	235494
fam216	235874
fam217	236761
fam218	237361
fam220	239458
fam221	240678
fam222	241586
fam224	243433
fam225	245110
fam226	246759
fam227	249318
fam228	250665
fam229	252242
fam230	252909
fam231	254233
fam232	255698
fam233	258554
fam234	261036
fam235	261871
fam236	263197
fam237	264091
fam238	265453
fam239	266292
fam240	266722
fam242	268618
fam243	269268
fam244	269927
fam247	275769
fam250	279000
fam252	280364
fam253	280819
fam254	281879
fam255	284363
fam256	284777
fam257	285824
fam258	287078
fam259	291853
fam260	293322
fam261	294562
fam262	295204
fam263	298529
fam264	300343
fam266	302458
fam269	303916
fam270	305431
fam271	307271
fam281	328383
fam282	328845
fam283	329837
fam284	331803
fam286	332923
fam287	333681
fam290	337004
fam291	338726
fam292	339972
fam293	341127
fam294	343608
fam295	344121
fam296	345291
fam297	346629
fam298	347114
fam299	349063
fam300	349402
fam301	350342
fam302	350537
fam303	351499
fam304	353864
fam305	355012
fam307	357842
fam310	362215
fam311	364355
fam312	365374
fam313	366501
fam314	367096
fam316	377479
fam317	379610
fam318	380675
fam319	382566
fam320	383449
fam321	385124
fam323	387043
fam325	388575
fam326	389806
fam327	391037
fam328	391595
fam329	392643
fam330	393324
fam331	394295
fam335	396510
fam338	398902
fam340	399573
fam341	400060
fam342	401232
fam343	402212
fam344	403680
fam347	404947
fam348	406094
fam349	406323
fam350	407112
fam351	407955
fam352	408521
fam353	409261
fam354	410127
fam355	410393
fam357	411355
fam361	413870
fam363	416117
fam364	417291
fam365	417737
fam366	418518
fam367	419734
fam368	419989
fam370	421543
fam371	422280
fam373	425152
fam376	430501
fam377	431527
fam378	432672
fam381	435768
fam382	436562
fam383	437660
fam385	438487
fam386	439998
fam387	441833
fam388	442887
fam391	447209
fam392	447588
fam393	449025
fam395	450264
fam396	451322
fam397	452582
fam398	453262
fam399	455497
fam400	457373
fam401	458529
fam402	459266
fam403	460135
fam404	461823
fam405	463009
fam406	463826
fam407	464511
fam408	464826
fam410	467419
fam411	468223
fam412	468782
fam413	470136
fam414	472948
fam415	473962
fam416	474767
fam417	475879
fam418	476559
fam419	476972
fam420	479133
fam421	480078
fam422	480395
fam423	482366
fam427	485193
fam428	486171
fam429	486947
fam431	488695
fam434	492033
fam435	492985
fam436	494784
fam437	495517
fam438	495893
fam440	496817
fam442	497877
fam443	498847
fam444	499383
fam445	503100
fam446	504924
fam448	507126
fam449	507793
fam450	509765
fam451	511328
fam452	512597
fam453	513169
fam454	513523
fam458	518492
fam459	519152
fam460	519459
fam461	521353
fam462	522752
fam464	525090
fam465	525818
fam467	529752
fam469	531292
fam473	536772
fam474	537544
fam476	539642
fam478	545651
fam479	546847
fam480	548448
fam481	550363
fam482	552522
fam485	555740
fam486	557007
fam487	557657
fam488	559473
fam489	559756
fam490	560973
fam491	562624
fam492	563703
fam493	564854
fam494	565963
fam495	567523
fam496	567854
fam497	568805
fam498	569411
fam499	570674
fam500	571143
fam501	571889
fam502	572677
fam503	574091
fam504	574608
fam505	576978
fam506	578038
fam507	578813
fam508	579200
fam509	579985
fam511	582013
fam512	583209
fam513	583676
fam514	584170
fam515	584838
fam517	585628
fam518	586179
fam519	586709
fam520	587928
fam521	588407
fam522	589757
fam524	591490
fam525	591807
fam526	593765
fam527	595464
fam528	596939
fam530	597690
fam532	598281
fam533	598972
fam535	600856
fam536	601879
fam538	603501
fam541	605267
fam542	606418
fam543	608642
fam545	609577
fam547	611569
fam548	612010
fam550	616272
fam551	617182
fam552	618466
fam553	621104
fam554	621438
fam556	623554
fam557	625067
fam558	626151
fam559	628287
fam562	632855
fam563	634848
fam565	637060
fam566	637660
fam567	638738
fam570	642390
fam571	643482
fam572	644851
fam573	648387
fam574	648761
fam575	649357
fam577	651959
fam578	652881
fam579	653613
fam580	655955
fam581	656338
fam583	657917
fam584	658378
fam585	659565
fam586	661058
fam588	662498
fam590	664012
fam591	665293
fam592	665702
fam594	669379
fam595	669591
fam596	670745
fam598	671466
fam599	677160
fam600	677632
fam601	677987
fam602	678331
fam604	678985
fam605	679928
fam606	680860
fam607	681507
fam608	683488
fam609	684985
fam611	687826
fam613	691955
fam614	692959
fam615	693698
fam616	694573
fam617	696147
fam618	697601
fam621	699931
fam622	700744
fam623	701295
fam624	701768
fam626	703056
fam627	704309
fam628	705617
fam630	707095
fam632	709907
fam633	710113
fam634	710419
fam637	715752
fam638	718243
fam639	718595
fam642	720412
fam643	721439
fam644	722126
fam645	722552
fam646	725629
fam656	734018
fam657	735299
fam673	762198
fam674	762830
fam675	764366
fam677	766912
fam678	768969
fam680	771067
fam681	771724
fam682	773092
fam683	773805
fam685	776524
fam686	777284
fam687	779234
fam689	780039
fam690	780448
fam691	783358
fam692	783846
fam693	784562
fam695	785428
fam696	786087
fam697	786773
fam698	788441
fam699	790023
fam700	790850
fam701	791560
fam702	792559
