fam	loc
fam1	9153
fam2	8468
fam3	7777
fam4	7407
fam7	3870
fam8	3116
fam9	2395
fam10	1307
fam11	112
fam12	829
fam13	1758
fam14	3437
fam15	3746
fam17	6270
fam18	7878
fam19	8429
fam20	9631
fam21	11758
fam22	12964
fam24	14530
fam25	15008
fam26	15834
fam28	18249
fam29	18765
fam30	20071
fam31	21134
fam32	22100
fam33	23191
fam34	25101
fam36	29279
fam37	30638
fam38	31481
fam39	32169
fam40	33407
fam41	35022
fam42	35576
fam43	36467
fam44	37160
fam45	39061
fam46	40696
fam47	41358
fam48	42390
fam49	44171
fam50	44902
fam51	47050
fam52	48397
fam54	50363
fam56	52501
fam57	53269
fam58	54187
fam59	55703
fam60	56503
fam61	58162
fam62	59606
fam63	60341
fam64	63502
fam65	64705
fam66	66125
fam67	66853
fam68	68783
fam69	69820
fam70	71428
fam71	72979
fam72	74221
fam73	74586
fam74	75823
fam76	78843
fam82	91066
fam84	93588
fam87	98160
fam88	99194
fam89	101050
fam90	102956
fam91	104493
fam92	105931
fam93	107607
fam94	108395
fam95	109642
fam96	109902
fam97	110783
fam98	112325
fam99	112850
fam100	113504
fam101	113979
fam102	116670
fam103	119002
fam104	120210
fam105	122022
fam106	122440
fam107	123043
fam108	123690
fam109	124768
fam110	125918
fam111	128066
fam112	128661
fam113	129197
fam114	130710
fam115	133220
fam116	134832
fam117	136308
fam118	137617
fam119	138415
fam120	139978
fam121	141578
fam122	142269
fam123	142804
fam124	143433
fam125	143825
fam127	147240
fam128	148008
fam129	149198
fam130	149942
fam131	151986
fam132	152324
fam134	154595
fam135	157161
fam137	161643
fam138	163691
fam139	164281
fam140	165053
fam142	165959
fam145	172637
fam146	174200
fam147	175715
fam148	176277
fam149	177240
fam150	178274
fam151	178635
fam152	178861
fam153	179861
fam154	181676
fam155	182441
fam156	183195
fam158	185700
fam159	186650
fam160	187421
fam162	190517
fam163	191074
fam164	192403
fam165	193213
fam166	193447
fam167	195269
fam168	195981
fam169	197062
fam170	198337
fam171	199401
fam172	204620
fam173	205491
fam174	205775
fam175	206922
fam177	209082
fam178	210257
fam179	210897
fam180	211700
fam181	213076
fam182	215119
fam183	215980
fam184	216670
fam185	217974
fam186	219497
fam188	221697
fam189	225493
fam190	226560
fam192	230198
fam193	231750
fam195	234134
fam196	235487
fam197	236962
fam199	241346
fam200	241926
fam201	243406
fam204	248296
fam205	249736
fam206	250359
fam208	252724
fam209	254075
fam210	258479
fam212	262338
fam213	263324
fam214	264752
fam215	268257
fam217	270377
fam218	271365
fam219	272129
fam220	273336
fam221	273891
fam222	276202
fam223	277609
fam224	279947
fam225	280306
fam226	280533
fam227	281257
fam228	282606
fam229	285756
fam230	286381
fam231	286839
fam232	287140
fam233	287785
fam234	289118
fam235	289606
fam236	291351
fam237	293999
fam239	296062
fam241	298793
fam242	299958
fam244	301720
fam245	303158
fam246	304567
fam247	305099
fam248	306849
fam249	307790
fam250	310707
fam251	311609
fam252	312238
fam253	312555
fam254	314391
fam255	315399
fam257	318205
fam258	319893
fam259	321159
fam261	324039
fam262	324826
fam263	325857
fam264	326645
fam265	328161
fam266	328854
fam267	330134
fam269	335085
fam271	335911
fam272	336844
fam273	338065
fam274	340647
fam275	341952
fam276	343186
fam277	343737
fam278	345490
fam279	346875
fam281	350605
fam282	352513
fam283	353282
fam284	354194
fam285	356053
fam286	356953
fam287	358788
fam288	359201
fam291	366172
fam292	366369
fam293	368300
fam295	373222
fam296	374208
fam297	374657
fam298	375764
fam299	376529
fam300	378140
fam301	380083
fam305	381762
fam307	382349
fam308	383221
fam310	385645
fam311	386384
fam312	387939
fam313	388273
fam315	389586
fam316	389873
fam317	390711
fam318	390996
fam319	391355
fam320	391994
fam321	392421
fam322	392637
fam323	392857
fam324	393230
fam325	393561
fam326	394106
fam327	394420
fam328	394840
fam329	395388
fam330	395775
fam331	396317
fam332	396791
fam333	398134
fam334	398784
fam335	399214
fam336	399606
fam337	400754
fam338	401165
fam339	403577
fam340	406033
fam341	408387
fam342	408816
fam343	408941
fam344	410113
fam345	410654
fam346	411454
fam347	412235
fam348	413716
fam349	414045
fam350	415087
fam351	416056
fam352	416542
fam353	417125
fam354	419090
fam355	421067
fam356	422648
fam357	423458
fam358	425826
fam359	427344
fam361	429972
fam362	432186
fam363	434233
fam364	434864
fam365	435160
fam366	435695
fam367	436107
fam368	436483
fam369	438434
fam370	440442
fam371	441177
fam373	444714
fam374	446152
fam376	447570
fam377	449868
fam378	450928
fam380	454484
fam381	455001
fam383	458381
fam384	460508
fam385	464883
fam386	466295
fam390	471344
fam391	473746
fam392	476266
fam393	479232
fam394	483642
fam396	492708
fam397	493381
fam398	494487
fam399	496163
fam400	497721
fam403	502696
fam404	503792
fam405	504195
fam406	504766
fam407	505957
fam408	506813
fam409	507540
fam410	508350
fam411	509314
fam412	510380
fam413	511631
fam415	514298
fam416	516844
fam417	518790
fam418	520950
fam419	521928
fam420	522609
fam421	524247
fam422	525043
fam423	525981
