fam	loc
fam1	10859
fam2	12275
fam3	12483
fam4	13607
fam5	13948
fam6	15990
fam7	18785
fam12	20841
fam13	22289
fam14	23139
fam15	24422
fam16	25529
fam17	26672
fam18	29868
fam19	30676
fam20	31617
fam22	32637
fam23	33065
fam25	35777
fam26	36630
fam27	37350
fam28	38411
fam29	39453
fam30	40269
fam31	41125
fam33	43263
fam34	44925
fam35	46118
fam36	46410
fam37	47907
fam38	48898
fam39	49600
fam40	51097
fam41	52791
fam42	53624
fam43	56548
fam44	57235
fam45	59181
fam46	60164
fam47	61146
fam48	62456
fam49	62841
fam50	64380
fam51	65447
fam52	67028
fam53	68925
fam54	71051
fam55	71700
fam56	73241
fam58	74012
fam59	75556
fam60	76239
fam61	77204
fam62	78055
fam63	79376
fam64	80894
fam65	81139
fam66	82043
fam67	85509
fam68	88580
fam69	89708
fam70	90608
fam71	91199
fam72	91874
fam73	92706
fam74	93115
fam76	93809
fam77	94644
fam78	96691
fam79	97657
fam80	97859
fam81	98342
fam82	98643
fam83	99185
fam87	100962
fam89	101790
fam90	102384
fam91	102875
fam92	104558
fam93	106003
fam94	107657
fam95	107891
fam96	108595
fam97	109783
fam98	110168
fam99	110587
fam100	111005
fam101	111430
fam102	111930
fam103	112299
fam104	112895
fam105	115524
fam106	116082
fam107	116987
fam110	120061
fam111	120823
fam112	121293
fam113	122198
fam114	123059
fam116	124429
fam117	125368
fam118	126124
fam119	126551
fam120	128004
fam122	130582
fam123	132099
fam124	134071
fam125	135876
fam126	136410
fam127	138701
fam129	141213
fam130	141906
fam131	144602
fam132	146212
fam133	147787
fam134	149538
fam135	149868
fam136	151563
fam137	152383
fam138	152960
fam139	153481
fam140	154529
fam141	155784
fam142	156596
fam143	159142
fam144	160662
fam145	160954
fam147	162189
fam148	163410
fam149	163978
fam150	164869
fam151	166113
fam152	167262
fam153	168641
fam154	169883
fam155	170775
fam156	171532
fam158	173928
fam159	175516
fam160	176047
fam162	177301
fam163	177978
fam164	179145
fam165	180245
fam166	181061
fam167	181476
fam168	182284
fam169	183338
fam171	185743
fam172	186128
fam173	186655
fam174	187291
fam175	188020
fam176	189216
fam177	190618
fam178	191378
fam179	192346
fam180	194353
fam181	195830
fam182	196723
fam183	197214
fam184	197413
fam185	198314
fam186	199649
fam187	201693
fam188	202247
fam189	203332
fam190	204030
fam191	206254
fam192	207313
fam193	208315
fam194	209278
fam195	209991
fam196	211600
fam197	212635
fam198	213270
fam199	214436
fam200	214967
fam201	215983
fam202	216691
fam203	218535
fam204	219877
fam205	220687
fam206	221519
fam207	224027
fam208	225721
fam209	226180
fam210	227932
fam211	228252
fam212	229217
fam213	230884
fam214	233806
fam215	234868
fam216	235476
fam217	235879
fam218	236760
fam219	237531
fam220	238111
fam221	238802
fam222	240082
fam223	240558
fam224	241471
fam225	242073
fam226	242250
fam228	244106
fam229	244744
fam230	245628
fam231	246565
fam232	247518
fam233	248326
fam234	250837
fam236	252080
fam237	252940
fam238	254004
fam239	254220
fam240	254948
fam241	256619
fam242	257424
fam243	260764
fam244	261577
fam245	263043
fam246	264001
fam247	265225
fam248	266927
fam249	268047
fam250	269150
fam251	270046
fam252	270820
fam253	271596
fam254	272457
fam255	273946
fam256	274381
fam257	275770
fam258	276905
fam259	278042
fam261	278555
fam262	278817
fam263	279438
fam264	281860
fam265	282724
fam266	283888
fam267	284144
fam268	284841
fam269	285621
fam270	287960
fam271	289222
fam272	301026
fam274	307291
fam275	309194
fam276	310058
fam278	311411
fam279	312493
fam280	313601
fam281	314345
fam282	317019
fam284	317950
fam285	319072
fam287	319954
fam288	321566
fam289	323074
fam290	323794
fam291	324837
fam292	326889
fam293	328182
fam294	328716
fam295	329590
fam296	331893
fam297	332484
fam298	333486
fam300	335549
fam301	335992
