fam	loc
fam2	306669
fam10	299852
fam12	298511
fam22	287419
fam29	280246
fam31	278020
fam47	259670
fam80	216534
fam99	197642
fam103	193321
fam106	191116
fam108	189500
fam110	187922
fam111	187414
fam114	184229
fam115	183291
fam146	160033
fam151	157837
fam152	156255
fam154	154366
fam155	152352
fam156	150620
fam158	148612
fam160	147415
fam161	146658
fam169	138054
fam173	134859
fam179	129406
fam184	122058
fam192	116132
fam197	110127
fam198	107872
fam199	105980
fam200	104321
fam201	103034
fam211	93513
fam213	91885
fam218	87439
fam219	86146
fam220	84955
fam223	82009
fam229	77578
fam230	76836
fam232	73851
fam239	64915
fam249	54796
fam250	53523
fam251	52009
fam255	49168
fam256	47191
fam257	45875
fam272	29211
fam274	27546
fam275	26834
fam277	24443
fam280	20558
fam287	12757
fam288	12470
fam289	10545
fam295	5054
fam296	3556
fam297	1534
fam298	723
fam299	2121
fam302	3670
fam303	5514
fam304	6822
fam305	7271
fam307	10363
fam308	12848
fam309	13345
fam310	13909
fam311	14174
fam312	16374
fam313	16842
fam314	18262
fam317	21477
fam341	41991
fam345	45630
fam350	50022
fam356	55207
fam357	56638
fam358	58140
fam368	74232
fam369	75201
fam376	84744
fam377	86669
fam380	89639
fam382	91906
fam393	101595
fam397	105359
fam402	109621
fam405	112394
fam406	114007
fam408	115398
fam409	116233
fam414	122303
fam423	129316
fam426	132597
fam427	133327
fam429	135846
fam438	145010
fam441	147072
fam443	148346
fam444	149145
fam445	149942
fam446	150754
fam450	155528
fam451	156818
fam452	159192
fam453	159889
fam454	160509
fam455	161720
fam457	165070
fam472	183285
fam479	192592
fam481	194573
fam482	195226
fam485	200019
fam490	205557
fam492	206802
fam495	209436
fam496	209939
fam499	215563
fam500	216330
fam502	217778
fam503	218097
fam504	219031
fam505	220458
fam510	225789
fam516	232330
fam519	235188
fam520	236613
fam523	241070
fam524	241656
fam527	245482
fam529	246890
fam545	255752
fam546	257436
fam548	260044
fam549	260399
fam550	261893
fam551	263394
fam552	263831
fam553	264961
fam554	265729
fam555	266876
fam556	267568
fam558	271326
fam562	275701
fam563	276649
fam564	277754
fam565	279320
fam566	280369
fam568	286813
fam569	290482
fam570	291801
fam571	292287
fam572	294414
fam573	295042
fam574	295704
fam575	296336
fam576	296638
fam577	297490
fam579	298165
fam580	298853
fam581	299293
fam582	299480
fam583	299765
fam584	300165
fam585	300418
fam586	300975
fam587	301173
fam588	301597
fam589	302152
fam590	302535
fam591	303059
fam592	303262
fam593	303726
fam594	305021
fam595	305689
fam596	305982
fam597	306115
fam598	306490
fam599	306904
fam600	307891
fam601	308299
fam605	311756
fam606	312304
fam607	312711
fam620	323139
fam627	328267
fam628	329667
fam631	332093
fam632	333670
fam633	335201
fam634	335637
fam635	336376
fam637	337369
fam642	342682
fam644	343529
fam645	344081
fam646	344853
fam647	345823
fam648	346822
fam649	347712
fam650	348515
fam651	349272
fam653	351330
fam655	352523
fam656	352935
fam657	354479
fam658	355390
fam661	359243
fam662	359843
fam673	366899
fam674	367750
fam677	370670
fam678	372079
fam679	373788
fam680	375887
fam681	376706
fam684	381398
fam686	382578
fam688	383788
fam689	385439
fam693	391706
fam695	393724
fam697	395857
fam698	397211
fam699	400092
fam700	400410
fam701	400838
fam702	401151
fam704	403956
fam705	404374
fam712	409368
fam715	412335
fam720	416375
fam725	430322
fam726	431380
fam727	432405
fam728	434537
fam729	434838
fam730	437257
fam731	437724
fam733	445430
fam734	446382
fam739	452643
fam740	454636
fam742	456996
fam744	459250
fam746	462611
fam766	484170
fam768	486639
fam786	506989
fam787	507411
fam790	510940
fam791	511767
fam792	514631
fam794	517311
fam795	518012
fam798	521690
fam799	523729
fam801	525212
fam802	526651
fam803	528086
fam804	529032
fam807	531702
fam808	533420
fam811	536431
fam812	536687
fam813	537229
fam823	544892
fam837	557709
fam838	558748
fam839	559867
fam840	561586
fam844	565715
fam845	567484
fam847	568904
fam848	570309
fam850	571782
fam851	572453
fam857	578019
fam858	580186
fam859	581226
fam860	581954
fam869	591745
fam881	603907
fam882	604585
fam890	612357
fam892	613333
fam893	614304
fam895	616201
fam898	619843
fam902	623019
fam906	627445
fam908	630148
fam910	630903
fam911	632636
fam912	633245
fam917	637097
fam920	640674
fam926	647700
fam933	655508
fam934	656776
fam935	658525
fam936	659795
fam940	663126
fam941	665664
fam942	666839
fam944	668106
fam945	668938
fam946	669997
fam947	671000
fam954	682869
fam955	685023
fam956	687850
fam959	690471
fam960	691399
fam961	692026
fam963	695342
fam965	698057
fam966	699382
fam967	700166
fam970	702659
fam973	704747
fam974	705739
fam975	706895
fam976	707697
fam977	708509
fam978	709579
fam979	710458
fam981	712804
