fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	932072	0.0
fam393	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	411124	0.0032388663967611335
fam158	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	173599	0.0060377358490566035
fam1037	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1072684	0.0
fam1720	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1002479	0.0
fam2659	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	63806	0.0
fam1031	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1067036	0.0
fam680	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	716659	0.0
fam875	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	915102	0.0
fam1483	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1253339	0.0
fam1781	7.0	7.0	0.0	0.0016799999999999999	0.0	0.0020575713839378696	0.00023999999999999998	0.0	0.0002939387691339813	935420	0.0062244062244062245
fam425	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	445588	0.0
fam1195	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1214122	0.0
fam1928	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	760948	0.0
fam98	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	107229	0.0
fam1496	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1238441	0.008020050125313283
fam2317	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	396284	0.03716814159292035
fam1988	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	704438	0.0
fam265	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	277599	0.0
fam1040	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1074907	0.0
fam1786	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	931033	0.0
fam443	0.0	0.0	0.0	0.0	0.0	0.0	0.0012000000000000001	0.0	0.001469693845669907	462986	0.001350210970464135
fam355	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	363890	0.0
fam1784	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	933114	0.0
fam2761	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	29728	0.0
fam2375	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	338953	0.0
fam2139	0.0	0.0	0.0	0.0	0.0	0.0	0.02116	0.0	0.025915601478646026	577325	0.054648176682074986
fam2305	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	412564	0.0
fam519	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	543971	0.0
fam2823	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	97941	0.0
fam2025	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	676725	0.0
fam814	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	858681	0.0
fam321	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	335571	0.0
fam594	0.07662276804732289	0.13402061855670103	0.06635732553817923	0.0026	0.0	0.0031843366656181316	0.02026	0.0029	0.02306483037006776	616187	0.00594002306805075
fam346	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	356098	0.0
fam62	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	71116	0.0
fam1679	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1042947	0.0
fam922	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	960421	0.0
fam494	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	523177	0.0
