fam	loc
fam1	139005
fam2	140436
fam3	141631
fam4	142248
fam5	142862
fam6	143556
fam7	146059
fam8	147288
fam9	148520
fam10	149557
fam17	165772
fam18	166001
fam19	167171
fam20	167898
fam21	170221
fam22	171575
fam23	173158
fam24	173624
fam25	175228
fam26	176040
fam27	177057
fam28	178438
fam29	179988
fam30	181012
fam32	183429
fam34	185577
fam35	186300
fam36	187493
fam37	188379
fam38	188865
fam39	189827
fam40	190903
fam41	191799
fam42	193160
fam43	193822
fam44	194243
fam45	196512
fam46	197306
fam47	199628
fam49	205247
fam50	207334
fam51	209419
fam52	212353
fam53	213273
fam54	214277
fam55	214959
fam56	215988
fam57	216395
fam58	219415
fam59	221710
fam60	222101
fam61	223105
fam62	223544
fam63	224327
fam64	225108
fam65	228629
fam66	229539
fam67	230546
fam68	231910
fam69	233108
fam70	234576
fam71	235513
fam72	236130
fam73	237108
fam74	237641
fam75	239134
fam76	239971
fam77	241087
fam78	242091
fam79	242646
fam80	243510
fam81	243923
fam82	244809
fam83	246212
fam84	246831
fam85	247692
fam86	248880
fam87	250233
fam88	251334
fam89	251800
fam90	253601
fam91	254680
fam92	255708
fam93	256516
fam94	257285
fam95	258590
fam96	259503
fam97	261021
fam98	261684
fam99	262969
fam100	264539
fam101	265562
fam102	267336
fam103	268215
fam104	269645
fam105	270911
fam106	271845
fam107	273161
fam108	276832
fam109	279438
fam110	280066
fam111	281539
fam112	282817
fam113	283293
fam114	283832
fam115	285204
fam116	285846
fam117	286308
fam118	286700
fam120	288228
fam121	288531
fam122	289315
fam123	290334
fam124	290513
fam125	295864
fam129	301223
fam130	302724
fam131	303472
fam132	304203
fam133	304797
fam134	305024
fam135	306640
fam136	307745
fam138	310479
fam139	310993
fam140	312265
fam141	312734
fam142	314399
fam143	315195
fam144	315636
fam145	316019
fam146	317122
fam149	319526
fam150	319890
fam151	320240
fam152	320900
fam153	321684
fam155	323751
fam157	326861
fam158	327846
fam159	328751
fam160	329105
fam161	330095
fam162	330636
fam163	331467
fam164	331749
fam165	332381
fam166	332946
fam167	333884
fam168	334691
fam169	335188
fam170	338767
fam171	339293
fam172	339746
fam173	340959
fam174	341910
fam176	344260
fam177	344949
fam178	346278
fam179	346894
fam180	347479
fam181	347973
fam182	348948
fam183	349197
fam184	349838
fam185	350302
fam186	350894
fam187	351343
fam188	351957
fam189	353029
fam191	354498
fam192	354944
fam193	357117
fam194	357804
fam195	358665
fam196	359156
fam197	360056
fam198	360739
fam199	361641
fam200	361977
fam201	362705
fam202	363093
fam203	364891
fam204	365826
fam205	366784
fam206	368456
fam207	369505
fam208	371251
fam210	372575
fam211	372992
fam212	373262
fam213	374187
fam214	375155
fam215	376132
fam216	377150
fam217	377908
fam218	378814
fam219	379024
fam220	379922
fam221	380657
fam222	383319
fam223	384058
fam224	385495
fam225	386640
fam234	397939
fam235	398438
fam236	399215
fam238	400287
fam239	400987
fam240	401950
fam241	402406
fam242	406817
fam243	411110
fam250	417317
fam251	418216
fam252	418999
fam253	419786
fam254	420272
fam255	422411
fam258	425695
fam259	426426
fam260	427040
fam261	427333
fam263	429705
fam264	429987
fam265	430371
fam266	431078
fam267	431504
fam268	432078
fam269	432821
fam272	433885
fam273	434128
fam274	434596
fam275	434910
fam276	435466
fam277	435790
fam278	436196
fam279	436742
fam280	437113
fam281	437847
fam282	438048
fam283	438476
fam284	440097
fam286	441485
fam287	442577
fam288	444052
fam289	444696
fam290	445398
fam291	445803
fam292	446935
fam293	447504
fam294	449092
fam295	450417
fam296	450933
fam297	451976
fam299	453371
fam300	454617
fam301	455993
fam302	457295
fam303	458099
fam304	458706
fam305	459422
fam306	460162
fam307	461222
fam308	462175
fam309	462915
fam310	463667
fam311	465481
fam312	467465
fam313	468419
fam314	469156
fam315	469434
fam317	470147
fam318	471347
fam320	474176
fam335	493580
fam336	494373
fam337	495119
fam338	496031
fam339	497150
fam340	498106
fam341	498727
fam342	499232
fam343	499889
fam344	500933
fam345	502250
fam346	503375
fam347	504246
fam348	505010
fam349	506072
fam350	506766
fam351	508001
fam352	508597
fam353	510290
fam354	511426
fam355	512053
fam356	513016
fam357	514100
fam358	515007
fam359	515873
fam360	516789
fam361	517904
fam362	518417
fam364	520655
fam365	521436
fam366	524547
fam367	525865
fam368	526401
fam369	527248
fam370	527871
fam371	530035
fam372	531130
fam373	532240
fam374	533939
fam375	534963
fam376	535864
fam377	537681
fam378	538424
fam379	538634
fam380	539500
fam385	545281
fam386	546955
fam388	548381
fam389	548811
fam390	549818
fam391	550728
fam392	551659
fam393	552625
fam394	553666
fam395	554811
fam396	556180
fam397	558575
fam398	558799
fam399	560492
fam400	561584
fam401	562273
fam402	563202
fam403	564334
fam404	565653
fam405	566859
fam406	567689
fam407	569037
fam408	569711
fam409	571127
fam410	571296
fam411	572795
fam412	573393
fam413	573948
fam414	574356
fam415	575151
fam416	576690
fam417	577876
fam421	581603
fam422	583895
fam423	585504
fam424	586499
fam425	587926
fam426	589018
fam427	589663
fam428	590964
fam430	592480
fam431	594525
fam433	596760
fam434	597026
fam435	597682
fam436	599315
fam437	600276
fam439	602825
fam440	604151
fam441	604855
fam442	605892
fam443	606433
fam444	607220
fam445	608211
fam446	609395
fam447	610943
fam448	611308
fam450	614348
fam451	615026
fam452	615795
fam453	617712
fam454	619025
fam455	619608
fam456	620378
fam457	621612
fam458	621902
fam459	622465
fam460	623801
fam461	624352
fam463	625941
fam464	627025
fam466	628501
fam467	629241
fam468	629820
fam470	631790
fam472	632878
fam473	633231
fam476	636436
fam477	637075
fam478	637618
fam479	638538
fam480	639110
fam481	640199
fam482	640840
fam483	641873
fam484	642112
fam485	642923
fam486	643706
fam487	644459
fam491	647712
fam492	649644
fam493	650658
fam495	652380
fam496	653416
fam497	654210
