fam	loc
fam6	1282507
fam13	1276720
fam14	1275372
fam15	1274494
fam16	1273362
fam20	1269864
fam21	1269335
fam22	1268219
fam24	1266284
fam26	1262460
fam30	1258423
fam33	1251935
fam35	1248527
fam36	1246829
fam37	1245635
fam38	1244655
fam39	1243681
fam40	1242437
fam41	1241133
fam43	1238663
fam44	1237216
fam45	1236505
fam48	1231739
fam49	1230314
fam51	1228535
fam58	1220556
fam59	1219064
fam60	1218456
fam61	1217690
fam62	1216829
fam63	1215755
fam65	1214546
fam68	1210888
fam69	1209278
fam70	1207603
fam71	1207243
fam72	1206601
fam73	1205760
fam74	1204772
fam75	1203410
fam76	1202266
fam78	1201059
fam79	1200183
fam80	1199095
fam81	1197785
fam82	1197081
fam83	1196203
fam84	1194962
fam85	1194116
fam86	1192892
fam87	1189746
fam88	1189143
fam89	1188135
fam91	1185428
fam94	1178286
fam95	1176747
fam96	1175660
fam97	1174367
fam99	1172970
fam100	1171846
fam101	1171141
fam102	1170480
fam103	1169417
fam105	1166718
fam106	1166182
fam107	1163765
fam108	1163221
fam110	1162056
fam116	1154510
fam117	1153666
fam119	1150935
fam121	1146799
fam122	1144765
fam123	1142465
fam124	1141738
fam125	1141323
fam126	1140854
fam128	1139276
fam131	1136476
fam133	1134345
fam134	1133500
fam135	1132851
fam136	1132077
fam137	1130641
fam139	1128659
fam140	1127368
fam141	1126756
fam144	1123341
fam145	1122261
fam146	1121188
fam149	1117948
fam152	1115466
fam156	1109787
fam158	1108349
fam159	1106639
fam160	1106065
fam161	1103237
fam163	1101580
fam164	1100933
fam165	1100379
fam166	1099890
fam169	1095814
fam170	1094943
fam172	1093005
fam174	1091168
fam176	1089902
fam180	1085493
fam182	1084153
fam183	1083181
fam184	1082478
fam185	1080783
fam186	1079443
fam187	1078923
fam188	1077925
fam189	1076117
fam190	1075867
fam192	1075140
fam193	1074626
fam194	1073411
fam195	1071130
fam196	1070680
fam197	1069594
fam198	1069158
fam199	1066400
fam200	1064877
fam201	1064404
fam202	1063651
fam203	1062886
fam204	1061420
fam205	1060556
fam206	1058519
fam207	1057844
fam208	1057450
fam209	1056751
fam210	1056227
fam214	1053042
fam217	1049014
fam218	1047361
fam219	1045578
fam220	1044443
fam222	1043016
fam223	1042531
fam225	1040497
fam226	1039332
fam227	1038605
fam228	1038036
fam238	1020351
fam244	1014511
fam245	1013777
fam246	1013279
fam247	1011923
fam248	1011405
fam251	1007588
fam252	1006447
fam253	1005037
fam254	1004010
fam255	1002910
fam256	1001822
fam257	997522
fam258	996902
fam259	996102
fam260	994457
fam262	992866
fam263	991176
fam265	988771
fam266	987747
fam267	986191
fam269	983286
fam271	980778
fam272	979678
fam273	978533
fam274	977340
fam276	975885
fam277	974847
fam278	974276
fam279	973338
fam281	971919
fam283	969586
fam284	968605
fam289	962553
fam293	956718
fam294	955930
fam297	954424
fam299	952208
fam301	950531
fam302	949200
fam303	948558
fam304	948001
fam306	945796
fam307	944549
fam309	941577
fam310	940457
fam311	939423
fam314	933840
fam315	933302
fam316	932828
fam317	932176
fam321	922008
fam322	919642
fam324	918380
fam325	916167
fam326	915041
fam328	913894
fam329	913638
fam330	913234
fam331	912639
fam332	910499
fam333	910095
fam334	909271
fam339	901121
fam340	900692
fam341	899970
fam343	897243
fam347	891295
fam349	889597
fam350	888161
fam351	887422
fam352	885364
fam353	884910
fam356	882038
fam357	881490
fam361	876590
fam363	874350
fam365	871722
fam366	870391
fam368	868286
fam370	866965
fam377	825335
fam379	822884
fam380	822227
fam381	821906
fam382	821072
fam384	819582
fam385	817971
fam387	815979
fam388	815052
fam389	814289
fam390	813039
fam393	809470
fam394	808166
fam395	807844
fam400	797075
fam406	791979
fam407	791671
fam408	791180
fam410	786240
fam411	785510
fam412	784770
fam413	784201
fam415	781598
fam417	780275
fam419	778956
fam421	777208
fam422	776565
fam424	775064
fam425	773697
fam426	772933
fam427	772556
fam431	769833
fam434	767328
fam440	757256
fam441	755295
fam442	753863
fam443	752870
fam444	751341
fam445	750220
fam446	749768
fam447	749442
fam448	748086
fam449	746825
fam451	744710
fam452	744375
fam454	743304
fam455	741279
fam456	739106
fam457	738571
fam459	735120
fam460	732936
fam461	730935
fam462	730402
fam463	730171
fam464	728978
fam465	727921
fam467	726219
fam468	725599
